orf	hap alpha | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017	hap a | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017
YAL002W	-1.1077032583040718	-0.8776022756684843
YAL004W	-0.0292160199260635	0.42384480487819554
YAL005C	0.2729098331227515	0.6606090797153663
YAL007C	0.07579152903807643	0.2199559291117443
YAL008W	-0.010446083332681613	-0.48444663431444906
YAL009W	-1.672400894481814	-0.08828724222102877
YAL010C		0.8204448817544199
YAL011W	-1.198691919695272	-1.8002427776904182
YAL012W	-0.24150287257000513	0.35419473935120266
YAL013W		2.7689283248685683
YAL014C	0.21846747657826981	-0.2955715131442162
YAL015C	-0.6236858732520952	0.04678564357970598
YAL016W		0.8278816871282426
YAL017W	-0.07771286225058208	0.27408802809111343
YAL018C	0.5332540042774496	-0.40503141269473586
YAL019W	0.009377302770183532	-0.7734902603161149
YAL020C	0.012154360240216544	0.7319414631435797
YAL021C		0.11808944391369036
YAL022C	-0.26926914240715416	-0.040163672081856824
YAL023C	0.09095937005181923	-0.03245094920933918
YAL024C	0.37824067059407984	0.045223598169266174
YAL026C	-2.7051322177738584	1.754860025159461
YAL027W	-0.4040383309749441	-0.2959776963240468
YAL028W	0.33751305882465504	-0.22193022726616252
YAL029C	-0.43063822971854226	-0.44317120851268
YAL030W	-2.194136813460361	-1.6566382696810997
YAL031C	-0.15694740601302162	-0.18064731236366943
YAL034C	-0.1195155276123866	0.07688884440259738
YAL035W	0.2733884629047258	1.2205771639674938
YAL036C	-0.025639139579167115	0.3685699044977523
YAL037W	-0.8886993691391418	-0.14310877368728678
YAL039C	-2.977292430726908	-0.3205927098780581
YAL040C	-0.7904723723197709	-0.49332548376269103
YAL042C-A	-0.35858866090556896	-0.5573169539504155
YAL042W	-0.46339011052083323	-0.343472700174678
YAL044C	0.6300116987888765	-1.3957012817145171
YAL045C	-0.5277887864214177	-0.06599931268304307
YAL046C	-0.27935393309329615	0.23732865528112518
YAL047C		2.104618483278795
YAL048C	-0.5813564709243386	-0.33415530399659454
YAL049C	-0.4255249771278267	-0.13137570871766863
YAL051W	0.13247729132611172	0.1917035748919587
YAL053W	0.3878230772410388	1.3339293459398256
YAL054C	-0.4443320650952911	0.005695359681989278
YAL055W	1.5231499495967193	0.8593361595163731
YAL056C-A	-0.39937848689907446	-0.04629203540982197
YAL056W	0.42940008717489486	-0.18083682193978332
YAL058W	0.5950291989753802	0.23088514905853144
YAL059W	0.3741309901086988	0.08579134143623388
YAL060W	0.6659940184052275	0.07934815654796501
YAL061W	0.5670741484705275	0.4299285681470094
YAL062W	0.6696730494072516	0.4038718995284758
YAL064C-A	-0.32706005495662793	-0.02213926059434848
YAL065C	0.30538144303998216	0.4164189283253257
YAL066W	-0.32864318979770557	0.5428841588694199
YAL067C	0.14015592284754477	0.5684292580924276
YAL068C	1.4625556919010234	1.950663051768386
