ORF	hom | mitotic recombination (frequency of Rad52 foci) | minimal complete-leu [standard] | Alvaro D~Rothstein R, 2007
YMR056C	10.000
YBR085W	1.493
YCR107W	7.237
YDL243C	13.684
YFL056C	8.889
YNL141W	10.000
YHR047C	3.106
YKL106W	2.817
YLR027C	4.962
YMR072W	5.462
YJR108W	6.504
YCR088W	2.500
YOR239W	1.474
YNR033W	2.608
YER045C	4.396
YGR037C	4.500
YLR131C	2.941
YLR144C	6.178
YJR083C	1.064
YBL015W	2.083
YDR511W	4.091
YLR304C	9.677
YAL054C	11.268
YDR448W	10.500
YAR015W	2.083
YNL220W	3.057
YLR028C	0.495
YMR120C	4.278
YOR128C	0.000
YGR204W	1.250
YMR300C	0.909
YGL234W	1.136
YGR061C	6.349
YDR408C	9.434
YOL086C	0.488
YMR303C	5.991
YMR083W	2.516
YGL256W	4.098
YBR145W	4.167
YMR318C	4.128
YCR105W	16.234
YDR226W	5.814
YER170W	3.684
YJR105W	0.893
YCR011C	1.351
YDR216W	6.077
YCR010C	4.762
YDL239C	5.804
YLR227C	1.826
YMR064W	10.909
YMR282C	4.734
YPL005W	0.000
YEL052W	13.253
YER017C	10.309
YDR085C	24.658
YPL202C	4.667
YNR044W	5.333
YGL032C	4.040
YPR021C	4.569
YDR524C	2.235
YIL044C	11.290
YCL025C	6.977
YBR132C	5.147
YFL055W	11.215
YFL030W	7.143
YDR214W	2.825
YOR023C	22.609
YLR109W	7.489
YHR093W	3.356
YNR074C	0.000
YMR092C	7.955
YIL079C	3.614
YDL175C	3.356
YBR059C	6.250
YDR264C	3.904
YOR034C	11.570
YMR170C	5.217
YMR169C	3.009
YOR374W	3.763
YER073W	3.727
YPL061W	14.458
YNL148C	6.452
YPL227C	2.778
YOR002W	10.588
YOR067C	10.345
YNL219C	1.657
YGL021W	2.609
YML086C	1.676
YNL270C	2.632
YFL050C	11.818
YGR225W	3.743
YML035C	17.949
YDR242W	3.816
YBR158W	0.427
YGL156W	6.215
YJR047C	12.069
YEL036C	8.571
YPR128C	3.361
YCL050C	2.500
YDR530C	8.247
YLR102C	11.932
YBR151W	5.155
YKL157W	5.356
YBR286W	0.000
YDR525W	3.604
YNL077W	0.922
YJR005W	7.317
YKL135C	0.485
YBL037W	1.111
YPR029C	5.839
YPL195W	3.846
YGR261C	4.955
YPL259C	4.487
YHL019C	2.058
YBR288C	0.000
YOL062C	6.867
YKL114C	0.631
YBL019W	3.043
YNL094W	4.167
YIL040W	10.526
YLR170C	0.775
YJR058C	1.282
YJL024C	0.962
YML022W	8.280
YDR441C	4.545
YNL065W	1.653
YPR192W	1.724
YLL052C	2.885
YBR149W	1.538
YGL105W	6.481
YLR370C	9.524
YHR013C	7.609
YCR048W	12.105
YNR019W	5.508
YDL192W	3.297
YDL137W	8.917
YOR094W	5.960
YOL058W	4.839
YJL071W	20.388
YJL088W	8.387
YHR018C	9.244
YER069W	4.741
YMR042W	6.977
YML099C	0.000
YDR173C	5.952
YNL020C	2.649
YBR164C	10.526
YPL051W	5.848
YHL040C	2.715
YHL047C	4.286
YDR127W	5.618
YDR380W	1.304
YGL148W	9.607
YDR035W	7.692
YBR249C	0.913
YPR060C	2.614
YGL202W	0.943
YDR421W	13.592
YHR137W	3.012
YHR129C	1.887
YNL059C	1.156
YLR085C	2.193
YOR141C	5.674
YPR199C	7.692
YPR200C	1.478
YPR201W	4.040
YDL100C	4.286
YLR242C	5.025
YDR101C	1.860
YMR116C	0.649
YOR058C	18.750
YJL115W	10.526
YDL197C	3.084
YJL170C	5.833
YKL185W	2.667
YMR119W	6.897
YNL159C	0.847
YNL008C	1.613
YGR097W	1.015
YDL088C	9.353
YPR145W	3.947
YGR124W	0.000
YDR321W	2.113
YPR093C	5.319
YBL069W	0.000
YER101C	11.707
YDR184C	5.072
YGL017W	1.081
YOR377W	16.149
YGR177C	3.306
YGL180W	8.145
YLL042C	1.156
YPR049C	1.325
YBR217W	3.109
YPR185W	3.429
YBR128C	8.403
YCR068W	1.205
YMR159C	5.000
YLR423C	11.290
YFR021W	15.054
YOL082W	7.647
YNL242W	1.695
YDL113C	7.619
YPL100W	2.660
YCL038C	4.969
YLR431C	1.111
YLR189C	9.917
YJL178C	7.735
YNR007C	2.703
YPL149W	5.882
YHR171W	0.000
YBL078C	2.098
YDL149W	1.987
YPR026W	4.469
YDR384C	3.145
YBL099W	0.000
YLR393W	4.975
YNL315C	2.182
YJL180C	6.358
YLR295C	2.620
YPL271W	4.608
YDR377W	5.263
YML081C-A	5.185
YJR121W	1.596
YPR020W	8.696
YBR039W	4.167
YPL078C	6.473
YDR298C	2.174
YKL016C	2.283
YML116W	19.697
YAL020C	10.692
YNL259C	4.268
YOR079C	4.167
YFL010W-A	8.261
YOR011W	5.161
YMR068W	18.254
YJR001W	12.500
YEL064C	1.105
YKL146W	3.597
YNL101W	5.556
YBL089W	3.448
YER119C	2.051
YIL088C	3.101
YPR122W	1.754
YIL140W	0.000
YIL124W	3.101
YLL063C	11.735
YOR113W	11.712
YGR224W	3.356
YOR134W	1.093
YBR068C	1.255
YDR046C	5.946
YIL015W	3.604
YKR099W	4.225
YJR148W	2.128
YJL020C	6.780
YJL095W	19.858
YER167W	13.750
YDR375C	3.483
YLR399C	23.232
YDL070W	19.835
YAL060W	2.715
YBR200W	1.103
YER155C	7.143
YPL115C	6.422
YPL161C	3.670
YJR053W	6.383
YOR198C	16.810
YGR282C	3.937
YCL029C	1.987
YER016W	8.333
YGR286C	3.468
YNR058W	0.851
YNR057C	1.770
YNR056C	1.351
YJL058C	4.813
YFL007W	10.795
YER177W	6.122
YDR099W	12.319
YJR025C	1.538
YJR078W	4.848
YJL060W	4.575
YBL098W	3.378
YLR231C	0.000
YFR047C	4.000
YNL271C	3.101
YNL233W	8.589
