orf	hap a | growth (colony size) | eugenol [0.18 mg/ml] | YPD | Darvishi E~Smith ML, 2013
YBR068C	-0.943
YBR077C	-0.907
YBR245C	-0.9159999999999999
YDR007W	-0.9309999999999999
YDR127W	-0.951
YDR312W	-0.821
YDR442W	-0.885
YEL031W	-0.7070000000000001
YER086W	-0.968
YFL055W	-0.7120000000000001
YGL148W	-0.976
YGL173C	-0.848
YHL025W	-0.7609999999999999
YHL028W	-0.7709999999999999
YMR202W	-0.953
YMR326C	-0.789
YNL273W	-0.755
YOR026W	-0.863
YPL042C	-0.72
YPR060C	-0.9159999999999999
YPR087W	-0.782
