orf	hap a | growth (colony size) | eugenol [0.18 mg/ml] | YPD | Darvishi E~Smith ML, 2013
YBR068C	-16.228702793014477
YBR077C	-15.609155284479462
YBR245C	-15.764042161613213
YDR007W	-16.022186956836137
YDR127W	-16.36638001713337
YDR312W	-14.129125125201362
YDR442W	-15.230542918152505
YEL031W	-12.167224681507143
YER086W	-16.658944118386017
YFL055W	-12.253272946581452
YGL148W	-16.79662134250491
YGL173C	-14.593785756602626
YHL025W	-13.096545944309668
YHL028W	-13.268642474458282
YMR202W	-16.400799323163092
YMR326C	-13.578416228725793
YNL273W	-12.9932880262205
YOR026W	-14.85193055182555
YPL042C	-12.390950170700343
YPR060C	-15.764042161613213
YPR087W	-13.457948657621762
