orf	hom | growth (pooled culture, barseq) | Auroramycin [1.56 uM] | YPD, HEPES [25 mM], pH 6.8, DMSO | Wong JH~Arumugam P, 2019
YAL002W	-0.09582986351618925
YAL004W	0.38953891983595024
YAL005C	-0.3301232604241104
YAL007C	-0.28041950272601923
YAL008W	-0.18326991930308978
YAL009W	-1.094237136222116
YAL010C	1.282793934184872
YAL011W	0.5784117432659124
YAL012W	0.3458733129179157
YAL013W	0.12920790149838854
YAL014C	-0.18829510062102603
YAL015C	-0.44222392548166584
YAL016W	-0.036990096375270544
YAL017W	0.006026810984443117
YAL018C	0.38269377237949964
YAL019W	0.06350221636589944
YAL020C	1.0541512565263846
YAL021C	-1.0116409872937617
YAL022C	0.026686081505082032
YAL023C	-1.486205673146062
YAL024C	-0.02772902187551626
YAL026C	-0.8648940805940504
YAL027W	0.7347050956514538
YAL028W	0.6275896547090997
YAL029C	-0.6836793933467075
YAL030W	-0.5881688113724026
YAL031C	0.09434815799172862
YAL034C	-0.1165493283136781
YAL034W-A	-0.036990096375270544
YAL035W	-1.5775549403532523
YAL036C	-0.879627032321844
YAL037W	0.8230476663061375
YAL039C	-0.036990096375270544
YAL040C	0.08172902889467215
YAL042C-A	0.25982912638434713
YAL042W	0.39866039268704545
YAL044C	0.005987548442685311
YAL045C	-0.13933035127392163
YAL046C	0.03972358291746148
YAL047C	-2.5197662036551502
YAL048C	-0.26725248710672983
YAL049C	0.2236983903509502
YAL051W	0.2768254536084171
YAL053W	-0.7313475710532372
YAL054C	-0.09932035268603226
YAL055W	0.01185333489282066
YAL056C-A	0.05170214823150015
YAL056W	0.5349394661529394
YAL058W	-0.2063590564646858
YAL059W	0.5630682478152922
YAL060W	0.4015009505774832
YAL061W	0.07048655007009312
YAL062W	-0.031781049196120334
YAL064C-A	0.006279504445712094
YAL065C	-0.13348675525395406
YAL066W	0.1171850483061403
YAL067C	0.05021988726070868
YAL068C	-0.09728130761586865
YAR002C-A	-0.10851485946725445
YAR002W	0.3217193942610994
YAR003W	-0.5511657890364792
YAR014C	-1.2372935211798872
YAR015W	0.5463161974541916
YAR018C	-0.7400582688828105
YAR020C	0.06763290357664385
YAR023C	-0.21220234036886274
YAR027W	0.8511224026159678
YAR028W	0.06768881369407907
YAR029W	0.29728210744693484
YAR030C	0.05123297178075498
YAR031W	-0.33061392012249896
YAR035W	0.27413312486702196
YAR042W	-0.16435866420962858
YAR047C	0.41370717411135327
YAR050W	-1.0194842284568268
YBL001C	0.1613525675357083
YBL002W	-0.8156575365836946
YBL003C	1.537248982832626
YBL005W	0.019996912720025226
YBL006C	0.029722508138134172
YBL007C	-0.24643164937215023
YBL008W	-0.5832365235675454
YBL009W	-0.054381424749530484
YBL010C	-0.2813911869777766
YBL011W	0.8959006837874512
YBL012C	1.0473278406417812
YBL013W	-0.07680071079557287
YBL015W	0.17042532246028874
YBL016W	-0.036990096375270544
YBL017C	1.539674145861103
YBL019W	0.06577782468040892
YBL021C	0.5005726275293845
YBL022C	-0.19138955591161796
YBL024W	-0.25483289011856036
YBL025W	-0.036990096375270544
YBL027W	-2.3574283973138312
YBL028C	-0.08687342212950112
YBL029W	-0.6677979476366893
YBL031W	0.12481187824105491
YBL032W	0.0671203992802353
YBL033C	1.7525170216058417
YBL036C	-0.6886254262804457
YBL037W	-0.22616473509317703
YBL038W	-0.03502408164294941
YBL039C	0.7909432634927225
YBL042C	0.052941021764639905
YBL043W	0.6620295489163857
YBL044W	-0.4056189260271573
YBL045C	0.07590485627398241
YBL046W	-1.0450567897697918
YBL047C	-0.520482802321644
YBL048W	0.18978058771779027
YBL049W	-0.5566028300335406
YBL051C	0.19668971469576355
YBL052C	-1.0020371650326196
YBL053W	-0.016742782790764237
YBL054W	-0.42938019859580545
YBL055C	-0.04262460760383366
YBL056W	-0.1695855787501717
YBL057C	-0.3091112268274961
YBL058W	-0.029338441455941038
YBL059W	-0.6253034631224083
YBL060W	0.16879909549652963
YBL061C	-0.05210730722296667
YBL062W	0.12037416024400521
YBL063W	0.5792402298457824
YBL064C	-0.009437686686585858
YBL065W	-0.036990096375270544
YBL066C	-0.21363848117765805
YBL067C	-0.7005259042425166
YBL068W	-0.5027986041514292
YBL069W	-0.6183123022613398
YBL070C	0.056645973340439915
YBL071C	0.2222211998445787
YBL072C	0.005935050216784947
YBL075C	-0.036990096375270544
YBL078C	0.2334153575940045
YBL079W	-0.8080347616726731
YBL080C	1.7886715293450481
YBL081W	-0.8052304165563189
YBL082C	-0.5901011680249479
YBL083C	-0.2144224559749887
YBL085W	-0.17145774154607407
YBL086C	0.24430935200015433
YBL087C	0.37847720864956336
YBL088C	0.08187300721180349
YBL089W	-0.23947822398163596
YBL090W	-1.0938973518746409
YBL091C	-0.434595826422189
YBL091C-A	-0.29500256958215126
YBL093C	-0.036990096375270544
YBL094C	-0.7339143798738504
