orf	hap alpha | replicative lifespan (SEBYL) | standard | SC | Yu R~Dang W, 2021
YBR068C	22.13
YBR069C	21.72
YBR071W	21.285
YBR072W	18.74333333
YBR073W	25.755
YBR074W	21.475833335
YBR077C	21.13
YBR083W	19.985
YBR084C-A	15.84
YBR084W	19.32
YBR085W	19.31
YBR089C-A	20.5925
YBR090C	18.71
YBR092C	19.33666667
YBR093C	21.25333333
YBR094W	20.46666667
YBR095C	14.9125
YBR098W	17.57916667
YBR103W	18.7
YBR104W	20.255
YBR105C	19.88666667
YBR106W	22.1775
YBR114W	18.91666667
YBR119W	20.735
YBR120C	18.19666667
YBR125C	20.67333333
YBR129C	20.01
YBR130C	16.11166667
YBR131W	17.65
YBR134W	20.79666667
YBR137W	19.875
YBR138C	20.495
YBR139W	19.22333333
YBR144C	19.30166667
YBR145W	19.91333333
YBR147W	20.36333333
YBR148W	19.86333333
YBR150C	21.34666667
YBR157C	21.325
YBR158W	19.56
YBR161W	19.58666667
YBR162C	18.45
YBR162W-A	19.15833333
YBR164C	19.75666667
YBR165W	20.09
YBR166C	19.61833333
YBR168W	17.725
YBR169C	21.005
YBR171W	19.965
YBR172C	21.035
YBR174C	15.245
YBR175W	15.4
YBR176W	20.93666667
YBR177C	22.1
YBR178W	21.53
YBR181C	21.93
YBR183W	17.95333333
YBR184W	19.91
YBR185C	21.34
YBR194W	19.3025
YBR197C	20.4
YBR203W	20.8
YBR204C	21.39
YBR205W	20.99333333
YBR206W	22.84
YBR208C	21.18
YBR212W	20.63333333
YBR215W	21.505
YBR216C	20.24333333
YBR217W	20.995
YBR218C	17.22333333
YBR219C	20.315
YBR220C	22.155
YBR221C	17.9525
YBR222C	19.43
YBR224W	21.23
YBR226C	19.0
YBR227C	21.47666667
YBR228W	21.04333333
YBR229C	22.25
YBR230C	20.01333333
YBR231C	21.25666667
YBR232C	19.52
YBR233W	20.87333333
YBR235W	22.185
YBR239C	25.71666667
YBR240C	20.11
YBR241C	21.44666667
YBR242W	20.18
YBR244W	19.14
YBR245C	19.62
YBR246W	17.365
YBR248C	20.55666667
YBR249C	19.46
YBR250W	19.86333333
YBR255W	19.21666667
YBR258C	20.235
YBR259W	21.62
YBR260C	19.64333333
YBR262C	19.73
YBR263W	19.32166667
YBR264C	20.87
YBR266C	23.155
YBR269C	21.27333333
YBR270C	19.34166667
YBR271W	21.3
YBR273C	20.20666667
YBR274W	19.36
YBR275C	20.83
YBR277C	19.03333333
YBR278W	17.685
YBR280C	20.90333333
YBR281C	19.85
YBR283C	19.15833333
YBR284W	21.56666667
YBR285W	20.44166667
YBR286W	21.23333333
YBR287W	21.77166667
YBR291C	20.65833333
YBR292C	20.38
YBR294W	21.32333333
YBR296C	19.86
YBR297W	20.68166667
YBR298C	17.92333333
YBR300C	20.06333333
YBR301W	21.15333333
YCL001W	23.7225
YCL001W-A	19.22166667
YCL002C	20.02
YCL008C	18.58666667
YCL009C	20.68333333
YCL011C	21.56333333
YCL014W	20.72833333
YCL023C	20.97
YCL024W	21.12
YCL026C-A	20.80333333
YCL027W	20.4225
YCL033C	21.67
YCL035C	19.595
YCL036W	22.34
YCL037C	20.69666667
YCL038C	18.01
YCL039W	19.80333333
YCL047C	20.27
YCL048W	20.595
YCL049C	21.12833333
YCL050C	21.025
YCL051W	22.01666667
YCL056C	21.24833333
YCL058C	15.505
YCL061C	17.425
YCL063W	21.025
YCL064C	21.47333333
YCL069W	21.04833333
YCL076W	20.93
YCR001W	26.02
YCR005C	20.425
YCR006C	20.96
YCR007C	19.85
YCR009C	19.31166667
YCR010C	20.175
YCR015C	19.94
YCR016W	19.255
YCR017C	19.06666667
YCR019W	19.35666667
YCR020C	20.9
YCR020C-A	16.66
YCR021C	20.55666667
YCR022C	20.57
YCR023C	20.645
YCR024C	21.18166667
YCR024C-A	21.11
YCR027C	19.46666667
YCR030C	21.575
YCR033W	17.78333333
YCR037C	24.19
YCR043C	20.92666667
YCR044C	15.89
YCR045C	16.645
YCR048W	21.28
YCR050C	22.27333333
YCR051W	16.295
YCR059C	18.12833333
YCR060W	21.61666667
YCR061W	21.62
YCR065W	16.73333333
YCR067C	20.12666667
YCR068W	18.87833333
YCR069W	21.41666667
YCR071C	21.39666667
YCR073C	20.585
YCR075C	21.765
YCR076C	21.65833333
YCR079W	15.11
YCR081W	17.585
YCR082W	21.1
YCR083W	20.31666667
YCR085W	21.04833333
YCR087C-A	17.69
YCR087W	19.57333333
YCR088W	27.09
YCR089W	20.33666667
YCR090C	26.245
YCR091W	21.18
YCR092C	19.98333333
YCR095C	25.85666667
YCR098C	21.22666667
YCR099C	21.23666667
YCR100C	20.4
YCR101C	21.64333333
YCR102C	21.48333333
YCR102W-A	20.89166667
YCR105W	20.83333333
YCR106W	20.87
YCR107W	21.015
YDL005C	16.38
YDL006W	14.65333333
YDL009C	19.4175
YDL011C	20.02166667
YDL018C	19.54166667
YDL020C	14.935
YDL022W	19.32
YDL023C	21.07666667
YDL024C	20.03166667
YDL025C	26.8
YDL026W	20.66
YDL027C	19.89
YDL033C	19.49666667
YDL034W	20.24666667
YDL035C	22.57
YDL036C	21.02
YDL037C	21.21
YDL039C	20.14
YDL041W	15.55333333
YDL042C	13.89
YDL048C	20.585
YDL049C	20.3475
YDL050C	20.4
YDL051W	19.75666667
YDL052C	19.26833333
YDL057W	20.425
YDL059C	19.31666667
YDL062W	20.98
YDL063C	20.21
YDL065C	19.51
YDL070W	19.55333333
YDL072C	17.12333333
YDL074C	12.9725
YDL076C	19.73
YDL078C	18.66833333
YDL079C	20.45666667
YDL082W	24.05333333
YDL086W	24.925
YDL088C	21.8625
YDL089W	21.345
YDL091C	21.41
YDL094C	20.4725
YDL096C	18.56333333
YDL099W	27.08
YDL100C	18.895
YDL101C	17.01
YDL104C	20.25
YDL106C	22.56333333
YDL107W	21.65
YDL109C	21.31333333
YDL110C	21.32
YDL112W	21.0775
YDL113C	21.74333333
YDL114W	21.095
YDL115C	21.4
YDL117W	15.21
YDL118W	18.73833333
YDL121C	20.18666667
YDL127W	19.74333333
YDL129W	21.10833333
YDL130W	22.92
YDL130W-A	21.70666667
YDL133C-A	22.3675
YDL133W	18.565
YDL135C	20.325
YDL136W	19.575
YDL137W	21.15
YDL138W	20.57333333
YDL142C	19.24666667
YDL144C	20.46666667
YDL154W	21.74666667
YDL155W	23.12
YDL156W	21.02
YDL157C	23.51
YDL158C	14.09666667
YDL159W	14.99833333
YDL160C	13.19
YDL161W	21.78666667
YDL162C	20.73666667
YDL167C	21.50333333
YDL169C	25.14
YDL170W	21.35
YDL171C	21.50666667
YDL172C	21.11
YDL173W	21.61666667
YDL174C	21.37666667
YDL176W	20.50666667
YDL177C	21.10666667
YDL178W	20.49333333
YDL180W	21.62333333
YDL181W	20.65666667
YDL182W	20.49333333
YDL183C	21.36333333
YDL184C	20.435
YDL185W	14.985
YDL186W	21.64
YDL187C	25.79666667
YDL189W	19.70666667
YDL190C	20.17166667
YDL191W	21.65
YDL192W	17.985
YDL194W	19.705
YDL197C	20.76666667
YDL198C	12.88
YDL199C	22.97833333
YDL200C	20.205
YDL201W	21.365
YDL206W	19.00333333
YDL210W	20.05833333
YDL215C	20.43666667
YDL218W	20.915
YDL219W	20.61666667
YDL222C	20.97666667
YDL223C	20.63666667
YDL224C	18.94333333
YDL225W	18.27166667
YDL226C	21.83333333
YDL227C	23.15
YDL231C	20.995
YDL236W	19.83166667
YDL237W	20.62
YDL239C	21.78
YDL240W	27.44666667
YDL242W	21.06666667
YDL243C	21.39
YDR001C	19.83333333
YDR003W	20.59833333
YDR005C	19.88
YDR006C	21.46333333
YDR007W	20.94
YDR008C	21.73
YDR009W	20.75
YDR010C	21.11833333
YDR011W	20.51833333
YDR014W	19.63
YDR018C	20.71833333
YDR019C	21.31333333
YDR020C	21.555
YDR022C	20.155
YDR026C	20.3975
YDR028C	13.32
YDR029W	20.2625
YDR030C	20.59333333
YDR031W	21.67
YDR032C	19.97
YDR033W	19.15
YDR035W	21.03166667
YDR036C	21.31666667
YDR042C	20.5625
YDR043C	21.36666667
YDR046C	20.69666667
YDR048C	19.66
YDR049W	21.755
YDR051C	20.37666667
YDR055W	20.55
YDR056C	18.46
YDR057W	19.985
YDR058C	20.12833333
YDR061W	20.29
YDR063W	21.805
YDR065W	20.83333333
YDR066C	21.37
YDR067C	23.90333333
YDR068W	20.47333333
YDR069C	17.45833333
YDR070C	25.26
YDR071C	21.0475
YDR074W	20.92666667
YDR075W	20.22
YDR076W	13.51666667
YDR079W	19.69333333
YDR084C	20.47
YDR085C	22.42
YDR089W	24.30333333
YDR090C	20.845
YDR093W	21.0
YDR094W	17.94833333
YDR095C	20.42
YDR096W	21.595
YDR097C	20.96166667
YDR098C	19.68166667
YDR099W	20.94333333
YDR103W	15.015
YDR104C	20.71
YDR107C	21.38166667
YDR108W	22.91
YDR110W	20.085
YDR111C	20.805
YDR112W	20.6775
YDR119W	20.77
YDR120C	19.82
YDR121W	17.45333333
YDR122W	20.00666667
YDR124W	20.635
YDR125C	20.54666667
YDR128W	20.255
YDR130C	21.11
YDR131C	20.12333333
YDR132C	21.18
YDR133C	22.69
YDR135C	20.55833333
YDR136C	20.00333333
YDR139C	21.465
YDR142C	30.57
YDR143C	22.7
YDR144C	22.895
YDR148C	21.12666667
YDR149C	15.08166667
YDR151C	24.8725
YDR152W	23.84
YDR153C	24.025
YDR156W	20.255
YDR157W	22.77666667
YDR161W	21.73
YDR162C	18.74
YDR171W	21.23666667
YDR178W	21.685
YDR183W	20.565
YDR184C	22.28
YDR185C	21.13
YDR186C	20.9
YDR191W	21.755
YDR192C	20.30333333
YDR193W	17.44833333
YDR198C	20.98
YDR202C	19.445
YDR203W	19.68
YDR205W	20.7
YDR206W	21.495
YDR209C	19.185
YDR210W	20.33
YDR214W	18.725
YDR216W	21.95666667
YDR217C	20.48333333
YDR218C	20.87666667
YDR219C	15.2075
YDR220C	19.36333333
YDR222W	19.69666667
YDR223W	21.59
YDR225W	21.78666667
YDR227W	17.22
YDR231C	20.53666667
YDR233C	21.03333333
YDR234W	21.225
YDR237W	20.21166667
YDR239C	20.72666667
YDR241W	18.92
YDR242W	18.2475
YDR244W	21.405
YDR248C	20.7
YDR249C	21.75
YDR250C	20.05
YDR252W	21.71
YDR253C	22.3175
YDR254W	18.91666667
YDR256C	21.48333333
YDR257C	21.525
YDR258C	19.13333333
YDR259C	21.16666667
YDR260C	19.555
YDR261C	21.49
YDR262W	20.05
YDR263C	20.6825
YDR265W	21.01333333
YDR266C	22.53666667
YDR269C	20.25333333
YDR272W	21.33333333
YDR273W	20.01
YDR274C	19.78333333
YDR275W	22.81333333
YDR276C	19.22333333
YDR279W	20.575
YDR281C	20.51666667
YDR282C	20.6
YDR283C	20.67
YDR284C	23.025
YDR286C	21.07666667
YDR289C	16.375
