orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YBR069C	22.2222222222222
YBR071W	16.66666666666665
YBR072C-A	38.8888888888889
YBR072W	22.22222222222225
YBR073W	13.8888888888889
YBR074W	39.999999999999986
YBR076W	22.22222222222223
YBR077C	25.0
YBR078W	16.6666666666667
YBR082C	33.3333333333333
YBR083W	27.7777777777778
YBR084C-A	16.6666666666667
YBR084W	61.1111111111111
YBR089C-A	33.3333333333333
YBR090C	38.8888888888889
YBR092C	66.6666666666667
YBR093C	27.7777777777778
YBR094W	11.1111111111111
YBR095C	27.7777777777778
YBR098W	25.925925925925934
YBR099C	38.8888888888889
YBR103W	50.0
YBR104W	44.4444444444444
YBR105C	27.7777777777778
YBR106W	44.4444444444444
YBR107C	27.7777777777778
YBR108W	44.4444444444444
YBR111C	27.7777777777778
YBR111W-A	50.0
YBR113W	27.7777777777778
YBR114W	33.3333333333333
YBR116C	33.3333333333333
YBR119W	61.1111111111111
YBR120C	16.6666666666667
YBR121C	22.2222222222222
YBR125C	22.2222222222222
YBR126C	38.8888888888889
YBR127C	33.3333333333333
YBR128C	38.8888888888889
YBR129C	27.7777777777778
YBR130C	44.4444444444444
YBR131W	50.0
YBR132C	33.3333333333333
YBR133C	16.6666666666667
YBR134W	61.1111111111111
YBR137W	33.3333333333333
YBR138C	55.5555555555556
YBR139W	22.2222222222222
YBR141C	50.0
YBR144C	50.0
YBR145W	38.8888888888889
YBR146W	38.8888888888889
YBR147W	27.7777777777778
YBR148W	22.2222222222222
YBR149W	27.7777777777778
YBR150C	38.8888888888889
YBR151W	50.0
YBR156C	72.2222222222222
YBR157C	38.8888888888889
YBR158W	38.8888888888889
YBR159W	44.4444444444444
YBR161W	33.3333333333333
YBR162C	44.4444444444444
YBR162W-A	27.7777777777778
YBR163W	5.55555555555556
YBR164C	27.7777777777778
YBR165W	33.3333333333333
YBR166C	22.2222222222222
YBR168W	22.2222222222222
YBR169C	44.4444444444444
YBR170C	22.2222222222222
YBR171W	11.1111111111111
YBR172C	38.8888888888889
YBR173C	5.55555555555556
YBR174C	16.6666666666667
YBR175W	44.4444444444444
YBR176W	22.2222222222222
YBR177C	11.1111111111111
YBR178W	5.55555555555556
YBR179C	5.55555555555556
YBR180W	11.1111111111111
YBR181C	11.1111111111111
YBR182C	27.7777777777778
YBR183W	16.6666666666667
YBR184W	44.4444444444444
YBR185C	38.8888888888889
YBR186W	50.0
YBR187W	16.6666666666667
YBR188C	38.8888888888889
YBR189W	55.5555555555556
YBR191W	22.2222222222222
YBR194W	33.3333333333333
YBR195C	27.7777777777778
YBR196C-B	33.3333333333333
YBR197C	16.6666666666667
YBR199W	38.8888888888889
YBR201W	11.1111111111111
YBR203W	22.2222222222222
YBR204C	11.1111111111111
YBR205W	22.2222222222222
YBR206W	16.6666666666667
YBR207W	0.0
YBR208C	5.55555555555556
YBR209W	44.4444444444444
YBR210W	16.6666666666667
YBR212W	27.7777777777778
YBR213W	16.6666666666667
YBR214W	16.6666666666667
YBR215W	27.7777777777778
YBR216C	22.2222222222222
YBR217W	16.6666666666667
YBR218C	22.2222222222222
YBR219C	33.3333333333333
YBR220C	50.0
YBR221C	5.55555555555556
YBR221W-A	16.6666666666667
YBR222C	22.2222222222222
YBR223C	27.7777777777778
YBR224W	27.7777777777778
YBR225W	22.2222222222222
YBR226C	16.6666666666667
YBR227C	11.1111111111111
YBR228W	33.3333333333333
YBR229C	5.55555555555556
YBR230C	22.2222222222222
YBR231C	5.55555555555556
YBR232C	33.3333333333333
YBR233W	38.8888888888889
YBR235W	22.2222222222222
YBR238C	44.4444444444444
YBR239C	38.8888888888889
YBR240C	22.2222222222222
YBR241C	33.3333333333333
YBR242W	11.1111111111111
YBR244W	22.2222222222222
YBR245C	33.3333333333333
YBR246W	33.3333333333333
YBR249C	16.6666666666667
YBR250W	50.0
YBR251W	22.2222222222222
YBR255W	38.8888888888889
YBR258C	55.5555555555556
YBR259W	11.1111111111111
YBR260C	33.3333333333333
YBR261C	44.4444444444444
YBR262C	11.1111111111111
YBR263W	27.7777777777778
YBR264C	22.2222222222222
YBR266C	16.6666666666667
YBR267W	22.2222222222222
YBR268W	22.2222222222222
YBR269C	66.6666666666667
YBR270C	61.1111111111111
YBR271W	27.7777777777778
YBR272C	72.2222222222222
YBR273C	27.7777777777778
YBR274W	22.2222222222222
YBR275C	38.8888888888889
YBR276C	33.3333333333333
YBR277C	50.0
YBR278W	22.2222222222222
YBR280C	44.4444444444444
YBR281C	27.7777777777778
YBR282W	50.0
YBR283C	27.7777777777778
YBR284W	27.7777777777778
YBR285W	22.2222222222222
YBR286W	22.2222222222222
YBR287W	55.5555555555556
YBR288C	33.3333333333333
YBR289W	100.0
YBR290W	11.1111111111111
YBR291C	0.0
YBR292C	27.7777777777778
YBR293W	16.6666666666667
YBR294W	44.4444444444444
YBR295W	16.6666666666667
YBR296C	27.7777777777778
YBR296C-A	22.2222222222222
YBR297W	27.7777777777778
YBR298C	33.3333333333333
YBR299W	44.4444444444444
YBR300C	27.7777777777778
YBR301W	50.0
YCL001W-A	11.1111111111111
YCL001W-B	11.1111111111111
YCL002C	38.8888888888889
YCL005W	100.0
YCL008C	33.3333333333333
YCL009C	27.7777777777778
YCL010C	22.2222222222222
YCL011C	33.3333333333333
YCL014W	25.0
YCL016C	38.8888888888889
YCL021W-A	55.5555555555556
YCL022C	11.1111111111111
YCL023C	19.44444444444445
YCL024W	38.8888888888889
YCL025C	27.7777777777778
YCL026C-A	50.0
YCL026C-B	27.7777777777778
YCL027W	33.3333333333333
YCL028W	11.1111111111111
YCL029C	33.3333333333333
YCL032W	27.7777777777778
YCL033C	22.2222222222222
YCL034W	5.55555555555556
YCL035C	38.8888888888889
YCL036W	11.1111111111111
YCL037C	27.7777777777778
YCL038C	30.55555555555555
YCL039W	33.3333333333333
YCL040W	61.1111111111111
YCL042W	27.7777777777778
YCL044C	11.1111111111111
YCL045C	27.7777777777778
YCL046W	16.6666666666667
YCL047C	38.8888888888889
YCL048W	27.7777777777778
YCL049C	16.6666666666667
YCL050C	55.5555555555556
YCL051W	38.8888888888889
YCL055W	5.55555555555556
YCL056C	22.2222222222222
YCL057C-A	22.2222222222222
YCL057W	27.7777777777778
YCL061C	50.0
YCL063W	19.44444444444443
YCL064C	11.1111111111111
YCL069W	44.4444444444444
YCL076W	27.7777777777778
YCR001W	27.7777777777778
YCR003W	11.1111111111111
YCR004C	55.5555555555556
YCR005C	77.7777777777778
YCR006C	5.55555555555556
YCR007C	27.7777777777778
YCR008W	38.8888888888889
YCR009C	27.7777777777778
YCR010C	33.3333333333333
YCR011C	66.6666666666667
YCR014C	33.3333333333333
YCR015C	22.2222222222222
