orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YAL002W	0.724884177083463
YAL004W	1.0202073603396853
YAL005C	0.42956099382723517
YAL007C	-0.7517317391976652
YAL008W	0.13423781057101272
YAL009W	0.13423781057101272
YAL010C	-0.16108537268521503
YAL011W	0.42956099382723517
YAL012W	3.9734391929019415
YAL013W	-0.16108537268521503
YAL014C	-0.4564085559414375
YAL015C	0.42956099382723517
YAL016C-B	0.724884177083463
YAL016W	-0.4564085559414375
YAL017W	-1.0470549224538899
YAL018C	-0.4564085559414375
YAL019W	-0.7517317391976652
YAL020C	0.724884177083463
YAL021C	-0.45640855594144014
YAL022C	-0.7517317391976652
YAL023C	1.6108537268521408
YAL024C	1.6108537268521408
YAL026C	0.724884177083463
YAL027W	-0.16108537268521503
YAL028W	-0.4564085559414375
YAL029C	0.13423781057101272
YAL030W	-0.4564085559414375
YAL031C	-0.16108537268521503
YAL034C	0.13423781057101272
YAL035W	0.13423781057101272
YAL036C	-0.16108537268521503
YAL037C-A	0.724884177083463
YAL037W	0.724884177083463
YAL039C	-0.16108537268521503
YAL040C	0.42956099382723517
YAL042C-A	-0.4564085559414375
YAL042W	-1.0470549224538899
YAL044C	-1.0470549224538899
YAL044W-A	0.13423781057101272
YAL045C	-0.16108537268521503
YAL046C	-0.4564085559414375
YAL049C	-0.4564085559414375
YAL051W	1.0202073603396853
YAL053W	-0.16108537268521503
YAL054C	0.724884177083463
YAL055W	1.0202073603396853
YAL056C-A	-1.0470549224538899
YAL056W	-0.4564085559414375
YAL058W	-0.7517317391976652
YAL059W	-0.7517317391976652
YAL060W	0.13423781057101272
YAL061W	-0.4564085559414375
YAL062W	0.13423781057101272
YAL064C-A	0.42956099382723517
YAL065C	0.42956099382723517
YAL066W	0.13423781057101272
YAL067C	0.42956099382723517
YAL067W-A	-0.16108537268521503
YAL068C	0.724884177083463
YAR002C-A	-0.16108537268521503
YAR002W	-0.4564085559414375
YAR003W	-0.4564085559414375
YAR014C	1.9061769101083634
YAR015W	-0.16108537268521503
YAR018C	0.13423781057101272
YAR020C	-0.7517317391976652
YAR023C	0.13423781057101272
YAR027W	-0.7517317391976652
YAR028W	0.13423781057101272
YAR029W	0.42956099382723517
YAR030C	0.42956099382723517
YAR031W	-0.16108537268521503
YAR035C-A	0.13423781057101272
YAR035W	1.0202073603396853
YAR042W	-0.45640855594144014
YAR047C	0.13423781057101272
YAR050W	0.42956099382723517
YBL001C	1.0202073603396853
YBL002W	0.724884177083463
YBL003C	1.315530543595913
YBL005W	0.724884177083463
YBL006C	3.9734391929019415
YBL007C	-1.3423781057101154
YBL008W	1.6108537268521408
YBL008W-A	0.724884177083463
YBL009W	1.0202073603396853
YBL010C	0.42956099382723517
YBL011W	-0.16108537268521503
YBL012C	2.4968232766208134
YBL013W	0.42956099382723517
YBL015W	2.201500093364591
YBL017C	0.42956099382723517
YBL019W	1.6108537268521408
YBL021C	-1.3423781057101154
YBL022C	-1.3423781057101154
YBL024W	1.9061769101083634
YBL027W	-0.16108537268521503
YBL028C	-0.16108537268521503
YBL029C-A	1.0202073603396853
