ORF	growth;Gly
YAL010C	-1.000
YAL012W	-1.000
YAL016W	-1.000
YAL039C	-1.000
YAL044C	-1.000
YAL047C	-1.000
YBL007C	-1.000
YBL021C	-1.000
YBL038W	-1.000
YBL045C	-1.000
YBL058W	-0.500
YBL080C	-1.000
YBL090W	-1.000
YBL099W	-1.000
YBL100C	-1.000
YBR003W	-1.000
YBR026C	-1.000
YBR037C	-1.000
YBR112C	-1.000
YBR127C	-1.000
YBR163W	-1.000
YBR179C	-1.000
YBR191W	-0.500
YBR251W	-1.000
YBR268W	-1.000
YBR282W	-1.000
YBR289W	-1.000
YCL007C	-1.000
YCR003W	-1.000
YCR009C	-1.000
YCR024C	-1.000
YCR028C-A	-1.000
YCR046C	-1.000
YCR047C	-0.500
YCR053W	-0.500
YCR071C	-1.000
YCR084C	-1.000
YDL006W	-0.500
YDL032W	-1.000
YDL044C	-1.000
YDL045W-A	-1.000
YDL047W	-0.500
YDL056W	-1.000
YDL067C	-1.000
YDL068W	-1.000
YDL069C	-1.000
YDL107W	-1.000
YDL117W	-0.500
YDL185W	-1.000
YDL198C	-1.000
YDL202W	-1.000
YDR027C	-1.000
YDR065W	-1.000
YDR069C	-1.000
YDR079W	-1.000
YDR114C	-1.000
YDR115W	-1.000
YDR116C	-0.500
YDR129C	-1.000
YDR148C	-1.000
YDR175C	-1.000
YDR176W	-0.500
YDR178W	-0.500
YDR194C	-1.000
YDR195W	-1.000
YDR197W	-1.000
YDR202C	-0.500
YDR204W	-1.000
YDR226W	-1.000
YDR230W	-1.000
YDR231C	-1.000
YDR237W	-1.000
YDR268W	-1.000
YDR269C	-0.500
YDR270W	-1.000
YDR271C	-0.500
YDR296W	-1.000
YDR298C	-1.000
YDR322W	-1.000
YDR323C	-1.000
YDR332W	-1.000
YDR337W	-1.000
YDR347W	-1.000
YDR350C	-1.000
YDR375C	-1.000
YDR377W	-1.000
YDR388W	-1.000
YDR405W	-1.000
YDR448W	-0.500
YDR462W	-1.000
YDR477W	-1.000
YDR507C	-1.000
YDR512C	-0.500
YDR518W	-1.000
YDR529C	-1.000
YDR533C	-1.000
YEL024W	-1.000
YEL027W	-1.000
YEL050C	-1.000
YEL051W	-1.000
YER014C-A	-1.000
YER014W	-1.000
YER017C	-1.000
YER050C	-1.000
YER058W	-1.000
YER061C	-1.000
YER068W	-1.000
YER077C	-1.000
YER087W	-1.000
YER122C	-1.000
YER141W	-1.000
YER145C	-1.000
YER153C	-1.000
YER154W	-1.000
YFL016C	-1.000
YFL018C	-1.000
YFL036W	-1.000
YFR019W	-1.000
YGL020C	-0.500
YGL025C	-0.500
YGL038C	-0.500
YGL058W	-0.500
YGL064C	-0.500
YGL070C	-1.000
YGL071W	-1.000
YGL084C	-0.500
YGL095C	-0.500
YGL107C	-1.000
YGL115W	-1.000
YGL129C	-1.000
YGL135W	-1.000
YGL143C	-1.000
YGL167C	-0.500
YGL168W	-0.500
YGL206C	-1.000
YGL218W	-1.000
YGL219C	-0.500
YGL237C	-1.000
YGR020C	-0.500
YGR036C	-0.500
YGR062C	-1.000
YGR076C	-1.000
YGR101W	-1.000
YGR102C	-1.000
YGR105W	-1.000
YGR112W	-1.000
YGR150C	-1.000
YGR155W	-1.000
YGR165W	-1.000
YGR167W	-1.000
YGR171C	-1.000
YGR174C	-1.000
YGR180C	-1.000
YGR183C	-0.500
YGR188C	-0.500
YGR215W	-1.000
YGR219W	-1.000
YGR220C	-1.000
YGR222W	-1.000
YGR252W	-0.500
YGR255C	-1.000
YGR257C	-1.000
YGR262C	-0.500
YHL005C	-1.000
YHL025W	-1.000
YHL038C	-1.000
YHR008C	-1.000
YHR011W	-1.000
YHR026W	-0.500
YHR038W	-1.000
YHR039C-B	-1.000
YHR041C	-0.500
YHR051W	-1.000
YHR059W	-1.000
YHR060W	-1.000
YHR067W	-1.000
YHR091C	-1.000
YHR116W	-0.500
YHR120W	-1.000
YHR147C	-1.000
YHR168W	-1.000
YHR194W	-1.000
YIL015C-A	-1.000
YIL018W	-1.000
YIL036W	-1.000
YIL047C	-1.000
YIL060W	-1.000
YIL093C	-1.000
YIL125W	-1.000
YIL154C	-1.000
YIL157C	-0.500
YIR005W	-0.500
YIR021W	-1.000
YJL003W	-1.000
YJL022W	-1.000
YJL023C	-1.000
YJL029C	-1.000
YJL046W	-1.000
YJL063C	-1.000
YJL075C	-0.500
YJL096W	-1.000
YJL101C	-1.000
YJL102W	-1.000
YJL120W	-1.000
YJL121C	-0.500
YJL166W	-1.000
YJL175W	-1.000
YJL176C	-1.000
YJL180C	-1.000
YJL209W	-1.000
YJR034W	-1.000
YJR040W	-1.000
YJR077C	-1.000
YJR090C	-1.000
YJR113C	-1.000
YJR118C	-0.500
YJR120W	-0.500
YJR121W	-1.000
YJR122W	-1.000
YJR144W	-1.000
YKL002W	-1.000
YKL003C	-1.000
YKL016C	-1.000
YKL054C	-1.000
YKL055C	-1.000
YKL080W	-1.000
YKL087C	-1.000
YKL109W	-1.000
YKL118W	-1.000
YKL119C	-1.000
YKL134C	-1.000
YKL138C	-1.000
YKL148C	-1.000
YKL155C	-1.000
YKL167C	-1.000
YKL169C	-1.000
YKL170W	-1.000
YKL208W	-1.000
YKL212W	-1.000
YKR001C	-1.000
YKR006C	-1.000
YKR021W	-0.500
YKR085C	-1.000
YLL006W	-1.000
YLL009C	-1.000
YLL018C-A	-1.000
YLL027W	-1.000
YLL033W	-1.000
YLL040C	-1.000
YLR038C	-1.000
YLR056W	-1.000
YLR067C	-1.000
YLR069C	-1.000
YLR091W	-1.000
YLR139C	-1.000
YLR148W	-1.000
YLR149C	-1.000
YLR201C	-1.000
YLR202C	-1.000
YLR203C	-1.000
YLR218C	-1.000
YLR234W	-1.000
YLR239C	-1.000
YLR240W	-1.000
YLR260W	-1.000
YLR270W	-1.000
YLR295C	-1.000
YLR304C	-1.000
YLR312W-A	-1.000
YLR358C	-0.500
YLR369W	-1.000
YLR377C	-1.000
YLR382C	-1.000
YLR393W	-1.000
YLR396C	-1.000
YLR439W	-1.000
YLR447C	-1.000
YML061C	-1.000
YML081C-A	-1.000
YML090W	-0.500
YML094W	-1.000
YML112W	-0.500
YML129C	-1.000
YMR021C	-1.000
YMR035W	-1.000
YMR054W	-0.500
YMR058W	-1.000
YMR064W	-1.000
YMR066W	-1.000
YMR072W	-1.000
YMR089C	-1.000
YMR097C	-1.000
YMR098C	-1.000
YMR123W	-0.500
YMR138W	-1.000
YMR150C	-1.000
YMR158W	-1.000
YMR188C	-1.000
YMR193W	-1.000
YMR228W	-1.000
YMR256C	-1.000
YMR257C	-1.000
YMR267W	-1.000
YMR280C	-1.000
YMR282C	-1.000
YMR286W	-1.000
YMR287C	-1.000
YMR293C	-1.000
YMR311C	-0.500
YNL003C	-1.000
YNL005C	-1.000
YNL052W	-1.000
YNL064C	-1.000
YNL067W	-0.500
YNL073W	-1.000
YNL080C	-1.000
YNL081C	-1.000
YNL120C	-0.500
YNL133C	-0.500
YNL138W	-1.000
YNL139C	-0.500
YNL177C	-1.000
YNL184C	-1.000
YNL252C	-1.000
YNL259C	-0.500
YNL284C	-1.000
YNL296W	-0.500
YNL315C	-1.000
YNR020C	-0.500
YNR025C	-1.000
YNR036C	-1.000
YNR037C	-1.000
YNR041C	-1.000
YNR042W	-1.000
YNR045W	-1.000
YOL001W	-1.000
YOL009C	-1.000
YOL023W	-1.000
YOL033W	-1.000
YOL095C	-1.000
YOL143C	-1.000
YOL148C	-1.000
YOR026W	-0.500
YOR036W	-1.000
YOR065W	-1.000
YOR073W	-0.500
YOR125C	-1.000
YOR147W	-1.000
YOR150W	-1.000
YOR158W	-1.000
YOR187W	-1.000
YOR196C	-1.000
YOR200W	-1.000
YOR201C	-1.000
YOR205C	-1.000
YOR211C	-1.000
YOR221C	-1.000
YOR241W	-1.000
YOR290C	-1.000
YOR305W	-1.000
YOR330C	-1.000
YOR331C	-1.000
YOR332W	-1.000
YOR333C	-1.000
YOR334W	-0.500
YOR358W	-1.000
YPL005W	-1.000
YPL013C	-1.000
YPL024W	-0.500
YPL029W	-1.000
YPL031C	-0.500
YPL040C	-1.000
YPL045W	-1.000
YPL060W	-0.500
YPL078C	-1.000
YPL097W	-1.000
YPL104W	-1.000
YPL118W	-1.000
YPL132W	-1.000
YPL148C	-1.000
YPL172C	-1.000
YPL173W	-1.000
YPL174C	-1.000
YPL183W-A	-1.000
YPL188W	-0.500
YPL215W	-1.000
YPL234C	-1.000
YPL254W	-1.000
YPL262W	-1.000
YPL268W	-1.000
YPL271W	-1.000
YPR036W	-1.000
YPR047W	-1.000
YPR066W	-0.500
YPR067W	-1.000
YPR099C	-1.000
YPR100W	-1.000
YPR116W	-1.000
YPR123C	-1.000
YPR124W	-1.000
YPR134W	-1.000
YPR166C	-1.000
YPR191W	-1.000
