orf	hap alpha | growth (undefined) | aluminium trichloride [0.2-1 mM] | Kakimoto M~Yoshimura E, 2005
YAL021C	-11.095409325847701
YBR097W	-11.095409325847701
YBR101C	-11.095409325847701
YBR132C	-11.095409325847701
YCR044C	-11.095409325847701
YDL047W	-11.095409325847701
YDR136C	-11.095409325847701
YDR137W	-11.095409325847701
YDR245W	-11.095409325847701
YDR364C	-11.095409325847701
YDR484W	-11.095409325847701
YEL036C	-11.095409325847701
YGL095C	-11.095409325847701
YGL167C	-11.095409325847701
YGL168W	-11.095409325847701
YGR036C	-11.095409325847701
YGR105W	-11.095409325847701
YGR284C	-11.095409325847701
YHL031C	-11.095409325847701
YHR030C	-11.095409325847701
YJL095W	-11.095409325847701
YJL121C	-11.095409325847701
YJL183W	-11.095409325847701
YJL188C	-11.095409325847701
YJR059W	-11.095409325847701
YJR073C	-11.095409325847701
YKL212W	-11.095409325847701
YKR020W	-11.095409325847701
YLR039C	-11.095409325847701
YLR262C	-11.095409325847701
YLR399C	-11.095409325847701
YML071C	-11.095409325847701
YMR183C	-11.095409325847701
YNL041C	-11.095409325847701
YOL018C	-11.095409325847701
YOL072W	-11.095409325847701
YOR306C	-11.095409325847701
