orf	hom | growth (spot assay) | expression of C. jejuni CdtB [pDCH-GAL1-CdtB] | SC - Leu, Gal [2%], Raf [2%] | Guerra L~Frisan T, 2011
YAL002W	-7.642660296667413
YAL016W	-7.642660296667413
YAL026C	-7.642660296667413
YBL058W	-7.642660296667413
YBR098W	-7.642660296667413
YBR099C	-7.642660296667413
YBR126C	-7.642660296667413
YBR221C	-7.642660296667413
YBR274W	-7.642660296667413
YCL008C	-7.642660296667413
YCL016C	-7.642660296667413
YCL061C	-7.642660296667413
YCR009C	-7.642660296667413
YDL006W	-7.642660296667413
YDR004W	-7.642660296667413
YDR109C	-7.642660296667413
YDR144C	-7.642660296667413
YDR217C	-7.642660296667413
YDR226W	-7.642660296667413
YDR254W	-7.642660296667413
YDR318W	-7.642660296667413
YDR323C	-7.642660296667413
YDR386W	-7.642660296667413
YDR432W	-7.642660296667413
YDR495C	-7.642660296667413
YEL045C	-7.642660296667413
YER095W	-7.642660296667413
YER110C	-7.642660296667413
YGL080W	-7.642660296667413
YGL167C	-7.642660296667413
YGL175C	-7.642660296667413
YGL240W	-7.642660296667413
YGR072W	-7.642660296667413
YGR285C	-7.642660296667413
YHL006C	-7.642660296667413
YHR008C	-7.642660296667413
YHR010W	-7.642660296667413
YHR030C	-7.642660296667413
YHR077C	-7.642660296667413
YIL036W	-7.642660296667413
YJL092W	-7.642660296667413
YJR135C	-7.642660296667413
YKL041W	-7.642660296667413
YKL055C	-7.642660296667413
YKL113C	-7.642660296667413
YLR025W	-7.642660296667413
YLR048W	-7.642660296667413
YLR089C	-7.642660296667413
YLR226W	-7.642660296667413
YLR288C	-7.642660296667413
YLR381W	-7.642660296667413
YML024W	-7.642660296667413
YMR080C	-7.642660296667413
YMR194W	-7.642660296667413
YMR207C	-7.642660296667413
YMR219W	-7.642660296667413
YMR252C	-7.642660296667413
YNL071W	-7.642660296667413
YNL138W	-7.642660296667413
YNL250W	-7.642660296667413
YNL273W	-7.642660296667413
YNL284C	-7.642660296667413
YOR014W	-7.642660296667413
YOR036W	-7.642660296667413
YOR061W	-7.642660296667413
YOR080W	-7.642660296667413
YOR089C	-7.642660296667413
YOR144C	-7.642660296667413
YOR196C	-7.642660296667413
YOR209C	-7.642660296667413
YOR376W	-7.642660296667413
YPL008W	-7.642660296667413
YPL174C	-7.642660296667413
YPL194W	-7.642660296667413
YPL205C	-7.642660296667413
YPR131C	-7.642660296667413
YPR135W	-7.642660296667413
YPR173C	-7.642660296667413
