ORF	hom | sporulation efficiency | sporulation medium [unknown] | Deutschbauer AM~Davis RW, 2002	hom | growth (culture turbidity) | post-germination (YPD [standard], sporulation medium [unknown]) | Deutschbauer AM~Davis RW, 2002
YBL004W	1.000	1.000
YBL005W	1.000	1.000
YBL006C	1.615	NaN
YBL007C	1.000	1.000
YBL008W	1.000	1.000
YBL009W	1.000	1.000
YBL010C	1.000	1.000
YBL011W	1.000	1.000
YBL012C	1.000	1.000
YBL013W	1.000	1.000
YBL014C	1.000	1.000
YBL015W	1.000	1.000
YBL016W	1.000	1.000
YBL017C	1.000	1.000
YBL018C	1.000	1.000
YBL019W	1.000	1.000
YBL020W	1.000	1.000
YBL021C	1.000	1.000
YBL022C	NaN	0.844
YBL023C	1.000	1.000
YBL024W	1.000	1.000
YBL025W	1.000	1.000
YBL026W	1.000	1.000
YBL027W	1.000	1.000
YBL028C	1.000	1.000
YBL029W	1.000	1.000
YBL030C	1.000	1.000
YBL031W	NaN	0.667
YBL032W	1.000	1.000
YBL033C	1.000	1.000
YBL034C	1.000	1.000
YBL035C	1.000	1.000
YBL036C	1.000	1.000
YBL037W	1.369	NaN
YBL038W	1.000	1.000
YBL039C	1.000	1.000
YBL040C	1.000	1.000
YBL041W	1.000	1.000
YBL042C	1.000	1.000
YBL043W	1.000	1.000
YBL044W	1.000	1.000
YBL045C	1.000	1.000
YBL046W	NaN	0.808
YBL047C	1.000	1.000
YBL048W	1.000	1.000
YBL049W	1.000	1.000
YBL050W	1.000	1.000
YBL051C	1.000	1.000
YBL052C	1.000	1.000
YBL053W	1.000	1.000
YBL054W	1.000	1.000
YBL055C	1.000	1.000
YBL056W	1.000	1.000
YBL057C	1.000	1.000
YBL058W	1.000	1.000
YBL059W	1.000	1.000
YBL060W	1.000	1.000
YBL061C	1.000	1.000
YBL062W	1.000	1.000
YBL063W	1.000	1.000
YBL064C	1.000	1.000
YBL065W	1.000	1.000
YBL066C	1.000	1.000
YBL067C	1.000	1.000
YBL068W	1.000	1.000
YBL069W	1.000	1.000
YBL070C	1.000	1.000
YBL071C	1.000	1.000
YBL072C	1.000	1.000
YBL073W	1.000	1.000
YBL074C	1.000	1.000
YBL075C	1.000	1.000
YBL076C	1.000	1.000
YBL077W	1.000	1.000
YBL078C	0.373	NaN
YBL079W	0.524	NaN
YBL080C	0.465	NaN
YBL081W	1.000	1.000
YBL082C	NaN	0.870
YBL083C	NaN	0.600
YBL084C	1.000	1.000
YBL085W	1.000	1.000
YBL086C	1.000	1.000
YBL087C	1.000	1.000
YBL088C	1.000	1.000
YBL089W	1.000	1.000
YBL090W	1.000	1.000
YBL091C	1.000	1.000
YBL091C-A	1.000	1.000
YBL092W	1.000	1.000
YBL093C	1.000	1.000
YBL094C	1.000	1.000
YBL095W	1.000	1.000
YBL096C	1.000	1.000
YBL097W	1.000	1.000
YBL098W	1.000	1.000
YBL099W	1.000	1.000
YBL100C	1.000	1.000
YBL101C	1.000	1.000
YBL102W	1.000	1.000
YBL103C	1.000	1.000
YBL104C	1.000	1.000
YBL105C	1.000	1.000
YBL106C	1.000	1.000
YBL107C	1.000	1.000
YBR001C	1.000	1.000
YBR002C	1.000	1.000
YBR003W	0.553	NaN
YBR004C	1.000	1.000
YBR005W	1.000	1.000
YBR006W	1.000	1.000
YBR007C	1.000	1.000
YBR008C	1.000	1.000
YBR009C	1.644	NaN
YBR010W	1.000	1.000
YBR011C	1.000	1.000
YBR012C	1.000	1.000
YBR013C	1.000	1.000
YBR014C	1.000	1.000
YBR015C	1.000	1.000
YBR016W	1.000	1.000
YBR017C	1.000	1.000
YBR018C	1.000	1.000
YBR019C	1.000	1.000
YBR020W	1.000	1.000
YBR021W	1.000	1.000
YBR022W	1.000	1.000
YBR023C	0.319	NaN
YBR024W	1.000	1.000
YBR025C	1.000	1.000
YBR026C	1.000	1.000
YBR027C	NaN	0.659
YBR028C	1.000	1.000
YBR029C	1.000	1.000
YBR030W	1.000	1.000
YBR031W	1.000	1.000
YBR032W	1.000	1.000
YBR033W	1.000	1.000
YBR034C	1.000	1.000
YBR035C	1.000	1.000
YBR036C	1.000	1.000
YBR037C	1.000	1.000
YBR038W	1.000	1.000
YBR039W	1.000	1.000
YBR040W	1.000	1.000
YBR041W	0.575	NaN
YBR042C	1.000	1.000
YBR043C	1.000	1.000
YBR044C	1.000	1.000
YBR045C	0.277	NaN
YBR046C	1.000	1.000
YBR047W	1.000	1.000
YBR048W	1.000	1.000
YBR049C	1.000	1.000
YBR050C	1.000	1.000
YBR051W	1.000	1.000
YBR052C	1.000	1.000
YBR053C	1.000	1.000
YBR054W	1.000	1.000
YBR055C	1.000	1.000
YBR056W	1.000	1.000
YBR057C	0.287	NaN
YBR058C	1.000	1.000
YBR059C	NaN	0.907
YBR060C	1.000	1.000
YBR061C	1.000	1.000
YBR062C	1.000	1.000
YBR063C	1.000	1.000
YBR064W	1.000	1.000
YBR065C	1.000	1.000
YBR066C	1.000	1.000
YBR067C	1.000	1.000
YBR068C	1.347	NaN
YBR069C	1.000	1.000
YBR070C	1.000	1.000
YBR071W	1.000	1.000
YBR072W	1.000	1.000
YBR073W	1.000	1.000
YBR074W	1.000	1.000
YBR076W	1.000	1.000
YBR077C	1.352	NaN
YBR078W	1.940	NaN
YBR079C	1.000	1.000
YBR080C	1.000	1.000
YBR081C	1.000	1.000
YBR082C	1.000	1.000
YBR083W	1.000	1.000
YBR084C-A	1.000	1.000
YBR084W	1.000	1.000
YBR085W	1.000	1.000
YBR086C	1.000	1.000
YBR087W	1.000	1.000
YBR088C	1.000	1.000
YBR089C-A	1.000	1.000
YBR089W	1.000	1.000
YBR090C	1.000	1.000
YBR091C	1.000	1.000
YBR092C	1.000	1.000
YBR093C	1.000	1.000
YBR094W	1.000	1.000
YBR095C	1.000	1.000
YBR096W	1.000	1.000
YBR097W	1.000	1.000
YBR098W	1.000	1.000
YBR099C	1.000	1.000
YBR101C	1.000	1.000
YBR102C	1.000	1.000
YBR103W	1.509	NaN
YBR104W	1.000	1.000
YBR105C	1.000	1.000
YBR106W	1.000	1.000
YBR107C	1.000	1.000
YBR108W	1.000	1.000
YBR109C	1.000	1.000
YBR110W	1.000	1.000
YBR111C	1.000	1.000
YBR112C	1.000	1.000
YBR113W	1.000	1.000
YBR114W	1.000	1.000
YBR115C	1.000	1.000
