ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YPR150W	1.097	-2.205	-2.823
YPR152C	1.581	-2.987	-3.162
YPR153W	-5.254	4.185	0.944
YPR154W	2.105	-3.308	-2.637
YPR155C	-2.717	0.813	-0.135
YPR156C	-8.792	10.499	6.003
YPR157W	-5.573	5.069	3.705
YPR158W	-0.679	-0.653	-1.446
YPR159W	-6.639	8.745	6.302
YPR160W	-5.057	0.441	-2.664
YPR163C	1.461	-2.750	-2.407
YPR164W	-3.707	-4.122	-5.519
YPR166C	0.156	0.948	1.351
YPR167C	1.214	-0.931	-1.361
YPR170C	0.030	1.186	0.965
YPR171W	-0.664	-0.476	-0.520
YPR172W	-0.611	1.629	1.410
YPR173C	-2.593	2.586	0.848
YPR174C	-1.177	1.204	0.933
YPR179C	-3.064	2.844	0.741
YPR184W	0.353	0.771	0.616
YPR185W	-0.731	0.834	1.232
YPR188C	1.251	-0.981	-0.816
YPR189W	0.734	-0.661	-1.888
YPR191W	-4.173	5.432	4.584
YPR192W	1.656	-1.914	-1.827
YPR193C	-0.791	1.145	0.706
YPR194C	-1.211	2.515	0.897
YPR195C	-2.634	3.267	3.431
YPR196W	-2.482	2.774	2.680
YPR197C	-0.902	0.603	0.885
YPR198W	-2.493	3.536	1.817
YPR199C	-2.537	2.198	1.801
YPR200C	-2.720	2.883	1.936
YPR201W	0.165	-0.186	-1.291
YCR090C	1.596	-0.101	0.018
YCR091W	0.024	0.485	0.560
YCR092C	-1.372	1.053	1.426
YCR094W	-1.706	0.268	-1.945
YCR098C	-0.502	0.944	0.805
YCR099C	-0.656	1.115	0.627
YCR100C	-1.899	2.698	1.670
YCR101C	-1.973	2.974	2.575
YCR102C	-1.746	3.271	2.129
YCR105W	-0.698	0.895	1.301
YCR106W	0.982	-0.359	-0.740
YDL130W-A	0.454	-0.300	-0.726
YDR363W-A	-2.560	3.753	2.633
YDR525W-A	-0.295	0.149	0.303
YDR535C	-0.670	1.275	1.311
YDR536W	0.173	0.660	0.010
YDR538W	-0.795	1.435	1.178
YDR539W	-0.767	1.446	1.143
YDR540C	0.278	0.112	0.750
YDR541C	-0.219	1.183	0.615
YER039C-A	-1.809	2.820	2.041
YER091C-A	-2.386	3.808	4.446
YER144C	-0.066	0.600	0.764
YER188W	0.406	1.015	-0.168
YFL034C-A	2.133	-2.693	-1.632
YFR032C	-0.639	2.129	1.843
YFR032C-A	-1.715	3.109	3.825
YFR033C	-3.053	3.207	4.525
YFR034C	-1.160	2.405	2.905
YFR035C	-0.837	0.497	1.681
YFR036W	-0.053	-0.696	-1.141
YFR038W	0.069	0.306	0.880
YFR040W	-1.456	1.932	1.184
YFR041C	0.063	-1.181	-9.653
YFR043C	0.683	1.001	0.524
YFR044C	-0.388	1.468	1.797
YFR045W	-1.155	2.690	1.710
YFR046C	-0.157	0.828	0.696
YFR047C	-1.155	0.757	0.825
YFR048W	-0.582	0.673	1.188
YFR049W	-1.679	2.211	1.512
YFR053C	-1.457	2.981	2.484
YFR054C	-2.158	2.844	1.831
YFR055W	-1.993	2.024	1.802
YFR056C	0.057	0.693	1.055
YFR057W	-1.815	1.585	0.886
YGR220C	-2.707	5.052	5.925
YGR221C	-0.054	2.115	1.771
YGR223C	-2.219	-0.875	-1.271
YGR224W	-2.136	4.762	2.100
YGR225W	-2.058	3.292	2.115
YGR226C	-0.187	1.318	1.399
