ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YIL057C	-0.187	0.079	-0.180
YIL064W	2.848	-2.182	-1.696
YIL065C	2.327	-1.313	-0.268
YIL072W	0.177	0.560	0.211
YIL073C	3.455	-4.939	-3.889
YIL076W	0.366	-1.275	-1.605
YIL077C	2.330	-2.633	-1.607
YIL079C	-2.214	2.268	3.024
YIL084C	-0.119	-0.982	-0.860
YIL086C	0.992	-1.646	0.112
YIL087C	-1.527	2.537	2.822
YIL088C	-0.155	-0.332	0.800
YIL090W	-2.339	2.575	3.483
YIL093C	0.616	0.404	1.508
YIL095W	0.440	-1.212	0.271
YIL096C	0.035	0.248	2.416
YIL097W	-1.796	0.079	0.526
YIL006W	2.983	-2.574	-2.124
YIL007C	1.109	-0.381	1.614
YIL008W	-2.106	2.440	3.403
YIL009W	1.774	-1.292	-0.487
YIL010W	-0.627	-0.232	1.168
YIL014C-A	0.246	-0.349	0.207
YIL038C	2.579	-3.352	-1.087
YIL042C	2.830	-3.231	-1.373
YIL047C	0.167	0.342	1.071
YIL052C	-3.870	0.229	-1.070
YIL054W	-0.004	0.680	1.363
YIL055C	0.499	-0.715	0.003
YIL059C	1.891	-4.210	-1.995
YIL060W	-0.346	0.304	0.862
YIL067C	-1.198	0.175	2.017
YIL069C	-0.995	-0.003	0.605
YIL070C	-0.260	-1.203	-0.629
YIL071C	-0.175	0.449	1.709
YIL074C	1.002	-1.781	0.281
YIL089W	-1.396	1.514	3.074
YIL092W	1.064	-0.453	0.360
YFL007W	-2.466	0.610	-1.487
YFL011W	1.223	-1.021	0.408
YFL015C	2.186	-2.927	-1.995
YFL020C	-0.952	0.577	0.821
YFL021W	0.718	-1.315	0.485
YFL023W	-8.677	10.588	8.906
YFL025C	-0.596	0.119	2.209
YFL026W	0.536	-1.131	-0.350
YFL027C	-0.126	0.653	1.241
YFL028C	1.759	-2.607	-0.876
YFL030W	0.268	-0.715	0.630
YFL031W	0.757	-1.622	-0.055
YFL032W	0.188	-1.522	-0.189
YFL034W	2.398	-2.580	-1.339
YFL036W	-3.064	2.348	5.621
YFL040W	0.757	-1.371	-1.503
YFL041W	0.884	-2.824	-2.262
YFL042C	0.538	-1.087	0.503
YFL044C	0.005	-0.331	-0.128
YFL046W	-0.438	0.055	1.681
YFL047W	0.716	-1.281	1.056
YFL048C	1.154	-1.757	-0.665
YFL049W	-0.120	-0.147	1.050
YFL050C	0.130	-1.233	0.250
YFL051C	1.844	-2.362	-0.302
YFL052W	2.798	-3.802	-3.162
YFL053W	1.627	-2.015	-1.050
YFL054C	0.850	-1.859	-0.849
YFL055W	1.773	-2.896	-0.901
YFL056C	1.321	-2.036	-0.008
YFR001W	-9.953	5.257	5.022
YFR006W	0.429	-1.235	0.002
YFR007W	0.471	-0.680	0.728
YFR008W	0.218	-1.456	0.516
YFR009W	1.041	-1.662	0.123
YFR010W	0.922	-1.036	0.841
YFR012W	3.816	-5.632	-7.939
YFR014C	1.535	-2.902	-1.587
YFR015C	1.200	-2.054	-1.811
YFR016C	1.702	-3.471	-2.030
YFR017C	2.124	-2.914	-2.169
YFR018C	2.539	-4.603	-3.226
YFR020W	0.928	-1.485	-0.462
YFR021W	2.081	-2.795	-1.507
YFR022W	0.736	-2.349	0.241
YFR023W	0.338	-0.629	0.384
YFR024C-A	0.585	-0.844	0.113
YFR026C	1.234	-2.312	-1.125
YFR031C-A	1.481	-2.242	-1.027
YGR256W	3.410	-4.034	-3.222
YGR259C	1.548	-3.427	-1.239
YGR260W	-0.941	-1.837	-0.607
YGR261C	-0.144	0.750	2.682
YGR263C	2.160	-3.845	-2.740
YGR266W	1.209	-3.119	-1.078
YGR268C	1.195	-2.364	-0.525
YGR269W	2.248	-3.740	-1.796
YGR270W	0.741	-3.146	-2.062
YGR275W	2.046	-3.165	-1.223
YGR279C	2.165	-3.147	-1.787
YGR281W	6.695	-10.000	-8.123
YGR282C	-0.643	0.669	0.124
YGR283C	0.419	-1.176	1.289
YGR284C	-0.000	-0.356	0.584
YGR285C	-10.410	5.037	5.310
YGR286C	0.910	-1.769	-0.230
YGR287C	-1.393	2.545	3.443
YGR288W	0.867	-1.357	-0.018
YGR290W	-0.216	-0.779	0.032
YHR021W-A	1.310	-2.515	-0.729
YHR039C-A	-4.294	0.645	-2.411
YHR079C-A	2.451	-2.873	-1.007
YIL009C-A	1.225	-3.450	-2.685
YIR017C	-0.360	-0.937	0.117
YIR018W	-1.997	1.789	2.458
YIR019C	0.647	-1.952	-0.900
YIR020C	0.779	-0.998	0.151
YIR020W-A	-0.106	0.043	0.974
YIR021W	-3.720	-1.864	0.286
YIR024C	0.937	-1.016	0.313
YIR025W	1.051	-2.784	-1.387
YIR026C	-0.986	0.234	1.453
YIR027C	0.608	-1.870	-0.462
YIR028W	1.801	-1.767	-0.342
YIR029W	3.816	-5.456	-3.505
YIR031C	-0.183	-0.381	1.114
YIR033W	-4.797	7.456	7.381
YIR034C	0.031	-1.949	-1.195
YIR035C	-0.809	-0.584	0.219
YIR036C	-0.113	-0.290	1.147
YIR037W	0.425	-0.346	0.994
YIR038C	0.665	-2.114	-0.194
YIR039C	-0.833	0.918	2.584
YIR042C	0.668	-1.419	0.597
YKL033W-A	1.425	-1.025	0.288
YKL162C-A	1.970	-2.482	-1.458
YKR035W-A	0.128	1.002	0.923
YKR066C	0.379	-2.242	-1.629
YKR067W	-0.543	-1.260	0.195
YKR069W	0.983	-1.880	-0.854
YKR070W	-1.129	-0.007	1.143
YKR072C	0.411	-2.004	-1.026
YKR073C	1.094	-2.131	-1.176
YKR074W	-0.789	-0.434	0.953
YKR075C	1.890	-3.468	-1.250
YKR076W	0.743	-0.952	-0.150
YKR077W	2.817	-3.958	-3.277
YKR078W	2.386	-2.582	-2.689
YKR080W	1.063	-0.526	-0.290
YKR082W	-10.344	14.216	4.424
YKR084C	0.425	-0.577	0.116
YMR062C	-0.169	-2.095	-0.775
YMR063W	0.741	-2.510	-1.149
YMR065W	0.444	-1.519	-0.869
YMR067C	0.480	-0.393	0.160
YMR068W	-0.061	-1.314	-0.257
YMR069W	0.656	-2.003	-1.344
YMR070W	-6.256	3.942	0.818
YMR071C	0.346	-1.548	2.077
YMR072W	0.185	0.446	2.163
YMR073C	1.215	-0.747	0.780
YMR075C-A	0.102	-1.919	-1.230
YMR075W	-0.035	-1.502	0.343
YMR077C	0.505	-2.762	-3.056
YMR078C	2.344	-3.134	-1.443
YMR080C	-1.357	0.438	1.446
YMR081C	0.404	-1.066	0.614
YMR082C	1.244	-2.088	-0.638
YMR083W	-2.106	1.473	3.243
YMR084W	-1.693	1.568	4.650
YMR085W	2.944	-3.220	-3.412
YMR086C-A	2.808	-4.677	-4.043
YMR086W	1.175	-2.256	0.374
YMR087W	0.375	-0.722	-1.070
YMR088C	1.435	-1.062	-1.491
YMR089C	-3.635	6.791	8.319
YMR090W	1.492	-1.052	0.468
YMR091C	0.489	-6.699	-10.082
YMR092C	1.042	-1.644	0.264
YNR070W	3.401	-4.201	-2.229
YNR071C	-0.570	-0.564	0.312
YNR072W	0.782	-1.024	-0.938
YNR073C	2.129	-2.309	-2.757
YNR074C	3.776	-4.103	-3.147
YNR075W	2.621	-1.821	-2.528
YOL013W-B	1.749	-3.632	-2.781
YOL086C	-17.128	NaN	NaN
YOL087C	0.353	-1.606	0.414
YOL088C	-0.846	1.512	1.138
YOL089C	0.876	-0.829	-1.593
YOL090W	0.027	-1.134	0.552
YOL091W	-0.063	0.964	0.050
YOL092W	1.539	-2.206	-0.304
YOL093W	3.113	-2.370	-3.791
YOL095C	-0.203	0.480	0.787
YOL096C	-4.497	2.775	3.558
YOL098C	-1.383	1.098	1.669
YOL099C	-1.789	1.298	0.339
YOL100W	-2.883	2.880	5.867
YOL101C	-0.773	1.004	0.181
YOL103W	-2.147	2.480	2.928
YOL104C	-1.871	0.641	1.013
YOL105C	-0.437	0.393	0.953
YOL106W	-1.820	0.446	0.800
YOL107W	0.261	-0.661	-0.133
YOL108C	-8.511	12.036	13.931
YOL109W	0.119	0.123	0.601
YOL110W	-0.686	0.824	-0.151
YOL111C	-0.811	0.606	-0.820
YOL112W	0.233	-0.951	0.167
YOL113W	-2.240	2.288	1.822
YOL114C	-1.495	0.423	1.778
YOL115W	-5.833	6.025	5.775
YOL116W	-0.510	-0.741	0.347
YOL117W	0.099	-0.754	-0.516
YOL118C	-1.130	0.844	1.907
YOL119C	-1.036	1.268	1.260
YOL121C	-0.429	-0.172	1.025
YOL122C	-1.107	2.404	0.498
YOL124C	-2.463	2.979	3.442
YOL126C	-0.330	0.071	1.169
YOL128C	-1.951	2.060	1.905
YOL129W	0.127	-0.015	-0.154
YOL131W	-2.361	2.645	2.573
YOL132W	0.024	-0.521	0.152
YOL136C	-0.420	0.153	0.787
YOL137W	-0.264	0.865	1.487
YOL138C	-0.763	0.142	-0.089
YBR232C	1.086	-1.529	-0.824
YDR424C	0.804	-0.946	-2.054
YEL011W	-0.970	0.431	0.206
YER064C	-1.158	0.584	0.471
YER077C	-1.275	0.430	0.827
YER078C	-0.034	-0.727	0.150
YER088C	0.670	-1.511	-0.736
YER090W	-1.608	1.420	0.628
YER091C	0.440	-0.835	-0.226
YER092W	0.252	-0.363	-0.169
YER093C-A	-0.270	1.591	0.269
YER095W	-3.978	-9.850	-5.615
YER096W	2.061	-2.494	-1.355
YER097W	1.197	-1.068	-0.593
YER098W	-0.383	0.137	0.381
YGR134W	-1.570	1.320	1.582
YGR210C	0.343	-1.561	-1.413
YHL024W	1.021	-1.050	-0.988
YHL025W	-17.128	NaN	NaN
YHR016C	-0.366	0.073	0.355
YHR017W	-1.415	0.520	0.479
YHR032W	0.167	0.197	0.256
YHR045W	0.698	-11.830	-7.259
YHR064C	-9.295	7.814	6.529
YHR140W	2.655	-3.518	-2.859
YHR162W	1.971	-1.643	-1.086
YHR168W	-3.747	7.082	6.845
YHR181W	0.620	-0.847	-0.485
YHR191C	-5.156	0.772	-3.864
YHR193C	0.293	0.225	0.436
YLL030C	2.550	-1.945	-2.328
YLL044W	-0.512	1.226	1.934
YLL048C	-0.082	0.220	0.594
YLL049W	-1.077	0.386	-1.226
YLL059C	-0.482	1.011	0.603
YLR030W	-0.252	-0.437	-0.808
YLR031W	2.840	-3.476	-3.618
YLR032W	0.559	-13.705	-10.152
YLR034C	2.676	-2.872	-2.931
YLR035C	0.835	-1.147	-1.182
YLR036C	3.888	-6.088	-4.966
YLR037C	-1.800	2.021	1.776
YLR038C	-4.320	3.595	3.848
YLR039C	0.066	-0.978	-3.587
YLR040C	-1.172	0.817	0.911
YLR041W	-0.209	1.040	0.165
YLR050C	0.513	-0.810	-0.647
YLR052W	-7.088	11.182	10.038
YMR142C	-3.844	2.380	0.256
YMR158W	-0.602	1.697	3.151
YMR171C	1.678	-2.296	-2.247
YMR181C	1.311	-2.399	-2.736
YMR209C	-0.989	1.172	0.139
YMR271C	1.549	-1.948	-2.467
YMR279C	0.181	-1.118	-0.683
YMR306W	1.069	-1.971	-1.696
YMR311C	-0.277	0.661	0.272
YMR312W	-1.497	-0.332	-1.650
YMR313C	1.707	-3.220	-2.075
YMR315W	3.071	-4.494	-2.891
YMR316C-A	-0.223	1.796	0.269
YMR316C-B	-1.837	4.054	4.176
YMR316W	-2.244	3.688	3.398
YMR317W	-1.164	1.754	2.025
YMR318C	-1.370	1.995	1.912
YMR319C	-1.568	2.455	2.837
YMR320W	-1.087	3.501	3.626
YNL250W	-4.653	-9.178	-4.940
YNL252C	-3.886	5.190	6.567
YNL279W	0.280	0.842	1.182
YNL300W	-1.262	1.945	3.168
YNL316C	0.320	-0.000	1.218
YOL016C	2.169	-1.792	-1.737
YOR096W	-5.762	8.722	11.192
YOR306C	-1.352	2.016	0.695
YOR317W	-0.506	1.047	1.326
YPL132W	-4.825	6.086	6.573
YPL134C	-0.574	0.923	0.614
YML070W	-0.269	0.897	1.809
YML071C	-0.325	0.981	-2.346
YML074C	-0.188	1.294	1.991
YML090W	0.241	-0.473	0.538
YML094W	-4.114	-0.498	-2.422
YML095C	1.097	-0.308	0.400
YML094C-A	-2.821	-3.279	-5.277
YML096W	-0.146	0.915	0.640
YML097C	-2.024	-1.096	-5.373
YML099C	-0.316	0.491	0.892
YML100W	0.030	0.567	1.226
YML099W-A	0.306	-0.664	-0.506
YML101C	-0.616	0.923	0.929
YML101C-A	-0.795	2.184	1.079
YML102W	-0.640	1.096	-0.395
YML103C	-0.433	0.109	-1.475
YML104C	0.311	1.147	2.750
YML106W	0.377	0.969	0.757
YML107C	-0.583	0.685	0.652
YML108W	-0.490	1.008	0.875
YML109W	1.309	-1.308	-0.952
YML113W	0.010	-0.142	-0.004
YML116W	-0.223	-1.200	-0.715
YML117W	-0.406	-0.666	-0.602
YML116W-A	0.492	-0.497	-0.665
YML118W	1.834	-2.407	-1.015
YML119W	0.834	-3.201	-2.182
YML120C	1.212	-1.224	-0.863
YML121W	0.280	0.477	-0.744
YML122C	3.240	-2.798	-2.870
YML123C	0.709	0.011	0.058
YML124C	0.570	-0.519	-0.349
YML128C	-0.407	-0.141	-1.416
YML131W	0.070	-0.103	0.330
YMR004W	0.850	-0.474	-0.197
YMR095C	-1.418	1.432	1.568
YMR096W	0.020	0.509	0.334
YMR099C	1.365	-1.774	-1.907
YMR100W	2.433	-2.980	-3.161
YMR101C	-0.291	0.746	1.420
YMR102C	1.782	-1.738	-1.565
YMR103C	1.894	-2.061	-2.477
YMR105C	0.433	-0.167	-0.112
YMR106C	1.768	-1.598	-1.425
YMR107W	-0.072	0.345	0.397
YMR109W	2.329	-2.344	-2.068
YMR110C	1.371	-1.124	-1.089
YMR111C	0.250	-0.827	-0.243
YMR114C	2.146	-2.163	-1.630
YMR115W	0.773	-0.668	-0.354
YMR116C	-7.195	1.955	-1.675
YMR119W-A	1.379	-1.207	-2.064
YMR120C	3.287	-3.241	-3.596
YMR121C	3.192	-3.384	-3.998
YMR122C	0.938	-2.957	-1.595
YMR123W	-1.974	2.513	1.795
YMR124W	2.516	-2.691	-2.459
YMR125W	-11.232	9.544	2.008
YMR126C	0.698	-0.329	-2.348
YMR127C	1.377	-1.123	-1.688
YMR129W	0.599	-1.283	-1.189
YMR130W	1.175	-1.621	-2.048
YMR132C	-0.782	0.786	-0.311
YMR133W	0.807	-1.307	-0.839
YMR135C	1.456	-0.819	-3.361
YPR006C	5.025	-6.745	-6.630
YPR009W	4.059	-4.432	-4.534
YPR012W	1.445	-2.226	-1.954
YPR014C	3.548	-3.818	-4.874
YPR015C	2.346	-4.396	-3.291
YPR017C	1.623	-1.571	-2.924
YPR018W	-0.150	-1.201	-2.332
YPR020W	-0.942	0.828	-1.184
YPR027C	3.550	-5.674	-4.793
YPR028W	2.648	-4.949	-3.887
YPR029C	4.192	-3.779	-5.731
YPR030W	1.827	-2.265	-1.499
YPR032W	-0.698	0.345	1.514
YPR036W	-4.264	3.575	2.745
YPR038W	-0.345	-0.552	1.109
YPR039W	-0.976	1.037	2.768
YPR040W	0.258	0.192	2.427
YPR042C	-1.496	1.589	1.688
YPR044C	-4.368	3.614	6.634
YPR045C	-4.326	3.017	5.997
YPR046W	-0.063	-0.415	0.332
YPR047W	-0.829	1.503	4.004
YPR049C	-1.087	-1.243	-3.058
YPR051W	3.602	-4.941	-4.158
YPR052C	1.303	-2.722	-1.524
YPR053C	4.480	-7.126	-5.262
YPR054W	1.030	-0.700	0.855
YPR057W	-3.034	4.311	0.663
YPR058W	0.580	-1.284	0.590
YPR059C	-1.057	0.081	1.890
YPR060C	0.600	-0.444	0.618
YPR061C	-0.260	-0.598	0.983
YPR062W	0.317	-1.694	-1.174
YPR063C	-0.052	0.131	2.033
YPR065W	2.990	-3.258	-2.505
YPR066W	0.565	-0.178	-0.263
YPR068C	0.240	-0.612	-0.452
YPR069C	-3.593	1.852	2.695
YPR070W	0.184	-2.336	-5.390
YPR071W	0.764	-0.941	0.410
YPR073C	-0.092	-0.319	0.026
YPR074C	0.266	-0.841	-1.399
YPR075C	-0.175	-1.026	-0.439
YPR076W	-0.098	-0.808	0.255
YPR077C	1.572	-2.157	-0.666
YPR079W	3.165	-3.518	-3.470
YPR084W	3.935	-4.410	-2.979
YPR087W	-1.194	-1.924	-5.902
YPR089W	1.390	-0.843	0.450
YPR092W	2.512	-3.031	-2.160
YPR093C	0.378	-1.095	-1.104
YPR095C	1.985	-2.831	-1.633
YPR096C	0.826	-0.326	-0.593
YPR097W	1.399	-2.279	0.138
YPR098C	1.902	-1.881	-0.880
YPR099C	-9.659	0.106	0.682
YPR100W	-0.110	1.649	3.144
YPR101W	-5.945	11.333	11.216
YJL127C	-8.458	3.768	3.995
YJL126W	2.270	-1.851	-1.306
YJL124C	1.469	-10.617	-11.061
YJL123C	-5.267	8.819	5.886
YJL122W	2.461	-2.701	-1.478
YJL120W	-3.535	4.620	0.122
YJL121C	-1.948	2.889	-3.748
YJL118W	2.659	-2.959	-2.248
YJL119C	0.704	-1.458	-1.851
YJL117W	2.243	-1.961	-1.944
YJL116C	4.395	-5.317	-4.933
YJL115W	-2.275	-10.690	-7.315
YJL112W	3.713	-3.534	-4.045
YJL110C	1.022	-2.880	-3.881
YJL108C	-0.485	0.533	-0.092
YJL107C	2.724	-3.306	-3.553
YJL106W	1.377	-1.072	-2.326
YJL102W	-2.718	3.939	5.293
YJL100W	-0.345	-0.443	-0.814
YJL099W	0.925	-0.784	-0.966
YJL098W	3.309	-3.876	-3.162
YJL096W	-0.913	1.055	2.363
YJL095W	1.246	-3.344	-5.178
YJL093C	6.004	-8.167	-7.079
YJL092W	2.608	-9.123	-11.350
YJL089W	1.529	-0.400	-1.325
YJL088W	-0.453	-0.340	-0.886
YJL084C	0.191	-2.584	-2.472
YJL083W	3.437	-3.915	-3.325
YJL082W	2.761	-6.343	-11.847
YJL080C	0.916	-6.832	-10.397
YJL079C	-0.068	-0.323	-0.772
YJL077C	2.120	-2.304	-2.391
YJL073W	1.721	-2.928	-3.457
YJL071W	1.174	-1.535	-2.219
YJL068C	7.094	-8.611	-8.484
YJL067W	3.614	-5.499	-6.067
YJL066C	3.181	-5.788	-4.581
YJL064W	1.930	-5.373	-4.353
YJL065C	0.992	-2.039	-3.127
YJL063C	4.319	-4.270	-3.314
YJL062W	1.582	-3.988	-3.375
YJL060W	2.763	-5.075	-3.712
YJL059W	2.367	-4.816	-4.287
YJL058C	0.006	-1.981	-2.520
YJL057C	5.925	-8.996	-8.469
YJL056C	-11.159	-1.884	1.717
YJL055W	-2.261	3.865	3.521
YJL053W	-2.018	2.931	3.312
YJL052W	-6.154	6.025	6.041
YJL051W	-0.680	1.022	1.450
YJL049W	-1.730	1.304	0.216
YJL048C	-3.305	4.771	4.019
YJL047C	-3.972	-1.497	-4.180
YJL046W	-11.184	11.715	10.029
YJL045W	-2.731	2.762	2.627
YJL044C	-3.776	5.251	3.588
YJL043W	-0.835	1.148	1.441
YJL038C	-0.070	1.482	1.854
YJL037W	-0.957	1.900	3.262
YJL036W	-0.442	-0.239	-0.808
YJL030W	-1.899	2.424	2.148
YEL012W	-3.587	3.298	2.167
YER031C	-0.627	2.368	3.646
YER046W	-2.243	3.076	3.231
YER063W	-0.724	1.396	2.237
YER066W	-1.230	1.894	2.138
YGR188C	-7.971	6.373	2.613
YGR201C	-1.395	1.929	2.020
YGR204W	-0.473	1.224	2.206
YHL002W	-0.648	1.356	2.131
YHL011C	-15.881	NaN	NaN
YHL039W	-0.455	0.944	1.845
YHR003C	-2.191	2.872	3.190
YHR004C	-4.217	2.998	-3.649
YHR006W	-2.453	2.225	1.087
YHR008C	-3.027	4.795	5.859
YHR009C	-2.909	4.613	5.656
YHR025W	-7.728	-5.925	-1.808
YHR026W	-5.303	6.678	2.094
YHR041C	-5.252	-3.737	-4.313
YHR059W	-0.805	1.533	0.828
YHR067W	-8.324	9.077	6.986
YHR127W	-1.428	2.322	2.842
YHR131C	-2.513	3.289	4.230
YHR180W	-0.987	2.098	3.149
YHR185C	-1.882	2.908	2.875
YHR194W	-5.503	4.071	3.149
YLL007C	-6.196	8.613	2.772
YMR154C	-0.080	-0.456	0.702
YNL274C	-1.887	2.152	2.624
YOL141W	-1.619	2.652	2.919
YOL150C	0.334	0.159	1.209
YOL158C	-0.648	1.142	1.917
YOL159C	-1.547	2.096	0.897
YOL160W	-2.281	2.965	3.292
YOL162W	-1.778	2.527	2.036
YOL163W	-0.991	2.316	3.627
YJR073C	-4.077	2.236	1.540
YJR075W	-2.318	2.074	0.101
YJR078W	-0.345	0.083	1.080
YJR079W	-1.783	2.372	2.998
YJR082C	-1.819	2.175	3.759
YJR083C	-1.366	2.131	2.909
YJR088C	-2.435	4.033	4.405
YJR092W	-0.548	1.508	1.257
YJR102C	-1.552	0.183	-1.812
YJR103W	-0.438	1.424	2.616
YJR105W	-14.230	12.432	6.565
YJR108W	-0.624	0.870	1.669
YJR110W	-1.541	1.406	2.585
YJR111C	-4.217	5.629	4.730
YJR115W	-2.225	3.298	3.928
YJR127C	-2.100	3.099	4.335
YJR128W	-1.448	3.049	3.848
YJR129C	-0.561	1.005	2.177
YJR130C	-1.031	1.947	2.368
YJR135C	-1.781	2.994	3.017
YJR137C	0.666	0.010	0.580
YJR146W	-0.971	1.784	2.326
YJR147W	-1.876	2.559	2.738
YJR149W	-1.914	2.947	3.003
YJR152W	-4.029	3.801	4.861
YJR154W	-2.914	4.128	3.768
YKR087C	-2.455	3.430	3.608
YKR088C	-2.670	3.588	4.391
YKR089C	-3.315	4.820	4.888
YKR090W	-2.307	3.597	4.089
YKR091W	-0.875	1.465	2.131
YKR092C	-2.428	4.598	5.184
YKR093W	-2.948	3.997	4.322
YKR097W	-2.724	4.268	4.863
YKR098C	-5.099	6.196	5.980
YKR099W	-2.832	4.424	4.529
YKR100C	-3.385	5.106	5.486
YKR101W	-4.988	7.662	5.854
YKR103W	-3.307	5.523	5.474
YKR104W	-4.937	5.119	4.856
YKR105C	-3.589	5.987	5.706
YLL018C-A	-6.799	6.332	6.803
YLR262C-A	2.256	-3.691	-4.027
YLR422W	0.851	-2.171	-1.863
YLR423C	-13.954	31.027	10.994
YLR425W	-1.253	1.307	0.312
YLR426W	0.267	-0.789	-2.157
YLR427W	0.106	0.048	-0.047
YLR428C	-0.680	0.083	-0.084
YLR429W	0.176	0.374	-0.160
YLR431C	-0.478	-1.011	-1.579
YLR432W	-0.994	1.076	0.346
YLR433C	0.275	-0.369	-0.438
YLR434C	1.587	-2.145	-1.924
YLR435W	-0.076	0.583	0.989
YLR436C	-0.325	-2.874	-9.255
YLR437C	1.400	-2.159	-1.718
YLR438W	-0.523	0.603	0.522
YLR441C	-2.808	4.384	3.940
YLR443W	-0.617	-0.475	-0.859
YLR444C	-0.695	0.418	-1.354
YLR445W	-1.117	1.300	1.180
YLR446W	0.236	-0.264	-0.155
YLR447C	-7.728	5.099	-0.170
YLR448W	-2.744	3.507	2.745
YLR449W	1.602	-2.698	-2.190
YLR450W	3.061	-3.192	-2.692
YLR452C	-4.899	8.567	7.949
YLR453C	-1.031	1.902	2.760
YLR454W	-0.553	0.771	0.669
YLR456W	0.938	-0.829	-0.343
YLR460C	-0.679	0.502	0.716
YLR461W	0.060	0.238	-0.143
YML009C-A	-1.974	2.117	2.102
YML021C	1.406	-1.138	-1.002
YML081C-A	-2.934	0.792	-0.410
YMR060C	-7.276	3.059	-2.317
YMR158C-A	0.293	-0.042	-0.016
YMR194C-A	-1.751	0.880	0.113
YMR326C	-1.495	0.878	0.721
YNR032C-A	0.665	-0.406	0.354
YNR050C	-0.865	-0.798	-1.176
YNR051C	-2.674	3.891	-2.544
YNR056C	0.670	-0.401	0.435
YNR057C	3.460	-3.785	-2.642
YNR058W	1.947	-1.720	-1.126
YNR059W	2.318	-2.658	-0.974
YNR060W	0.263	-0.237	0.067
YNR061C	-2.010	1.170	1.226
YNR062C	0.077	-0.722	-0.532
YNR063W	-0.498	0.608	1.611
YNR064C	-1.079	1.337	0.966
YNR065C	0.835	-1.060	-0.746
YNR066C	0.518	-1.234	-0.353
YNR067C	-0.215	-1.128	-0.741
YNR068C	0.731	-1.541	-0.786
YAL012W	-17.128	NaN	NaN
YAL047C	0.017	-1.099	-5.874
YAL054C	0.489	-0.893	-0.256
YAL056C-A	-1.773	1.543	1.431
YAR050W	0.360	-0.743	0.367
YCL006C	-0.358	0.047	1.773
YCL022C	-1.087	1.420	1.422
YCL038C	-1.407	0.571	1.695
YCL058C	-7.091	7.012	6.513
YCL074W	-0.298	-0.293	0.252
YCL075W	1.589	-2.060	-2.062
YCL076W	1.017	-2.769	-2.132
YJR069C	-1.420	0.766	0.048
YJR070C	0.897	-1.724	0.287
YJR074W	-13.431	20.160	7.781
YJR077C	-2.716	0.332	1.373
YJR080C	3.014	-3.653	-3.991
YJR084W	-1.206	-0.645	-0.601
YJR087W	1.025	-1.677	-1.007
YJR091C	0.639	-1.020	-1.554
YJR094C	0.980	-2.277	-1.977
YJR094W-A	-0.415	-0.224	-0.156
YJR095W	-0.655	-0.184	-0.701
YJR096W	-1.303	0.824	0.888
YJR097W	-2.386	2.230	1.431
YJR098C	0.781	-1.376	-1.649
YJR099W	1.844	-3.149	-3.225
YJR100C	4.054	-4.328	-4.449
YJR104C	-17.128	NaN	NaN
YJR106W	0.190	0.036	-0.900
YJR107W	-0.052	-0.329	-1.551
YJR109C	-0.346	0.808	-0.895
YJR113C	-6.314	0.688	-0.216
YJR116W	0.145	0.674	0.253
YJR117W	-0.017	0.877	0.025
YJR118C	-5.953	9.756	8.333
YJR119C	-0.105	1.591	0.019
YJR120W	-1.148	0.467	-1.204
YJR121W	0.334	0.270	-1.033
YJR122W	-12.312	34.605	25.082
YJR124C	-0.456	0.665	0.346
YJR125C	0.474	-1.188	-1.748
YJR126C	0.204	-0.469	-1.050
YJR131W	-0.729	-0.449	-1.165
YJR133W	-0.623	1.625	-0.046
YJR134C	0.868	-0.522	-2.214
YJR139C	-10.559	-2.941	1.006
YJR140C	-1.290	2.959	1.432
YJR142W	0.094	0.759	-0.286
YJR144W	-12.877	5.289	4.026
YJR145C	-0.412	0.284	-2.304
YJR148W	2.170	-2.058	-3.730
YJR150C	0.412	-0.640	-1.151
YJR153W	0.856	-1.606	-2.091
YKL005C	-0.201	-0.285	-0.734
YKL030W	0.061	1.056	0.075
YLR146C	-0.342	-0.408	-0.298
YLR343W	-0.283	0.824	-0.358
YML067C	-0.347	0.891	0.182
YML068W	-0.221	-0.325	-1.849
YML072C	-0.352	0.506	-1.120
YMR136W	-0.162	0.003	-1.209
YMR172W	0.883	0.049	-0.510
YOR300W	-1.792	2.578	0.148
YOR309C	-3.861	4.133	3.715
YDL191W	-3.014	2.985	0.853
YDL192W	-2.042	1.913	2.349
YDL197C	-0.019	-0.378	-0.533
YDL198C	-8.146	7.778	2.079
YDL199C	0.522	-1.874	-2.306
YDL200C	1.333	-2.532	-1.654
YDL201W	0.270	0.055	-0.080
YDL203C	-1.176	1.334	0.534
YDL204W	2.168	-2.651	-2.271
YDL206W	1.117	-1.400	-1.503
YDL210W	1.087	-1.408	-1.971
YDL211C	1.092	-2.311	-3.007
YDL213C	0.059	0.007	-1.000
YDL214C	0.398	-0.362	-1.316
YDL215C	-0.128	-0.130	-1.511
YDL216C	0.358	-1.742	-2.600
YDL218W	1.538	-2.073	-2.745
YDL219W	-0.108	0.045	-1.229
YDL222C	-0.266	-1.257	-2.558
YDL223C	0.169	-0.040	-0.836
YDL224C	2.465	-3.343	-3.546
