orf	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YAL002W	0.3645913822149896	-1.0579661464912151	-1.2954981303988367
YAL004W	-0.26515183153216015	0.7583041392057267	0.5300809077365906
YAL005C	-0.648371692105223	1.0417331180191203	0.6234492379914711
YAL007C	0.41570698413426743	0.12190378614878322	0.16950182812918174
YAL008W	-0.18325290252294285	0.37254798662860494	0.3295494625481725
YAL009W	0.5230040365521084	-0.30556587995724993	-0.11899453027782717
YAL010C	-4.909508032917389		
YAL011W	-0.1869661883171525	0.24210398642287106	-0.38690761596427986
YAL012W	-5.170433675006621		
YAL013W	-0.6452407597323653	0.6586938279999811	0.5071145029228019
YAL014C	-0.2564603632651066	0.2652060206912226	0.09971009652785337
YAL015C	-0.11543690732684028	0.03700437834881646	0.17097527903610096
YAL016W	-3.5796507694107347	0.05735187498986572	0.6726378021230804
YAL017W	-0.6620350809803749	0.641725996946082	0.6659371023895021
YAL018C	-0.5781699264410032	0.5021693787386804	0.8065324695535955
YAL019W	0.14110542944039187	-0.33855855156691195	-0.5393461770805538
YAL020C	0.03844841879912622	0.46519965651377804	0.42324860967314937
YAL021C	0.2163667818191496	-3.9411128652976215	-3.265715922653204
YAL022C	-0.03185353670102568	0.499959641612386	0.2656559952518922
YAL023C	-1.0936403704435844	1.1721632354431253	1.161686021263208
YAL024C	-0.38619367706684726	-0.2503110709083422	-1.3677021783228553
YAL026C	0.005817841609200675	-0.06127463643197131	-0.5579706699939027
YAL027W	0.09623916853733702	0.09992932327449547	0.20717781900485752
YAL028W	-0.11339553941973682	0.026788185060863702	0.150996610499984
YAL029C	-0.5336543299637093	0.7670930380329032	1.158995379431865
YAL030W	-0.40320090171621137	0.6566612659388261	0.7667977494416071
YAL031C	0.13669081479466152	0.2705616493418847	0.38781598026658626
YAL034C	-0.38514168378956687	0.5216340305785898	0.22008486743011055
YAL035W	-4.678752055173015		
YAL036C	0.29201636981214335	0.2777018214912694	0.37777795079502213
YAL037W	0.23919754068203014	0.4309253764251604	0.18305949049124962
YAL039C	-1.629223924009405	0.6961674137093904	0.9590395344272666
YAL040C	-0.12285721705051379	0.33934206075907664	0.24811269205265535
YAL042C-A	-0.32737598151033825	0.6159731166411202	0.7042857688650737
YAL042W	-0.37579898158895875	0.6890400091594869	1.3144953620397692
YAL044C	-1.8156396374893655	1.7482415969213876	1.879769919563762
YAL045C	-0.12642021809082585	0.36194063762093326	0.28923640035255505
YAL046C	-0.34842837078543487	0.4858220762874056	0.5805945593421216
YAL047C	0.11669668066159068	-0.3813101540639531	-2.0190107398103616
YAL048C	-2.0587753218360194	2.883726306771243	3.4792943399077187
YAL049C	-0.05331294718459353	0.3562374433401439	0.14735161249795306
YAL051W	-0.27746265762223743	0.5786731043627487	0.35074178045237026
YAL053W	0.4330085164266809	0.06782665778139957	-0.0780334113029984
YAL054C	0.2621034419218586	-0.32395361062717315	-0.28761842442273305
YAL055W	-0.2728476633046449	0.9438931696481259	0.3305283617959601
YAL056C-A	-0.4353994102386822	0.35620956763426254	0.23240395433795646
YAL056W	-0.4263948487343428	1.1570681559683516	0.7971362799748022
YAL058W	-0.02954290860985622	0.42469648528770754	0.6561493345406587
YAL059W	-0.5512000749812046	0.5047240508957138	-0.38496290680925965
YAL060W	-0.297369125648868	0.6867280972800438	0.5772512562899169
YAL061W	-0.41023923769039583	0.7486183331656734	0.5893893560646072
YAL062W	-0.6756421130728156	1.1757099181200097	0.9773233615010846
YAL064C-A	0.25783285016528057	-0.11290143693005557	-0.257357026469475
YAL065C	-0.15284528731774655	0.45223427075744765	0.41272189142660465
YAL066W	-0.5192207317248342	0.9364486672019916	0.9738363233736266
YAL067C	-0.41692064737407464	0.4353450012876212	0.4257437934397194
YAL068C	-0.15627052733365326	0.7286728248111513	0.4566231682995367
YAR002C-A	-0.5749388042322139	0.7421707359519615	0.5946575745605246
YAR002W	-0.6999757194746672	0.3080724025448353	-0.9136921168673254
YAR014C	-0.753132689301049	1.3746053904283666	2.1133122433660065
YAR015W	-0.15792365962652244	-0.1100772344660634	0.1781962814373659
YAR018C	-0.1011598557066081	0.41865441148774923	1.030225192309835
YAR020C	-0.1087492357784156	0.06954892907069841	0.2226361191093561
YAR023C	0.028235317398864018	0.04745479944234108	0.15936797724800514
YAR027W	0.061210297149803486	0.2844690178251201	0.29872744933955214
YAR028W	0.26924822959672023	-0.006722941643812321	0.09393878765236068
YAR029W	-0.3969766081589695	0.1225660896727968	-0.3249614139425053
YAR030C	0.03855487049980344	0.33302897819310406	0.2704473040136378
YAR031W	0.07604465473240346	0.13727195703487236	0.24749722734720353
YAR035W	-0.06484730204620215	0.2469611700369708	0.4230962403280523
YAR042W	-0.08351392085318099	0.0004597265140773512	0.2748226416312203
YAR047C	-0.7757693303568115	0.6684780166492514	0.29324133797107277
YAR050W	0.2224908855404601	-0.2820301055122921	-0.09554112140048505
YBL001C	0.1231088301612047	-0.13073800379871692	-0.6592792874034591
YBL002W	-0.09806649452222473	0.3290283821646474	0.9525705402724159
YBL003C	-0.038916920134192394	0.0934227968058485	0.14477623641020856
YBL005W	0.22086280070657374	-0.0833873609782901	-0.026529235402256417
YBL006C	-0.0714159981644579	-0.011979917762231972	-1.260828420549159
YBL007C	0.0941664913065054	-0.6665679059602684	-2.598106606524955
YBL008W	-0.09075263649922843	-0.19106870954365426	-0.01991226754604601
YBL009W	0.05460402984307261	-0.2493628635956142	-0.13005740987404643
YBL010C	0.09690292620038372	0.18276811059545073	0.2855344786154395
YBL011W	-0.08142871989285794	0.16483911381206334	0.06821353799736744
YBL012C	-1.109846076405497	0.6094382540085674	-0.9837268864469227
YBL013W	0.019806847451129917	-0.25061890053905983	-0.17080124920355838
YBL015W	0.4215555658067661	-0.8484816899770692	-0.9072104561032595
YBL016W	-0.36582383104903327	0.4451898945380749	0.3591126856489668
YBL017C	0.5235863899734601	-0.8792770392992418	-0.887016118896301
YBL019W	0.47277761942672225	-0.7765198504163054	-0.7903951814486294
YBL021C	-1.0692942403122412	0.20169174566312778	0.6056462111309964
YBL022C	-2.134988477656127	1.1003186772219615	0.0019672776393582217
YBL024W	0.8240744935261262	-0.9058703051412292	-2.667323975088734
YBL025W	-5.119380691734801		
YBL027W	-0.15608267139128168	-0.6769721841499493	-0.3169629302728567
YBL028C	0.19945974700571684	-0.379145819015756	-0.41412687906660095
YBL029W	0.34269364119922174	-0.46524624339358844	-0.32287993144946425
YBL031W	-0.2622463262901478	-0.05364112619674071	-0.13944145087199342
YBL032W	-0.12668321641014593	-0.009985618194208196	-0.007412167428663414
YBL033C	-2.916876219129934	-0.505155164755589	-0.13779451483732202
YBL036C	0.40450450810418215	-0.6696445966995271	-0.6046608901426582
YBL037W	0.62169102494459	-0.8234961341361738	-0.947027305846963
