orf	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | temperature [42 C], time [30 min] | unknown | Hill SM~Nystrom T, 2016
YAL002W	3.021736675546909
YAL004W	1.9659066411799428
YAL005C	1.5198580212725015
YAL007C	-0.0028782975681424703
YAL008W	-1.0580455642217559
YAL011W	-0.003752315658325051
YAL013W	0.15318172299570537
YAL014C	1.8751276913975212
YAL015C	1.0358310651286906
YAL017W	0.7654854900875347
YAL018C	0.8097002432104775
YAL019W	0.3310742927630094
YAL020C	0.4988341063907874
YAL022C	0.6140611465851771
YAL023C	1.0577438648722666
YAL024C	-0.558492423343637
YAL026C	-0.060550291764290894
YAL027W	0.21021021834729453
YAL028W	-0.3804696879958946
YAL029C	0.9211149981844844
YAL030W	-0.11031732641431892
YAL031C	0.52441179147701
YAL034C	-0.7513378085533634
YAL036C	1.5142490196834892
YAL037W	-0.3954185845747761
YAL040C	-0.9213693291298402
YAL042C-A	0.7210770356611969
YAL042W	0.08117308301164676
YAL045C	-0.17479382106921393
YAL046C	0.08221111417738514
YAL048C	-0.1401649713383756
YAL049C	-0.38677939141670437
YAL051W	0.9365263831841624
YAL053W	0.17643951304034244
YAL054C	-0.10111308409316745
YAL055W	-0.2744611286692945
YAL056C-A	0.3108524112724923
YAL056W	0.7480783558210347
YAL058W	0.8438431955218721
YAL059W	0.2619493274055209
YAL060W	-0.8862614303034972
YAL061W	-1.1578430611457697
YAL062W	-0.7066318193441332
YAL064C-A	-0.2734857038239328
YAL065C	0.08094107471889869
YAL066W	1.1414852600610201
YAL067C	-1.1718337642650054
YAL068C	-0.7518201513540876
YAR002C-A	-0.872501142749206
YAR002W	-0.2435791694542992
YAR003W	-0.03371455647969635
YAR014C	-1.766839942470662
YAR015W	-2.0512383139219663
YAR018C	-0.609258853473222
YAR020C	-0.3720816096815191
YAR023C	-0.010053914941881476
YAR027W	0.16113273779796805
YAR028W	0.8730646655618405
YAR029W	0.3080893604731803
YAR030C	-0.20312074543600034
YAR031W	-1.81097126359577
YAR035W	-0.4468890548085659
YAR042W	-0.5362055575604229
YAR047C	-0.19626012895666356
YAR050W	-1.0008397779363984
YBL001C	-0.1508952881499961
YBL003C	-0.35166809116892855
YBL005W	-2.74300055025331
YBL007C	1.9691788827480292
YBL008W	-0.9086059413837574
YBL009W	-1.8034907850813109
YBL010C	-0.9704773890175415
YBL013W	-1.1640092468910372
YBL015W	-2.592884272601617
YBL017C	0.43975247446340093
YBL019W	0.5129080307520224
YBL021C	-0.7388509840226135
YBL024W	0.38410196334644037
YBL027W	1.29979192256594
YBL028C	-0.10710878359358894
YBL029W	0.354759720216421
YBL031W	1.4920496633252232
YBL032W	-0.7134361552475448
YBL036C	-0.3617664223067086
YBL037W	-0.3806434974309747
YBL039C	-0.3330709754730976
YBL042C	0.8305000391974824
YBL043W	0.534082471961143
YBL046W	-0.14489668985100174
YBL047C	0.6449734437200485
YBL048W	-0.3833178511134777
YBL049W	-0.5103775624969559
YBL051C	-0.12203127546346003
YBL053W	0.5410830788860798
YBL054W	-0.7391817424782315
YBL055C	-0.7343432322966654
YBL056W	-0.9881720593539423
