ORF	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | transient heat shock (42° [30 min]) | Hill SM~Nystroem T, 2016
YEL053C	1.028
YNL296W	1.028
YDR252W	1.028
YOR015W	1.028
YDR209C	1.028
YIL168W	1.028
YLL038C	1.028
YIL096C	1.028
YIL056W	1.028
YMR303C	1.028
YIL032C	1.028
YMR255W	1.028
YOR047C	1.028
YOR001W	1.028
YAR037W	1.027
YBR299W	1.027
YDL133C-A	1.023
YLR380W	1.027
YPL090C	1.027
YBR084C-A	1.027
YDL078C	1.027
YOR382W	1.027
YJL205C	1.027
YKL216W	1.027
YGR268C	1.027
YPL015C	1.027
YJL027C	1.027
YPL256C	1.027
YDR097C	1.027
YML057W	1.027
YGL071W	1.027
YER166W	1.027
YPR156C	1.027
YPL116W	1.026
YLR034C	1.026
YHL029C	1.026
YOR034C	1.026
YOR202W	1.026
YLR252W	1.026
YGR234W	1.026
YKL064W	1.026
YFL053W	1.026
YMR326C	1.026
YOR041C	1.026
YDR090C	1.026
YMR173W-A	1.026
YMR178W	1.026
YOL112W	1.026
YPL203W	1.025
YLR128W	1.025
YIL016W	1.025
YOR276W	1.025
YMR114C	1.025
YOL159C	1.025
YER131W	1.025
YOR083W	1.024
YOR065W	1.024
YMR144W	1.024
YDR333C	1.024
YIL173W	1.024
YJL183W	1.024
YBR125C	1.024
YDL122W	1.024
YDL188C	1.024
YOR285W	1.024
YNL063W	1.024
YLR385C	1.024
YOL126C	1.024
YOR051C	1.023
YGL094C	1.023
YJL170C	1.023
YHR037W	1.023
YNL092W	1.023
YPL177C	1.023
YGL249W	1.023
YOL087C	1.023
YML121W	1.023
YER118C	1.023
YAL027W	1.023
YLR181C	1.023
YOL163W	1.023
YDR161W	1.023
YDR391C	1.023
YPL244C	1.023
YBR203W	1.023
YNL323W	1.023
YKL070W	1.023
YGR086C	1.022
YPL149W	1.022
YIL137C	1.022
YIR039C	1.022
YJL121C	1.022
YHR092C	1.022
YPR198W	1.022
YMR044W	1.022
YKL015W	1.022
YDR428C	1.022
YJL201W	1.022
YJL172W	1.022
YNL040W	1.022
YDR488C	1.022
YDR242W	1.022
YMR194C-A	1.022
YLR257W	1.021
YMR088C	1.021
YIL124W	1.021
YMR206W	1.021
YDR185C	1.021
YFL055W	1.021
YJR152W	1.021
YNR045W	1.021
YOR320C	1.021
YOR222W	1.021
YMR027W	1.021
YLR374C	1.021
YNL191W	1.020
YJR005W	1.020
YML101C	1.020
YOR179C	1.020
YLL025W	1.020
YMR276W	1.020
YER129W	1.020
YDR501W	1.020
YJL079C	1.020
YNL192W	1.020
YCL040W	1.020
YBL062W	1.020
YLR217W	1.020
YDR289C	1.019
YOR064C	1.019
YHL021C	1.019
YHR061C	1.019
YDL213C	1.019
YNL052W	1.019
YOR251C	1.019
YBR053C	1.018
YDR541C	1.018
YML116W	1.018
YER158C	1.018
YNL204C	1.018
YBR162C	1.018
YKL093W	1.018
YAL053W	1.018
YNL099C	1.018
YNL043C	1.018
YOL011W	1.018
YJR036C	1.018
YLR437C	1.018
YLR019W	1.017
YOR327C	1.017
YNL170W	1.017
YGR213C	1.017
YLR214W	1.017
YBR104W	1.017
YDL178W	1.017
YNL294C	1.017
YDR504C	1.017
YMR164C	1.017
YOR229W	1.017
YLR006C	1.017
YHR094C	1.017
YBR054W	1.017
YGL067W	1.017
YNL187W	1.016
YGR044C	1.016
YDR419W	1.016
YGL231C	1.016
YJL049W	1.016
YDR275W	1.016
YIL153W	1.016
YML057C-A	1.016
YHR110W	1.016
YGL131C	1.016
YJR092W	1.016
YAR027W	1.016
YDL203C	1.015
YDR514C	1.015
YMR135C	1.015
YBL100C	1.015
YOL046C	1.015
YLR028C	1.015
YLR351C	1.015
YMR138W	1.015
YNL168C	1.015
YPR018W	1.014
YBR219C	1.014
YGR129W	1.014
YKR055W	1.014
YBR213W	1.014
YAL013W	1.014
YLR017W	1.014
YNL045W	1.014
YER074W	1.014
YGR121C	1.014
YMR040W	1.014
YGL236C	1.013
YOR092W	1.013
YDR095C	1.013
YJL137C	1.013
YJL073W	1.013
YHR093W	1.013
YJL150W	1.013
YKL156W	1.012
YDL129W	1.012
YHR142W	1.012
YJL187C	1.012
YLR335W	1.012
YBR056W	1.012
YGL060W	1.012
YDR363W-A	1.012
YJR061W	1.012
YIL161W	1.011
YGR214W	1.011
YDR348C	1.011
YLR377C	1.011
YGR256W	1.011
YDR539W	1.011
YGL115W	1.011
YNL230C	1.011
YLR237W	1.011
YMR111C	1.011
YGR039W	1.011
YDR402C	1.011
YPR147C	1.011
YNL195C	1.010
YIL058W	1.010
YLR032W	1.010
YER060W	1.010
YMR165C	1.010
YPR065W	1.010
YNL116W	1.010
YKR056W	1.010
YNR056C	1.010
YOR049C	1.010
YMR110C	1.010
YLL041C	1.010
YGL203C	1.010
YML102W	1.010
YBR180W	1.010
YLR407W	1.010
YNL001W	1.010
YIL050W	1.010
YMR316C-B	1.010
YHL036W	1.010
YBR228W	1.010
YMR253C	1.009
YNL223W	1.009
YBR093C	1.009
YLR219W	1.009
YMR285C	1.009
YMR302C	1.009
YOR072W	1.009
YLR233C	1.009
YPR061C	1.008
YBR148W	1.008
YOR100C	1.008
YKL107W	1.008
YNR014W	1.008
YNL203C	1.008
YPR070W	1.008
YDR497C	1.008
YMR169C	1.008
YER182W	1.008
YNL169C	1.008
YHL044W	1.007
YGL138C	1.007
YPL035C	1.007
YKL190W	1.007
YHR140W	1.007
YML054C	1.007
YBR101C	1.007
YDR520C	1.007
YMR116C	1.007
YIL092W	1.007
YMR316W	1.007
YLR231C	1.007
YBR129C	1.006
YGR087C	1.006
YHR108W	1.006
YOL007C	1.006
YGR010W	1.006
YNL057W	1.006
YFR035C	1.006
YMR237W	1.006
YJL060W	1.006
YNL079C	1.006
YMR055C	1.005
YIL041W	1.005
YER032W	1.005
YDR385W	1.005
YNL153C	1.005
YHR073W	1.005
YIL113W	1.005
YOL107W	1.005
YIL066C	1.005
YNR006W	1.005
YPR174C	1.005
YFL010C	1.005
YLL054C	1.004
YLR120C	1.004
YOR093C	1.004
YGL089C	1.004
YLR353W	1.004
YPL272C	1.004
YML117W	1.004
YJL016W	0.989
YGR107W	1.004
YLR273C	1.004
YER114C	1.004
YGR146C	1.004
YLR365W	1.004
YDL018C	1.004
YAL046C	1.003
YBR008C	1.003
YAL042W	1.003
YNL015W	1.003
YAL065C	1.003
YNL146W	1.003
YMR322C	1.003
YHR139C	1.003
YPL066W	1.003
YDL197C	1.003
YHR127W	1.003
YPR062W	1.003
YGR269W	1.002
YLR311C	1.002
YOR185C	1.002
YLR213C	1.002
YCR031C	1.002
YNL098C	1.002
YFL041W	1.002
YDL171C	1.002
YGR229C	1.002
YOR347C	1.002
YJR098C	1.002
YMR147W	1.002
YKL044W	1.002
YDL229W	1.002
YJL055W	1.002
YJL057C	1.002
YGL213C	1.001
YHR143W	1.001
YJR135C	1.001
YDR261C	1.001
YPR023C	1.001
YHR114W	1.001
YPL060W	1.001
YDL194W	1.001
YGR286C	1.001
YPR002W	1.001
YDR399W	1.001
YOR175C	1.001
YKL211C	1.001
YIR025W	1.001
YLR265C	1.001
YGR244C	1.000
YJR079W	1.000
YMR300C	1.000
YNL215W	1.000
YOR344C	1.000
YGR033C	1.000
YCR021C	1.000
YOR209C	1.000
YGL108C	1.000
YBR067C	1.000
YER132C	1.000
YER048C	1.000
YMR190C	1.000
YML059C	1.000
YPR028W	1.000
YMR297W	1.000
YLR169W	1.000
YEL010W	1.000
YDR409W	1.000
YLR389C	1.000
YMR096W	0.999
YGR247W	0.999
YNL270C	0.999
YNL107W	0.999
YOR280C	0.999
YIL098C	0.999
YLL052C	0.999
YDR218C	0.999
YOR357C	0.999
YIL160C	0.999
YLR348C	0.998
YNL164C	0.998
YER053C	0.998
YDR107C	0.998
YIL070C	0.998
YOR243C	0.998
YDR435C	0.998
YPL048W	0.998
YIL028W	0.998
YMR233W	0.998
YLR387C	0.997
YDR436W	0.997
YDR346C	0.997
YOR153W	0.997
YDR010C	0.997
YGR012W	0.997
YNR013C	0.997
YMR031C	0.997
YPL273W	0.997
YLR247C	0.997
YKL188C	0.997
YIL017C	0.997
YGL258W	0.996
YMR003W	0.996
YBR019C	0.996
YNL218W	0.996
YMR156C	0.996
YLL032C	0.996
YNR022C	0.996
YER080W	0.996
YBR170C	0.996
YMR306W	0.996
YMR254C	0.996
YHR132W-A	0.996
YBR114W	0.995
YIL012W	0.995
YHL026C	0.995
YLR227C	0.995
YKR031C	0.995
YIR017C	0.995
YER085C	0.995
YPR153W	0.995
YBR214W	0.995
YJL023C	0.995
YKR033C	0.995
YIR013C	0.995
YGR184C	0.995
YCL033C	0.994
YHR155W	0.994
YLR327C	0.994
YDR426C	0.994
YMR243C	0.994
YIL038C	0.994
YNL205C	0.994
YLL028W	0.994
YPR092W	0.994
YPR030W	0.994
YMR101C	0.994
YLR444C	0.994
YDR320C	0.994
YNL030W	0.993
YDR120C	0.993
YOL121C	0.993
YDL046W	0.993
YNL087W	0.993
YIR004W	0.993
YJL190C	0.993
YDR304C	0.993
YIL093C	0.993
YHR135C	0.993
YLR041W	0.992
YOR023C	0.992
YNL020C	0.992
YJL128C	0.992
YMR023C	0.992
YDR378C	0.992
YNL211C	0.992
YDL091C	0.992
YPL270W	0.992
YIL052C	0.992
YIL170W	0.992
YBR090C	0.992
YOL103W	0.992
YLR136C	0.992
YHR133C	0.992
YDL176W	0.992
YDR477W	0.991
YHR136C	0.991
YIR032C	0.991
YER184C	0.991
YNL097C	0.991
YJL066C	0.991
YDL191W	0.991
YDR046C	0.991
YLR154C	0.991
YPL208W	0.990
YAL007C	0.990
YFL050C	0.990
YAL011W	0.990
YMR145C	0.990
YLR344W	0.990
YDR533C	0.990
YMR135W-A	0.990
YPL110C	0.990
YER186C	0.990
YDR217C	0.990
YHR157W	0.990
YIL054W	0.990
YGL254W	0.990
YBR083W	0.990
YNL024C	0.989
YLR285W	0.989
YAR023C	0.989
YMR105C	0.989
YMR186W	0.989
YJR026W	0.989
YGR181W	0.989
YER064C	0.989
YMR304W	0.989
YDR139C	0.989
YBR020W	0.989
YDR469W	0.988
YDR061W	0.988
YPR004C	0.988
YPL258C	0.988
YPR188C	0.988
YIL105C	0.988
YDR001C	0.988
YKL062W	0.988
YNL046W	0.988
YNL134C	0.988
YHR032W	0.988
YOR061W	0.988
YAR042W	0.909
YCR020C	0.987
YBR235W	0.987
YHR125W	0.987
YDL226C	0.987
YNL278W	0.987
YIL119C	0.987
YMR153C-A	0.987
YBL061C	0.987
YIR019C	0.986
YER098W	0.986
YBR176W	0.986
YMR271C	0.986
YDR184C	0.986
YJL051W	0.986
YAR003W	0.986
YJL208C	0.986
YPR021C	0.986
YGL117W	0.985
YDR291W	0.985
YPL111W	0.985
YPL274W	0.985
YNR018W	0.985
YHR129C	0.985
YMR019W	0.985
YPL054W	0.985
YGL157W	0.985
YDR251W	0.985
YMR230W	0.985
YLR345W	0.985
YOR025W	0.985
YMR299C	0.985
YJR010W	0.984
YLR289W	0.984
YHR115C	0.984
YGR233C	0.984
YLR415C	0.984
YHR104W	0.984
YDR215C	0.984
YPR005C	0.984
YJL078C	0.984
YGR137W	0.983
YPR150W	0.983
YNL154C	0.983
YDR111C	0.983
YLR287C-A	0.983
YIR042C	0.983
YOR247W	0.983
YLR224W	0.983
YOL025W	0.983
YOR090C	0.983
YFR014C	0.983
YCL056C	0.983
YCR017C	0.983
YGL109W	0.983
YPR027C	0.983
YPR051W	0.983
YHL027W	0.983
YMR080C	0.983
YOL128C	0.983
YDR278C	0.983
YBL096C	0.982
YPL037C	0.982
YHR138C	0.982
YDR186C	0.982
YDL085W	0.982
YDL233W	0.982
YBR012C	0.982
YDR282C	0.982
YGR100W	0.982
YHR154W	0.982
YKL038W	0.982
YHR077C	0.982
YOR053W	0.982
YPL184C	0.982
YAL026C	0.982
YJL083W	0.982
YNL339C	0.981
YPR097W	0.981
YDR030C	0.981
YMR181C	0.981
YMR174C	0.981
YNL327W	0.981
YFR030W	0.981
YIR036C	0.981
YGR226C	0.981
YJL123C	0.980
YDL130W-A	0.980
YIR029W	0.980
YGR217W	0.980
YOR134W	0.980
YPL267W	0.980
YIL025C	0.980
YHR152W	0.980
YNL094W	0.980
YOR339C	0.980
YDR009W	0.979
YDL219W	0.979
YDR181C	0.979
YOR354C	0.979
YJL038C	0.979
YNL115C	0.979
YHL002W	0.979
YNL074C	0.979
YPL099C	0.978
YLR429W	0.978
YGL198W	0.978
YGL049C	0.978
YDL024C	0.978
YJL036W	0.978
YDR524C	0.978
YBR209W	0.978
YNL315C	0.978
YLR266C	0.978
YOR255W	0.978
YHR079C-A	0.977
YIL152W	0.977
YNL237W	0.977
YKL131W	0.977
YGR205W	0.977
YDR206W	0.977
YDL211C	0.977
YPL212C	0.977
YLR267W	0.977
YPR167C	0.977
YMR238W	0.976
YEL001C	0.976
YHL028W	0.976
YIL060W	0.976
YDL201W	0.976
YBR111C	0.975
YOR225W	0.975
YAL054C	0.975
YLR112W	0.975
YIL166C	0.975
YPR058W	0.975
YLR225C	0.975
YIL154C	0.975
YIR030C	0.975
YLR373C	0.975
YAR040C	0.975
YJL067W	0.975
YOL088C	0.975
YBR141C	0.975
YDL185W	0.975
YMR171C	0.975
YBL028C	0.974
YPR073C	0.974
YHR139C-A	0.974
YMR284W	0.974
YDL054C	0.974
YAL030W	0.974
YPL166W	0.974
YIL053W	0.974
YPR031W	0.974
YBL088C	0.974
YHR025W	0.974
YHR050W	0.974
YIL074C	0.974
YJL100W	0.973
YDR056C	0.973
YHR130C	0.973
YHR075C	0.973
YLR087C	0.973
YBR230C	0.973
YNL095C	0.972
YLR250W	0.972
YBR084W	0.972
YER124C	0.972
YBL051C	0.972
YNR028W	0.972
YKL114C	0.972
YDR011W	0.972
YNL085W	0.972
YPL249C	0.972
YHR113W	0.972
YJL199C	0.972
YIL133C	0.971
YOR166C	0.971
YGL241W	0.971
YDL184C	0.971
YJR106W	0.971
YNL130C	0.971
YLL055W	0.971
YDL234C	0.971
YNL322C	0.971
YPR127W	0.970
YBR064W	0.970
YOL050C	0.970
YIR031C	0.970
YLR420W	0.970
YMR132C	0.970
YJR001W	0.970
YJL043W	0.970
YBR144C	0.970
YNL125C	0.970
YIR014W	0.969
YEL043W	0.969
YAL048C	0.969
YMR283C	0.969
YBL081W	0.969
YER097W	0.969
YOR265W	0.969
YDR379W	0.969
YFR048W	0.969
YJL153C	0.969
YPR200C	0.969
YGR249W	0.969
YLR206W	0.969
YPL107W	0.969
YBL046W	0.969
YDL189W	0.969
YOR352W	0.969
YPR140W	0.969
YPL192C	0.968
YIR033W	0.968
YHR017W	0.968
YPR121W	0.968
YGR281W	0.968
YGR239C	0.968
YBL001C	0.968
YDL051W	0.968
YDL083C	0.968
YGR151C	0.968
YOR076C	0.968
YOR139C	0.967
YKL050C	0.967
YMR086C-A	0.967
YLR283W	0.967
YOL124C	0.967
YCR020C-A	0.967
YJL131C	0.967
YDR135C	0.967
YDL206W	0.967
YER079W	0.967
YMR316C-A	0.967
YLR354C	0.967
YJL141C	0.967
YHR126C	0.966
YJR095W	0.966
YKL220C	0.966
YKR042W	0.966
YIL045W	0.966
YJL185C	0.966
YNL031C	0.966
YMR241W	0.966
YHR035W	0.966
YJR058C	0.966
YGL263W	0.966
YNR021W	0.966
YER177W	0.966
YJL028W	0.966
YML081C-A	0.966
YOR162C	0.965
YPL187W	0.965
YDR314C	0.965
YMR172C-A	0.965
YHR106W	0.965
YDR336W	0.965
YDR132C	0.965
YBL082C	0.965
YHR195W	0.965
YPR050C	0.965
YHR112C	0.965
YDR035W	0.965
YER156C	0.965
YLR392C	0.965
YFR024C-A	0.897
YLR329W	0.964
YKR010C	0.964
YNL143C	0.964
YMR226C	0.964
YAL045C	0.964
YNL101W	0.964
YIL107C	0.964
YDR214W	0.964
YLR179C	0.964
YGR263C	0.963
YBR065C	0.963
YOR374W	0.963
YNL128W	0.963
YBR023C	0.963
YGL086W	0.963
YJR091C	0.963
YOL098C	0.963
YOR085W	0.963
YOR115C	0.963
YDL200C	0.963
YJL059W	0.963
YGL153W	0.963
YBR217W	0.963
YDR130C	0.963
YIL155C	0.963
YNL013C	0.963
YHL045W	0.963
YMR085W	0.963
YHR153C	0.962
YMR244C-A	0.962
YER096W	0.962
YJL053W	0.962
YBR149W	0.962
YHR156C	0.962
YJL142C	0.962
YER101C	0.962
YDR103W	0.962
YPL072W	0.962
YJL012C	0.962
YER007C-A	0.961
YHL041W	0.961
YBL085W	0.961
YNL156C	0.961
YPL156C	0.961
YDR203W	0.961
YEL052W	0.961
YDR205W	0.961
YDR269C	0.961
YOR273C	0.961
YGR182C	0.961
YHL022C	0.961
YAR047C	0.961
YPR192W	0.961
YBR063C	0.961
YLR146C	0.961
YGR189C	0.960
YDR112W	0.960
YPR026W	0.960
YNR064C	0.960
YNL129W	0.960
YER134C	0.960
YBL089W	0.960
YAR030C	0.960
YGR152C	0.960
YNL145W	0.960
YNL122C	0.960
YGR194C	0.960
YLR054C	0.959
YJR024C	0.959
YML076C	0.959
YKL066W	0.959
YMR010W	0.959
YIR009W	0.959
YDL240W	0.959
YDR032C	0.959
YGL222C	0.959
YGR202C	0.959
YPL114W	0.959
YLR278C	0.959
YNL054W	0.958
YKR016W	0.958
YCL034W	0.958
YMR052W	0.958
YPR125W	0.958
YLR246W	0.958
YDL186W	0.958
YDR380W	0.958
YIR038C	0.957
YGR052W	0.957
YGR176W	0.957
YMR137C	0.957
YER067W	0.957
YPR046W	0.957
YGL013C	0.957
YBR182C	0.957
YDR019C	0.957
YJL022W	0.957
YNL069C	0.957
YER052C	0.957
YCR107W	0.957
YCL051W	0.957
YBL078C	0.957
YPR012W	0.956
YHL019C	0.956
YER073W	0.956
YPR075C	0.956
YMR063W	0.956
YDR148C	0.956
YFL049W	0.956
YPR059C	0.956
YML009C	0.956
YDR018C	0.956
YLR299W	0.956
YFL063W	0.956
YDR463W	0.956
YBR072W	0.956
YPL264C	0.956
YHR079C	0.955
YLR126C	0.955
YIR020W-A	0.955
YOR120W	0.955
YHR150W	0.955
YCR015C	0.955
YHR146W	0.955
YEL038W	0.955
YPR008W	0.955
YDR262W	0.955
YBR018C	0.955
YDR093W	0.955
YGR199W	0.954
YIL117C	0.954
YNL091W	0.954
YOR030W	0.954
YGR231C	0.954
YKR011C	0.954
YDR022C	0.954
YGR068C	0.954
YNL093W	0.954
YBR146W	0.954
YAR002W	0.954
YGL221C	0.954
YGR238C	0.954
YLL056C	0.954
YPR197C	0.954
YDR511W	0.953
YBL075C	0.953
YGR275W	0.953
YLR014C	0.953
YNR020C	0.953
YKR094C	0.953
YNR034W	0.953
YPL269W	0.953
YDR326C	0.953
YLR248W	0.953
YFL019C	0.952
YOR226C	0.952
YOR208W	0.952
YLR090W	0.952
YDR492W	0.952
YGR093W	0.952
YGR170W	0.952
YGR173W	0.952
YPL253C	0.952
YIL071C	0.952
YOL147C	0.952
YDL183C	0.952
YLR151C	0.952
YIL140W	0.952
YER130C	0.952
YBR222C	0.952
YGR125W	0.952
YOR161C	0.952
YDR104C	0.951
YPL123C	0.951
YGR197C	0.951
YOR082C	0.951
YOR378W	0.951
YGR111W	0.951
YIR035C	0.951
YER081W	0.951
YGR079W	0.951
YNL234W	0.950
YOR155C	0.950
YMR102C	0.950
YHR039C	0.950
YBR164C	0.950
YIL112W	0.950
YDR179C	0.950
YNL078W	0.950
YPR095C	0.950
YMR256C	0.950
YOR284W	0.949
YGL260W	0.949
YLR290C	0.949
YJL092W	0.949
YBR260C	0.949
YAL064C-A	0.949
YER031C	0.949
YLR180W	0.949
YAL055W	0.949
YIR024C	0.949
YFR018C	0.949
YNL165W	0.949
YMR139W	0.948
YML101C-A	0.948
YLL047W	0.948
YHL046C	0.948
YIR027C	0.948
YJL070C	0.947
YOR131C	0.947
YLL013C	0.947
YLR133W	0.947
YAR043C	0.947
YKR072C	0.947
YIL110W	0.947
YFL033C	0.947
YCR050C	0.947
YBR226C	0.947
YKL151C	0.947
YMR313C	0.947
YOR067C	0.947
YBR107C	0.947
YOR239W	0.936
YOR292C	0.946
YDR094W	0.946
YDR439W	0.946
YJL024C	0.946
YNL070W	0.946
YKL214C	0.946
YER004W	0.946
YDL065C	0.945
YJL042W	0.945
YIL086C	0.945
YMR160W	0.945
YMR119W	0.945
YFR055W	0.945
YHL008C	0.945
YFR040W	0.945
YDR290W	0.945
YDR446W	0.945
YHR030C	0.945
YPL179W	0.944
YGL243W	0.944
YDR349C	0.944
YDL174C	0.944
YDL215C	0.944
YER065C	0.944
YGL101W	0.944
YDL157C	0.944
YHR082C	0.944
YGR287C	0.944
YKR104W	0.944
YIL156W	0.944
YGR248W	0.944
YDR277C	0.944
YDR452W	0.943
YOL113W	0.943
YML116W-A	0.943
YDR169C	0.943
YDR057W	0.943
YDR051C	0.943
YGL217C	0.943
YMR052C-A	0.943
YNL298W	0.943
YOR351C	0.943
YNL212W	0.943
YOR296W	0.943
YCR051W	0.943
YGR049W	0.943
YOR228C	0.942
YGR130C	0.942
YDR157W	0.942
YGR132C	0.942
YDR421W	0.942
YMR264W	0.942
YDR319C	0.942
YMR073C	0.942
YBR094W	0.942
YPR015C	0.942
YGL087C	0.942
YHR078W	0.941
YOR037W	0.941
YDR122W	0.941
YDR031W	0.941
YBL059W	0.941
YBR206W	0.941
YBR161W	0.940
YPL021W	0.940
YKR012C	0.940
YGR067C	0.940
YGL180W	0.940
YLR312C	0.940
YNL194C	0.940
YBL039C	0.940
YDL080C	0.940
YJR003C	0.940
YBR240C	0.940
YGR212W	0.940
YLR435W	0.939
YOL122C	0.939
YLR413W	0.939
YHL010C	0.939
YGR250C	0.939
YGL160W	0.939
YML019W	0.938
YPL227C	0.938
YIL123W	0.938
YDR506C	0.938
YOR070C	0.938
YGR023W	0.938
YMR025W	0.938
YKR020W	0.938
YIR002C	0.938
YDR503C	0.938
YNR007C	0.938
YMR318C	0.937
YLR130C	0.937
YGR279C	0.937
YLL059C	0.937
YBL003C	0.937
YNL109W	0.937
YPR106W	0.936
YER128W	0.936
YBR089C-A	0.936
YLR143W	0.936
YGR196C	0.936
YOR055W	0.936
YBR051W	0.936
YKR093W	0.936
YFL025C	0.936
YOR286W	0.936
YGR224W	0.936
YER033C	0.936
YOL101C	0.936
YBL060W	0.936
YHR033W	0.936
YLR446W	0.936
YIL076W	0.936
YLR038C	0.936
YGR225W	0.936
YGR035C	0.936
YBL036C	0.936
YPL027W	0.936
YDL237W	0.935
YBR212W	0.935
YIL159W	0.935
YDR063W	0.935
YGR223C	0.935
YIL099W	0.935
YOR124C	0.935
YMR311C	0.935
YGR207C	0.934
YBR145W	0.934
YLR089C	0.934
YHR137W	0.934
YAR020C	0.934
YIR007W	0.934
YGL253W	0.934
YER181C	0.934
YOR193W	0.934
YDR306C	0.934
YOR269W	0.933
YPL139C	0.933
YOR170W	0.933
YGR078C	0.933
YMR021C	0.933
YIL039W	0.933
YOR248W	0.933
YGR259C	0.933
YJR108W	0.933
YIL023C	0.933
YGR026W	0.933
YAL028W	0.933
YBL037W	0.933
YPL140C	0.933
YDR481C	0.933
YKL101W	0.932
YOR163W	0.932
YLR282C	0.932
YBL048W	0.932
YDR105C	0.932
YDL125C	0.932
YNL325C	0.932
YKL116C	0.932
YDR210W	0.932
YPR171W	0.932
YAL049C	0.932
YJL037W	0.932
YOR268C	0.932
YNL100W	0.932
YEL033W	0.931
YNL219C	0.931
YJR100C	0.931
YMR029C	0.931
YOR156C	0.931
YER062C	0.931
YNL202W	0.931
YBR069C	0.931
YOL129W	0.931
YLR037C	0.931
YGR235C	0.931
YAL037W	0.930
YOR377W	0.930
YLR255C	0.930
YGR206W	0.930
YLR279W	0.930
YLR294C	0.930
YNL117W	0.930
YGR228W	0.930
YMR026C	0.930
YPR109W	0.930
YBR288C	0.929
YHR116W	0.929
YMR263W	0.929
YMR177W	0.929
YPR119W	0.929
YLR001C	0.929
YIL095W	0.929
YNL196C	0.929
YDR014W	0.929
YJL198W	0.929
YLR173W	0.929
YDR475C	0.879
YDL088C	0.929
YJR107W	0.929
YKL215C	0.928
YDR540C	0.928
YLR109W	0.928
YIR037W	0.928
YMR155W	0.928
YLR342W	0.928
YPL195W	0.928
YGR149W	0.928
YJR082C	0.928
YPL030W	0.927
YMR130W	0.927
YIL101C	0.927
YLR326W	0.927
YOR121C	0.927
YDR125C	0.927
YPL024W	0.927
YPL080C	0.927
YMR099C	0.926
YJL214W	0.926
YPL014W	0.926
YNR004W	0.926
YDR109C	0.926
YER117W	0.926
YPR096C	0.926
YLR118C	0.925
YHR200W	0.925
YDR345C	0.925
YNR073C	0.925
YJR050W	0.925
YOR113W	0.925
YOL008W	0.924
YFR017C	0.924
YOR188W	0.924
YIL089W	0.924
YNL171C	0.924
YMR247C	0.924
YLR108C	0.924
YPR057W	0.924
YBR239C	0.923
YOR277C	0.923
YJL215C	0.923
YJL065C	0.923
YLR097C	0.923
YOR138C	0.923
YDR340W	0.923
YNL089C	0.923
YER116C	0.923
YAR035W	0.923
YJL151C	0.923
YIL042C	0.922
YJR020W	0.922
YKL208W	0.922
YJL048C	0.922
YNR010W	0.922
YMR294W	0.922
YKR026C	0.922
YDR220C	0.922
YOR152C	0.922
YML042W	0.922
YMR107W	0.922
YPR132W	0.921
YBR220C	0.921
YDR338C	0.921
YDR453C	0.921
YKL007W	0.921
YBR269C	0.921
YJL169W	0.921
YFL031W	0.921
YPR014C	0.921
YIR016W	0.921
YOR091W	0.921
YGL197W	0.921
YPL201C	0.921
YBR010W	0.921
YER187W	0.920
YCR028C-A	0.920
YDR321W	0.920
YPR017C	0.920
YEL057C	0.920
YCL075W	0.920
YKL110C	0.920
YIL067C	0.920
YJL163C	0.920
YER066W	0.919
YDR393W	0.919
YKL017C	0.919
YDR363W	0.919
YPR191W	0.919
YNL235C	0.919
YIL006W	0.919
YGR028W	0.919
YKL069W	0.919
YBR258C	0.918
YIL087C	0.918
YHR131C	0.918
YGR221C	0.918
YML062C	0.917
YDR318W	0.917
YBL094C	0.917
YOL106W	0.917
YPR141C	0.917
YLR431C	0.917
YJR148W	0.917
YER109C	0.917
YBR246W	0.916
YIL008W	0.916
YOR027W	0.916
YJR031C	0.916
YOR252W	0.916
YNL008C	0.916
YDR133C	0.916
YFR021W	0.916
YJR043C	0.916
YOR114W	0.915
YGR227W	0.915
YPR054W	0.915
YLR030W	0.915
YMR067C	0.915
YDR085C	0.915
YML037C	0.915
YGR209C	0.915
YNL231C	0.915
YNL190W	0.914
YOR263C	0.914
YKL086W	0.914
YPL248C	0.914
YHR124W	0.914
YPL033C	0.914
YDL199C	0.914
YGR144W	0.913
YBR030W	0.913
YDR354W	0.913
YEL025C	0.913
YLR432W	0.913
YOR376W	0.913
YER180C	0.913
YER067C-A	0.913
YGR164W	0.913
YML007W	0.913
YDR029W	0.913
YBL049W	0.913
YMR320W	0.913
YPR001W	0.913
YDR154C	0.913
YML029W	0.913
YNL173C	0.912
YML036W	0.912
YER054C	0.912
YPL150W	0.912
YER071C	0.912
YGR003W	0.912
YDR117C	0.912
YFR039C	0.912
YDR155C	0.912
YFL040W	0.912
YOL132W	0.912
YDL162C	0.912
YDR033W	0.912
YNL228W	0.911
YHL043W	0.911
YGR188C	0.911
YJL135W	0.911
YOR191W	0.911
YDR445C	0.911
YNL297C	0.911
YPL058C	0.911
YGL234W	0.911
YBR025C	0.911
YOR355W	0.911
YDR494W	0.911
YPL247C	0.911
YCL045C	0.910
YBR076W	0.910
YDL222C	0.910
YPL023C	0.910
YIL072W	0.910
YPL136W	0.910
YOL104C	0.910
YDR317W	0.910
YKL031W	0.910
YBL064C	0.910
YGR284C	0.910
