orf	hap a | growth (undefined) | K2 killer toxin [mixed] | MBA | Serviene E~Urbonavicius J, 2012
YAL010C	-5.0
YAL019W	7.0
YAL021C	9.0
YAL023C	8.0
YAL026C	8.0
YAL047C	-9.0
YAL056C-A	9.0
YAL058W	9.0
YAL059W	-5.0
YBL006C	-7.0
YBL016W	-10.0
YBL017C	-11.0
YBL044W	8.0
YBL045C	7.0
YBL047C	9.0
YBL051C	7.0
YBL072C	-7.0
YBL090W	6.0
YBL091C	7.0
YBL094C	-9.0
YBR036C	-8.0
YBR077C	9.0
YBR081C	-7.0
YBR084C-A	-6.0
YBR162C	9.0
YBR205W	5.0
YBR229C	10.0
YBR244W	8.0
YBR250W	7.0
YBR266C	-7.0
YBR282W	8.0
YBR287W	-9.0
YCL038C	-9.0
YCL040W	7.0
YCL058C	-9.0
YCR001W	6.0
YCR004C	8.0
YCR028C-A	8.0
YCR046C	5.0
YCR047C	-9.0
YCR060W	-10.0
YCR084C	0.0
YCR087W	-6.0
YDL009C	7.0
YDL013W	-9.0
YDL021W	6.0
YDL032W	6.0
YDL041W	8.0
YDL045W-A	7.0
YDL046W	-6.0
YDL052C	8.0
YDL067C	6.0
YDL073W	8.0
YDL077C	-9.0
YDL091C	-8.0
YDL095W	8.0
YDL096C	7.0
YDL104C	9.0
YDL115C	-8.0
YDL240W	9.0
YDR019C	-8.0
YDR065W	6.0
YDR080W	-7.0
YDR127W	-9.0
YDR140W	-10.0
YDR162C	7.0
YDR174W	-6.0
YDR227W	10.0
YDR229W	5.0
YDR293C	-7.0
YDR296W	7.0
YDR348C	6.0
YDR349C	7.0
YDR350C	7.0
YDR359C	-10.0
YDR364C	-9.0
YDR372C	6.0
YDR377W	8.0
YDR392W	-9.0
YDR405W	8.0
YDR425W	-10.0
YDR455C	-8.0
YDR461W	7.0
YDR479C	9.0
YDR507C	6.0
YDR525W	-6.0
YDR532C	-10.0
YDR538W	-9.0
YEL036C	-6.0
YEL065W	-8.0
YER019W	7.0
YER050C	6.0
YER056C-A	-8.0
YER057C	-7.0
YER060W-A	-9.0
YER074W	-7.0
YER095W	-7.0
YER141W	5.0
YER155C	-8.0
YER166W	11.0
YFL001W	-7.0
YFL004W	9.0
YFL023W	-9.0
