orf	hap a | growth (colony size) | thiamethoxam [10 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Actara | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | acetamiprid [15 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Mospilan | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | N-methylpyrrolidin-2-one [0.9% v/v], dimethyl sulfoxide [0.8% v/v] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Confidor | YPD | Mattiazzi Usaj M~Petrovic U, 2014
YAL002W	-0.13821853234326173	-0.736666610669477	-0.77582665874961	-3.557404839154372	-0.4702349527855368	-1.126143218130421
YAL004W	0.39017365761788	0.45752867130525837	-0.10641294496734996	-0.2296294638496311	-0.4498971370032004	0.3534388337477669
YAL005C	-0.6666107223044034	0.10756468762474598	0.15920612382801572	0.004814811338783006	-0.8679522391956711	-0.10987998126542331
YAL007C	0.9013356674715931	0.33026904087598113	0.15786461337955426	-0.1474073009873437	-1.0216157362177685	0.8015668679408525
YAL008W	-1.126082191835831	0.1746032429401688	-0.28080930326733755	-0.7040735657712085	-0.3821044177287456	-0.03240699908288988
YAL010C	-2.036410040844972	-0.34011651227824713	0.32421190898877317	-0.20185170612588538	-2.849759399318897	-3.6797134739900037
YAL011W	0.7663659232967364	-0.6412218878475191	-0.3089810226850278	0.04370367215202705	-11.158887025057899	-7.9255367132092385
YAL013W	0.4361208045710228	-3.5750108679224635	-1.6558575129403164	-0.870740112113683	-0.6306777217350796	1.3241297281524507
YAL014C	0.32699633055730876	-0.16172578033720672	-0.7503379602288424	-0.25629611126442703	-0.08833596753944181	0.3595151460758087
YAL015C	-0.060682721859833304	-0.17990572754138917	0.3550666493033864	0.3881478679264744	-0.9696413181073532	0.690674167954089
YAL017W	-0.2703165798335472	0.03257240540749333	0.3282364403341575	-0.23518501539438025	0.3003422896340984	-0.9985406592415421
YAL018C	0.24084543002016606	0.13256211503049686	-0.07421669420427533	-1.1885176604733343	0.15119830723029815	-0.3574897086331283
YAL019W	0.9874865680087357	-0.07877977121812424	0.199451437281859	-0.7129624482428072	0.5014606901483143	0.4324308940123108
YAL020C	0.8697470039413077	0.03257240540749333	0.20750049997262765	0.19592578447815376	-0.13805062834070866	-0.055193170313046776
YAL022C	0.6199093923835939	-2.68987468841883	0.29469867912262143	0.41037007410547094	0.5782924386593629	-0.5443363127204148
YAL023C	0.19202658638245193	-0.19694942804531024	-2.668697901528706	-0.32185161949246704	-0.2713763095804696	1.005123330930254
YAL024C	-0.4483617742769753	-0.009468722502178607	0.11627778947724955	-0.2774072071344738	-1.7356990459086916	-0.09165104428129782
YAL026C	0.3873019609333086	0.04734361251089157	-1.5324385516818635	-0.9540733852849201	-1.0080571923628776	-1.65174423450604
YAL027W	-1.7837007326026868	-1.1127642684560015	-0.26605268833426166	-1.3118509047667655	-0.7866009760663254	-0.3605278647971492
YAL028W	-3.018530306968399	-1.0218645324350892	-0.10641294496734996	-1.4340730387512468	-0.3414287861640728	-0.12051352783949652
YAL029C	0.2322303399664518	0.04961610591141438	0.16591367607032292	0.3448145658774309	-0.8001595199212164	-0.1402615429056325
YAL030W	-0.23585621961869005	-0.064008564114726	-0.22580737488041838	0.2648146236330432	-1.9774930779875801	0.5493999063271161
YAL031C	0.15756622616759475	-0.09241473162126108	0.1712797178641687	0.4470367143008153	-0.43181907853001245	1.120573265163049
YAL034C	0.5337584918464511	-0.3867026269889646	-0.8375361393788362	0.07037031956682296	-0.3210909703817364	0.3200191159435368
YAL036C	0.7950828901424506	0.2530042652582057	0.15786461337955426	0.20481466694975237	0.10374340373817993	-0.217734525088166
YAL037W	0.6888301128133079	0.024618678505663495	0.30274774181339004	0.002592590720883345	0.3726545235268502	0.9914516281921599
YAL040C	0.29827936371159447	-0.559412125428698	0.21152503131801195	-0.7029624554622587	-0.5470667012965854	-0.6947250428394502
YAL042C-A	0.25807561012759456	-0.17195200063955934	0.2383552402872408	0.16925913706335785	-0.40470199082023056	0.3276145063535891
YAL042W	0.1288492593218805	-0.29693913766831376	0.07871549692032914	0.20259244633185272	0.18735442417667392	-0.2982456634347203
YAL045C	0.4878113448933083	-0.36170519958321373	0.14444950889493985	0.14148137933961208	-0.47475446740383376	1.19045085693553
YAL046C	-1.4879159740918302	-0.8752887081013683	-0.25397909429810867	-0.5274070266481856	-0.9809401046530956	0.03898967077160173
YAL048C	0.6773433260750221	-3.0273399583964666	4.713634096354614	2.0948133024734132	-0.07025790906625394	1.4654039897794235
YAL049C	0.5222717051081653	-0.2980753843685751	0.03578716256956297	0.318147918462635	-0.16064820143219358	0.5038275638668024
YAL051W	0.2552039134430232	-0.6889442492584981	0.041153204363408746	0.17370357829915717	0.0517689856277646	1.0537338295545886
YAL053W	0.5854490321687366	0.3632201951835618	-0.3478848256904097	-0.210740588597484	-0.2374799499432422	0.8015668679408525
YAL054C	-0.026222361644976242	-0.19467693464478739	-0.4713037869488623	0.37037010298327705	-0.7753021895205829	1.0841153911947978
YAL055W	0.6026792122761652	0.34390400127911797	-0.7704606169557641	0.36259233082062825	-0.3030129119085485	0.08304293514990507
YAL056C-A	0.5911924255378795	-0.128774626029626	0.03981169391494731	-0.3407404947446141	0.740994964918054	-0.9575255510272597
YAL056W	0.7060602929207365	0.07688602671768807	0.06127586109033039	-0.11185177110094917	-0.15612868681389652	0.09367648172397827
YAL058W	0.6859584161287364	-0.5503221518266068	0.31079680450415875	0.5159255534557048	-0.047660335974769076	-0.012658984016753892
YAL059W	0.5021698283161654	0.31890657387336707	0.5053158195310679	0.27148128548674216	0.03369092715457666	0.025317968033507592
YAL060W	0.3442265106647372	-0.0026512423006101863	-0.2110507599473425	0.11370362161586633	-0.5041313124227641	-0.2420397744003333
YAL061W	0.3212529371881659	-0.5480496584260839	-0.3908131600411758	-0.4718515112006941	0.15571782184859514	-1.2172879030510486
YAL062W	0.4705811647858799	-0.7264403903671244	0.31750435674646593	-0.01074073298651461	-0.10415426870348132	-0.13570430865960112
YAL064C-A	0.3873019609333086	-0.07991601791838565	0.22628164625108782	0.11148140099796666	-1.383176905681527	0.8319484295810617
YAL065C	1.0621506818075928	0.12688088152918983	-0.09433935093119698	-0.45074041533064724	-1.1956170490222022	1.0187950336683482
YAL066W	0.3729434775104514	0.13483460843101966	0.15518159248263136	0.40925896379652116	-1.0374340373818078	0.9914516281921599
YAL067C	0.5366301885310225	0.13710710183154248	0.06261737153879182	-0.6296291750715699	-0.13579087103156015	-0.442558081225714
YAL068C	0.4131472310944514	-0.3321627853764173	0.1310344044103254	0.21148132880345136	0.03369092715457666	0.6010485611154718
YAR002C-A	0.4447358946247369	-0.22876433565262952	-0.22178284353503405	-1.054073313090405	0.8449438011388848	1.2010844035096033
YAR002W	0.23797373333559457	-0.3162553315727576	0.08542304916263636	0.6025921575537916	-0.1538689295047481	-0.08557473195325598
YAR003W	0.45909437804759406	0.10301970082370036	-0.44983961977347925	-0.04074071132816003	-0.6487557802082675	0.49015586112870824
YAR014C	-0.3421089969478327	-0.8968773954063349	-0.5813076437227007	0.0037037010298331605	0.0065738394447947485	-0.3149555223368354
YAR015W	0.14895113611388056	-0.45146868890386466	-0.1547073211119619	-0.1285184257351966	-0.31431169845429097	-0.5519317031304671
YAR018C	-1.016957717822117	-0.6037257467388929	0.07603247602340625	0.14814804119331107	0.3184203481072865	0.5737051556392835
