orf	hap a | growth (colony size) | thiamethoxam [10 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Actara | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | acetamiprid [15 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Mospilan | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | N-methylpyrrolidin-2-one [0.9% v/v], dimethyl sulfoxide [0.8% v/v] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Confidor | YPD | Mattiazzi Usaj M~Petrovic U, 2014
YAL002W	0.071	-0.614	-0.5720000000000001	-3.279	0.037000000000000005	-0.774
YAL004W	0.255	0.43700000000000006	-0.073	-0.284	0.046	0.2
YAL005C	-0.113	0.129	0.125	-0.073	-0.139	-0.105
YAL007C	0.433	0.325	0.124	-0.21	-0.207	0.495
YAL008W	-0.273	0.188	-0.203	-0.711	0.076	-0.054000000000000006
YAL010C	-0.59	-0.265	0.248	-0.259	-1.016	-2.455
YAL011W	0.386	-0.53	-0.22399999999999998	-0.038	-4.6930000000000005	-5.25
YAL013W	0.271	-3.112	-1.228	-0.861	-0.034	0.8390000000000001
YAL014C	0.233	-0.10800000000000001	-0.5529999999999999	-0.308	0.20600000000000002	0.204
YAL015C	0.098	-0.124	0.271	0.272	-0.184	0.42200000000000004
YAL017W	0.025	0.063	0.251	-0.289	0.37799999999999995	-0.69
YAL018C	0.203	0.151	-0.049	-1.147	0.312	-0.268
YAL019W	0.46299999999999997	-0.035	0.155	-0.7190000000000001	0.467	0.252
YAL020C	0.42200000000000004	0.063	0.161	0.099	0.184	-0.069
YAL022C	0.335	-2.333	0.226	0.292	0.501	-0.391
YAL023C	0.18600000000000003	-0.139	-1.983	-0.36700000000000005	0.125	0.629
YAL024C	-0.037000000000000005	0.026000000000000002	0.09300000000000001	-0.327	-0.523	-0.09300000000000001
YAL026C	0.254	0.076	-1.136	-0.9359999999999999	-0.201	-1.12
YAL027W	-0.502	-0.945	-0.192	-1.258	-0.10300000000000001	-0.27
YAL028W	-0.932	-0.865	-0.073	-1.368	0.094	-0.11199999999999999
YAL029C	0.2	0.078	0.13	0.233	-0.109	-0.125
YAL030W	0.037000000000000005	-0.022000000000000002	-0.162	0.161	-0.63	0.32899999999999996
YAL031C	0.174	-0.047	0.134	0.325	0.054000000000000006	0.705
YAL034C	0.305	-0.306	-0.618	-0.013999999999999999	0.10300000000000001	0.17800000000000002
YAL036C	0.396	0.257	0.124	0.107	0.29100000000000004	-0.17600000000000002
YAL037W	0.359	0.055999999999999994	0.23199999999999998	-0.075	0.41	0.62
YAL040C	0.223	-0.45799999999999996	0.16399999999999998	-0.71	0.003	-0.49
YAL042W	0.16399999999999998	-0.22699999999999998	0.065	0.105	0.32799999999999996	-0.22899999999999998
YAL043C-A	0.209	-0.11699999999999999	0.184	0.075	0.066	0.183
YAL045C	0.289	-0.284	0.114	0.05	0.035	0.7509999999999999
YAL046C	-0.39899999999999997	-0.736	-0.183	-0.552	-0.18899999999999997	-0.006999999999999999
YAL048C	0.355	-2.63	3.52	1.808	0.214	0.932
YAL049C	0.301	-0.228	0.033	0.209	0.174	0.299
YAL051W	0.20800000000000002	-0.5720000000000001	0.037000000000000005	0.079	0.268	0.6609999999999999
YAL053W	0.32299999999999995	0.354	-0.253	-0.267	0.14	0.495
YAL054C	0.11	-0.13699999999999998	-0.345	0.256	-0.098	0.6809999999999999
YAL055W	0.32899999999999996	0.337	-0.568	0.249	0.111	0.022000000000000002
YAL056W	0.365	0.102	0.052000000000000005	-0.17800000000000002	0.17600000000000002	0.028999999999999998
YAL058C-A	0.325	-0.079	0.036000000000000004	-0.384	0.573	-0.6629999999999999
YAL058W	0.358	-0.45	0.23800000000000002	0.387	0.22399999999999998	-0.040999999999999995
YAL059W	0.294	0.315	0.38299999999999995	0.16699999999999998	0.26	-0.016
YAL060W	0.239	0.032	-0.151	0.025	0.022000000000000002	-0.192
YAL061W	0.231	-0.44799999999999995	-0.285	-0.502	0.314	-0.8340000000000001
YAL062W	0.28300000000000003	-0.605	0.243	-0.087	0.19899999999999998	-0.122
YAL064C-A	0.254	-0.036000000000000004	0.175	0.023	-0.36700000000000005	0.515
YAL065C	0.489	0.146	-0.064	-0.483	-0.284	0.638
YAL066W	0.249	0.153	0.122	0.29100000000000004	-0.214	0.62
YAL067C	0.306	0.155	0.053	-0.644	0.185	-0.324
YAL068C	0.263	-0.258	0.10400000000000001	0.113	0.26	0.363
YAR002C-A	0.27399999999999997	-0.16699999999999998	-0.159	-1.026	0.619	0.758
YAR002W	0.20199999999999999	-0.244	0.07	0.465	0.177	-0.08900000000000001
YAR003W	0.27899999999999997	0.125	-0.32899999999999996	-0.114	-0.042	0.29
YAR014C	0.0	-0.755	-0.42700000000000005	-0.07400000000000001	0.248	-0.24
YAR015W	0.171	-0.363	-0.109	-0.193	0.106	-0.396
YAR018C	-0.235	-0.49700000000000005	0.063	0.055999999999999994	0.386	0.345
YAR020C	0.249	0.115	0.149	0.193	0.081	-0.221
YAR023C	0.053	0.11	0.162	0.129	-0.374	0.758
YAR027W	-0.025	-0.07200000000000001	0.242	0.226	-0.255	0.85
YAR028W	0.149	-0.253	0.19	0.423	0.149	0.028999999999999998
YAR029W	0.33299999999999996	-0.02	-0.365	-0.43799999999999994	0.6859999999999999	-0.594
YAR030C	0.24100000000000002	0.247	0.004	0.128	0.36700000000000005	0.36
YAR031W	0.281	0.282	-0.72	-1.412	0.594	0.596
YAR035W	0.322	-0.179	0.264	-0.271	0.08900000000000001	-0.141
YAR037W	0.29600000000000004	-0.153	0.27399999999999997	-0.455	0.009000000000000001	-0.14300000000000002
YAR040C	-0.32799999999999996	-0.055	-0.187	-1.175	0.47600000000000003	-0.10099999999999999
YAR042W	0.2535	-0.414	-0.854	-2.8695000000000004	0.16899999999999998	0.22949999999999995
YAR043C	0.187	0.314	-0.23199999999999998	-0.654	-0.091	0.5660000000000001
YAR047C	-0.018000000000000002	0.14300000000000002	0.26	0.035	-0.07	-0.257
YAR050W	0.242	0.073	0.204	0.442	0.079	-0.516
YBL001C	0.32799999999999996	-0.015	0.5670000000000001	-0.315	0.258	-0.29
YBL003C	-0.127	-0.146	-0.239	-0.8240000000000001	0.46799999999999997	-0.534
YBL005W	-0.07	-0.163	0.7090000000000001	-0.145	0.151	-0.303
YBL007C	0.511	-0.6629999999999999	-0.67	-0.026000000000000002	0.075	0.218
YBL008W	-0.166	-0.11	-0.248	-0.606	-0.354	-0.18600000000000003
YBL009W	-0.828	0.11599999999999999	-0.203	-1.385	0.327	-1.046
YBL010C	0.33399999999999996	0.048	0.546	-0.39799999999999996	-0.084	-0.129
YBL011W	0.282	0.121	-0.008	-3.304	0.359	-1.131
YBL013W	0.045	-0.14800000000000002	0.109	0.342	-0.245	-0.162
YBL015W	0.091	-0.031	0.157	0.013000000000000001	-0.348	0.386
