orf	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YAL001C		-0.6065703827753867
YAL002W	-2.9078725688721634	
YAL003W		1.0981773136768502
YAL004W	0.7947744439869922	
YAL005C	-1.6272725351980122	
YAL007C	-1.4872491746529144	
YAL008W	-0.2325068203157809	
YAL009W	1.2303111142129868	
YAL010C		
YAL011W	-0.8165358336058648	
YAL012W	-1.6508199494223716	
YAL013W	1.6516326937424606	
YAL014C	0.5232138413100318	
YAL015C	-2.3269850078346113	
YAL016C-B	-0.5301055105646585	
YAL016W		
YAL017W	0.8373407754401515	
YAL018C	0.6272344955116056	
YAL019W	-1.8044268755727724	
YAL020C	0.3533672859466009	
YAL021C	-0.3992440772956536	
YAL022C	0.5312474950999861	
YAL023C	0.7810301090368214	
YAL024C	-5.132496717940802	
YAL025C		0.7530450766355135
YAL026C	1.2573145880066614	
YAL027W	0.8090838783709203	
YAL028W	-0.64602502166783	
YAL029C	-0.30013314560202076	
YAL030W	-0.5967371838322307	
YAL031C	-1.0203480418173683	
YAL032C		-0.059084872871279934
YAL033W		-0.07265371847873071
YAL034C		
YAL034C-B		0.36030534290421024
YAL034W-A		1.0057690382573163
YAL035W		
YAL036C	-0.36992918316049533	
YAL037C-A	-0.3172247560737819	
YAL037W	0.272286588145365	
YAL038W		-0.39401660666984667
YAL039C		
YAL040C	-0.18717352328765605	
YAL041W		0.7276631637144982
YAL042C-A	-1.089240112819969	
YAL042W	0.2097213203431931	
YAL043C		-0.1105328274407764
YAL044C	-0.0804610896538366	
YAL044W-A	-0.08714091152949331	
YAL045C	0.6657401976434917	
YAL046C	-2.3997933045553106	
YAL047C	0.5325066945196697	
YAL048C	0.5720925356033028	
YAL049C	-1.058825825919307	
YAL051W	3.8994095538534475	
YAL053W	-2.9339711134192763	
YAL054C	0.5354053561807306	
YAL055W	-0.4509569329739005	
YAL056C-A	1.9502208374802918	
YAL056W	-0.11203792182912385	
YAL058W	0.7568222890006093	
YAL059W	0.6812433684803307	
YAL060W	0.8750108620549999	
YAL061W	0.060498487585177244	
YAL062W	1.5337415921106103	
YAL064C-A	-0.18744009233911663	
YAL065C	0.012223400353176784	
YAL066W	-1.2004636187478983	
YAL067C	0.07293741396264858	
YAL067W-A	-1.7081481798827398	
YAL068C	-0.08658996364884733	
YAR002C-A	1.2669222410712202	
YAR002W	-0.34571173621740503	
YAR003W	-0.27696214343660336	
YAR007C		0.5786361280382949
YAR008W		-0.5360794997329543
YAR014C	0.30100268867269203	
YAR015W		
YAR018C	1.0558330539503982	
YAR019C		0.3097974071813806
YAR020C	-0.07338406160038058	
YAR023C	-0.2521353132881157	
YAR027W	-1.210831797455844	
YAR028W	0.25974272848292007	
YAR029W	-0.6395605536990412	
YAR030C	-2.8162436692043573	
YAR031W	0.28545138330146136	
YAR035C-A	-0.5072704874492943	
YAR035W	-0.0005543931464112696	
YAR042W	-1.9983989409186058	
YAR047C	-0.5713539184661766	
YAR050W	-0.40052830667322087	
YBL001C	0.3053588640351298	
YBL002W	-0.3426590440462912	
YBL003C	0.002328865463644194	
YBL004W		-1.0723711332292174
YBL005W	-1.2248389469637928	
YBL006C	-0.7091409485434415	
YBL007C	0.7758277285597797	
YBL008W	-1.7248893709441304	
YBL008W-A	0.18017152968020397	
YBL009W	0.36060479453771843	
YBL010C	0.9875975379968986	
YBL011W	0.14822078844176298	
YBL012C	-0.2574907615845226	
YBL013W	-1.2255128304452751	
YBL014C		-1.7712986637479395
YBL015W	0.6098839212448177	
YBL016W		-0.8408730639367433
YBL017C	0.1611843812441025	
YBL018C		-0.4498490927605215
YBL019W	0.32282592387514525	
YBL020W		-0.24517982126059407
YBL021C	-1.4392686707713904	
YBL022C	-1.2354477983436964	
YBL023C		0.45668289880100627
YBL024W	-0.23785216035996554	
YBL025W		-0.7840226336133077
YBL026W		1.1149979645850934
YBL027W	1.572008546951914	
YBL028C	0.1609831788903457	
YBL029C-A	0.5656405826134557	
YBL029W	0.4614581963763264	
YBL030C		-0.564462593064351
YBL031W	-0.3300400945101954	
YBL032W	1.513621356734931	
YBL033C		
YBL034C		-0.19386981568539935
YBL035C		-0.2990006389381816
YBL036C	-0.2352694537826511	
YBL037W	1.2228598882891706	
YBL038W	-0.28448075770856773	
YBL039C	1.5257801401222433	
YBL039W-B	0.05183715946675689	
YBL040C		0.04290109942820051
YBL041W		0.636658949305669
YBL042C	-0.9174229296185468	
YBL043W	-0.7848816010992758	
YBL044W	-0.16738936323109885	
YBL045C		
YBL046W	-0.6266961180375483	
YBL047C	-0.06471089238649988	
YBL048W	1.213107831621437	
YBL049W	-0.031839915119560684	
YBL050W		-0.15680611515532047
YBL051C	1.5940252829826216	
YBL052C	-0.6012781958067321	
YBL053W	0.5959431973943292	
YBL054W	-0.25315865348928074	
YBL055C	-0.20635725316221276	
YBL056W	0.41522882685596785	
YBL057C	0.47830335803200263	
YBL058W		
YBL059W	1.1943257363018438	
YBL060W	0.8904042861534261	
YBL061C	-0.04721793616698172	
YBL062W	-1.342903332919453	
YBL063W	0.8150843294281742	
YBL064C	1.472119761182513	
YBL065W	-0.3505617719027004	
YBL066C	0.12521729445602825	
YBL067C	-0.4333916786837262	
YBL068W	-1.0781248861382662	
YBL069W	0.44826933395303425	
YBL070C	0.7585455053318277	
YBL071C	-0.8415494257477918	
YBL071C-B	-0.6952964937617362	
YBL071W-A	-0.7987077647579125	
YBL072C	-0.21673014905452884	
YBL073W		0.0924912355698577
YBL074C		0.061154138278039255
YBL075C	-0.13236744616033763	
YBL076C		-0.2136733942108846
YBL077W		-0.6554106450327518
YBL078C	-0.8099731711869171	
YBL079W	-0.09443415991143629	
YBL080C	-1.757688242678551	
YBL081W	0.38055848442440277	
YBL082C	1.7800267507785532	
YBL083C	1.036665882355672	
YBL084C		0.45499451543563385
YBL085W	0.02368038222905995	
