orf	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YAL001C		-1.8368799999999998
YAL002W	-2.86763	
YAL003W		3.01974
YAL004W	0.978514	
YAL005C	-1.5374	
YAL007C	-1.39195	
YAL008W	-0.0885798	
YAL009W	1.43093	
YAL010C		
YAL011W	-0.695243	
YAL012W	-1.56186	
YAL013W	1.86858	
YAL014C	0.696429	
YAL015C	-2.26423	
YAL016C-B	-0.397712	
YAL016W		
YAL017W	1.02273	
YAL018C	0.804481	
YAL019W	-1.7214200000000002	
YAL020C	0.52	
YAL021C	-0.261779	
YAL022C	0.704774	
YAL023C	0.9642370000000001	
YAL024C	-5.17847	
YAL025C		2.0365
YAL026C	1.45898	
YAL027W	0.9933780000000001	
YAL028W	-0.518124	
YAL029C	-0.158827	
YAL030W	-0.466926	
YAL031C	-0.906954	
YAL032C		-0.27716
YAL033W		-0.315816
YAL034C		
YAL034C-B		0.917632
YAL034W-A		2.75648
YAL035W		
YAL036C	-0.23132800000000003	
YAL037C-A	-0.176581	
YAL037W	0.435777	
YAL038W		-1.2313399999999999
YAL039C		
YAL040C	-0.041489599999999995	
YAL041W		1.96419
YAL042C-A	-0.9785159999999999	
YAL042W	0.370787	
YAL043C		-0.423729
YAL044C	0.0693585	
YAL044W-A	0.0624198	
YAL045C	0.8444790000000001	
YAL046C	-2.33986	
YAL047C	0.706082	
YAL048C	0.747202	
YAL049C	-0.946923	
YAL051W	4.203469999999999	
YAL053W	-2.89474	
YAL054C	0.7090930000000001	
YAL055W	-0.315496	
YAL056C-A	2.1787400000000003	
YAL056W	0.0365579	
YAL058W	0.939091	
YAL059W	0.860583	
YAL060W	1.06186	
YAL061W	0.215781	
YAL062W	1.7461200000000001	
YAL064C-A	-0.041766500000000005	
YAL065C	0.165635	
YAL066W	-1.09405	
YAL067C	0.228702	
YAL067W-A	-1.62141	
YAL068C	0.0629921	
YAR002C-A	1.46896	
YAR002W	-0.20617199999999997	
YAR003W	-0.134758	
YAR007C		1.5396299999999998
YAR008W		-1.63606
YAR014C	0.465606	
YAR015W		
YAR018C	1.24969	
YAR019C		0.773741
YAR020C	0.07670980000000001	
YAR023C	-0.10896900000000001	
YAR027W	-1.1048200000000001	
YAR028W	0.42274700000000004	
YAR029W	-0.511409	
YAR030C	-2.77245	
YAR031W	0.449452	
YAR035C-A	-0.373992	
YAR035W	0.152362	
YAR042W	-1.9229095	
YAR047C	-0.44055900000000003	
YAR050W	-0.263113	
YBL001C	0.470131	
YBL002W	-0.203001	
YBL003C	0.155357	
YBL004W		-3.1638900000000003
YBL005W	-1.11937	
YBL006C	-0.5836859999999999	
YBL007C	0.958833	
YBL008W	-1.6388	
YBL008W-A	0.340092	
YBL009W	0.527518	
YBL010C	1.1788100000000001	
YBL011W	0.30690300000000004	
YBL012C	-0.114532	
YBL013W	-1.1200700000000001	
YBL014C		-5.15505
YBL015W	0.786458	
YBL016W		-2.50438
YBL017C	0.320369	
YBL018C		-1.3904
YBL019W	0.488275	
YBL020W		-0.807322
YBL021C	-1.3421100000000001	
YBL022C	-1.13039	
YBL023C		1.1922
YBL024W	-0.0941323	
YBL025W		-2.34242
YBL026W		3.06766
YBL027W	1.78587	
YBL028C	0.32016	
YBL029C-A	0.7405	
YBL029W	0.6322800000000001	
YBL030C		-1.71692
YBL031W	-0.189893	
YBL032W	1.72522	
YBL033C		
YBL034C		-0.661146
YBL035C		-0.960651
YBL036C	-0.0914495	
YBL037W	1.42319	
YBL038W	-0.142568	
YBL039C	1.73785	
YBL039W-B	0.20678400000000002	
YBL040C		0.0133857
YBL041W		1.7049299999999998
YBL042C	-0.80004	
YBL043W	-0.662362	
YBL044W	-0.0209387	
YBL045C		
YBL046W	-0.498046	
YBL047C	0.0857191	
YBL048W	1.41306	
YBL049W	0.11986400000000001	
YBL050W		-0.555556
YBL051C	1.8087400000000002	
YBL052C	-0.47164300000000003	
YBL053W	0.771977	
YBL054W	-0.11003199999999999	
YBL055C	-0.0614168	
YBL056W	0.584259	
YBL057C	0.649778	
YBL058W		
YBL059W	1.39355	
YBL060W	1.07785	
YBL061C	0.10389000000000001	
YBL062W	-1.24201	
YBL063W	0.999611	
YBL064C	1.6821099999999998	
YBL065W	-0.21120999999999998	
YBL066C	0.283008	
YBL067C	-0.29725	
YBL068W	-0.9669700000000001	
YBL069W	0.61858	
YBL070C	0.940881	
YBL071C	-0.721226	
YBL071C-B	-0.5693050000000001	
YBL071W-A	-0.676724	
YBL072C	-0.0721917	
YBL073W		0.154662
YBL074C		0.0653864
YBL075C	0.0154405	
YBL076C		-0.717564
YBL077W		-1.97602
YBL078C	-0.688426	
YBL079W	0.054843899999999994	
YBL080C	-1.67287	
YBL081W	0.548245	
YBL082C	2.00195	
YBL083C	1.2297799999999999	
YBL084C		1.18739
YBL085W	0.177536	
YBL086C	-0.147116	
YBL087C	0.469092	
YBL088C	-1.1732799999999999	
YBL089W	-0.630743	
YBL090W	0.210997	
YBL091C	0.21565399999999998	
YBL091C-A	0.8324870000000001	
YBL092W		1.7572900000000002
YBL093C	1.52559	
YBL094C	-0.515278	
YBL095W	0.015238	
YBL096C	-0.338913	
YBL097W		0.8423290000000001
