ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YDL230W	0.437	NaN
YDL231C	0.243	NaN
YDL232W	NaN	NaN
YDL233W	-0.727	NaN
YDL234C	-0.160	NaN
YDL235C	NaN	-0.515
YDL236W	0.646	NaN
YDL237W	0.024	NaN
YDL238C	-0.560	NaN
YDL239C	0.709	NaN
YDL240W	-0.542	NaN
YDL241W	-0.042	NaN
YDL242W	-0.330	NaN
YDL243C	1.350	NaN
YDR001C	0.154	NaN
YDR002W	NaN	-0.503
YDR003W	-0.538	NaN
YDR003W-A	1.151	NaN
YDR004W	-0.208	NaN
YDR005C	0.480	NaN
YDR006C	0.603	NaN
YDR007W	-0.374	NaN
YDR008C	0.194	NaN
YDR009W	0.352	NaN
YDR010C	-0.329	NaN
YDR011W	-0.168	NaN
YDR013W	NaN	-3.345
YDR014W	-0.257	NaN
YDR015C	1.055	NaN
YDR016C	NaN	-1.335
YDR017C	1.005	NaN
YDR018C	-1.278	NaN
YDR019C	0.097	NaN
YDR020C	0.808	NaN
YDR021W	NaN	1.230
YDR022C	-0.244	NaN
YDR023W	NaN	-2.558
YDR024W	-0.208	NaN
YDR025W	1.567	NaN
YDR026C	-0.194	NaN
YDR027C	NaN	NaN
YDR028C	1.848	NaN
YDR029W	0.077	NaN
YDR030C	-0.946	NaN
YDR031W	-0.183	NaN
YDR032C	0.190	NaN
YDR033W	0.123	NaN
YDR034C	-1.518	NaN
YDR034W-B	0.519	NaN
YDR035W	0.005	NaN
YDR036C	-0.347	NaN
YDR037W	NaN	-4.409
YDR041W	NaN	2.767
YDR042C	1.039	NaN
YDR043C	0.458	NaN
YDR044W	NaN	-1.797
YDR045C	NaN	-0.467
YDR046C	0.476	NaN
YDR047W	NaN	0.591
YDR048C	NaN	NaN
YDR049W	-0.493	NaN
YDR050C	NaN	-0.218
YDR051C	-0.655	NaN
YDR052C	NaN	-0.718
YDR053W	NaN	1.236
YDR054C	NaN	0.055
YDR055W	-0.775	NaN
YDR056C	0.038	NaN
YDR057W	0.153	NaN
YDR058C	0.535	NaN
YDR059C	0.353	NaN
YDR060W	NaN	-1.688
YDR061W	-0.345	NaN
YDR062W	NaN	-0.433
YDR063W	0.873	NaN
YDR064W	NaN	4.390
YDR065W	-0.012	NaN
YDR066C	-1.234	NaN
YDR067C	-3.137	NaN
YDR068W	-0.311	NaN
YDR069C	-0.917	NaN
YDR070C	1.129	NaN
YDR071C	0.132	NaN
YDR072C	-0.126	NaN
YDR073W	1.341	NaN
YDR074W	0.257	NaN
YDR075W	-0.743	NaN
YDR076W	-1.898	NaN
YDR077W	-2.893	NaN
YDR078C	-0.316	NaN
YDR079C-A	0.816	NaN
YDR079W	-2.458	NaN
YDR080W	0.303	NaN
YDR081C	NaN	2.069
YDR082W	NaN	-0.405
YDR083W	0.086	NaN
YDR084C	-0.377	NaN
YDR085C	-1.010	NaN
YDR086C	NaN	-2.564
YDR087C	NaN	0.765
YDR088C	NaN	-1.283
YDR089W	0.395	NaN
YDR090C	0.253	NaN
YDR091C	NaN	1.027
YDR092W	-0.415	NaN
YDR093W	-0.586	NaN
YDR094W	0.532	NaN
YDR095C	-0.588	NaN
YDR096W	0.369	NaN
YDR097C	0.472	NaN
YDR098C	-2.343	NaN
YDR099W	-0.002	NaN
YDR100W	-0.375	NaN
YDR101C	1.619	NaN
YDR102C	1.143	NaN
YDR103W	NaN	-1.570
YDR104C	0.566	NaN
YDR105C	0.012	NaN
YDR107C	-0.427	NaN
YDR108W	-0.146	NaN
YDR109C	0.181	NaN
YDR110W	-0.558	NaN
YDR111C	0.112	NaN
YDR112W	-0.847	NaN
YDR113C	NaN	-0.528
YDR114C	-0.297	NaN
YDR115W	0.084	NaN
YDR116C	0.078	NaN
YDR117C	0.858	NaN
YDR118W	NaN	-0.140
YDR119W	0.478	NaN
YDR120C	0.506	NaN
YDR121W	1.059	NaN
YDR122W	-0.121	NaN
YDR123C	0.752	NaN
YDR124W	-0.452	NaN
YDR125C	0.415	NaN
YDR126W	1.416	NaN
YDR127W	-0.165	NaN
YDR128W	0.938	NaN
YDR129C	-1.131	NaN
YDR130C	0.970	NaN
YDR131C	-0.788	NaN
YDR132C	-0.936	NaN
YDR133C	0.530	NaN
YDR134C	-0.395	NaN
YDR135C	0.726	NaN
YDR136C	0.964	NaN
YDR137W	2.522	NaN
YDR138W	0.356	NaN
YDR139C	-0.883	NaN
YDR140W	0.932	NaN
YDR141C	NaN	0.573
YDR142C	0.907	NaN
YDR143C	0.484	NaN
YDR144C	0.457	NaN
YDR145W	NaN	4.238
YDR146C	0.971	NaN
YDR147W	-0.377	NaN
YDR148C	-0.209	NaN
YDR149C	-0.219	NaN
YDR150W	-0.284	NaN
YDR151C	-0.155	NaN
YDR152W	-0.421	NaN
YDR153C	-1.085	NaN
YDR154C	-0.316	NaN
YDR155C	0.083	NaN
YDR156W	1.460	NaN
YDR157W	1.546	NaN
YDR158W	0.327	NaN
YDR159W	1.520	NaN
YDR160W	NaN	0.906
YDR161W	-0.401	NaN
YDR162C	0.847	NaN
YDR163W	1.812	NaN
YDR164C	NaN	0.388
YDR165W	-0.820	NaN
YDR166C	NaN	-2.994
YDR167W	NaN	2.377
YDR168W	NaN	-0.781
YDR169C	-0.631	NaN
YDR169C-A	0.241	NaN
YDR170C	NaN	-0.875
YDR171W	0.737	NaN
YDR172W	NaN	1.399
YDR173C	0.444	NaN
YDR174W	0.364	NaN
YDR175C	-1.162	NaN
YDR176W	1.090	NaN
YDR177W	NaN	-0.423
YDR178W	0.119	NaN
YDR179C	0.634	NaN
YDR179W-A	0.781	NaN
YDR180W	NaN	-4.833
YDR181C	0.181	NaN
YDR182W	NaN	-1.201
YDR182W-A	0.909	NaN
YDR183W	-0.810	NaN
YDR184C	0.247	NaN
YDR185C	-1.211	NaN
YDR186C	0.633	NaN
YDR187C	NaN	5.569
YDR188W	NaN	NaN
YDR189W	NaN	1.873
YDR190C	NaN	-4.011
YDR191W	-0.109	NaN
YDR192C	0.814	NaN
YDR193W	0.465	NaN
YDR194C	-0.708	NaN
YDR194W-A	0.349	NaN
YDR195W	0.524	NaN
YDR196C	NaN	0.944
YDR197W	-0.780	NaN
YDR198C	0.056	NaN
YDR199W	0.349	NaN
YDR200C	0.285	NaN
YDR201W	NaN	-0.626
YDR202C	0.557	NaN
YDR203W	0.086	NaN
YDR204W	-0.165	NaN
YDR205W	-0.411	NaN
YDR206W	0.109	NaN
YDR207C	0.389	NaN
YDR208W	NaN	-0.851
YDR209C	1.186	NaN
YDR210W	1.114	NaN
YDR211W	NaN	-0.292
YDR212W	NaN	4.054
YDR213W	-0.816	NaN
YDR214W	-0.416	NaN
YDR215C	0.853	NaN
YDR216W	-1.150	NaN
YDR217C	0.002	NaN
YDR218C	-0.211	NaN
YDR219C	0.425	NaN
YDR220C	0.487	NaN
YDR221W	0.004	NaN
YDR222W	0.176	NaN
YDR223W	-0.280	NaN
YDR224C	NaN	-6.534
YDR225W	0.994	NaN
YDR226W	0.490	NaN
YDR227W	NaN	-1.213
YDR228C	NaN	0.081
YDR229W	-0.296	NaN
YDR230W	0.613	NaN
YDR231C	-0.132	NaN
YDR232W	NaN	1.093
YDR233C	0.091	NaN
YDR234W	-0.870	NaN
YDR235W	NaN	1.746
YDR236C	NaN	-0.026
YDR237W	0.089	NaN
YDR238C	NaN	4.120
YDR239C	-0.116	NaN
YDR240C	NaN	1.830
YDR241W	0.305	NaN
YDR242W	-0.202	NaN
YDR243C	NaN	-3.180
YDR244W	-0.790	NaN
YDR245W	1.902	NaN
YDR246W	NaN	2.886
YDR246W-A	-1.562	NaN
YDR247W	0.821	NaN
YDR248C	-0.111	NaN
YDR249C	0.802	NaN
YDR250C	0.493	NaN
YDR251W	-0.676	NaN
YDR252W	0.028	NaN
YDR253C	0.159	NaN
YDR254W	1.713	NaN
YDR255C	0.111	NaN
YDR256C	-0.106	NaN
YDR257C	0.072	NaN
YDR258C	0.159	NaN
YDR259C	0.342	NaN
YDR260C	0.603	NaN
YDR261C	0.362	NaN
YDR262W	0.485	NaN
YDR263C	-0.464	NaN
YDR264C	0.857	NaN
YDR265W	-1.865	NaN
YDR266C	0.516	NaN
YDR267C	NaN	-0.300
YDR268W	0.978	NaN
YDR269C	0.981	NaN
YDR270W	1.015	NaN
YDR271C	0.902	NaN
YDR272W	0.761	NaN
YDR273W	0.464	NaN
YDR274C	2.190	NaN
YDR275W	-0.086	NaN
YDR276C	0.591	NaN
YDR277C	-0.421	NaN
YDR278C	-0.794	NaN
YDR279W	0.978	NaN
YDR280W	NaN	5.031
YDR281C	0.508	NaN
YDR282C	-0.847	NaN
YDR283C	-0.211	NaN
YDR284C	0.804	NaN
YDR285W	-1.221	NaN
YDR286C	-0.187	NaN
YDR287W	0.102	NaN
YDR288W	NaN	0.929
YDR289C	-1.962	NaN
YDR290W	-0.417	NaN
YDR291W	0.267	NaN
YDR292C	NaN	-1.509
YDR293C	-1.675	NaN
YDR294C	0.734	NaN
YDR295C	1.011	NaN
YDR296W	0.565	NaN
YDR297W	0.598	NaN
YDR298C	-1.354	NaN
YDR299W	NaN	0.971
YDR300C	NaN	NaN
YDR301W	NaN	1.201
YDR302W	NaN	2.343
YDR303C	NaN	-2.162
YDR304C	-0.079	NaN
YDR305C	-0.582	NaN
YDR306C	-1.306	NaN
YDR307W	-0.401	NaN
YDR308C	NaN	3.046
YDR309C	0.704	NaN
YDR310C	1.060	NaN
YDR311W	NaN	3.846
YDR312W	0.277	NaN
YDR313C	0.055	NaN
YDR314C	-0.870	NaN
YDR315C	-0.323	NaN
YDR316W	0.521	NaN
YDR317W	1.017	NaN
YDR318W	0.821	NaN
YDR319C	-0.991	NaN
YDR320C	1.050	NaN
YDR320C-A	NaN	0.787
YDR321W	-0.863	NaN
YDR322C-A	-0.228	NaN
YDR322W	-2.813	NaN
YDR323C	-0.577	NaN
YDR324C	NaN	3.935
YDR325W	NaN	-1.625
YDR326C	0.591	NaN
YDR327W	NaN	-0.885
YDR328C	NaN	-1.725
YDR329C	0.647	NaN
YDR330W	0.012	NaN
YDR331W	NaN	1.681
YDR332W	-0.225	NaN
YDR333C	0.015	NaN
YDR334W	-1.370	NaN
YDR335W	0.820	NaN
YDR336W	0.388	NaN
YDR337W	-2.194	NaN
YDR338C	1.025	NaN
YDR339C	NaN	1.272
YDR340W	-0.323	NaN
YDR341C	NaN	1.686
YDR344C	-0.319	NaN
YDR345C	0.353	NaN
YDR346C	0.994	NaN
YDR347W	0.137	NaN
YDR348C	-1.658	NaN
YDR349C	0.684	NaN
YDR350C	NaN	NaN
YDR351W	-0.605	NaN
YDR352W	0.054	NaN
YDR353W	NaN	0.117
YDR354W	0.037	NaN
YDR355C	NaN	1.381
YDR356W	NaN	-0.559
YDR357C	1.067	NaN
YDR358W	0.878	NaN
YDR359C	-1.424	NaN
YDR360W	0.034	NaN
YDR361C	NaN	-1.151
YDR362C	NaN	-0.410
YDR363W	-0.942	NaN
YDR363W-A	0.681	NaN
YDR364C	NaN	0.629
YDR365C	NaN	0.206
YDR367W	NaN	-5.825
YDR368W	1.041	NaN
YDR369C	-0.378	NaN
YDR370C	-0.620	NaN
YDR371W	0.363	NaN
YDR372C	-0.314	NaN
YDR373W	NaN	-0.024
YDR374C	0.004	NaN
YDR375C	-0.230	NaN
YDR376W	NaN	0.218
YDR377W	-1.225	NaN
YDR378C	0.599	NaN
YDR379C-A	-0.396	NaN
YDR379W	1.373	NaN
YDR380W	-0.164	NaN
YDR381W	NaN	1.090
YDR382W	NaN	NaN
YDR383C	-0.571	NaN
YDR384C	0.098	NaN
YDR385W	1.082	NaN
YDR386W	-0.575	NaN
YDR387C	-0.171	NaN
YDR388W	NaN	NaN
YDR389W	-0.725	NaN
YDR390C	NaN	-0.183
YDR391C	0.182	NaN
YDR392W	3.170	NaN
YDR393W	0.012	NaN
YDR394W	NaN	-1.042
YDR395W	1.114	NaN
YDR396W	NaN	-1.909
YDR397C	NaN	-0.017
YDR398W	NaN	1.927
YDR399W	-0.922	NaN
YDR400W	2.302	NaN
YDR401W	0.552	NaN
YDR402C	0.534	NaN
YDR403W	-1.007	NaN
YDR404C	NaN	-8.186
YDR405W	1.161	NaN
YDR406W	0.001	NaN
YDR407C	NaN	0.533
YDR408C	0.706	NaN
YDR409W	0.831	NaN
YDR410C	NaN	1.070
YDR411C	0.350	NaN
YDR412W	NaN	-0.224
YDR413C	NaN	3.189
YDR414C	1.576	NaN
YDR415C	-0.055	NaN
YDR416W	NaN	-1.136
YDR417C	-0.233	NaN
YDR418W	0.418	NaN
YDR419W	0.272	NaN
YDR420W	0.324	NaN
YDR421W	0.616	NaN
YDR422C	0.177	NaN
YDR423C	0.420	NaN
YDR424C	-0.133	NaN
YDR425W	0.467	NaN
YDR426C	-0.193	NaN
YDR427W	NaN	-0.247
YDR428C	-0.554	NaN
YDR429C	NaN	5.316
YDR430C	-1.579	NaN
YDR431W	-1.950	NaN
YDR432W	1.320	NaN
YDR433W	1.301	NaN
YDR434W	NaN	0.272
YDR435C	1.472	NaN
YDR436W	1.108	NaN
YDR437W	NaN	0.454
YDR438W	0.872	NaN
YDR439W	0.052	NaN
YDR440W	-1.192	NaN
YDR441C	0.866	NaN
YDR442W	1.047	NaN
YDR443C	-0.271	NaN
YDR444W	-0.452	NaN
YDR445C	-0.581	NaN
YDR446W	-0.467	NaN
YDR447C	0.324	NaN
YDR448W	1.025	NaN
YDR449C	NaN	1.512
YDR450W	0.787	NaN
YDR451C	0.380	NaN
YDR452W	0.746	NaN
YDR453C	-0.390	NaN
YDR454C	NaN	0.455
YDR455C	-1.111	NaN
YDR456W	1.397	NaN
YDR457W	-1.099	NaN
YDR458C	-0.278	NaN
YDR459C	-0.160	NaN
YDR460W	NaN	0.066
YDR461W	0.869	NaN
YDR462W	-1.320	NaN
YDR463W	2.956	NaN
YDR464W	NaN	-2.354
YDR465C	-2.850	NaN
YDR466W	-0.048	NaN
YDR467C	-0.704	NaN
YDR468C	NaN	-0.910
YDR469W	1.349	NaN
YDR470C	NaN	NaN
YDR471W	-0.429	NaN
YDR472W	NaN	-0.514
YDR473C	NaN	-0.315
YDR475C	-1.484	NaN
YDR476C	1.431	NaN
YDR477W	NaN	NaN
YDR478W	NaN	-0.550
YDR479C	0.473	NaN
YDR480W	-0.170	NaN
YDR481C	-0.072	NaN
YDR482C	0.478	NaN
YDR483W	-0.005	NaN
YDR484W	1.025	NaN
YDR485C	-0.417	NaN
YDR486C	-0.392	NaN
YDR487C	NaN	-0.736
YDR488C	-1.357	NaN
YDR489W	NaN	-0.439
YDR490C	1.328	NaN
YDR491C	0.063	NaN
YDR492W	0.283	NaN
YDR493W	-0.486	NaN
YDR494W	-0.516	NaN
YDR495C	-0.281	NaN
YDR496C	1.387	NaN
YDR497C	0.369	NaN
YDR498C	NaN	0.845
YDR499W	NaN	-1.349
YDR500C	0.899	NaN
YDR501W	0.126	NaN
YDR502C	0.082	NaN
YDR503C	-0.353	NaN
YDR504C	-0.154	NaN
YDR505C	0.427	NaN
YDR506C	-0.445	NaN
YDR507C	-1.002	NaN
YDR508C	1.064	NaN
YDR509W	-0.132	NaN
YDR510W	NaN	-2.678
YDR511W	-0.243	NaN
YDR512C	-0.501	NaN
YDR513W	-0.313	NaN
YDR514C	-0.900	NaN
YDR515W	0.066	NaN
YDR516C	0.928	NaN
YDR517W	-0.115	NaN
YDR518W	-3.042	NaN
YDR519W	-1.571	NaN
YDR520C	1.074	NaN
YDR521W	0.360	NaN
YDR522C	0.105	NaN
YDR523C	-0.141	NaN
YDR524C	0.299	NaN
YDR524C-B	2.118	NaN
YDR524W-C	1.238	NaN
YDR525W	0.538	NaN
YDR525W-A	1.207	NaN
YDR526C	NaN	4.905
YDR527W	NaN	0.269
YDR528W	-1.184	NaN
YDR529C	-0.210	NaN
YDR530C	-0.780	NaN
YDR531W	NaN	0.110
YDR532C	1.041	NaN
YDR533C	-1.602	NaN
YDR534C	0.601	NaN
YDR535C	0.300	NaN
YDR536W	-1.713	NaN
YDR537C	0.483	NaN
YDR538W	0.463	NaN
YDR539W	-0.712	NaN
YDR540C	-0.312	NaN
YDR541C	-5.204	NaN
YEL001C	-0.744	NaN
YEL002C	NaN	0.095
YEL003W	1.918	NaN
YEL004W	-0.463	NaN
YEL005C	0.860	NaN
YEL006W	0.461	NaN
YEL007W	0.310	NaN
YEL008W	0.391	NaN
YEL009C	-1.119	NaN
YEL010W	0.984	NaN
YEL011W	0.332	NaN
YEL012W	-1.651	NaN
YEL013W	-1.039	NaN
YEL014C	-0.981	NaN
YEL015W	-0.340	NaN
YEL016C	-0.246	NaN
YEL017C-A	1.658	NaN
YEL017W	-1.448	NaN
YEL018W	-0.355	NaN
YEL019C	NaN	-1.989
YEL020C	0.731	NaN
YEL022W	0.446	NaN
YEL023C	1.035	NaN
YEL024W	-1.125	NaN
YEL025C	0.592	NaN
YEL026W	NaN	0.874
YEL027W	-1.561	NaN
YEL028W	1.231	NaN
YEL029C	-0.148	NaN
YEL030W	-0.550	NaN
YEL031W	-0.686	NaN
YEL032W	NaN	1.012
YEL033W	-0.581	NaN
YEL034W	NaN	-3.771
YEL035C	NaN	-1.472
YEL036C	1.488	NaN
YEL037C	-0.634	NaN
YEL038W	-0.401	NaN
YEL039C	-0.939	NaN
YEL040W	0.307	NaN
YEL041W	0.354	NaN
YEL042W	-0.015	NaN
YEL043W	1.159	NaN
YEL044W	-0.025	NaN
YEL045C	2.945	NaN
YEL046C	2.084	NaN
YEL047C	0.202	NaN
YEL048C	1.207	NaN
YEL049W	0.388	NaN
YEL050C	0.289	NaN
YEL051W	-0.630	NaN
YEL052W	-0.865	NaN
YEL053C	2.084	NaN
YEL054C	1.489	NaN
YEL055C	NaN	-1.827
YEL056W	-0.789	NaN
YEL057C	1.436	NaN
YEL058W	NaN	0.102
YEL059C-A	0.561	NaN
YEL059W	-0.762	NaN
YEL060C	0.380	NaN
YEL061C	0.303	NaN
YEL062W	-0.319	NaN
YEL063C	1.026	NaN
YEL064C	0.289	NaN
YEL065W	0.630	NaN
YEL066W	1.140	NaN
YEL067C	-0.831	NaN
YEL068C	0.059	NaN
YEL071W	-0.487	NaN
YEL072W	-0.485	NaN
YER001W	1.184	NaN
YER002W	-0.107	NaN
YER003C	NaN	-0.689
YER004W	0.895	NaN
YER005W	0.906	NaN
YER006W	NaN	0.233
YER007C-A	0.748	NaN
YER007W	0.388	NaN
YER008C	NaN	0.491
YER009W	NaN	2.767
YER010C	-0.558	NaN
YER011W	-0.647	NaN
YER012W	NaN	1.618
YER013W	NaN	-0.327
YER014C-A	-0.415	NaN
YER014W	-0.736	NaN
YER015W	1.791	NaN
YER016W	1.514	NaN
YER017C	1.310	NaN
YER018C	NaN	-2.019
YER019C-A	0.509	NaN
YER019W	0.433	NaN
YER020W	1.470	NaN
YER021W	NaN	1.746
YER022W	NaN	0.821
YER023W	NaN	-0.465
YER024W	-0.304	NaN
YER025W	NaN	1.729
YER026C	NaN	NaN
YER027C	0.028	NaN
YER028C	-0.650	NaN
YER030W	-0.822	NaN
YER031C	-0.372	NaN
YER032W	-0.322	NaN
YER033C	-0.868	NaN
YER034W	0.089	NaN
YER035W	NaN	-2.568
YER036C	NaN	-0.290
YER037W	-0.449	NaN
YER038C	NaN	0.197
YER038W-A	0.509	NaN
YER039C	0.483	NaN
YER039C-A	0.692	NaN
YER040W	1.494	NaN
YER041W	1.471	NaN
YER042W	0.188	NaN
YER043C	NaN	2.703
YER044C	0.257	NaN
YER044C-A	1.605	NaN
YER045C	1.090	NaN
YER046W	1.378	NaN
YER046W-A	-0.673	NaN
YER047C	-0.283	NaN
YER048C	0.223	NaN
YER048W-A	NaN	-8.748
YER049W	1.067	NaN
YER050C	0.002	NaN
YER051W	0.354	NaN
YER052C	-0.329	NaN
YER053C	1.220	NaN
YER053C-A	-0.554	NaN
YER054C	NaN	NaN
YER055C	1.086	NaN
YER056C	0.317	NaN
YER056C-A	2.699	NaN
YER057C	-0.684	NaN
YER058W	-0.639	NaN
YER059W	-0.751	NaN
YER060W	-1.585	NaN
YER060W-A	-0.605	NaN
YER061C	-0.242	NaN
YER062C	0.928	NaN
YER063W	1.378	NaN
YER064C	-0.338	NaN
YER065C	-0.990	NaN
YER066C-A	-0.305	NaN
YER066W	-0.327	NaN
YER067C-A	-0.245	NaN
YER067W	0.542	NaN
YER068C-A	0.308	NaN
YER068W	NaN	NaN
YER069W	-0.882	NaN
YER070W	NaN	NaN
YER071C	-0.095	NaN
YER072W	1.135	NaN
YER073W	-1.219	NaN
YER074W	0.169	NaN
YER074W-A	NaN	0.492
YER075C	-0.423	NaN
YER076C	1.026	NaN
YER077C	-1.533	NaN
YER078C	0.151	NaN
YER079W	0.780	NaN
YER080W	-2.396	NaN
YER081W	0.501	NaN
YER082C	NaN	1.730
YER083C	0.376	NaN
YER084W	1.050	NaN
YER085C	0.170	NaN
YER086W	-0.928	NaN
YER087C-B	-1.572	NaN
YER087W	-1.688	NaN
YER088C	0.270	NaN
YER089C	-1.067	NaN
YER090W	-0.048	NaN
YER091C	-0.030	NaN
YER091C-A	0.059	NaN
YER092W	-0.440	NaN
YER093C	NaN	-0.166
YER093C-A	-0.347	NaN
YER094C	NaN	2.636
YER095W	-0.647	NaN
YER096W	-0.350	NaN
YER097W	0.050	NaN
YER098W	0.713	NaN
YER099C	1.024	NaN
YER101C	-1.245	NaN
YER103W	1.158	NaN
YER104W	NaN	-0.627
YER105C	-0.765	NaN
YER106W	0.663	NaN
YER107C	-0.387	NaN
YER108C	-1.754	NaN
YER109C	-0.849	NaN
YER110C	-0.109	NaN
YER111C	-0.691	NaN
YER112W	NaN	-2.694
YER113C	1.594	NaN
YER114C	-1.370	NaN
YER115C	-0.702	NaN
YER116C	-0.783	NaN
YER117W	-0.476	NaN
YER118C	0.598	NaN
YER119C	0.193	NaN
YER119C-A	0.796	NaN
YER120W	0.804	NaN
YER121W	0.926	NaN
YER122C	-1.409	NaN
YER123W	0.279	NaN
YER124C	-1.080	NaN
YER125W	NaN	-11.046
YER126C	NaN	-1.455
YER127W	NaN	3.766
YER128W	1.253	NaN
YER129W	0.074	NaN
YER130C	-0.350	NaN
YER131W	1.216	NaN
YER132C	-0.266	NaN
YER133W	NaN	0.323
YER134C	-0.266	NaN
YER135C	-0.234	NaN
YER136W	NaN	0.768
YER137C	-0.891	NaN
YER139C	-0.860	NaN
YER140W	0.178	NaN
YER141W	-0.991	NaN
YER142C	-1.936	NaN
YER143W	-1.312	NaN
YER144C	0.971	NaN
YER145C	0.300	NaN
YER146W	NaN	0.445
YER147C	NaN	0.395
YER148W	NaN	-0.395
YER149C	-0.106	NaN
YER150W	-0.096	NaN
YER151C	-0.516	NaN
YER152C	1.091	NaN
YER153C	-0.425	NaN
YER154W	-2.103	NaN
YER155C	-0.053	NaN
YER156C	-0.301	NaN
YER157W	NaN	-0.399
YER158C	0.922	NaN
YER159C	NaN	-0.809
YER161C	0.650	NaN
YER162C	2.276	NaN
YER163C	0.557	NaN
YER164W	-0.922	NaN
YER165W	NaN	-0.694
YER166W	-0.526	NaN
YER167W	0.568	NaN
YER168C	NaN	-0.252
YER169W	0.395	NaN
YER170W	1.148	NaN
YER171W	NaN	1.120
YER172C	NaN	0.462
YER173W	0.245	NaN
YER174C	-1.337	NaN
YER175C	0.174	NaN
YER175W-A	0.334	NaN
YER176W	1.816	NaN
YER177W	0.869	NaN
YER178W	-1.501	NaN
YER179W	-0.221	NaN
YER180C	1.844	NaN
YER180C-A	-0.467	NaN
YER181C	-0.381	NaN
YER182W	-0.064	NaN
YER183C	-0.515	NaN
YER184C	0.062	NaN
YER185W	0.024	NaN
YER186C	0.802	NaN
YER186W-A	0.734	NaN
YER187W	0.199	NaN
YER188W	-0.396	NaN
YFL001W	-0.107	NaN
YFL002C	NaN	4.048
YFL003C	0.395	NaN
YFL004W	0.525	NaN
YFL005W	NaN	1.447
YFL007W	0.010	NaN
YFL008W	NaN	-1.365
YFL009W	NaN	-0.139
YFL010C	-0.324	NaN
YFL010W-A	0.187	NaN
YFL011W	0.365	NaN
YFL012W	0.075	NaN
YFL012W-A	0.231	NaN
YFL013C	-1.500	NaN
YFL014W	-0.929	NaN
YFL015C	0.348	NaN
YFL016C	-2.998	NaN
YFL017C	NaN	-0.282
YFL017W-A	NaN	-3.273
YFL018C	-0.564	NaN
YFL019C	-0.738	NaN
YFL020C	-0.323	NaN
YFL021W	0.440	NaN
YFL022C	NaN	-0.475
YFL023W	0.410	NaN
YFL024C	NaN	-2.043
YFL025C	1.747	NaN
YFL026W	NaN	-0.016
YFL027C	1.355	NaN
YFL028C	-1.016	NaN
YFL029C	NaN	1.762
YFL030W	0.791	NaN
YFL031W	0.018	NaN
YFL032W	0.484	NaN
YFL033C	-0.523	NaN
YFL034C-A	1.185	NaN
YFL034C-B	NaN	-1.782
YFL034W	0.793	NaN
YFL036W	0.359	NaN
YFL037W	NaN	0.354
YFL038C	NaN	1.498
YFL039C	NaN	6.059
YFL040W	-0.858	NaN
YFL041W	0.677	NaN
YFL041W-A	-0.474	NaN
YFL042C	-0.175	NaN
YFL044C	-0.312	NaN
YFL045C	NaN	1.188
YFL046W	0.273	NaN
YFL047W	0.119	NaN
YFL048C	-0.069	NaN
YFL049W	0.692	NaN
YFL050C	-0.349	NaN
YFL051C	-0.013	NaN
YFL052W	-0.353	NaN
YFL053W	-0.418	NaN
YFL054C	0.096	NaN
YFL055W	-0.270	NaN
YFL056C	0.284	NaN
YFL063W	-0.053	NaN
YFR001W	-0.913	NaN
YFR002W	NaN	5.709
YFR003C	NaN	2.038
YFR004W	NaN	1.109
YFR005C	NaN	0.290
YFR006W	-0.323	NaN
YFR007W	0.765	NaN
YFR008W	0.183	NaN
YFR009W	1.355	NaN
YFR010W	0.012	NaN
YFR011C	-1.575	NaN
YFR012W	2.037	NaN
YFR012W-A	0.608	NaN
YFR013W	-0.937	NaN
YFR014C	-0.367	NaN
YFR015C	-0.611	NaN
YFR016C	0.816	NaN
YFR017C	0.335	NaN
YFR018C	-0.634	NaN
YFR019W	-1.555	NaN
YFR020W	-0.895	NaN
YFR021W	0.067	NaN
YFR022W	-0.011	NaN
YFR023W	0.065	NaN
YFR024C-A	0.250	NaN
YFR025C	1.719	NaN
YFR026C	0.570	NaN
YFR027W	NaN	-1.214
YFR028C	NaN	-0.082
YFR029W	NaN	-2.445
YFR030W	-0.917	NaN
YFR031C	NaN	0.736
YFR031C-A	1.688	NaN
YFR032C	0.940	NaN
YFR032C-A	2.318	NaN
YFR032C-B	0.155	NaN
YFR033C	0.151	NaN
YFR034C	0.081	NaN
YFR035C	0.206	NaN
YFR036W	-6.599	NaN
YFR037C	NaN	-2.155
YFR038W	-0.456	NaN
YFR039C	-0.003	NaN
YFR040W	-0.764	NaN
YFR041C	0.912	NaN
YFR042W	NaN	0.106
YFR043C	0.646	NaN
YFR044C	0.156	NaN
YFR045W	0.495	NaN
YFR046C	2.173	NaN
YFR047C	-1.138	NaN
YFR048W	-0.547	NaN
YFR049W	-1.214	NaN
YFR050C	NaN	2.176
YFR051C	NaN	3.204
YFR052W	NaN	0.677
YFR053C	-1.190	NaN
YFR054C	0.316	NaN
YFR055W	-2.493	NaN
YFR056C	0.580	NaN
YFR057W	-0.259	NaN
YGL001C	NaN	-1.289
YGL002W	0.157	NaN
YGL003C	-0.326	NaN
YGL004C	-0.269	NaN
YGL005C	2.306	NaN
YGL006W	0.879	NaN
YGL006W-A	-0.023	NaN
YGL007C-A	1.610	NaN
YGL007W	0.025	NaN
