orf	hom | growth (culture turbidity) | diarsenic trioxide [0.2-1.2 mM] | Dilda PJ~Hogg PJ, 2008
YAL011W	-4.310528949610413
YAL012W	-6.492379093977439
YAL013W	-2.6585586192696695
YAL021C	-2.9873788650279045
YAL024C	-3.8753138814150647
YAL047C	-1.7162028302006098
YAL055W	-1.3768253907428787
YAR003W	-1.8759730923147007
YAR015W	-2.5620456406594885
YBL007C	-2.4879727935120273
YBL027W	2.2077560377794585
YBL029W	1.0992772956178805
YBL038W	-1.5787001348837846
YBL045C	-1.075487083090921
YBL051C	-1.5943027813313275
YBL056W	1.1730175255915278
YBL083C	-2.5688550345873082
YBL087C	1.1486033839941387
YBL090W	-2.4219198720711974
YBR011C	-1.8200825961228706
YBR035C	-2.474665780109722
YBR036C	-3.025821663940968
YBR066C	-1.328062100238465
YBR077C	-7.837184887067182
YBR078W	-2.9721149325011127
YBR127C	-1.5118524769547592
YBR128C	1.3672557478976024
YBR156C	2.446784710708872
YBR173C	-1.8256331099556706
YBR174C	-1.421279100255588
YBR175W	-1.2561229059513137
YBR179C	-2.5756772161168673
YBR191W	3.8272019610199504
YBR213W	-1.9327369127722558
YBR267W	-1.6415168688207185
YBR268W	-1.4662835235419762
YBR277C	-1.7924565268914014
YBR278W	-1.7759811671481815
YBR279W	-1.8929093029281732
YBR291C	-1.8367596442181766
YBR293W	-2.3186714136766304
YCL001W-A	-2.0905829579775657
YCL007C	-2.2681271465509107
YCL010C	-1.8929093029281732
YCL029C	-1.9904017837948214
YCR046C	-1.8591154722884051
YCR047C	-3.5486539822804906
YCR050C	-2.435034726014746
YCR061W	-2.494644623848025
YCR068W	-2.9267042087487884
YCR081W	-4.3659927841543436
YCR086W	-4.277652611233852
YCR095C	-1.7000689298247718
YCR098C	1.95777156265679
YDL005C	-1.204258408466767
YDL020C	-2.852258763519283
YDL023C	0.4652536862765757
YDL025C	-2.1266111269600203
YDL039C	-3.89489781346189
YDL041W	-3.798017122862241
YDL048C	2.0640299129369106
YDL065C	-0.9163604513274274
YDL074C	-6.698844343353214
