orf	hom | growth (culture turbidity) | diarsenic trioxide [0.2-1.2 mM] | Dilda PJ~Hogg PJ, 2008
YAL011W	-1.2039728043259361
YAL012W	-1.8045684275206362
YAL013W	-0.7492366472109889
YAL021C	-0.8397506547518206
YAL024C	-1.0841716045133154
YAL047C	-0.48983534787415495
YAL055W	-0.3964152725882465
YAR003W	-0.5338151419906895
YAR015W	-0.722669619826267
YBL007C	-0.7022796641232177
YBL027W	0.5903087343348288
YBL029W	0.28517894223366247
YBL038W	-0.45198512374305727
YBL045C	-0.3134661896074955
YBL051C	-0.45628004802593797
YBL056W	0.3054773387527284
YBL083C	-0.7245440346206173
YBL087C	0.29875688335147016
YBL090W	-0.6840973450400275
YBR011C	-0.51843022315121
YBR035C	-0.6986166563644808
YBR036C	-0.8503327640823577
YBR066C	-0.38299225225610584
YBR077C	-2.174751721484161
YBR078W	-0.8355489678981206
YBR127C	-0.43358403837216597
YBR128C	0.35894509247327155
YBR156C	0.6561059088795962
YBR173C	-0.5199581073292632
YBR174C	-0.4086519990366834
YBR175W	-0.3631896249599261
YBR179C	-0.7264219694448175
YBR191W	1.0360919316867758
YBR213W	-0.5494404598937702
YBR267W	-0.4692766208531182
YBR268W	-0.42104031989363566
YBR277C	-0.5108256237659907
YBR278W	-0.5062904686005993
YBR279W	-0.5384771550965007
YBR291C	-0.5230208968598089
YBR293W	-0.6556762491304517
YCL001W-A	-0.5928905768202949
YCL007C	-0.6417629812134666
YCL010C	-0.5384771550965007
YCL029C	-0.5653138090500603
YCR046C	-0.5291747624341872
YCR047C	-0.9942522733438669
YCR050C	-0.6877074572641272
YCR061W	-0.7041162119305192
YCR068W	-0.8230488051338892
YCR081W	-1.2192402764567243
YCR086W	-1.1949229688060181
YCR095C	-0.48539418587418687
YCR098C	0.5214957674988979
YDL005C	-0.3489129386032432
YDL020C	-0.8025562847437718
YDL023C	0.11065192178012656
YDL025C	-0.6028080134776409
YDL039C	-1.0895624531481918
YDL041W	-1.0628942060660305
YDL048C	0.55074539322177
YDL065C	-0.2696635669491026
YDL074C	-1.861401902283802
YDL075W	-0.579818495252942
YDL082W	0.6288510542847899
YDL096C	0.3963326245448918
YDL106C	-0.6314536115546053
YDL118W	-0.43498754737448625
YDL119C	-0.39912163418598945
YDL133W	-0.7124226740882725
YDL151C	-1.3972633924904645
YDL160C	-0.4113917267778038
YDL172C	-0.5153814403018514
YDL173W	-0.7059561388525264
YDL198C	-0.33865643843605403
YDL202W	-0.30233434923865127
YDR001C	-0.40319495957362517
YDR017C	-1.7935793059450411
YDR027C	-1.0166134535020241
YDR028C	-1.921661093801999
YDR057W	-0.3412107182411508
YDR065W	-0.5573456394008836
YDR067C	-0.5685189399990087
YDR074W	-0.7301884522402944
YDR083W	0.50626980723013
YDR099W	-0.3060312111199775
YDR135C	-1.2347444629926898
YDR149C	-0.7415737744654197
YDR158W	-0.3964152725882465
YDR161W	0.818978549399157
YDR173C	-2.320934231662242
YDR175C	-0.6662397276400209
YDR176W	-2.428354480283079
YDR181C	-0.3923694140687028
YDR195W	-0.6521797420717224
YDR197W	-0.5510165043492359
YDR207C	-1.2100518504023183
YDR231C	-0.464925635018792
YDR254W	0.4574248470388755
YDR264C	-0.5830705306393194
YDR268W	-0.7550225842780328
YDR293C	-2.0263317163658874
YDR310C	-0.527632742082372
YDR323C	-0.7077994573468157
YDR329C	-0.28889492887699014
YDR332W	-0.5384771550965007
YDR334W	-0.33483721036905867
YDR337W	-0.5928905768202949
YDR347W	-0.2974263639264591
YDR349C	1.0312414775530263
YDR350C	-0.410020924644025
YDR369C	-0.6539264674066639
YDR388W	-0.5245558165778927
YDR405W	-0.7096461799399804
YDR408C	-0.7264219694448175
YDR442W	-1.2600622709769795
YDR443C	-0.7944754326898331
YDR448W	-2.1278681355853104
YDR469W	-0.39102442395337
YDR484W	-0.3285040669720361
YDR485C	-0.7985076962177716
YDR486C	-0.28163975799581836
YDR495C	-0.6434915901140843
YDR500C	-0.4928071182633123
YDR511W	0.39019763597737595
YDR516C	-0.3592757256387897
YDR525W	-0.792465381761809
YEL003W	-1.0841716045133154
YEL031W	-0.9208465484100158
YEL053C	-0.3489129386032432
YEL062W	0.6668965366871151
YER002W	0.37030885112358664
YER007C-A	0.525266307920785
YER007W	-0.9699792369876604
YER016W	-0.4196562366276973
YER017C	-0.33865643843605403
YER020W	0.2609646841130677
YER030W	0.26236426446749106
YER044C	0.26933293378358436
YER052C	-0.43358403837216597
YER061C	-0.329767491018808
YER075C	0.371563556432483
YER077C	-0.38165980702232716
YER110C	-0.5153814403018514
YER113C	-0.4182740664007455
YER116C	-0.8915981192837836
YER117W	-0.3310325133253948
YER141W	-0.4605934982796575
YER151C	-1.2504928199608287
YER166W	0.40121365925080615
YER177W	-0.668011207288403
YFL025C	-0.916290731874155
YFR019W	-1.7249507995559445
YFR030W	-0.45198512374305727
YFR032C-A	0.6092713783812835
YFR040W	-0.6787064964051509
YFR048W	-0.5653138090500603
YGL010W	0.25886163391628897
YGL012W	-1.0369187196627698
YGL025C	-1.3647107894527162
YGL026C	-0.4736466205242367
YGL031C	0.5198754592859086
YGL043W	0.47170672361140836
YGL058W	-1.2223219429941325
YGL066W	-0.6787064964051509
YGL070C	-2.2323808343207974
YGL071W	-0.7588985581227258
YGL084C	-0.9486261125170915
YGL133W	-0.3172045117181027
YGL147C	0.6668965366871151
YGL148W	-0.47510754116391146
YGL168W	-0.9942522733438669
YGL203C	0.6346509738783368
YGL206C	-1.6512073253103954
YGL211W	-0.3184537311185346
YGL213C	0.6384989824745101
YGL236C	-0.3592757256387897
YGR057C	-1.4856125623217544
YGR061C	-0.51843022315121
YGR072W	1.1016380095846467
YGR077C	-0.3763477095374372
YGR078C	-2.908720896564361
YGR092W	-0.8827680398355116
YGR097W	1.2592354830009855
YGR104C	-1.3470736479666092
YGR105W	-2.503255788456197
YGR133W	-0.33356736892858285
YGR155W	-1.7773187850732606
YGR163W	-2.0614230361771577
YGR192C	-0.35667494393873245
YGR220C	-0.35149358519673485
YGR229C	-0.6697858306467714
YGR255C	-0.4795031526369495
YGR270W	-0.3671189030998156
YHL020C	-0.5525950366422857
YHL023C	0.5918189284300575
YHL029C	-0.42659588973823775
YHL031C	-0.3964152725882465
YHR012W	-0.5781964348810741
YHR013C	-0.6061358035703156
YHR039C-A	-2.754570216737103
YHR051W	-0.30479740467104893
YHR077C	1.0703375101999433
YHR081W	0.7496993500648664
YHR147C	-0.31098171627983356
YHR154W	-0.6348782724359695
YHR178W	-0.9117555767087638
YHR183W	-0.5153814403018514
YHR203C	0.5725191927713306
YHR204W	0.7191692859231454
YHR206W	-0.3644976696199414
YIL002C	-0.3285040669720361
YIL008W	0.36842383642781534
YIL017C	-1.0166134535020241
YIL018W	-0.48391817084606636
YIL029C	-0.3184537311185346
YIL053W	-0.7785070295111021
YIL065C	-0.4620354595965587
YIL069C	0.39019763597737595
YIL070C	-0.8893832789542307
YIL077C	-0.3184537311185346
YIL093C	-0.7884573603642702
YIL098C	-0.6314536115546053
YIL133C	0.6077873316087886
YIL148W	-0.5781964348810741
YIL154C	-0.3450544129157137
YIR017C	-0.9185660457112905
YIR021W	-0.4238142467763609
YIR026C	0.6151856390902335
YJL047C	-0.388339858582701
YJL053W	-0.5510165043492359
YJL062W	-0.843970070294529
YJL063C	-0.29498137493339255
YJL075C	-0.42659588973823775
YJL080C	-1.2992829841302609
YJL101C	-0.6931471805599453
YJL120W	-1.2441636849091813
YJL121C	-0.9509762898620451
YJL128C	-1.2536724728782085
YJL140W	-0.3259819975393262
YJL175W	-0.4605934982796575
YJL176C	-0.6895174125093666
YJL179W	-2.783557753610355
YJL201W	-0.6751286750572671
YJR014W	0.5611730163840289
YJR060W	-1.0166134535020241
YJR073C	-0.5781964348810741
YJR074W	-0.3723820731440903
YJR083C	-0.3540809087616858
YJR102C	-0.5199581073292632
YJR104C	-1.7827096337081372
YJR113C	-0.41276441058977587
YJR122W	-0.8960425710442076
YJR137C	-0.2780318166196192
YJR139C	-0.9628107475090478
YKL001C	-0.4707311665641126
YKL016C	-0.7884573603642702
YKL033W-A	-0.38700027365364464
YKL037W	-0.6044705242512542
YKL048C	-1.3682758556172123
YKL051W	-0.3437715391028245
YKL096W	0.7419373447293773
YKL097C	-0.33483721036905867
YKL130C	-0.6348782724359695
YKL161C	-0.27683205642771513
YKL164C	-0.3723820731440903
YKL204W	-1.3754443450958247
YKL212W	-0.737764246048752
YKR007W	-1.1653350116205219
YKR029C	0.36842383642781534
YKR042W	0.7793248768009977
YKR073C	0.6322384274729529
YLL002W	-0.8107029693115899
YLL040C	-0.5369207345488425
YLR006C	-1.730065900222715
YLR024C	0.8048511701399466
YLR027C	-1.1225324723857617
YLR048W	0.46029758673355897
YLR052W	-0.36057865741920575
YLR056W	-0.6715636088927709
YLR067C	-0.7569586933048992
YLR069C	-0.5733459807473247
YLR087C	-0.6697858306467714
YLR113W	-1.8910776704299186
YLR139C	-0.5478668954463398
YLR148W	-2.275677640074121
YLR192C	1.157452788691043
YLR200W	-0.9392802500988537
YLR232W	-0.33356736892858285
YLR242C	-0.4678241877728034
YLR260W	-0.4942963218147801
YLR268W	-0.8524626903401825
YLR303W	-0.4678241877728034
YLR304C	-0.589606501619105
YLR320W	-1.3611583878483484
YLR322W	-1.9924301646902063
YLR330W	-0.6521797420717224
YLR374C	-0.616186139423817
YLR396C	-1.5266019068549512
YLR423C	-0.4634795031687923
YLR426W	-0.42659588973823775
YLR448W	0.6551620673748899
YLR455W	-0.3964152725882465
YML007W	-1.4816045409242156
YML008C	-1.1394342831883648
YML009C-A	0.84078317936601
YML012C-A	-0.8045867422941538
YML016C	-1.052422906198735
YML019W	-0.43498754737448625
YML026C	0.49525041198051933
YML032C	-0.8107029693115899
YML057C-A	0.4585749334221128
YML057W	0.5454905203834112
YML061C	-0.7530902165269789
YML094C-A	-3.6018680771243066
YML094W	-1.2992829841302609
YML106W	0.6442433735697762
YML117W	-0.6434915901140843
YML121W	-0.5733459807473247
YML124C	-0.6715636088927709
YMR016C	-0.737764246048752
YMR021C	-1.4423838277709342
YMR038C	-0.3184537311185346
YMR077C	-0.5685189399990087
YMR078C	-0.5478668954463398
YMR100W	0.8068816276903285
YMR188C	-0.6895174125093666
YMR190C	-0.464925635018792
YMR193C-A	0.50626980723013
YMR198W	-0.5431610044089271
YMR228W	-0.8334547262950058
YMR263W	-0.7152068986246776
YMR275C	-1.927891643552635
YMR294W	-0.7004464830415569
YMR307W	-1.434720955025365
YMR311C	-0.914020583339616
YNL003C	-0.3950648334903751
YNL005C	-0.5749601861018658
YNL025C	-1.7249507995559445
YNL032W	-0.5749601861018658
YNL046W	-0.5338151419906895
YNL064C	-2.3491051086289385
YNL136W	0.7178397931503168
YNL161W	-0.38432647526924246
YNL167C	-0.3618832890458705
YNL175C	-0.3412107182411508
YNL179C	-0.38432647526924246
YNL186W	-0.8761962746722769
YNL196C	-0.3412107182411508
YNL197C	-0.410020924644025
YNL199C	-0.8696674157898134
YNL203C	-0.38432647526924246
YNL204C	-0.2925423493340337
YNL218W	-1.9857856219715375
YNL225C	-1.6849454649422455
YNL226W	0.7332416377618235
YNL227C	0.6840146969966728
YNL229C	-1.8791014793832028
YNL248C	0.8651888067341506
YNL250W	-0.9439422632046651
YNL271C	-0.4692766208531182
YNL280C	-1.8791014793832028
YNL296W	-0.7944754326898331
YNL307C	-0.8938178760220964
YNL329C	-0.3723820731440903
YNR006W	-0.4018353400575857
YNR031C	-1.4158168003862124
YNR036C	-0.5062904686005993
YNR037C	-0.47510754116391146
YNR042W	-0.45628004802593797
YNR045W	-0.48391817084606636
YOL009C	-1.2959551940375862
YOL012C	-0.8045867422941538
YOL033W	-0.38299225225610584
YOL041C	0.7987349431225105
YOL050C	-0.5260930958967791
YOL064C	-0.9277194276977778
YOL089C	-0.5589342020860214
YOL121C	0.4969110821656598
