ORF	hom | growth (culture turbidity) | diarsenic trioxide [0.2-1.2 mM] | Dilda PJ~Hogg PJ, 2008
YBR278W	-0.506
YJL201W	-0.675
YBR078W	-0.836
YDR516C	-0.359
YMR307W	-1.435
YHL031C	-0.396
YML121W	-0.573
YGR163W	-2.061
YGL084C	-0.949
YER110C	-0.515
YJL062W	-0.844
YLR260W	-0.494
YGR057C	-1.486
YAL024C	-1.084
YEL053C	-0.349
YOL009C	-1.296
YKR007W	-1.165
YJR074W	-0.372
YML117W	-0.643
YPL024W	-1.247
YNL175C	-0.341
YJR073C	-0.578
YML019W	-0.435
YBR035C	-0.699
YNR045W	-0.484
YDL065C	-0.270
YAL055W	-0.396
YDR329C	-0.289
YNL329C	-0.372
YGR077C	-0.376
YOR104W	-0.474
YKL164C	-0.372
YDL039C	-1.090
YGL071W	-0.759
YDR195W	-0.652
YFR048W	-0.565
YER117W	-0.331
YIL018W	-0.484
YDL075W	-0.580
YDR500C	-0.493
YIL148W	-0.578
YFR040W	-0.679
YDR181C	-0.392
YDR469W	-0.391
YLR268W	-0.852
YCL010C	-0.538
YKL130C	-0.635
YGR229C	-0.670
YEL031W	-0.921
YNL204C	-0.293
YDL133W	-0.970
YNL179C	-0.384
YDR310C	-0.528
YAL011W	-1.204
YBR175W	-0.363
YDR334W	-0.335
YGR192C	-0.357
YDR074W	-0.730
YGL026C	-0.474
YNL197C	-0.410
YBL083C	-0.725
YBR077C	-2.175
YBR174C	-0.409
YBR277C	-0.511
YCL007C	-0.642
YCR050C	-0.688
YCR095C	-0.485
YDL023C	-0.466
YDL025C	-0.603
YDL172C	-0.515
YDR067C	-0.569
YDR149C	-0.742
YER077C	-0.382
YER113C	-0.418
YHL029C	-0.427
YIL029C	-0.318
YIL077C	-0.318
YKL097C	-0.335
YLR374C	-0.616
YNL196C	-0.341
YNL203C	-0.384
YOL050C	-0.526
YOR082C	-1.587
YOR322C	-0.575
YDR057W	-0.341
YGR270W	-0.367
