orf	hap a | growth (culture turbidity) | L-cysteine [1 mM] | SC (2) | Bhat A~Sengupta S, 2019
YAL002W	0.24526323657690569
YAL004W	0.3235947474726524
YAL007C	0.20257187938582136
YAL008W	0.1675942414271355
YAL009W	0.278368428373843
YAL010C	0.2958883523805737
YAL011W	0.2404968601062207
YAL012W	10.527795669227112
YAL013W	0.2558278874040272
YAL014C	0.19531292352665744
YAL015C	0.1945711144216791
YAL016W	0.26716489536024357
YAL017W	0.1687625280005273
YAL018C	0.22038618030614404
YAL019W	0.19690339766807735
YAL020C	0.30010094410884325
YAL021C	0.1700110793534575
YAL022C	0.19779141277935766
YAL023C	0.18981843932104656
YAL024C	0.19932291746286296
YAL026C	0.22136104267610163
YAL027W	0.20452367214109546
YAL028W	0.19315758560024002
YAL029C	0.24824853113375128
YAL030W	0.18925976996306404
YAL031C	0.2612320834087497
YAL034C	0.24253365662842294
YAL036C	0.20398529366624413
YAL037W	0.14258281236379905
YAL039C	0.21408820117555927
YAL040C	0.16653170193325587
YAL042C-A	0.17416016276482557
YAL042W	0.19532181688746866
YAL044C	0.20708768155470944
YAL045C	0.18987125222263365
YAL046C	0.15829648814304906
YAL047C	0.2904144646320587
YAL053W	0.2872079659573806
YAL054C	0.14834940182069728
YAL055W	0.11318145176854319
YAL056C-A	0.13650028012062188
YAL056W	0.1298871542983209
YAL058W	0.15443479947476124
YAL059W	0.10728123135562864
YAL060W	0.18107274026194775
YAL061W	0.19719983895567864
YAL062W	0.17995549212303297
YAL064C-A	0.23473605260769717
YAL065C	0.16760671095751992
YAL066W	0.147374132164414
YAL067C	0.20202899854606163
YAL068C	0.1741179520785259
YAR002C-A	0.25341512164658714
YAR002W	0.22528817020267544
YAR014C	0.23720674956194618
YAR015W	0.17716304134741623
YAR018C	0.2232244653864212
YAR020C	0.15884367414998393
YAR023C	0.15529541606279146
YAR027W	0.15437724920536222
YAR028W	0.18241785481247502
YAR029W	0.22122897783634646
YAR030C	0.22354510303304148
YAR031W	0.20124336948067517
YAR035W	0.20641982188833757
YAR042W	0.25382067569519196
YAR047C	0.22004463836629853
YAR050W	0.14707619767791857
YBL001C	0.31158208478733257
YBL002W	0.3019400880826795
YBL003C	0.17465477178945285
YBL005W	0.16333068041216028
YBL006C	0.18747658785397492
YBL007C	0.1580644809548956
YBL008W	0.17902626840847555
YBL009W	0.2280256264239203
YBL010C	0.2240350783742193
YBL011W	0.23309095293977797
YBL012C	0.23998771309572214
YBL013W	0.21970823170088033
YBL015W	0.28783152718840194
YBL016W	0.24682820054989646
YBL017C	0.2153538704175859
YBL019W	0.19622983315723558
YBL021C	0.20150243474314763
YBL022C	0.24734868673286828
YBL024W	0.09171102978894191
YBL025W	0.3023441561287385
YBL027W	0.36902338969777654
YBL028C	0.23831880407014197
YBL029W	0.25829715652563784
YBL031W	0.25378012968142094
YBL032W	0.24434803397857785
YBL037W	0.21004598784264192
YBL038W	0.2419657044975991
YBL039C	0.24607173946213456
YBL042C	0.19716032196300567
YBL043W	0.21024613602591116
YBL044W	0.28580652333425627
YBL045C	0.28403758141169894
YBL046W	0.33456486737909163
YBL047C	0.2806479798863007
YBL048W	0.18338508037903672
YBL049W	0.19394925661030196
YBL051C	0.2596282765535581
YBL052C	0.1945338194348528
YBL053W	0.18556683456291745
YBL054W	0.1886450451397983
YBL055C	0.20304586527717555
YBL056W	0.2769003710838433
YBL057C	0.16627317738481565
YBL059W	0.2836248158265284
YBL060W	0.2491259107180532
YBL061C	0.36963129648005605
YBL062W	0.16828836092346625
YBL063W	0.1991879305807787
YBL064C	0.1789856821760346
YBL065W	0.23375219414724946
YBL066C	0.23347669871694712
YBL067C	0.12209266358735081
YBL068W	0.18507443471715085
YBL069W	0.26090162549501145
YBL070C	0.22041416055871607
YBL071C	0.2398558590879463
YBL072C	0.1883596544297249
YBL075C	0.18732325157077104
YBL078C	0.20662648148717377
YBL079W	0.26795352249319876
YBL080C	0.19776849035332533
YBL081W	0.24969725054441944
YBL082C	0.15494614754431738
YBL083C	0.16441073620551383
YBL085W	0.17388153416310517
YBL086C	0.11805165992991772
YBL087C	0.21069048614553268
YBL088C	0.22072509221617542
YBL089W	0.32054961874184135
YBL090W	0.20496990035407384
YBL091C	0.23238066952617825
YBL091C-A	0.2740244561781783
YBL093C	0.11054462470660639
YBL095W	0.21321307381352939
YBL096C	0.2289307674031331
YBL098W	0.20899540317540824
YBL101C	0.34240217548492163
YBL102W	0.26835852530823795
YBL104C	0.2999855195600713
YBL106C	0.3518335537585839
YBL107C	0.25127003765892447
YBR001C	0.18194854122365003
YBR003W	0.24184460102860428
YBR005W	0.18312088170229898
YBR006W	0.23503200132750576
YBR007C	0.20177191976159797
YBR008C	0.23950812419824954
YBR009C	0.2382584367794607
YBR010W	0.262651758650834
YBR011C	0.2148842631193286
YBR012C	0.2599924697441595
YBR013C	0.32017579599370316
YBR014C	0.5038168778451478
YBR015C	0.42544798651570437
YBR016W	0.5174346209992092
YBR018C	0.41097248098701966
YBR019C	0.48305897912662404
YBR020W	0.2870270430511765
YBR021W	0.362297053338691
YBR022W	0.26601754567347163
YBR023C	0.2746965164179951
YBR024W	0.30433602037662477
YBR025C	0.3756774424154333
YBR026C	0.2903075175849759
YBR027C	0.3267190326109732
YBR028C	0.41225347830393755
YBR030W	0.3699655203672396
YBR031W	0.3825675668009704
YBR032W	0.30839877225015055
YBR033W	0.3321411252824986
YBR034C	0.3113283871441108
YBR035C	0.34282912409371047
YBR036C	0.28008518109344205
YBR037C	0.36048344955059003
YBR040W	0.2917198293196782
YBR041W	0.18651919944438017
YBR042C	0.26672512208438814
YBR043C	0.2941648598675687
YBR044C	0.3724592683172491
YBR045C	0.3050396910024843
YBR046C	0.3011206974970997
YBR047W	0.29130668765755185
YBR048W	0.42071181067564645
YBR050C	0.27819527681771145
YBR051W	0.2437235903556647
YBR052C	0.2906214703473161
YBR053C	0.2959790670900355
YBR054W	0.27736740141931965
YBR056W	0.2631521422710875
YBR057C	0.2720977895803315
YBR058C	0.38879540767522963
YBR059C	0.21498506560248853
YBR062C	0.2373828977157936
YBR063C	0.2578279679304515
YBR064W	0.24266257696932184
YBR065C	0.25445785943253124
YBR066C	0.24834104659665504
YBR067C	0.19325247762583095
YBR068C	0.18902521488275237
YBR069C	0.31338650115669536
YBR071W	0.2702629156065999
YBR072W	0.24742695566332262
YBR073W	0.28054317116111266
YBR074W	0.2871293027481575
YBR076W	0.23617134052617111
YBR077C	0.3320037565749325
YBR078W	0.22216756995783457
YBR083W	0.2767650909712073
YBR084C-A	0.37216773037999185
YBR084W	0.28299783445605264
YBR085W	0.1819026151731531
YBR089C-A	0.19057059660511644
YBR090C	0.20189545824323651
YBR092C	0.22566078748910157
YBR093C	0.19657721719219232
YBR094W	0.22432851787318858
YBR095C	0.20172108047628165
YBR097W	0.23751373241783796
YBR098W	0.24934838607339785
YBR099C	0.20768145202830338
YBR101C	0.2505855468143815
YBR103W	0.21014486250840222
YBR104W	0.2488036674046454
YBR105C	0.19117693055493423
YBR106W	0.28300116327025227
YBR107C	0.2020314272504878
YBR108W	0.21332931456511228
YBR111C	0.22982533617724063
YBR113W	0.1996762387835967
YBR114W	0.2050452445073415
