orf	hap a | growth (culture turbidity) | L-cysteine [1 mM] | SC (2) | Bhat A~Sengupta S, 2019
YAL002W	0.5345643706064079
YAL004W	0.6972745834265757
YAL007C	0.44588588432790166
YAL008W	0.3732303354801444
YAL009W	0.603330474325526
YAL010C	0.6397228601116542
YAL011W	0.5246636534996183
YAL012W	21.893440528038454
YAL013W	0.5565092630870282
YAL014C	0.43080758136667413
YAL015C	0.4292666955090835
YAL016W	0.5800584957803053
YAL017W	0.3756571003263443
YAL018C	0.4828897498328833
YAL019W	0.4341113142204912
YAL020C	0.6484732555628983
YAL021C	0.3782505911709491
YAL022C	0.43595589919136263
YAL023C	0.4193944388878848
YAL024C	0.4391371406884133
YAL026C	0.4849147339276914
YAL027W	0.4499401481989788
YAL028W	0.4263305134702881
YAL029C	0.5407654243984344
YAL030W	0.4182339709089839
YAL031C	0.5677348589167909
YAL034C	0.5288944871936088
YAL036C	0.44882182844210033
YAL037W	0.3212765955446496
YAL039C	0.4698075877124784
YAL040C	0.3710232284653303
YAL042C-A	0.3868690671476328
YAL042W	0.4308260546555681
YAL044C	0.45526610850015686
YAL045C	0.41950414184597434
YAL046C	0.353917042549837
YAL047C	0.6283525005931204
YAL053W	0.6216919616120857
YAL054C	0.33325495504581165
YAL055W	0.2602040899214198
YAL056C-A	0.30864195969433267
YAL056W	0.2949051748723822
YAL058W	0.3458955429275636
YAL059W	0.2479481522011715
YAL060W	0.40122787298235757
YAL061W	0.43472708205699423
YAL062W	0.39890712517120264
YAL064C-A	0.5126973042822731
YAL065C	0.37325623718840223
YAL066W	0.3312291249358562
YAL067C	0.44475821225872814
YAL068C	0.38678138711092
YAR002C-A	0.5514974661053412
YAR002W	0.4930721631450494
YAR014C	0.5178294359447791
YAR015W	0.393106646477575
YAR018C	0.48878543554320814
YAR020C	0.3550536573121782
YAR023C	0.3476832156865039
YAR027W	0.34577599950915267
YAR028W	0.4040219448990232
YAR029W	0.48464040884527054
YAR030C	0.48945146405616735
YAR031W	0.44312630358027977
YAR035W	0.45387883041491733
YAR042W	0.5523398829667547
YAR047C	0.482180298922467
YAR050W	0.330610255426641
YBL001C	0.6723218807439136
YBL002W	0.6522935253874916
YBL003C	0.3878964690034069
YBL005W	0.3643740666276046
YBL006C	0.4145299450686913
YBL007C	0.3534351172233806
YBL008W	0.39697694169045233
YBL009W	0.4987584071514679
YBL010C	0.4904692408247756
YBL011W	0.5092801032859362
YBL012C	0.5236060533398916
YBL013W	0.48148151500398534
YBL015W	0.6229872229883271
YBL016W	0.5378151137388891
YBL017C	0.47243663583596196
YBL019W	0.4327121860324362
YBL021C	0.44366443393815463
YBL022C	0.5388962676274438
YBL024W	0.215605729827367
YBL025W	0.6531328555244474
YBL027W	0.7916389581214416
YBL028C	0.5201393955463115
YBL029W	0.5616384288556072
YBL031W	0.5522556607877842
YBL032W	0.5326633117880011
YBL037W	0.4614111022605526
YBL038W	0.527714737039153
YBL039C	0.5362437927829621
YBL042C	0.43464499736062745
YBL043W	0.4618268500627194
YBL044W	0.618780885024181
YBL045C	0.6151064388990591
YBL046W	0.7200617162704082
YBL047C	0.6080655586802779
YBL048W	0.40603106582597454
YBL049W	0.427974972476092
YBL051C	0.5644034313502017
YBL052C	0.4291892263632156
YBL053W	0.4105630055718196
YBL054W	0.4169570645187506
YBL055C	0.44687044781166546
YBL056W	0.6002810257529589
YBL057C	0.3704862212786321
YBL059W	0.6142490422340398
YBL060W	0.5425879172528852
YBL061C	0.7929017020770787
YBL062W	0.374672160483634
YBL063W	0.4388567459397266
YBL064C	0.3968926359692615
YBL065W	0.5106536335084841
YBL066C	0.5100813744063313
YBL067C	0.27871445892800706
YBL068W	0.4095401926223294
YBL069W	0.5670484317451764
YBL070C	0.48294787041294995
YBL071C	0.5233321661976539
YBL072C	0.41636425094166096
YBL075C	0.4142114349443767
YBL078C	0.45430810372936575
YBL079W	0.5816966320446457
YBL080C	0.43590828472848014
YBL081W	0.543774704328452
YBL082C	0.34695771512711937
YBL083C	0.36661755849932526
YBL085W	0.38629029982187485
YBL086C	0.2703204862139723
YBL087C	0.4627498541220501
YBL088C	0.4835937376454239
YBL089W	0.6909492420896199
YBL090W	0.45086705343379174
YBL091C	0.5078047025938283
YBL091C-A	0.5943071753701131
YBL093C	0.25472687280264456
YBL095W	0.4679897731740847
YBL096C	0.5006385659748561
YBL098W	0.4592288278114014
YBL101C	0.736341372506505
YBL102W	0.582537903883708
YBL104C	0.6482334956925652
YBL106C	0.7559322312624085
YBL107C	0.5470416976903256
YBR001C	0.4030470867219769
YBR003W	0.5274631809158499
YBR005W	0.40548227234009354
YBR006W	0.5133120489569674
YBR007C	0.4442242082129323
YBR008C	0.522609851291934
YBR009C	0.5200140006113511
YBR010W	0.570683808300424
YBR011C	0.47146116756568884
YBR012C	0.565159933438222
YBR013C	0.6901727374848825
YBR014C	1.0716319889263974
YBR015C	0.9088441294701244
YBR016W	1.0999187647256885
YBR018C	0.878775609683923
YBR019C	1.0285136821355874
YBR020W	0.621316148555043
YBR021W	0.7776670123748127
YBR022W	0.5776752210345611
YBR023C	0.5957031788864261
YBR024W	0.6572703558991537
