orf	hap a | growth (colony size) | quinoxaline [9.5 mM] | YPD | Sulaiman AA~Ramotar D, 2024
YCL061C	-21.42722684857208
YDL101C	-24.998431323334092
YGR167W	-7.142408949524026
YLR192C	-21.42722684857208
YLR358C	-17.856022373810067
YML036W	-17.856022373810067
YML062C	-24.998431323334092
YMR048W	-17.856022373810067
YMR183C	-10.71361342428604
YNR051C	-17.856022373810067
YOR198C	-17.856022373810067
YPL194W	-24.998431323334092
