orf	hap a | transport to/from cell surface (Msb2) | standard [standard] | Chavel CA~Cullen PJ, 2010
YAL002W	-2.64054226812665
YAL007C	1.111820010274876
YAL008W	0.21293050432154637
YAL009W	0.23481016775245855
YAL010C	0.9869235981900822
YAL011W	0.4098474751997601
YAL012W	-3.14411132289972
YAL013W	0.5684750350738771
YAL014C	0.020571796658105785
YAL015C	-0.5774723371201744
YAL016W	-1.7670770100679956
YAL021C	0.9951284719766745
YAL022C	-0.17634517422010876
YAL023C	-1.3113527146987043
YAL024C	-0.1749431380255283
YAL026C	0.3232404741190646
YAL027W	-0.06785850970850026
YAL029C	-0.7999155820011202
YAL035W	-3.2322048334042472
YAL037W	-0.16814030043351608
YAL039C	-0.07606338349509213
YAL040C	-0.40699329288764685
YAL042C-A	0.05065633387561065
YAL042W	0.1217652400260765
YAL044C	0.27856949461428454
YAL045C	-0.2602172173719408
YAL046C	-0.4407244406769704
YAL047C	-3.1361247630432696
YAL048C	-0.5966170426222233
YAL053W	-0.8336467297904439
YAL054C	-0.33056037918452147
YAL056C-A	-3.0825007182928177
YAL056W	-0.5081867362556179
YAL058W	1.9961230739409301
YAL059W	0.5484186769288739
YAL060W	0.479133076064317
YAL061W	-0.09429643635418641
YAL062W	-0.42157973517492164
YAL064C-A	0.13570661401725442
YAL065C	-0.32494455502172376
YAL066W	-0.5747373791913102
YAR002C-A	0.5885917312397744
YAR003W	0.07618260787834195
YAR014C	1.7891779239902144
YAR015W	0.4417553177031751
YAR018C	0.29680254747337803
YAR020C	0.3077423791888349
YAR023C	-0.14808394228851324
YAR027W	0.39981929612725886
YAR028W	0.2685413155417825
YAR031W	-0.7452164234238386
YAR035W	-0.1562888160751055
YAR042W	0.4768539444569302
YAR047C	0.5529769401436474
YAR050W	-0.4492178399089262
YBL001C	2.2069627688765907
YBL002W	0.9982364285801535
YBL005W	0.6565433133151217
YBL007C	0.369687585547964
YBL008W	0.36860918055635883
YBL009W	-0.19431822506189758
YBL010C	-3.087678817540407
YBL011W	-0.5631327321911004
YBL012C	0.34057065077460635
YBL013W	-0.11990828064109385
YBL015W	-3.0067984431699672
YBL016W	-0.45744904301372635
YBL017C	0.45272476990161536
YBL019W	-0.22451356482686155
YBL021C	-0.2665713594994902
YBL022C	-3.077973172615954
YBL024W	-2.993857583270697
YBL025W	-3.0365944549421084
YBL027W	-0.04657674121189567
YBL028C	0.12812486742825313
YBL029W	0.01704915329284971
YBL031W	0.17126106709248734
YBL032W	-3.0078768481615734
YBL033C	-3.0330729086317785
YBL036C	-0.8640077248491336
YBL037W	0.2057700268238747
YBL038W	0.0731262128563542
YBL039C	0.2683175163370138
YBL042C	-0.013146186472113856
YBL043W	-0.1209866856326994
YBL044W	-3.0488562378425956
YBL045C	-0.8672429398239514
YBL046W	-3.01650408809442
