orf	hap a | transport to/from cell surface (Msb2) | standard [standard] | Chavel CA~Cullen PJ, 2010
YAL002W	7.2213899999999995
YAL007C	41.42535
YAL008W	33.23169
YAL009W	33.431129999999996
YAL010C	40.28688
YAL011W	35.02665
YAL012W	2.6311999999999998
YAL013W	36.47259
YAL014C	31.47828
YAL015C	26.02692
YAL016W	15.183300000000001
YAL021C	40.36167
YAL022C	29.68332
YAL023C	19.33737
YAL024C	29.6961
YAL026C	34.2372
YAL027W	30.672209999999996
YAL029C	23.99928
YAL035W	1.8282
YAL037W	29.758110000000002
YAL039C	30.59742
YAL040C	27.580889999999997
YAL042C-A	31.75251
YAL042W	32.40069
YAL044C	33.83001
YAL045C	28.918799999999997
YAL046C	27.273419999999998
YAL047C	2.704
YAL048C	25.85241
YAL053W	23.69181
YAL054C	28.277600000000003
YAL056C-A	3.1928
YAL056W	26.658479999999997
YAL058W	49.48605
YAL059W	36.28977
YAL060W	35.65821
YAL061W	30.431219999999996
YAL062W	27.44793
YAL064C-A	32.527770000000004
YAL065C	28.32879
YAL066W	26.05185
YAR002C-A	36.65596
YAR003W	31.98519
YAR014C	47.59968
YAR015W	35.3175
YAR018C	33.99621
YAR020C	34.09593
YAR023C	29.940929999999998
YAR027W	34.93524
YAR028W	33.7386
YAR031W	24.49788
YAR035W	29.866139999999998
YAR042W	35.637434999999996
YAR047C	36.33132
YAR050W	27.195999999999998
YBL001C	51.40792
YBL002W	40.39
YBL005W	37.27536
YBL007C	34.660579999999996
YBL008W	34.65075
YBL009W	29.51949
YBL010C	3.1456
YBL011W	26.157629999999997
YBL012C	34.39517
YBL013W	30.19776
YBL015W	3.88285
YBL016W	27.12097
YBL017C	35.41749
YBL019W	29.24425
YBL021C	28.860879999999998
YBL022C	3.23407
YBL024W	4.00081
YBL025W	3.61125
YBL027W	30.8662
YBL028C	32.45866
YBL029W	31.44617
YBL031W	32.85186
YBL032W	3.87302
YBL033C	3.64335
YBL036C	23.41506
YBL037W	33.16642
YBL038W	31.95733
YBL039C	33.73656
YBL042C	31.170930000000002
YBL043W	30.18793
YBL044W	3.49948
YBL045C	23.385569999999998
YBL046W	3.79438
YBL047C	3.80421
YBL048W	27.27825
YBL049W	25.34174
YBL052C	29.293400000000002
YBL053W	29.56864
YBL054W	32.09495
YBL055C	29.99133
YBL056W	34.36568
YBL057C	33.70707
YBL058W	2.95883
YBL059W	30.75807
YBL060W	30.13878
YBL061C	34.08061
YBL062W	35.29953
YBL063W	3.75506
YBL064C	31.14144
YBL065W	32.07529
YBL066C	33.70707
YBL067C	26.37389
YBL068W	35.053779999999996
YBL069W	32.78305
YBL070C	30.71875
YBL071C	23.650979999999997
YBL072C	35.761540000000004
YBL075C	36.321850000000005
YBL078C	32.46849
YBL079W	50.7228
YBL080C	30.64994
YBL081W	39.428129999999996
YBL082C	50.064189999999996
YBL083C	50.929230000000004
YBL085W	32.75356
YBL086C	36.45947
YBL087C	32.60611
YBL088C	36.22355
YBL089W	38.68105
YBL091C	33.43183
YBL091C-A	35.951100000000004
YBL093C	1.59
YBL094C	3.6272699999999998
YBL095W	24.32508
YBL096C	27.886319999999998
YBL098W	26.716844999999996
YBL099W	30.01401
YBL100C	30.640244999999997
YBL101C	26.218874999999997
