ORF	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004
YAL043C-A	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL040C	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	1.000	2.000	2.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL037W	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL036C	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL035W	0.000	0.000	0.000	1.000	2.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000
YAL034C	2.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL031C	2.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL030W	2.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL029C	2.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL028W	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL027W	2.000	5.000	4.000	3.000	4.000	4.000	3.000	4.000	3.000	4.000	4.000	4.000	1.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL026C	1.000	3.000	3.000	1.000	3.000	3.000	3.000	3.000	3.000	4.000	4.000	4.000	1.000	3.000	3.000	2.000	4.000	3.000	3.000	3.000	3.000	1.000	2.000	2.000	4.000	3.000	3.000	3.000	4.000	4.000
YAL023C	1.000	3.000	3.000	2.000	3.000	3.000	3.000	3.000	3.000	4.000	4.000	3.000	0.000	1.000	4.000	1.000	2.000	3.000	2.000	2.000	2.000	0.000	0.000	1.000	4.000	1.000	3.000	2.000	4.000	2.000
YAL022C	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL021C	1.000	4.000	4.000	2.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	0.000	2.000	4.000	2.000	3.000	3.000	4.000	4.000	4.000	3.000	1.000	2.000	4.000	3.000	3.000	3.000	4.000	3.000
YAL020C	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.000	3.000	3.000	4.000	3.000	4.000	4.000	5.000	5.000
YAL019W	1.000	5.000	4.000	3.000	4.000	5.000	4.000	4.000	4.000	3.000	4.000	3.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	4.000
YAL018C	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
YAL017W	1.000	5.000	4.000	3.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	4.000	4.000	4.000	4.000	3.000	4.000	4.000	4.000	2.000	3.000	3.000	5.000	4.000	4.000	4.000	5.000	5.000
