orf	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [2.5 uM], YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate [90 μM], iron sulfate pentahydrate [5 uM], YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGal [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPGE [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], copper [50 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], copper [50 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], iron [100 uM], temperature [30°C] | Davis-Kaplan SR~Kaplan J, 2004	hom | growth (spot assay) | YPD [standard], iron [100 uM], temperature [37ºC] | Davis-Kaplan SR~Kaplan J, 2004
YAL002W	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0
YAL004W	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL005C	1.0	5.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	2.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL007C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL008W	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL009W	1.0	5.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	1.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	5.0	3.0	3.0	3.0	4.0	3.0
YAL010C	1.0	1.5	1.5	1.5	2.0	2.0	0.5	0.5	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.5	1.0	0.0	0.0	0.0	0.0	1.5	1.0	1.5	1.0	1.5	1.0
YAL011W	1.0	5.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	2.0	2.0	2.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL012W	2.5	4.0	4.0	3.0	4.0	3.5	3.0	2.5	2.5	1.5	1.5	1.5	1.0	1.5	1.5	1.0	1.5	2.0	1.5	1.5	0.5	0.0	0.0	0.0	3.0	1.0	3.5	0.5	3.5	1.0
YAL013W	1.0	5.0	3.0	1.0	4.0	4.0	1.0	1.0	0.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	1.0	2.0	4.0	3.0	3.0	3.0	4.0	3.0
YAL014C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL015C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL016W										0.0	0.0	0.0																		
YAL017W	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL018C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
YAL019W	1.0	5.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0
YAL020C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0	5.0
YAL021C	1.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.0	2.0	4.0	2.0	3.0	3.0	4.0	4.0	4.0	3.0	1.0	2.0	4.0	3.0	3.0	3.0	4.0	3.0
YAL022C	1.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
