ORF	hap alpha | cell size | YPD [standard] | Cook~Ho, 2008
YPR018W	-1.223
YER151C	-1.222
YIL005W	-1.221
YMR080C	-1.219
YPL084W	-1.217
YJL176C	-1.213
YBL039C	-1.211
YLL043W	-1.206
YDR389W	-1.203
YPR164W	-1.203
YPR045C	-1.201
YBR023C	-1.201
YEL044W	-1.197
YNL300W	-1.194
YBR216C	-1.194
YPL152W	-1.189
YNL059C	-1.181
YOL004W	-1.179
YGL072C	-1.166
YBR195C	-1.162
YDR227W	-1.161
YOR123C	-1.157
YLL002W	-1.157
YFL025C	-1.147
YLR055C	-1.141
YIL042C	-1.140
YDL115C	-1.135
YDR183W	-1.134
YBR283C	-1.134
YIL161W	-1.132
YBR133C	-1.131
YJL184W	-1.130
YCR087C-A	-1.130
YKR048C	-1.129
YHR200W	-1.105
YLR318W	-1.104
YIL123W	-1.103
YDR349C	-1.102
YER167W	-1.097
YOR322C	-1.096
YNL106C	-1.071
YOL110W	-1.070
YPL180W	-1.066
YBR284W	-1.064
YGL060W	-1.063
YPR038W	-1.060
YOL109W	-1.060
YIL055C	-1.059
YER095W	-1.057
YDR264C	-1.048
YNL298W	-1.047
YGR019W	-1.046
YDL155W	-1.046
YIL057C	-1.044
YGL094C	-1.043
YOR360C	-1.037
YNL066W	-1.035
YLR306W	-1.035
YLR217W	-1.033
YDR254W	-1.027
YNR006W	-1.025
YDR276C	-1.023
YPL262W	-1.020
YIL124W	-1.018
YGL066W	-1.014
YBR194W	-1.012
YMR078C	-1.007
YIL135C	-1.006
YNL139C	-1.005
YML016C	-1.004
YBR173C	-1.004
YNL119W	-0.997
YML012W	-0.997
YNL105W	-0.986
YDL009C	-0.983
YNR005C	-0.982
YHL006C	-0.979
YIL149C	-0.978
YGL087C	-0.975
YDR146C	-0.971
YNL133C	-0.970
YAL021C	-0.968
YNL233W	-0.962
YNL120C	-0.961
YBR162C	-0.958
YKR059W	-0.951
YCR081W	-0.950
YML074C	-0.942
YLR358C	-0.941
YDR318W	-0.939
YBR077C	-0.935
YGL211W	-0.933
YBR166C	-0.928
YHR207C	-0.928
YIL028W	-0.921
YDL056W	-0.921
YPL144W	-0.920
YJL115W	-0.920
YGL214W	-0.920
YOR026W	-0.919
YDR388W	-0.919
YLR372W	-0.916
YDR537C	-0.916
YPL156C	-0.915
YIL023C	-0.913
YKL041W	-0.910
YPL018W	-0.900
YGR054W	-0.899
YML102W	-0.895
YIL079C	-0.890
YOR223W	-0.887
YHR152W	-0.887
YDR435C	-0.885
YML097C	-0.885
YOL070C	-0.884
YML102C-A	-0.884
YHL020C	-0.881
YHR142W	-0.881
YJR011C	-0.879
YKL025C	-0.877
YAL056W	-0.876
YJL185C	-0.874
YDR505C	-0.873
YIL107C	-0.869
YMR186W	-0.865
YBL064C	-0.864
YJL131C	-0.864
YNL206C	-0.862
YPL181W	-0.862
YOR156C	-0.860
YPL008W	-0.859
YDR525W	-0.857
YIR016W	-0.856
YDR475C	-0.856
YDR200C	-0.854
YLR046C	-0.852
YOR089C	-0.847
YER120W	-0.840
YIL032C	-0.840
YOR241W	-0.839
YGR001C	-0.837
YBL054W	-0.834
YIL122W	-0.828
YOL001W	-0.827
YHR167W	-0.826
YGL203C	-0.819
YGR135W	-0.818
YML013C-A	-0.818
YBL093C	-0.817
YMR016C	-0.816
YJL047C	-0.815
YIL070C	-0.815
YIL084C	-0.812
YIL029C	-0.809
YGL127C	-0.809
YNL097C	-0.809
YCR044C	-0.805
YDL116W	-0.805
YNL323W	-0.800
YIR005W	-0.794
YDL176W	-0.793
YIL116W	-0.792
YFL004W	-0.791
YIL160C	-0.790
YPL138C	-0.788
YCL014W	-0.787
YLR119W	-0.785
YKL046C	-0.782
YIL007C	-0.782
YHR018C	-0.780
YIR037W	-0.777
YKR047W	-0.774
YIL140W	-0.770
YHR108W	-0.769
YLR426W	-0.768
YOL125W	-0.764
YKL077W	-0.762
YMR305C	-0.762
YGR050C	-0.760
YDL183C	-0.758
YHR111W	-0.757
YEL045C	-0.757
YDL119C	-0.755
YFR010W	-0.755
YOR248W	-0.754
YDR125C	-0.752
YIL041W	-0.752
YER119C-A	-0.752
YAL047C	-0.749
YPL182C	-0.747
YIL050W	-0.746
YIL034C	-0.745
YHL047C	-0.744
YDR486C	-0.743
YCL033C	-0.743
YHR206W	-0.743
YIL030C	-0.742
YDL013W	-0.736
YLR154C	-0.736
YPL101W	-0.734
YJL110C	-0.733
YJR087W	-0.731
YLR425W	-0.727
YCL036W	-0.727
YMR077C	-0.727
YER161C	-0.725
YLR176C	-0.722
YML128C	-0.721
YDR110W	-0.715
YDR474C	-0.712
YOR369C	-0.711
YOR024W	-0.707
YHL046C	-0.706
YNR075W	-0.703
YBR018C	-0.702
YIL159W	-0.701
YNL192W	-0.698
YEL006W	-0.698
YKR035W-A	-0.692
YNR047W	-0.691
YOR081C	-0.689
YKL206C	-0.684
YIL006W	-0.683
YIL153W	-0.680
YER089C	-0.679
YDL081C	-0.678
YJR108W	-0.677
YOL138C	-0.676
YLR292C	-0.674
YJR092W	-0.674
YKR042W	-0.673
YHR158C	-0.671
YPL086C	-0.669
YGR138C	-0.668
YDR279W	-0.667
YHR021C	-0.666
YDR323C	-0.666
YIL131C	-0.665
YMR006C	-0.663
YML103C	-0.662
YPL066W	-0.661
YDL232W	-0.658
YIL009C-A	-0.657
YMR190C	-0.655
YJR119C	-0.652
YNL281W	-0.651
YNL166C	-0.647
YGL228W	-0.645
YOR277C	-0.644
YKR082W	-0.640
YPL120W	-0.640
YMR243C	-0.634
YGL070C	-0.632
YGL213C	-0.632
YLR445W	-0.629
YNR060W	-0.629
YER007W	-0.628
YOL101C	-0.622
YMR272C	-0.618
YBL046W	-0.617
YIL064W	-0.616
YEL024W	-0.616
YPL071C	-0.615
YDL059C	-0.614
YMR136W	-0.612
YLL021W	-0.610
YNR042W	-0.609
YCL008C	-0.607
YIL141W	-0.606
YNL072W	-0.605
YDL236W	-0.603
YML007W	-0.599
YGL148W	-0.597
YBR119W	-0.597
YDR074W	-0.597
YDR523C	-0.596
YPR197C	-0.596
YPL267W	-0.595
YOR141C	-0.594
YPR173C	-0.593
YKR101W	-0.593
YBR171W	-0.591
YOL046C	-0.590
YML113W	-0.589
YHR154W	-0.587
YNL238W	-0.587
YGR044C	-0.585
YHR060W	-0.584
YLR398C	-0.582
YGR045C	-0.581
YGL240W	-0.581
YPL161C	-0.580
YDR515W	-0.579
YMR052C-A	-0.579
YNL127W	-0.579
YGR206W	-0.578
YBL056W	-0.577
YLR083C	-0.576
YLR309C	-0.576
YER128W	-0.575
YDR414C	-0.574
YDR004W	-0.574
YOR351C	-0.573
YJL198W	-0.572
YLR020C	-0.569
YDL162C	-0.566
YGR187C	-0.566
YGL084C	-0.566
YMR195W	-0.565
YKL211C	-0.563
YPL022W	-0.563
YBL083C	-0.557
YER110C	-0.556
YCR088W	-0.555
YPL102C	-0.554
YHL026C	-0.554
YKL114C	-0.553
YMR125W	-0.552
YNL292W	-0.552
YLR044C	-0.551
YCR019W	-0.551
YMR263W	-0.550
YBL061C	-0.550
YBR095C	-0.549
YDR300C	-0.546
YCL050C	-0.545
YPL150W	-0.543
YDR459C	-0.542
YOL045W	-0.541
YKL136W	-0.540
YPR130C	-0.539
YJL178C	-0.538
YPL269W	-0.537
YJR102C	-0.536
YGL163C	-0.534
YDR466W	-0.532
YOR345C	-0.530
YPR189W	-0.529
YBR111C	-0.529
YLR433C	-0.529
YHR204W	-0.529
YBR197C	-0.528
YIL008W	-0.526
YBL088C	-0.523
YCL042W	-0.521
YIR001C	-0.518
YGR200C	-0.518
YLR452C	-0.518
YOL124C	-0.516
YMR145C	-0.513
YHR073W	-0.512
YHL043W	-0.511
YOR140W	-0.510
YIL132C	-0.507
YEL037C	-0.506
YBL008W	-0.503
YCL013W	-0.501
YIL077C	-0.501
YOR276W	-0.500
YOL093W	-0.498
YDR135C	-0.497
YOR135C	-0.496
YKL061W	-0.495
YMR039C	-0.495
YHR079C	-0.494
YML109W	-0.494
YHR136C	-0.493
YCR020C-A	-0.493
YNR067C	-0.493
YCL026C	-0.493
YPL002C	-0.493
YBR069C	-0.492
YOR064C	-0.492
YDL128W	-0.490
YML022W	-0.490
YAL020C	-0.490
YMR067C	-0.488
YCL056C	-0.488
YPL225W	-0.488
YDL206W	-0.487
YLR025W	-0.486
YDR320C	-0.485
YIL065C	-0.485
YOR213C	-0.484
YBL081W	-0.483
YDR310C	-0.483
YKL168C	-0.482
YLR273C	-0.481
YNR070W	-0.480
YNL107W	-0.478
YLR360W	-0.478
YOR371C	-0.477
YML096W	-0.475
YKR035C	-0.474
YDL122W	-0.472
YOL084W	-0.467
YJL218W	-0.464
YLR376C	-0.464
YBR107C	-0.464
YDR076W	-0.462
YDR395W	-0.462
YLR330W	-0.459
YOR359W	-0.458
YNL291C	-0.457
YLR417W	-0.455
YIL039W	-0.455
YHR134W	-0.455
YPL061W	-0.454
YDR409W	-0.452
YBL063W	-0.452
YPL069C	-0.451
YLR206W	-0.450
YEL015W	-0.450
YKR007W	-0.448
YDR007W	-0.444
YER075C	-0.444
YLR194C	-0.443
YCR086W	-0.442
YCL069W	-0.441
YHL042W	-0.441
YPL050C	-0.440
YMR127C	-0.439
YGL083W	-0.439
YJR039W	-0.438
YPR065W	-0.437
YNL040W	-0.437
YLR423C	-0.436
YHL008C	-0.434
YMR144W	-0.434
YOL105C	-0.434
YNR071C	-0.433
YML033W	-0.432
YJL169W	-0.432
YFR008W	-0.431
YBL086C	-0.431
YNL289W	-0.430
YNL015W	-0.430
YNL116W	-0.429
YIL092W	-0.428
YER130C	-0.424
YBR212W	-0.423
YPL177C	-0.423
YOR379C	-0.423
YJL154C	-0.422
YBL019W	-0.422
YCR030C	-0.420
YAR002C-A	-0.420
YML021C	-0.417
YJR106W	-0.416
YOR114W	-0.416
YHL012W	-0.411
YLL020C	-0.409
YGL217C	-0.409
YKL176C	-0.402
YHL040C	-0.402
YHL023C	-0.400
YPL062W	-0.399
YPR179C	-0.399
YPR129W	-0.398
YMR174C	-0.398
YDL229W	-0.395
YML118W	-0.395
YKL191W	-0.393
YHR022C	-0.393
YDR540C	-0.392
YML095C	-0.390
YMR030W	-0.390
YBL031W	-0.388
YNL053W	-0.388
YOR058C	-0.387
YCR034W	-0.386
YOR175C	-0.386
YNL111C	-0.386
YJL092W	-0.385
YDL179W	-0.385
YDR532C	-0.384
YML124C	-0.383
YAL004W	-0.383
YMR156C	-0.382
YPL258C	-0.382
YIL053W	-0.381
YMR082C	-0.381
YDL161W	-0.381
YDL219W	-0.381
YGR064W	-0.380
YBR176W	-0.378
YAL068C	-0.378
YJL164C	-0.377
YPL261C	-0.377
YGR122C-A	-0.377
YJL053W	-0.375
YIL013C	-0.375
YKR103W	-0.375
YDR289C	-0.374
YOR108W	-0.374
YNL115C	-0.373
YLR361C	-0.372
YJR025C	-0.371
YBL059W	-0.371
YDR495C	-0.369
YJL215C	-0.368
YJL214W	-0.367
YML035C-A	-0.366
YGL024W	-0.365
YPR046W	-0.364
YMR162C	-0.363
YDR504C	-0.363
YNR064C	-0.363
YOR279C	-0.363
YDL050C	-0.362
YHL019C	-0.362
YNL086W	-0.361
YMR052W	-0.359
YDR399W	-0.359
YLR363C	-0.357
YER064C	-0.356
YOR301W	-0.356
YHL037C	-0.355
YNL143C	-0.354
YPR039W	-0.353
YPL006W	-0.353
YPL155C	-0.353
YOR325W	-0.351
YOR113W	-0.351
YJL004C	-0.350
YER135C	-0.348
YLR006C	-0.347
YFL010C	-0.347
YOR023C	-0.347
YDR386W	-0.345
YOR255W	-0.344
YGR011W	-0.343
YBL069W	-0.343
YMR038C	-0.342
YEL060C	-0.342
YLR094C	-0.342
YMR244C-A	-0.340
YLR080W	-0.340
YNR030W	-0.340
YJR047C	-0.340
YER048C	-0.339
YPR017C	-0.339
YBR114W	-0.338
YNL065W	-0.337
YGL179C	-0.336
YMR153C-A	-0.336
YPL107W	-0.335
YDL134C	-0.335
YMR237W	-0.334
YLR199C	-0.334
YDR186C	-0.334
YIR013C	-0.333
YDL046W	-0.333
YNL136W	-0.332
YLR234W	-0.332
YDR245W	-0.331
YCL006C	-0.331
YJR139C	-0.330
YMR062C	-0.329
YNR051C	-0.329
YJR104C	-0.328
YCR083W	-0.326
YDL089W	-0.325
YOR229W	-0.325
YDR348C	-0.324
YGR237C	-0.321
YGL138C	-0.320
YNL122C	-0.320
YCR010C	-0.320
YMR040W	-0.319
YPR125W	-0.318
YBL015W	-0.318
YGL222C	-0.318
YGL051W	-0.317
YOL129W	-0.317
YCR024C	-0.316
YJR015W	-0.316
YLR073C	-0.314
YDR507C	-0.314
YGL049C	-0.313
YAL053W	-0.313
YPL223C	-0.312
YBR005W	-0.312
YAL014C	-0.312
YOR028C	-0.311
YDR095C	-0.311
YJL099W	-0.310
YBL062W	-0.309
YNR058W	-0.309
YGR026W	-0.309
YJL055W	-0.309
YDR049W	-0.309
YFL013C	-0.308
YBR098W	-0.307
YHR087W	-0.307
YOR015W	-0.306
YGR110W	-0.304
YDR444W	-0.304
YBR205W	-0.304
YGL208W	-0.304
YEL062W	-0.304
YMR075W	-0.303
YHR112C	-0.302
YOR115C	-0.302
YNL288W	-0.302
YMR199W	-0.300
YBR177C	-0.300
YKR015C	-0.300
YLR335W	-0.299
YOL117W	-0.299
YMR209C	-0.298
YOR133W	-0.298
YGR163W	-0.298
YDL096C	-0.297
YJL146W	-0.296
YNL029C	-0.296
YDR151C	-0.295
YAR015W	-0.294
YDR491C	-0.294
YJL098W	-0.293
YPL125W	-0.293
YJL168C	-0.292
YOR247W	-0.292
YBR021W	-0.292
YDR363W	-0.291
YLL044W	-0.291
YDL186W	-0.291
YGL250W	-0.290
YHR202W	-0.289
YFL013W-A	-0.288
YDR176W	-0.287
YOR252W	-0.287
YMR167W	-0.283
YDR116C	-0.283
YKL066W	-0.282
YDR438W	-0.282
YGR107W	-0.282
YCR005C	-0.281
YGL006W	-0.280
YPL052W	-0.279
YDR014W	-0.278
YAR044W	-0.278
YDL002C	-0.277
YNL128W	-0.277
YPR030W	-0.277
YOR346W	-0.276
YJR010W	-0.276
YGR041W	-0.275
YKL110C	-0.275
YDL231C	-0.274
YDR330W	-0.274
YOR111W	-0.273
YMR025W	-0.273
YHR014W	-0.272
YDR501W	-0.272
YLR216C	-0.272
YOL007C	-0.271
YHR012W	-0.271
YMR289W	-0.270
YMR074C	-0.270
YDR144C	-0.270
YKL071W	-0.270
YOR142W	-0.269
YDR420W	-0.268
YBL085W	-0.267
YLL013C	-0.267
YPR079W	-0.266
YBR065C	-0.265
YGL175C	-0.265
YDL210W	-0.264
YMR196W	-0.263
YBR010W	-0.263
YJR097W	-0.261
YDR346C	-0.259
YER027C	-0.259
YGL256W	-0.259
YJL170C	-0.258
YOR303W	-0.257
YOR027W	-0.257
YER174C	-0.256
YOR153W	-0.255
YNL030W	-0.255
YNL145W	-0.255
YML087C	-0.255
YDL226C	-0.254
YNL175C	-0.254
YOR036W	-0.254
YJR044C	-0.252
YPL053C	-0.251
YBR162W-A	-0.251
YJR124C	-0.251
YNL194C	-0.250
YOR366W	-0.248
YPL129W	-0.248
YLR453C	-0.247
YDR448W	-0.246
YGL132W	-0.246
YBR009C	-0.246
YDR440W	-0.246
YCL058C	-0.245
YBR044C	-0.245
YNL058C	-0.245
YAL059W	-0.245
YGL035C	-0.245
YGR077C	-0.244
YJR069C	-0.244
YIL076W	-0.243
YGL166W	-0.242
YNL071W	-0.242
YDR313C	-0.241
YCR022C	-0.240
YFL056C	-0.240
YBR244W	-0.240
YDR150W	-0.240
YMR294W	-0.239
YHL016C	-0.239
YGL205W	-0.239
YML053C	-0.238
YBR270C	-0.238
YGL181W	-0.237
YLR235C	-0.237
YDR198C	-0.236
YDR218C	-0.236
YNL295W	-0.235
YIL024C	-0.235
YLL040C	-0.234
YPL186C	-0.234
YKR084C	-0.234
YAR030C	-0.233
YIL152W	-0.233
YDR128W	-0.233
YKL064W	-0.232
YER182W	-0.231
YOR220W	-0.231
YDL230W	-0.230
YLR454W	-0.230
YPL003W	-0.229
YCL055W	-0.229
YHR001W-A	-0.229
YOR118W	-0.229
YPL121C	-0.229
YDR258C	-0.229
YFR014C	-0.228
YDL184C	-0.228
YLR381W	-0.228
YLR422W	-0.227
YOR233W	-0.227
YNL208W	-0.227
YBR099C	-0.227
YBL048W	-0.226
YBR246W	-0.226
YDR225W	-0.225
YJR037W	-0.224
YLR207W	-0.224
YMR140W	-0.224
YBR280C	-0.223
YDR508C	-0.222
YNL082W	-0.222
YLR456W	-0.222
YER068W	-0.222
YDL187C	-0.222
YBL052C	-0.222
YAL031C	-0.221
YDR077W	-0.221
YJR094C	-0.221
YJL207C	-0.220
YNR027W	-0.220
YKL139W	-0.220
YPL265W	-0.220
YER143W	-0.220
YFR021W	-0.219
YBR272C	-0.218
YBL017C	-0.217
YOR269W	-0.217
YDR425W	-0.217
YGR188C	-0.216
YGR042W	-0.216
YGR108W	-0.216
YLR041W	-0.216
YJR038C	-0.215
YPR053C	-0.215
YMR316C-A	-0.215
YKR017C	-0.215
YMR295C	-0.214
YMR219W	-0.214
YNR013C	-0.214
YER088C	-0.214
YPR160W	-0.213
YOR042W	-0.212
YKL063C	-0.212
YKL157W	-0.212
YDL124W	-0.212
YCR023C	-0.211
YNL230C	-0.211
YDR467C	-0.210
YDR026C	-0.210
YBR159W	-0.209
YPL250C	-0.209
YPR040W	-0.209
YOR090C	-0.209
YBR016W	-0.209
YPL115C	-0.208
YGR268C	-0.208
YOR021C	-0.208
YHL028W	-0.208
YIL145C	-0.208
YKR036C	-0.208
YGL216W	-0.207
YAL007C	-0.206
YOR038C	-0.206
YHR125W	-0.206
YIL102C	-0.205
YPL091W	-0.205
YPL170W	-0.205
YNL205C	-0.204
YAL043C-A	-0.204
YLR420W	-0.204
YNL329C	-0.204
YHR093W	-0.204
YGL249W	-0.203
YOR052C	-0.203
YHR179W	-0.203
YJL149W	-0.203
YDR033W	-0.202
YOR101W	-0.202
YOL048C	-0.202
YOR193W	-0.201
YGR063C	-0.201
YKL020C	-0.201
YDL216C	-0.200
YMR029C	-0.200
YMR056C	-0.200
YGL004C	-0.200
YKL002W	-0.200
YPL092W	-0.199
YOR240W	-0.199
YIR034C	-0.199
YFR023W	-0.199
YDR453C	-0.198
YLR187W	-0.198
YJL007C	-0.197
YOR184W	-0.197
YHR025W	-0.197
YPL048W	-0.196
YOR172W	-0.196
YPL183C	-0.196
YLR023C	-0.196
YNL269W	-0.196
YLR251W	-0.195
YNL242W	-0.195
YAL015C	-0.195
YHR033W	-0.194
YNL253W	-0.194
YEL053C	-0.194
YJR140C	-0.194
YDL211C	-0.194
YGL255W	-0.193
YJL201W	-0.192
YDR159W	-0.192
YGR166W	-0.192
YJL135W	-0.192
YMR109W	-0.192
