orf	hap alpha | cell size | YPD [standard] | Cook~Ho, 2008
YAL002W	1.3444557595143753
YAL004W	0.3825906715389422
YAL005C	-0.00977346273657267
YAL007C	0.20622468601392
YAL009W	-2.217162739571795
YAL010C	-0.8653506734997902
YAL011W	-0.9335287254811702
YAL012W	-0.1178105689916005
YAL013W	1.7429337707768453
YAL014C	0.3116745507020968
YAL015C	0.194752452629723
YAL017W	0.11556183789656563
YAL018C	-0.29650699989612794
YAL019W	0.009785326501021036
YAL020C	0.4896730735341205
YAL021C	0.9678683614642208
YAL022C	-0.41074811219295154
YAL024C	0.13014897453965685
YAL026C	-0.3784622069671949
YAL027W	0.11042228208022913
YAL028W	-0.2350658791768785
YAL029C	-0.13415742768766623
YAL030W	0.029223837803770292
YAL031C	0.2212488136711893
YAL034C	-0.0552353039760853
YAL036C	-0.15925071393163032
YAL037W	0.1643533433850133
YAL039C	-1.1502052497975177
YAL040C	0.0797648696758782
YAL042C-A	0.20421092805179
YAL042W	0.043130065499629014
YAL044C	-0.1563491069519194
YAL045C	0.10585671734369562
YAL046C	0.10154443313969748
YAL047C	0.7486529274683023
YAL048C	-2.056471133363883
YAL049C	-0.016780130395316756
YAL051W	0.03351183300398166
YAL053W	0.31287331113130673
YAL054C	-0.0465472036706913
YAL055W	-0.4148092076141281
YAL056C-A	-0.01587283083808575
YAL056W	0.8763093193428464
YAL058W	-0.4879416305928669
YAL059W	0.24490361631631058
YAL060W	0.17314955866400844
YAL061W	-0.052669842219702126
YAL062W	0.07320199436247524
YAL064C-A	0.018174527202143475
YAL065C	-0.11420177403412372
YAL066W	0.0783537691796549
YAL067C	0.07000952359107673
YAL068C	0.3779303148288803
YAR002C-A	0.4195361894548205
YAR002W	1.4359956782297718
YAR003W	2.1777591503409077
YAR014C	2.4103061626175077
YAR015W	0.29413767819402264
YAR020C	-0.25439184979654755
YAR023C	-0.05022978819763204
YAR027W	0.035067348301481165
YAR028W	0.04536805708109891
YAR029W	-0.17753615542663229
YAR030C	0.2332573938651878
YAR031W	0.021034874804469313
YAR035W	0.04797643980182438
YAR042W	0.1173447574265917
YAR047C	-0.12196128252858314
YAR050W	-0.12578952336377372
YBL001C	-0.1425060462630044
YBL002W	-1.3352456884988213
YBL003C	-0.11098070828119137
YBL005W	0.09420613876761988
YBL006C	4.441483585214813
YBL007C	2.8297813135983603
YBL008W	0.5027032723090877
YBL009W	0.0009757644777216426
YBL010C	0.13486976915696003
YBL011W	-0.27385769588743064
YBL012C	-1.230554931966418
YBL013W	0.059967490581456145
