ORF	hap a | lipid particle size | minimal complete [standard] | Fei W~Yang H, 2011	hap a | lipid particle size | YPD [standard] | Fei W~Yang H, 2011
YLR404W	94.429	74.333
YGR157W	87.000	1.667
YJR073C	127.571	2.333
YDR123C	138.571	1.000
YOL108C	137.571	1.667
YBR147W	101.429	2.333
YGR165W	99.000	1.000
YGL019W	46.857	1.667
YOR039W	28.571	2.333
YBR029C	66.571	97.000
