orf	hap a/hap alpha | low dye binding (ldb) (alcian blue) | standard [standard] | Corbacho I~Hernandez LM, 2005
YAL016W	-5.310134731266009
YAL047C	-5.310134731266009
YAL056W	-2.6550673656330046
YBL006C	-5.310134731266009
YBL007C	-5.310134731266009
YBL047C	-2.6550673656330046
YBL058W	-5.310134731266009
YBL082C	-2.6550673656330046
YBL083C	-2.6550673656330046
YBR015C	-7.965202096899014
YBR078W	-5.310134731266009
YBR097W	-5.310134731266009
YBR112C	-2.6550673656330046
YBR113W	-2.6550673656330046
YBR127C	-5.310134731266009
YBR171W	-5.310134731266009
YBR200W	-5.310134731266009
YCL005W	-2.6550673656330046
YCL005W-A	-5.310134731266009
YCL007C	-5.310134731266009
YCR002C	-7.965202096899014
YCR009C	-5.310134731266009
YCR020W-B	-5.310134731266009
YCR044C	-5.310134731266009
YCR084C	-2.6550673656330046
YDL005C	-5.310134731266009
YDL020C	-2.6550673656330046
YDL047W	-5.310134731266009
YDL100C	-2.6550673656330046
YDL146W	-2.6550673656330046
YDL185W	-5.310134731266009
YDL225W	-2.6550673656330046
YDL232W	-7.965202096899014
YDR017C	-5.310134731266009
YDR027C	-2.6550673656330046
YDR069C	-2.6550673656330046
YDR077W	-2.6550673656330046
YDR080W	-2.6550673656330046
YDR129C	-5.310134731266009
YDR138W	-2.6550673656330046
YDR144C	-2.6550673656330046
YDR149C	-2.6550673656330046
YDR150W	-2.6550673656330046
YDR159W	-5.310134731266009
YDR173C	-5.310134731266009
YDR195W	-5.310134731266009
YDR199W	-2.6550673656330046
YDR200C	-2.6550673656330046
YDR226W	-5.310134731266009
YDR245W	-7.965202096899014
YDR264C	-5.310134731266009
YDR293C	-2.6550673656330046
YDR310C	-2.6550673656330046
YDR364C	-5.310134731266009
YDR372C	-7.965202096899014
YDR378C	-2.6550673656330046
YDR414C	-7.965202096899014
YDR477W	-5.310134731266009
YDR495C	-5.310134731266009
YDR507C	-5.310134731266009
YDR523C	-2.6550673656330046
YEL027W	-5.310134731266009
YEL031W	-2.6550673656330046
YEL036C	-7.965202096899014
YEL042W	-5.310134731266009
YEL051W	-2.6550673656330046
YEL059W	-7.965202096899014
YEL061C	-2.6550673656330046
YER014C-A	-2.6550673656330046
YER111C	-2.6550673656330046
YER116C	-2.6550673656330046
YER122C	-5.310134731266009
YER151C	-5.310134731266009
YER155C	-5.310134731266009
YGL005C	-5.310134731266009
YGL020C	-5.310134731266009
YGL024W	-5.310134731266009
YGL025C	-5.310134731266009
YGL033W	-2.6550673656330046
YGL038C	-7.965202096899014
YGL054C	-2.6550673656330046
YGL058W	-2.6550673656330046
YGL070C	-2.6550673656330046
YGL084C	-5.310134731266009
YGL095C	-2.6550673656330046
YGL163C	-2.6550673656330046
YGL167C	-7.965202096899014
