ORF	hap a/hap alpha | low dye binding (ldb) (alcian blue) | standard [standard] | Corbacho I~Hernandez LM, 2005
YBL082C	-1.000
YBR015C	-3.000
YDL232W	-3.000
YDR245W	-3.000
YEL036C	-3.000
YEL042W	-2.000
YGL038C	-3.000
YGR036C	-3.000
YJL183W	-3.000
YJL186W	-3.000
YJR075W	-2.000
YKL201C	-3.000
YML115C	-2.000
YNL219C	-1.000
YOR002W	-1.000
YOR085W	-2.000
YPL053C	-3.000
YPL050C	-3.000
YPL227C	-1.000
YBR127C	-2.000
YCL005W-A	-2.000
YDL185W	-2.000
YEL027W	-2.000
YEL051W	-1.000
YGR020C	-2.000
YGR105W	-1.000
YHR026W	-1.000
YHR039C-A	-2.000
YHR060W	-2.000
YKL080W	-2.000
YKL119C	-2.000
YLR447C	-1.000
YOR332W	-2.000
YPL234C	-1.000
YPR036W	-1.000
YBR097W	-2.000
YCR044C	-2.000
YDR027C	-1.000
YDR080W	-1.000
YDR200C	-1.000
YDR264C	-2.000
YDR372C	-3.000
YDR495C	-2.000
YGL095C	-1.000
YJR001W	-1.000
YKL041W	-2.000
YLR240W	-1.000
YLR261C	-1.000
YLR322W	-1.000
YLR396C	-1.000
YNL059C	-1.000
YNL297C	-1.000
YOR036W	-1.000
YPL045W	-2.000
YPR087W	-2.000
YPR139C	-2.000
YBL047C	-1.000
YBR171W	-2.000
YDR159W	-2.000
YDR414C	-3.000
YEL031W	-1.000
YER122C	-2.000
YER151C	-2.000
YGL167C	-3.000
YGL206C	-3.000
YGL223C	-3.000
YGL005C	-2.000
YGL054C	-1.000
YKL179C	-1.000
YLR262C	-1.000
YML071C	-2.000
YMR091C	-1.000
YNL041C	-2.000
YNL051W	-2.000
YNL084C	-1.000
YNR051C	-2.000
YOR216C	-2.000
YAL047C	-2.000
YNL225C	-1.000
YCR002C	-3.000
YDL225W	-1.000
YMR294W	-1.000
YNL243W	-3.000
YLR370C	-2.000
YBL007C	-2.000
YCR009C	-2.000
YDR129C	-2.000
YDR150W	-1.000
YGR078C	-1.000
YLR337C	-2.000
YML094W	-1.000
YMR032W	-2.000
YOR035C	-1.000
YPR141C	-1.000
YJL179W	-1.000
YAL016W	-2.000
YDL047W	-2.000
YER155C	-2.000
YEL061C	-1.000
YBR112C	-1.000
YCR084C	-1.000
YDL005C	-2.000
YDR138W	-1.000
YDR195W	-2.000
YDR310C	-1.000
YER111C	-1.000
YGL025C	-2.000
YGL070C	-1.000
YHR041C	-1.000
YHR167W	-1.000
YIL154C	-1.000
YJL127C	-1.000
YJL140W	-2.000
YLR182W	-3.000
YNL025C	-1.000
YNL139C	-2.000
YNR010W	-1.000
YOL051W	-1.000
YOL072W	-2.000
YOL148C	-1.000
YPL086C	-1.000
YPL129W	-1.000
YPL254W	-2.000
YPR072W	-2.000
YAL056W	-1.000
YDR017C	-2.000
YDR226W	-2.000
YDR477W	-2.000
YDR507C	-2.000
YDR173C	-2.000
YDR523C	-1.000
YGR092W	-1.000
YGR262C	-3.000
YKL048C	-2.000
YLR226W	-1.000
YLR362W	-1.000
YLR423C	-1.000
YLR425W	-1.000
YNL298W	-1.000
YOL081W	-1.000
YPL031C	-3.000
YBR078W	-2.000
YDR293C	-1.000
YDR077W	-1.000
YMR307W	-2.000
YPR159W	-2.000
YNL322C	-1.000
YDL020C	-1.000
YDR069C	-1.000
YDR144C	-1.000
YGL058W	-1.000
YGL240W	-1.000
YIL052C	-1.000
YJR090C	-1.000
YKL054C	-1.000
YLR244C	-2.000
YMR116C	-2.000
YNL238W	-1.000
YPR163C	-2.000
YCR020W-B	-2.000
YDR364C	-2.000
YDR378C	-1.000
YER116C	-1.000
YGL163C	-1.000
YGR056W	-1.000
YHR191C	-1.000
YLR318W	-1.000
YLR320W	-1.000
YMR125W	-1.000
YNL133C	-1.000
YNL250W	-1.000
YBL006C	-2.000
YBL058W	-2.000
YBR200W	-2.000
YDL100C	-1.000
YER014C-A	-1.000
YGL020C	-2.000
YGL033W	-1.000
YGL084C	-2.000
YGL168W	-3.000
YHR050W	-2.000
YIL097W	-1.000
YJL062W	-2.000
YJL080C	-2.000
YJL184W	-3.000
YLR242C	-2.000
YLR369W	-2.000
YML062C	-1.000
YNL064C	-2.000
YNR027W	-1.000
YOR198C	-1.000
YOR258W	-1.000
YPL024W	-1.000
YPL262W	-1.000
YGL133C	-1.000
YCL005W	-1.000
YBL083C	-1.000
YBR113W	-1.000
YCL007C	-2.000
YDL146W	-1.000
YDR149C	-1.000
YDR199W	-1.000
YEL059W	-3.000
YGL024W	-2.000
YKL118W	-2.000
YKL202W	-3.000
YLL049W	-1.000
YML095C-A	-1.000
YLR338W	-2.000
YNL296W	-1.000
YOL050C	-1.000
YOR322C	-1.000
