orf	hom | growth (pooled culture) | benomyl [57.746 uM] | YPD + DMSO [2%] | Hoepfner D~Movva NR, 2014	het | growth (pooled culture) | benomyl [57.746 uM] | YPD + DMSO [2%] | Hoepfner D~Movva NR, 2014
Q0010		
Q0017		
Q0032		
Q0045		
Q0050		
Q0055		
Q0060		
Q0065		
Q0070		
Q0075		
Q0080		
Q0085		
Q0092		
Q0105		
Q0110		
Q0115		
Q0120		
Q0130		
Q0140		
Q0142		
Q0143		
Q0144		
Q0160		
Q0182		
Q0250		
Q0255		
Q0275		
Q0297		
YAL001C	-0.03988742036712477	0.1535769624688049
YAL002W	0.2611982662559294	-0.09324688111097616
YAL003W	0.12674315035197284	
YAL004W	0.3032746147333756	0.1957486694859411
YAL005C	-1.4764436048293068	0.10559708070455678
YAL007C	0.08568541023374032	-0.03934708312858759
YAL008W	0.35810002234152305	0.12920868131214683
YAL009W	-0.14981802134773545	0.29366052776476204
YAL010C	-0.12270065752848398	0.03644583891846033
YAL011W	-0.09104129586074809	-28.40607638750467
YAL012W	-0.09098309620946522	-2.8921271921016
YAL013W	-0.015892993220998873	-0.20817539941809407
YAL014C	-0.14588184081627026	-0.23177281767883473
YAL015C	0.1265297151445705	-0.4246691938122779
YAL016C-A		
YAL016C-B		
YAL016W	-0.16065847434569777	
YAL017W	0.051444057380726625	-0.07202235122391361
YAL018C	0.03390149435153464	0.09892162702951837
YAL019W	0.24881491541056686	0.48651793054351256
YAL019W-A		
YAL020C	0.17499076805550923	0.48551121842127476
YAL021C	-0.053477065437566605	-1.7543734971100013
YAL022C	-0.0033873601514957372	-0.07334239803253174
YAL023C	0.494023335607113	0.5203151303069478
YAL024C	0.2787019669747336	-2.166200325651805
YAL025C	0.4636975300338764	
YAL026C	0.11404881378013203	0.21145158732883704
YAL026C-A		
YAL027W	-0.05397807850260958	0.008724244135956594
YAL028W	-0.05387636390485477	-0.14148486776139538
YAL029C	0.10678706365101101	0.06387524345032614
YAL030W	0.014081616683540098	0.035926266888849825
YAL031C	-0.15568140693973034	-0.030458283993661007
YAL031W-A		
YAL032C	-0.05079584670746958	
YAL033W	0.05918437000509213	
YAL034C	0.26970356984434646	0.18500978757026967
YAL034C-B		
YAL034W-A	-0.12144933421692258	-3.37795458152919
YAL035C-A	0.024390946038236095	
YAL035W	-1.8195071089893249	0.24160460184623692
YAL036C	0.09669926648731185	0.028256257521821874
YAL037C-A		
YAL037C-B		
YAL037W	0.3075172298714619	0.04699437065017684
YAL038W	-0.060617414256593644	
YAL039C	0.07061852864668682	0.2426806700975217
YAL040C	-0.12168353442953271	0.44120673685267714
YAL041W	0.14506302365982496	
YAL042C-A		
YAL042W	0.13251844225572168	-0.00866884764412914
YAL043C	0.21177219909783646	
YAL043C-A	0.14100947905372022	0.03268536994337306
YAL044C	0.3343149271092737	0.10715071452661867
YAL044W-A		
YAL045C	-0.10514845719754128	-0.044135842447589585
YAL046C	0.06977525281162236	-0.01700098457715841
YAL047C	0.05696025539176806	0.7183456856772445
YAL047W-A		
YAL048C	0.04939186202075553	0.3955936356870296
YAL049C	-0.20866909145314977	0.07700864710558121
YAL051W	0.08417172967627101	0.008915199696602288
YAL053W	-0.03866688262613974	0.0919045888177324
YAL054C	-0.03887600125197763	-0.1606264128422232
YAL055W	-0.12909104980968858	-0.10999185624043537
YAL056C-A		
YAL056W	-0.14623308951305927	-0.0680235308826999
YAL058C-A	0.08369462658351087	0.5449683533079722
YAL058W	-0.008341945829801672	0.4331521548077364
YAL059C-A		
YAL059W	0.01474357894147709	0.4613428279288754
YAL060W	-0.1486067049561415	-0.12133299466047896
YAL061W	0.11456080500039743	-0.211102457213888
YAL062W	-0.08801930124604512	0.034010279881784136
YAL063C		
YAL063C-A		
YAL064C-A	0.07828972845713664	-0.06890753693938771
YAL064W		
YAL064W-B		
YAL065C	-0.2085171902347044	-0.18347519616173333
YAL066W	-0.04232227243488062	0.16117650496189517
YAL067C	0.0040756538099076785	-0.02198111807654512
YAL067W-A		
YAL068C	0.06880793727640988	-0.037552157899479674
YAL068W-A		
YAL069W		
YAR002C-A	-0.13809310956719492	0.08983845013965201
YAR002W	-0.7450775021835129	0.9126022302937054
YAR003W	-0.14724353469723128	0.4749221590503274
YAR007C	0.38590651236031803	
YAR008W	-0.14924543557058528	
YAR014C	-0.0808799232647538	-0.04858978528505576
YAR015W	-0.22112044830838393	-2.1069891654504036
YAR018C	0.43763161541984086	0.28240961957452104
YAR019C	0.20155860271950987	
YAR019W-A		
YAR020C	0.014515045469305168	-0.13620210492129817
YAR023C	0.016329868899227194	-0.07157894677396967
YAR027W	0.008248426200962873	-0.011768783006305154
YAR028W	0.19799448587832105	-0.046181787395940074
YAR029W	0.059632756901311194	-0.011670711931117043
YAR030C	0.03565426221211243	0.013431461077299575
YAR031W	-0.10551601822528327	-0.0763474854068336
YAR033W		
YAR035C-A		
YAR035W	0.20586325907506828	0.022919570620903548
YAR037W	-0.09758681731155354	-0.04309804684724671
YAR040C	0.14368108531126547	-0.008784612484573661
YAR042W	0.14405466629273295	-0.10389738991630926
YAR043C	0.16294234860822648	0.026413422260182676
YAR047C	-0.9245966809098864	0.059628457314817744
YAR050W	-0.09506605006936675	-0.07963341284406963
YAR053W		
YAR060C		
YAR064W		
YAR066W		
YAR068W		
YAR069C		
YAR070C		
YAR071W		
YAR073W		
YAR075W		
YBL001C	-2.0468112533930176	-0.04383431624118985
YBL002W	-0.5643603385439622	0.051801111442756446
YBL003C	-15.331886602814901	-0.05431758555265735
YBL004W	-0.17469447991033785	-0.14298396361747198
YBL005W		0.10559632538664221
YBL006C	-0.0020725551674412746	-4.668231019731082
YBL006W-A		
YBL007C	-0.07992841813967912	-0.00014926701230924753
YBL008W	-0.12686540495727097	-0.12795053743097465
YBL008W-A		
YBL009W	-0.18733086611418892	-0.3329952635466575
YBL010C	-0.026459067882055688	0.10660466173289163
YBL011W	-1.0352520317591636	-0.17680323044357496
YBL012C	-0.09724574566763393	-0.31687629079135693
YBL013W	-0.34255256975385984	-0.0497487918675945
YBL014C		
YBL015W	-0.2576351428281286	-0.029691121494554613
YBL016W	-0.05712720294015323	
YBL017C	-0.03939365462045952	0.022745532074342045
YBL018C	0.09540842799167817	
YBL019W	0.020756801689801204	-0.005543388989669046
YBL020W	-0.11942168100076264	
YBL021C	0.526530812066716	
YBL022C		-2.1918719299727916
YBL023C	0.0776509388468519	
YBL024W	-0.23721601802098893	-9.014483174960436
YBL025W	-0.021815171757955477	
YBL026W	-0.27938026467255345	
YBL027W	0.6768669199182394	0.5936159047070325
YBL028C	-0.08869101602924084	0.09661694926319117
YBL029C-A		
YBL029W	-0.13304477574354154	0.032040502777059006
