Line,As75,Ca44,Cd111,Cl35,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Se82,Zn66
ART2_oe,0.262858174,0.399927236,-0.558680928,-1.564895909,0.172531058,-0.126568146,-1.428414002,2.585390647,2.598193472,1.258195929,.,.,2.624323734,3.459486887,1.220497983,1.729492014,-0.186634195
HMLALPHA2_oe,0.066248947,2.030803689,-0.288327155,.,0.97147488,1.509304609,0.887795883,-0.933554524,-0.587204167,0.467555808,0.429898952,-0.489405785,-0.41739884,-0.619512572,0.100383546,-0.593672683,0.846159989
Q0017_oe,-0.433620838,-0.273601265,-0.523464487,-2.988947152,-0.466367909,-0.188851635,-2.006633604,0.785184025,-0.57071294,-0.193514309,.,-1.124773028,-0.304598712,-0.501296298,0.053656244,0.275743984,-0.320692014
Q0080_oe,0.206864483,-1.41978609,-0.183865888,-0.905772589,1.56231739,0.905630494,0.542820141,0.984019979,0.138702447,0.457596766,0.544105658,.,0.159488279,0.493318417,0.375934333,-0.254631563,-0.440447949
Q0085_oe,0.647648602,-0.920941748,-0.558072788,-0.944388279,0.435489568,-0.733759609,-1.578080288,-0.020395365,-0.024340074,-1.461523635,.,2.261376103,-0.757132213,-1.744734636,0.336694716,0.69662651,-2.224657577
Q0130_oe,0.038234099,-0.458673672,-0.569680949,-2.705061667,-1.185016286,-0.878082675,-1.711884462,-0.505837895,-0.502253441,-0.735895825,.,.,2.122935044,-0.86492251,-0.908547702,1.419152027,-1.435092638
Q0142_oe,-0.158605234,2.842696707,0.171074469,-1.857636662,0.525160147,1.05668497,0.509164017,1.143424747,1.025145883,-0.241868338,-0.021704525,.,0.360860604,-0.141226239,0.502903924,1.182772202,-0.979301931
Q0143_oe,-0.597654551,0.49635208,0.097572902,-1.748965758,0.494914714,0.95803886,-1.751526309,0.430810863,-0.214076492,-0.057908676,.,.,-0.502815932,-1.69119075,-0.121513363,-0.629616935,-1.317665175
Q0160_oe,-0.487458395,1.365839423,0.188988521,-1.052931064,0.832197423,0.869504847,-0.3451475,1.443654406,0.433819036,-0.075947681,.,0.000233163,0.267638719,-0.442162861,0.633543757,-0.590267544,-0.449993194
Q0182_oe,0.070377488,3.668603902,0.326179867,-0.998446529,2.604174488,1.105863182,-0.137250232,1.554827267,0.86831518,0.80046197,-2.705054952,.,0.954220567,-0.75451211,0.929181324,0.305652564,-0.768612489
Q0250_oe,-1.724258584,4.616279992,-1.550532268,-1.236288559,-1.618231409,4.004577438,1.09827989,1.911702482,0.724089501,-1.140904932,0.644446551,.,0.395442015,1.572670012,0.753421771,1.425487871,-0.098849818
Q0275_oe,-0.306520337,0.511438034,-0.452174484,-1.375027525,0.732105454,-0.471925423,-0.078817415,-0.871119008,0.757512015,-0.131959953,-2.768925289,-2.558592557,-0.805764274,0.521771845,-1.300675112,0.176248167,-0.821598157
TORF1_oe,-0.527676994,-0.029739878,-0.374663771,-1.942723658,-0.022454929,0.270751429,-1.900043178,1.067645596,0.027497667,-0.111892114,-0.502649165,1.970380173,-0.046561887,-0.594079621,1.009133341,1.98659666,0.146673787
TORF10_oe,0.769356632,2.788912083,1.09E-05,-1.68547423,1.244764037,-0.658677814,-1.943637404,0.517564339,2.587150814,-0.0698189,.,2.689946937,-1.075643652,0.265518138,0.811550574,1.53443546,-0.266855986
TORF11_oe,-0.229278713,0.302911144,-0.039590072,-1.456395,0.711493512,0.674426501,-1.448054946,1.74254232,0.251810946,0.344325896,.,.,0.298161277,1.024024227,0.944422058,1.858310533,0.901686743
TORF12_oe,0.921060496,-0.305208067,0.289523895,0.423061883,-1.481176114,-0.915038749,1.19277444,-0.174530339,-0.218456406,1.009465216,-0.188908966,.,-0.178089848,-0.806126729,-0.273849148,1.151448348,-1.357844962
TORF13_oe,-0.480236939,0.160356197,0.76847291,-1.828058597,2.107425774,0.441851975,-1.877706093,1.876079015,2.040800174,0.915845018,.,.,1.47341304,1.601859069,0.860155008,1.023855199,-1.175289749
TORF14_oe,0.067022719,0.237708808,-0.473243812,0.606794701,-0.025789319,0.980825846,0.60348433,-1.046650533,0.104957596,0.020565575,.,.,1.063866838,-0.204866439,-0.376808823,-0.368084242,0.839969943
TORF15_oe,0.322033482,-4.930032993,1.750488526,.,1.892367969,2.862333245,0.426634932,1.410020378,1.651747734,4.976548124,.,.,1.548431123,1.891797436,0.15484641,-0.78163089,-4.976714794
TORF16_oe,0.197387138,0.558720667,0.072618688,-1.527583668,0.160968658,0.808433837,-2.069049933,1.712433482,-0.382580899,-0.43167368,.,0.171632178,-0.173340834,-0.16521606,0.337566149,1.130585586,0.705327339
TORF17_oe,-2.796232041,-0.473654301,-0.990829014,-0.190286196,-1.334785484,-0.045860054,-0.622923015,-2.334065409,-0.857255238,-0.541437883,1.446788077,-0.788883178,0.313580452,-2.064560865,-1.885822628,-1.619608931,-1.708538323
TORF19_oe,0.133841595,0.086451078,0.312273907,-1.638036743,1.06982691,-2.038337098,-0.364056351,2.30314347,1.874406576,1.120905779,.,.,1.902277625,2.100128931,1.539197838,-0.322352301,0.975443873
TORF2_oe,-0.918909405,0.568483104,0.296475409,-2.137667049,2.258023157,-1.986481023,-0.067452509,2.467102561,2.120801371,3.143429019,.,.,1.338285032,1.842912564,0.610087271,-0.948897642,0.185411964
TORF20_oe,-0.006981148,-0.607338054,-0.044904206,-0.239715509,2.521964665,-1.813353741,-1.196336601,1.160102622,1.124966266,-0.849106172,.,-0.0961684,0.398401288,1.637606042,0.216662005,-0.505951269,-0.714270817
TORF21_oe,-0.381612366,-1.198666042,-1.027934295,-2.244929485,0.365059816,0.091446978,-0.749324848,-0.63305745,-0.739519555,-0.19531179,.,.,-1.429500549,-0.630662886,-0.898609914,-0.295381538,-0.220487094
TORF22_oe,-0.4294014,0.707415692,0.61266776,0.8600755,0.979285587,2.692413092,0.905313265,0.285463947,0.590689576,-0.952650043,.,1.356156553,1.990530641,0.525960279,-1.111343904,-0.777692443,-4.091270134
TORF23_oe,0.455245155,0.105726709,-0.226825677,-0.584720119,3.120098973,0.70395398,1.418202843,-1.585228104,0.261093252,-1.097636304,.,0.096894201,0.011658464,-1.160661629,-1.06653691,-0.09484456,-0.232807215
TORF25_oe,1.317963317,-0.097043971,-0.482888541,.,1.43731885,-0.147084136,-0.127632552,-0.148601224,0.143414618,-0.905340111,.,.,0.370816137,-0.431977664,0.423741384,0.437158272,-0.033205163
TORF26_oe,-0.871293375,1.28066538,0.914947933,0.304076611,-0.530471497,-0.295010673,0.302668478,0.034187041,-0.70142154,0.605186641,.,-0.30385973,0.307087312,-0.426485123,-0.495854164,0.795746558,0.422465486
TORF27_oe,1.260225176,0.69461822,-0.605427067,0.116653344,1.548515607,0.074014663,0.385421287,0.907982546,1.127296254,2.327166302,0.900816649,0.415984236,-0.65098864,1.636644366,-0.054363785,-0.815110154,-1.808528068
TORF28_oe,0.762998584,4.800968171,-0.679960527,0.084870152,0.324441945,1.57430001,0.574892908,0.344230646,0.84065406,0.570214389,.,0.366808908,-1.216344027,0.7561842,-0.229817836,-1.049088393,-1.02267898
TORF29_oe,-0.925809445,-0.350304135,-0.855641443,0.15818753,0.129347064,-1.628710952,0.07059368,0.485168349,0.189219867,-0.948256068,.,1.918054271,-0.042618726,0.646705058,0.177480887,0.975961189,-0.51284525
TORF30_oe,-0.485226349,3.992719145,0.80895331,1.487350391,-0.462675233,0.471176522,-0.90059283,1.055779871,-0.487039207,0.040314819,.,.,0.259396195,0.317628681,-0.674567178,-0.788664132,0.913490049
TORF31_oe,-0.504549847,-0.38166364,0.018168304,-0.114022355,0.037645074,-0.923471612,-0.449110765,-0.459806067,0.512895913,1.072751464,.,-0.215179816,0.354695261,-0.038298516,-0.575977076,0.359592563,0.259816209
TORF32_oe,0.62829233,-0.542746546,-0.438479955,-0.874346355,0.531434734,1.164723926,-0.271734481,1.273999112,0.060777837,0.178355735,.,.,-0.448794826,-0.218896707,0.26710473,0.853410621,-0.079615298
TORF33_oe,0.259539738,0.456698582,0.702900589,0.312043331,-1.676509345,-1.739377122,-0.928020433,-0.642621215,-0.727318376,0.666941389,.,1.53223241,1.179546113,-1.520918357,-1.086681146,0.767642878,-0.273528396
TORF34_oe,-0.277246717,0.376864237,0.313910324,-1.156012585,2.127231391,-0.174374948,0.716291017,-0.875874322,1.097284547,1.185731389,.,.,0.625664677,0.344898761,0.592614573,0.420124869,0.585999213
TORF36_oe,1.186932091,0.213139019,0.983732625,1.007801576,1.323813994,0.79864036,1.562268582,0.285280133,1.115596851,-0.73144057,.,.,0.892752553,0.757502106,1.375522655,-0.917034632,-4.748379124
TORF38_oe,2.202597212,0.073408695,-0.096787249,0.040844279,0.276255912,2.132230624,1.250192116,-0.015700978,-0.637197405,-0.017011264,.,-0.230581217,-1.028034652,-0.357515035,-0.021770679,-0.365667624,-0.613572808
TORF39_oe,0.459387846,-0.202268784,0.127516343,-0.275859214,-0.055282055,-0.744641177,1.094447451,0.305374867,-0.156639092,-1.524740109,.,-0.58514787,-0.609902628,0.915796824,-0.505665732,0.046584872,-1.383448606
TORF4_oe,-0.226571111,-0.17478924,-0.858266317,-1.956902966,-0.057984494,-0.318999667,-1.72015555,-1.851764464,-1.165907291,-1.091223326,.,.,-1.048148983,-1.816925826,-2.201714898,-0.344769116,-1.911895519
TORF40_oe,0.801783942,0.118162824,1.168584745,0.240428949,-0.675552583,-1.631360466,-0.014333583,-0.075973587,-0.744937118,0.485023901,.,0.325358599,0.658366445,-0.214633208,0.790117677,0.667288539,1.978423141
TORF41_oe,-1.008509626,0.329909,1.228556333,.,-0.615708368,1.210092837,-0.987636277,-0.011900776,0.093399411,0.671457833,.,0.53227194,1.158827056,0.093239862,0.80829858,-1.344389029,1.374586232
TORF42_oe,0.367847692,1.27836748,-1.185443532,-0.097130504,-1.109185644,0.211585467,0.124973055,-1.286486075,-0.990354486,-1.517614331,.,.,-0.634228988,-1.513523766,-0.620477976,1.100221793,-0.577947851
TORF43_oe,0.332291721,-0.290103328,0.862873795,0.654463824,-0.461064459,-0.998974622,-2.647015109,0.601300758,-0.172367152,1.050286076,.,.,0.235149378,-0.035419447,0.14130214,-0.326265565,1.004181771
TORF45_oe,1.210707348,0.289385728,0.423814714,-0.217568583,0.31148533,-1.581772244,-0.351353014,-0.150925386,0.443768599,1.023741287,.,.,0.110431285,0.379395218,0.082126439,0.150032896,-0.190811028
TORF46_oe,-2.087552663,-1.829315682,0.21479885,-1.427190504,1.93273417,0.312074455,-1.419441776,2.425299335,1.550233463,-0.749077463,.,2.400918016,0.002627173,0.0440556,0.046729245,-0.904061422,-2.061014933
TORF47_oe,0.608521698,-0.052117583,-0.196478776,.,0.234971738,0.525487735,0.150310837,-0.556405205,-0.479155904,-1.052248316,.,-0.056911642,-0.199976668,-0.69179145,-0.147634393,0.463953467,-0.226955312
TORF48_oe,-0.100870883,-1.794650695,0.748828138,.,-0.978664457,-2.022747368,-1.030752478,-0.113191794,-0.318371126,0.670170793,.,.,0.040754422,-1.298861075,-1.214116668,1.866656768,-0.060266169
TORF5_oe,0.280829592,-1.76538107,0.102818416,-0.472138825,-0.223533578,-1.097922896,-0.124267179,-0.135868466,-0.255808312,0.081943546,.,.,-0.404176763,-0.09786708,-0.689492284,-1.519062673,0.570878437
TORF6_oe,0.211901292,2.699982325,-1.367515017,2.521044567,-0.313202663,1.127552419,1.169470146,0.792650946,-1.17981776,-1.317797104,.,.,-1.343019512,1.428673974,1.201880156,0.173156739,0.793920271
TORF7_oe,0.576086681,0.052814623,1.743908805,-2.028672564,-0.602649319,0.010136851,0.05730548,-0.2191962,0.393002689,0.2240341,.,-0.089744658,-0.258103948,-0.221056014,0.228171509,1.252526164,1.523672174
TORF8_oe,-0.938164361,0.647307006,-0.36913941,-0.440594488,0.554585522,0.553010342,1.372392387,-1.381194512,-0.428645594,0.659718159,.,-0.490657576,-0.965465014,-0.063060138,-0.971933394,0.255881661,-1.603692406
TORF9_oe,-1.116747834,0.122321726,0.624159262,-2.076937249,1.513954276,-1.410795337,0.662106485,1.219079954,1.78556046,-0.54861542,.,.,0.57530799,1.807000552,0.875188068,0.35216353,0.795054637
YAL001C_oe,-0.368601969,0.643193467,1.997707452,0.085915825,-0.02410356,0.638557305,-2.21819287,0.389377661,0.687681002,0.425314102,.,0.559124556,0.70532492,0.41789631,1.732890971,-0.353745195,2.746745494
YAL002W_oe,-0.060224791,-0.289133224,0.601749291,-1.362046486,0.929163753,-0.586498813,1.446887051,0.43849292,0.558078077,1.233334222,.,.,-1.856589273,0.518862336,1.266235584,0.745139142,0.386300125
YAL004W_oe,1.441011146,0.506188795,-0.272621336,-0.456490617,-1.869559834,0.921131019,0.992641817,-0.06093073,-0.772642456,1.387137387,.,.,-0.259584768,1.284954278,0.996777178,1.5031908,0.992746653
YAL005C_oe,2.218847012,1.405066575,-0.766353929,1.41195884,-0.285576791,0.262074259,0.914966759,-1.556474827,-0.527760655,-0.355188511,-0.35215815,-0.148503745,0.006732473,-0.747848275,1.984850641,1.3072961,0.38472002
YAL007C_oe,0.209129328,-0.026312907,0.534158495,-0.038945722,3.01338092,-1.103119306,1.403673471,2.228385582,2.030504098,0.601050446,.,.,0.920254956,1.811112462,0.866428956,0.855904722,0.463239186
YAL008W_oe,1.300644937,-0.574157813,1.210723279,1.400810335,-0.645174874,-1.901607765,0.285683861,-0.195178904,0.182035967,0.427863476,.,.,-1.856428018,-0.217876996,-0.051394896,0.415773708,0.854849349
YAL009W_oe,0.379263298,0.545687672,1.25434821,0.149864789,2.510030738,0.413195043,0.522109985,-1.034642049,0.311059335,0.12503243,-0.579137049,2.273207761,0.327234563,-0.392217741,-0.116902561,1.117794033,-2.204622837
YAL010C_oe,0.402141137,1.602688006,0.40187494,-0.259667255,-0.413606364,-0.522135513,-0.265433347,-0.520089253,0.56387821,-0.294418398,.,4.215174133,-0.896021479,0.182402909,1.762495733,2.167553564,0.370315773
YAL011W_oe,-0.668861413,-0.585694822,-0.169657005,0.164573751,0.486956291,-1.834748676,0.011364066,-2.396578784,-0.916569191,-1.33722353,-1.28875603,.,-1.435250414,-2.182942178,-1.825501184,0.873219549,-1.542652224
