Line,As75,Ca44,Cd111,Cl35,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Se82,Zn66
TORF25_oe,0.079837285,0.007389925,-0.004894756,.,0.052242554,0.023382875,0.161794439,-0.002063194,0.01953559,-0.088180488,.,.,0.017221009,-0.013610985,0.015592704,0.113099136,0.01528695
TORF26_oe,-0.058074823,0.083035415,0.064446471,0.028657715,-0.029155451,-0.019081983,-0.037830885,0.004377747,-0.028917608,0.051781172,.,-0.097424477,0.012817465,-0.019420269,-0.021735025,0.137006398,0.029159688
TORF27_oe,0.067868502,0.029568944,-0.005880476,0.019256712,0.009787007,0.000637524,0.051304512,-0.015352403,-0.003026752,0.037643332,0.010116489,-0.052011364,-0.060862469,0.000499921,-0.0043651,-0.192271431,-0.04651654
TORF28_oe,-0.010121051,0.353886534,0.012203539,0.01550048,0.014081396,0.067899955,-0.022444333,-0.034864696,-0.044060162,-0.049337807,.,-0.051238162,-0.090048188,-0.035203048,-0.011853171,-0.217175707,-0.01311853
TORF29_oe,-0.042181624,-0.022629261,-0.065610197,0.022119473,0.056573282,-0.089854322,0.036577441,0.026186708,0.033539745,-0.043231396,.,0.177000207,-0.007756595,0.050464407,0.005592353,0.18735261,-0.018025793
TORF30_oe,-0.013767369,0.347389056,0.042634974,0.116574877,-0.001220727,0.011082748,0.097416972,0.049631508,-0.020061152,0.011820691,.,.,0.012300967,0.031785276,-0.029778573,-0.161938779,0.028469789
TORF31_oe,-0.020393297,-0.032214789,0.025246754,0.000586238,0.032312881,-0.041642053,-0.054619727,-0.006839117,-0.004459563,0.088801631,.,-0.095526037,0.015658317,-0.000440266,-0.025868288,0.083058774,0.021073674
TORF32_oe,0.047422529,-0.068600484,-0.029123493,-0.049141933,0.020246331,0.052350206,-0.055671758,0.059026398,0.015323084,0.016269178,.,.,-0.033127182,0.002807336,0.00932262,0.151386713,0.000965
TORF33_oe,0.022431747,-0.044768621,0.031715744,0.031666905,-0.087902417,-0.094267534,-0.113511143,-0.020858877,-0.023378378,0.044275045,.,0.115188039,0.067451216,-0.064265583,-0.043910617,0.190694515,-0.009573021
TORF34_oe,-0.000264983,0.048607234,0.007591874,-0.071358873,0.079827185,-0.018965622,0.046515802,-0.036624023,0.055071877,0.083114635,.,.,0.032668554,0.021656531,0.020470349,0.064452205,0.024138172
TORF36_oe,0.085213142,-0.007059817,0.045184273,0.10775176,0.087975261,0.02773621,0.071716978,0.018881529,0.081095349,-0.020495643,.,.,0.048911808,0.054693377,0.053288565,-0.179922535,-0.149464157
TORF38_oe,0.142465851,0.015835934,0.004928828,0.021776685,-0.005188023,0.127705018,0.038345845,-0.030441306,-0.037070077,0.005890007,.,-0.116273134,-0.069291401,-0.017848782,-0.002914662,-0.065091826,-0.003957413
TORF39_oe,0.027516682,-0.01491473,-0.006017053,-0.011646136,0.015056512,-0.047399491,0.016175761,0.015411828,0.005502811,-0.082175444,.,-0.141592222,-0.043883767,0.049069689,-0.02216081,-0.021081638,-0.044634074
TORF4_oe,-0.018602522,-0.026483217,-0.065001591,-0.135520864,0.016921463,-0.025158551,-0.054600172,-0.077677079,-0.051492332,-0.045465284,.,.,-0.07996154,-0.075639333,-0.086174143,-0.221450652,-0.059681165
TORF40_oe,0.05941257,0.016656511,0.080668814,0.027993265,-0.0176159,-0.087193388,-0.045152318,0.005819055,-0.035851521,0.04606803,.,-0.076847843,0.014712777,-0.001863421,0.031620625,0.095653797,0.073653365
TORF41_oe,-0.039982576,-0.012474891,0.101297476,.,-0.003026428,0.089410588,-0.099393602,0.010907196,0.018571494,0.076151813,.,-0.026450231,0.062497406,0.013258166,0.029211875,-0.266060863,0.041860637
TORF42_oe,0.000704941,0.011840151,-0.081138528,0.018383103,-0.070935321,-0.001147761,-0.051821282,-0.048315374,-0.05540819,-0.06294165,.,.,-0.048496654,-0.05929589,-0.026607677,0.072825283,-0.016355666
TORF43_oe,0.033947173,-0.009956641,0.086722959,0.06165739,0.004204889,-0.053995584,0.053787128,0.016634744,0.004306666,0.051122039,.,.,0.010837916,-0.00251841,0.00410158,-0.048552037,0.045190097
TORF45_oe,0.079642216,0.005222711,0.027815203,-0.007981589,-0.031521544,-0.081205906,-0.069331307,-0.008562341,0.011025515,0.040592605,.,.,0.000260228,-0.000653017,0.001218334,0.003085948,0.005216009
TORF46_oe,-0.113361759,-0.207946766,0.000266597,-0.087729637,0.146204999,0.025115593,-0.073300793,0.104994442,0.089880365,-0.061768957,.,0.239142474,-0.010483914,-0.009223059,0.000685248,-0.294016743,-0.06454202
TORF47_oe,0.046352998,-0.084139297,-0.004624516,.,0.033385401,0.02359902,-0.019418384,-0.017326103,-0.012227597,-0.038919464,.,-0.096752305,-0.026590877,-0.019037501,-0.007925065,-0.041888339,-0.005354299
TORF48_oe,0.012108002,-0.150832098,0.049477986,.,-0.042877551,-0.10988349,-0.105880071,0.004595353,0.001869078,0.06711101,.,.,-0.003427089,-0.06162871,-0.048765361,0.415156419,-0.004748198
TORF5_oe,0.014297518,-0.161403213,0.003195703,-0.013196263,-0.010305651,-0.056788886,-0.040027475,-0.007019356,-0.01513211,-0.023989429,.,.,-0.029981619,-0.008070404,-0.028782195,-0.302568143,0.016813411
TORF6_oe,0.024732783,0.199345665,-0.091892956,0.195504879,-0.021381304,0.04787851,0.169905503,0.033451935,-0.065498908,-0.065664989,.,.,-0.092703997,0.081369544,0.047327026,0.005909288,0.027809613
TORF7_oe,0.049177984,-0.008814969,0.094816911,-0.133494172,-0.02917439,-0.010352099,-0.054035321,-0.01101635,0.000714406,0.042266187,.,-0.10323312,-0.02577842,-0.00551418,0.006831621,0.213270585,0.045357905
TORF8_oe,-0.046503504,0.043610991,-0.022863549,-0.025209939,0.002670002,0.039299768,0.028901443,-0.050525269,-0.041248949,0.013588659,.,-0.137836624,-0.068780614,-0.029669627,-0.043391873,-0.021690795,-0.043878111
TORF9_oe,-0.053257469,0.012719009,0.036971764,-0.145589383,0.162101636,-0.080217113,0.061168389,0.05665952,0.126461187,-0.025762358,.,.,0.028620616,0.094994207,0.032043827,0.087789697,0.026635189
YAL001C_oe,-0.027185018,0.009043735,0.109627483,0.022855018,-0.077112998,0.021022912,-0.190045997,0.012937264,0.005877684,-0.016569628,.,-0.045142986,0.039754173,-0.00578833,0.074693986,-0.136666933,0.084234164
