ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YDR509W	0.812	NaN
YDR511W	1.048	NaN
YDR512C	0.212	NaN
YDR513W	0.911	NaN
YDR514C	0.730	NaN
YDR515W	0.954	NaN
YDR516C	0.987	NaN
YDR517W	0.821	NaN
YDR519W	1.043	NaN
YDR520C	0.659	NaN
YDR522C	1.205	NaN
YDR524C	1.036	NaN
YDR525W	1.308	NaN
YDR525W-A	0.757	NaN
YDR528W	1.012	NaN
YDR530C	1.239	NaN
YDR533C	1.277	NaN
YDR534C	0.883	NaN
YDR535C	0.999	NaN
YDR536W	0.880	NaN
YDR537C	1.101	NaN
YDR538W	0.917	NaN
YDR539W	0.858	NaN
YDR540C	1.154	NaN
YDR541C	0.794	NaN
YEL001C	1.168	NaN
YEL004W	1.087	NaN
YEL005C	0.893	NaN
YEL006W	1.212	NaN
YEL007W	1.400	NaN
YEL008W	0.830	NaN
YEL010W	1.007	NaN
YEL011W	0.843	NaN
YEL012W	1.016	NaN
YEL013W	0.453	NaN
YEL014C	0.804	NaN
YEL015W	0.869	NaN
YEL016C	0.985	NaN
YEL017C-A	0.840	NaN
YEL017W	0.971	NaN
YEL020C	1.254	NaN
YEL023C	0.977	NaN
YEL024W	NaN	-3.000
YEL025C	0.931	NaN
YEL028W	0.972	NaN
YEL030W	0.735	-3.000
YEL031W	1.084	NaN
YEL033W	1.389	NaN
YEL037C	1.138	NaN
YEL038W	1.039	NaN
YEL039C	0.975	NaN
YEL040W	1.300	NaN
YEL041W	0.744	NaN
YEL042W	0.926	NaN
YEL043W	0.714	NaN
YEL046C	NaN	-3.000
YEL047C	1.160	NaN
YEL048C	0.816	NaN
YEL049W	0.966	NaN
YEL052W	1.201	NaN
YEL053C	0.783	NaN
YEL056W	1.197	NaN
YEL057C	0.691	NaN
YEL059W	0.994	NaN
YEL060C	0.675	NaN
YEL061C	1.374	NaN
YEL062W	1.564	NaN
YEL064C	0.394	NaN
YEL065W	1.140	NaN
YEL066W	1.168	NaN
YEL067C	1.057	NaN
YEL068C	1.020	NaN
YEL071W	0.889	NaN
YER001W	0.776	NaN
YER002W	1.143	NaN
YER004W	0.961	NaN
YER005W	1.724	NaN
YER007C-A	1.352	NaN
YER007W	1.299	-1.000
YER010C	0.704	NaN
YER011W	1.002	NaN
YER016W	1.132	NaN
YER019C-A	0.909	-3.000
YER019W	0.958	NaN
YER020W	0.925	NaN
YER024W	1.245	-3.000
YER027C	1.630	NaN
YER028C	1.000	NaN
YER030W	1.445	NaN
YER031C	0.705	NaN
YER032W	0.985	NaN
YER033C	1.108	NaN
YER034W	1.236	NaN
YER035W	1.133	NaN
YER038W-A	0.800	NaN
YER039C	0.926	NaN
YER039C-A	1.411	NaN
YER040W	NaN	-3.000
YER041W	1.051	NaN
YER042W	1.140	-3.000
YER044C-A	0.964	NaN
YER045C	1.101	NaN
YER046W	1.116	NaN
YER046W-A	1.061	NaN
YER047C	1.081	NaN
YER048C	0.905	NaN
YER049W	1.060	NaN
YER051W	0.932	NaN
YER052C	1.114	NaN
YER053C	0.599	NaN
YER054C	0.707	NaN
YER056C	0.870	NaN
YER056C-A	1.121	NaN
YER057C	0.753	NaN
YER059W	0.798	NaN
YER060W	1.144	NaN
YER060W-A	0.543	NaN
YER061C	0.133	NaN
YER062C	0.967	NaN
YER063W	0.515	NaN
YER064C	0.828	NaN
YER065C	0.904	NaN
YER066C-A	0.742	NaN
YER066W	0.772	NaN
YER067C-A	1.098	NaN
YER067W	0.939	NaN
YER071C	0.696	NaN
YER072W	0.609	NaN
YER073W	1.047	NaN
YER074W	1.508	NaN
YER075C	1.202	NaN
YER077C	1.013	NaN
YER078C	0.525	NaN
YER079W	0.877	NaN
YER080W	0.841	NaN
YER081W	0.727	NaN
YER083C	1.360	NaN
YER084W	0.872	NaN
YER085C	0.766	NaN
YER087C-B	0.808	NaN
YER088C	0.858	NaN
YER089C	1.313	NaN
YER090W	1.094	NaN
YER091C	0.869	NaN
YER091C-A	1.196	NaN
YER092W	0.123	NaN
YER093C-A	1.106	NaN
YER095W	0.989	NaN
YER096W	0.996	NaN
YER097W	0.836	NaN
YER098W	0.929	NaN
YER101C	1.185	NaN
YER106W	0.789	NaN
YER108C	0.690	NaN
YER109C	0.724	NaN
YER111C	0.636	NaN
YER113C	1.191	NaN
YER114C	1.207	NaN
YER115C	1.103	NaN
YER116C	1.106	NaN
YER117W	1.331	NaN
YER118C	0.647	NaN
YER119C	0.766	NaN
YER119C-A	0.819	NaN
YER120W	1.210	NaN
YER121W	0.851	NaN
YER123W	1.548	NaN
YER124C	1.061	NaN
YER128W	0.866	NaN
YER129W	1.387	NaN
YER130C	0.855	NaN
YER131W	0.992	NaN
YER132C	0.957	NaN
YER134C	1.175	NaN
YER135C	0.972	NaN
YER137C	0.803	NaN
YER139C	1.737	NaN
YER140W	0.554	NaN
YER142C	1.467	NaN
YER143W	1.224	NaN
YER144C	0.914	NaN
YER145C	0.832	NaN
YER149C	1.072	NaN
YER150W	0.965	NaN
YER152C	0.782	NaN
YER155C	1.634	NaN
YER156C	0.730	NaN
YER158C	1.024	NaN
YER161C	0.855	NaN
YER163C	1.014	NaN
YER164W	0.546	NaN
YER166W	0.785	NaN
YER167W	0.538	NaN
YER170W	0.967	-3.000
YER173W	0.886	NaN
YER174C	0.948	NaN
YER175C	0.803	NaN
YER176W	0.767	NaN
YER177W	0.842	-3.000
YER178W	0.802	NaN
YER179W	0.844	NaN
YER180C	0.734	NaN
YER181C	0.974	NaN
YER182W	1.117	NaN
YER183C	0.959	NaN
YER184C	1.121	NaN
YER185W	0.545	-2.000
YER186C	0.753	NaN
YER187W	1.071	NaN
YER188W	1.005	NaN
YFL001W	0.937	NaN
YFL003C	0.829	NaN
YFL004W	1.188	NaN
YFL007W	1.143	NaN
YFL010C	1.146	NaN
YFL010W-A	0.768	NaN
YFL011W	0.845	NaN
YFL012W	1.335	NaN
YFL012W-A	0.107	NaN
YFL013C	0.614	NaN
YFL014W	0.874	NaN
YFL015C	0.986	NaN
YFL018C	1.793	NaN
YFL019C	1.144	NaN
YFL020C	0.953	NaN
YFL021W	0.762	NaN
YFL023W	0.633	NaN
YFL025C	0.798	NaN
YFL027C	0.915	NaN
YFL028C	0.826	NaN
YFL030W	0.823	NaN
YFL031W	1.136	NaN
YFL032W	1.256	NaN
YFL033C	1.402	NaN
YFL034C-A	1.093	NaN
YFL034W	1.098	NaN
YFL036W	1.044	NaN
YFL040W	0.831	NaN
YFL041W	0.866	NaN
YFL042C	0.722	NaN
YFL044C	1.155	NaN
YFL046W	1.016	NaN
YFL047W	1.058	NaN
YFL048C	0.804	NaN
YFL049W	1.263	NaN
YFL050C	1.443	NaN
YFL051C	1.102	NaN
YFL052W	1.100	NaN
YFL053W	1.237	NaN
YFL054C	0.975	NaN
YFL055W	0.961	NaN
YFL056C	0.969	NaN
YFL063W	0.485	NaN
YFR006W	0.827	NaN
YFR007W	0.859	NaN
YFR008W	0.758	NaN
YFR009W	1.104	NaN
YFR010W	1.200	NaN
YFR011C	1.387	NaN
YFR012W	0.902	NaN
YFR013W	0.783	NaN
YFR014C	1.015	NaN
YFR015C	0.954	NaN
YFR016C	0.754	NaN
YFR017C	0.776	NaN
YFR018C	0.741	NaN
YFR019W	0.893	NaN
YFR020W	0.897	NaN
YFR021W	1.666	NaN
YFR022W	0.948	NaN
YFR023W	0.774	NaN
YFR024C-A	0.671	NaN
YFR026C	1.156	NaN
YFR030W	0.852	NaN
YFR031C-A	1.309	NaN
YFR032C	1.167	NaN
YFR032C-A	0.653	NaN
YFR033C	0.370	-1.000
YFR034C	1.083	NaN
YFR035C	0.666	NaN
YFR038W	0.815	NaN
YFR039C	0.603	NaN
YFR040W	0.578	NaN
YFR041C	0.681	NaN
YFR043C	1.082	NaN
YFR044C	0.454	NaN
YFR045W	1.519	NaN
YFR046C	0.642	NaN
YFR047C	0.394	NaN
YFR048W	0.839	NaN
YFR049W	0.863	NaN
YFR053C	1.196	NaN
YFR054C	1.098	NaN
YFR055W	1.026	NaN
YFR056C	1.052	NaN
YFR057W	0.608	NaN
YGL002W	0.984	NaN
YGL004C	1.201	NaN
YGL005C	1.142	NaN
YGL006W	0.983	NaN
YGL007W	1.223	NaN
YGL009C	0.930	NaN
YGL010W	0.561	NaN
YGL013C	0.944	NaN
YGL014W	0.761	NaN
YGL015C	1.323	NaN
YGL016W	0.806	NaN
YGL017W	1.296	NaN
YGL019W	1.131	NaN
YGL020C	1.154	NaN
YGL021W	1.179	NaN
YGL023C	0.440	NaN
YGL027C	0.909	NaN
YGL028C	0.645	NaN
YGL029W	0.667	NaN
YGL031C	0.983	NaN
YGL032C	0.747	NaN
YGL034C	1.374	NaN
YGL035C	1.310	NaN
YGL036W	0.970	NaN
YGL037C	0.675	NaN
YGL039W	1.150	NaN
YGL041C	1.122	NaN
YGL042C	0.959	NaN
YGL043W	0.854	NaN
YGL045W	0.354	NaN
YGL049C	1.135	NaN
YGL050W	0.668	NaN
YGL051W	1.175	NaN
YGL053W	1.440	NaN
YGL054C	0.901	NaN
YGL056C	0.945	NaN
YGL057C	1.114	NaN
YGL058W	1.159	NaN
YGL059W	1.021	NaN
YGL060W	1.394	NaN
YGL062W	0.928	NaN
YGL063W	0.912	NaN
YGL066W	2.037	NaN
YGL067W	0.752	-1.000
YGL071W	1.108	NaN
YGL077C	1.043	NaN
YGL078C	1.136	NaN
YGL079W	0.671	NaN
YGL080W	0.668	NaN
YGL081W	0.762	NaN
YGL082W	0.896	NaN
YGL083W	0.720	NaN
YGL084C	2.124	NaN
YGL085W	1.069	NaN
YGL086W	0.779	NaN
YGL087C	0.774	NaN
YGL089C	0.970	NaN
YGL090W	1.334	NaN
YGL094C	0.893	NaN
YGL096W	0.531	NaN
YGL101W	1.381	NaN
YGL104C	0.809	NaN
YGL108C	0.557	NaN
YGL109W	1.136	NaN
YGL110C	1.504	NaN
YGL114W	0.832	NaN
YGL115W	0.223	NaN
YGL117W	1.171	NaN
YGL118C	1.254	NaN
YGL121C	0.869	NaN
YGL124C	0.812	NaN
YGL125W	0.910	NaN
YGL126W	1.102	NaN
YGL127C	0.475	NaN
YGL131C	0.976	NaN
YGL132W	1.181	NaN
YGL133W	0.678	NaN
YGL136C	1.265	-1.000
YGL138C	1.273	NaN
YGL139W	1.066	NaN
YGL140C	0.860	NaN
YGL141W	1.169	NaN
YGL144C	0.986	NaN
YGL146C	0.553	NaN
YGL148W	0.649	NaN
YGL149W	0.893	NaN
YGL151W	0.750	NaN
YGL152C	0.874	NaN
YGL153W	0.849	NaN
YGL156W	1.211	NaN
YGL157W	0.916	NaN
YGL158W	1.065	NaN
YGL159W	1.111	NaN
YGL160W	0.924	NaN
YGL161C	1.281	NaN
YGL162W	1.027	NaN
YGL163C	0.493	NaN
YGL164C	0.825	NaN
YGL165C	1.131	NaN
YGL166W	1.257	NaN
YGL167C	0.569	NaN
YGL168W	0.153	NaN
YGL170C	0.886	NaN
YGL174W	0.756	NaN
YGL175C	1.001	NaN
YGL176C	0.798	NaN
YGL177W	1.176	NaN
YGL179C	0.975	NaN
YGL180W	1.160	NaN
YGL181W	0.855	NaN
YGL194C	1.267	NaN
YGL195W	0.620	NaN
YGL196W	1.082	NaN
YGL197W	0.831	NaN
YGL198W	0.859	NaN
YGL199C	1.138	NaN
YGL202W	1.302	NaN
YGL203C	0.886	NaN
YGL205W	0.737	NaN
YGL208W	0.794	NaN
YGL209W	0.753	NaN
YGL210W	0.617	NaN
YGL211W	0.810	NaN
YGL212W	0.466	NaN
YGL213C	0.992	NaN
YGL214W	0.762	NaN
YGL215W	0.429	NaN
YGL216W	0.886	NaN
YGL217C	0.860	NaN
YGL219C	0.873	NaN
YGL221C	0.917	NaN
YGL222C	0.726	NaN
YGL224C	1.079	NaN
YGL226C-A	0.650	NaN
YGL226W	0.482	NaN
YGL227W	1.163	NaN
YGL228W	0.824	NaN
YGL229C	0.905	NaN
YGL230C	1.036	NaN
YGL231C	0.741	NaN
YGL232W	1.115	NaN
YGL234W	0.812	NaN
YGL235W	0.626	NaN
YGL237C	0.111	NaN
YGL241W	0.481	NaN
YGL242C	1.142	NaN
YGL243W	1.214	NaN
YGL244W	0.140	NaN
YGL248W	0.678	NaN
YGL249W	0.683	NaN
YGL250W	0.746	NaN
YGL251C	0.931	NaN
YGL253W	0.510	-3.000
YGL254W	0.406	NaN
YGL255W	0.654	NaN
YGL256W	0.977	NaN
YGL257C	0.582	NaN
YGL258W	0.993	NaN
YGL259W	1.201	NaN
YGL260W	0.984	NaN
YGL261C	0.832	-2.000
YGL262W	0.858	NaN
YGL263W	1.179	NaN
YGR001C	1.074	NaN
YGR003W	0.982	NaN
YGR004W	0.696	NaN
YGR007W	0.742	NaN
YGR008C	1.004	-3.000
YGR010W	0.699	NaN
YGR011W	1.371	NaN
YGR012W	1.305	NaN
YGR014W	1.137	NaN
YGR015C	0.675	NaN
YGR016W	0.804	NaN
YGR017W	0.652	NaN
YGR018C	1.015	NaN
YGR019W	0.801	NaN
YGR021W	0.779	NaN
YGR022C	0.843	NaN
YGR023W	1.039	NaN
YGR025W	1.142	NaN
YGR026W	0.812	NaN
YGR027C	0.679	NaN
YGR028W	1.019	NaN
YGR031W	1.113	NaN
YGR032W	0.696	NaN
YGR033C	0.782	NaN
YGR034W	0.886	NaN
YGR035C	0.865	NaN
YGR037C	1.101	NaN
YGR038W	1.085	NaN
YGR039W	0.976	NaN
YGR040W	1.053	NaN
YGR041W	1.023	NaN
YGR042W	0.732	NaN
YGR043C	1.216	NaN
YGR044C	0.702	NaN
YGR045C	1.099	NaN
YGR049W	1.352	NaN
YGR050C	0.558	NaN
YGR051C	0.937	NaN
YGR052W	1.093	NaN
YGR053C	0.747	NaN
YGR054W	0.898	NaN
YGR055W	0.942	NaN
YGR057C	NaN	-2.000
YGR058W	1.277	NaN
YGR059W	0.838	NaN
YGR061C	1.019	NaN
YGR066C	0.597	NaN
YGR067C	0.834	NaN
YGR068C	0.867	NaN
YGR069W	0.622	NaN
YGR070W	1.161	NaN
YGR071C	1.303	NaN
YGR072W	0.818	NaN
YGR077C	0.734	NaN
YGR078C	0.823	NaN
YGR079W	1.059	NaN
YGR080W	1.035	NaN
YGR081C	0.831	NaN
YGR084C	0.742	NaN
YGR085C	0.882	NaN
YGR086C	1.058	NaN
YGR087C	1.125	NaN
YGR088W	0.912	NaN
YGR089W	1.079	NaN
YGR092W	0.121	NaN
YGR093W	1.110	NaN
YGR096W	1.261	NaN
YGR097W	0.741	-1.000
YGR100W	1.037	NaN
YGR105W	0.148	NaN
YGR106C	0.440	NaN
YGR107W	0.499	NaN
YGR108W	0.492	NaN
YGR109C	0.563	NaN
YGR110W	1.100	NaN
YGR111W	0.815	NaN
YGR117C	0.900	NaN
YGR118W	1.257	NaN
YGR121C	0.957	NaN
YGR122C-A	0.907	NaN
YGR122W	0.733	NaN
YGR123C	1.322	NaN
YGR124W	0.796	NaN
YGR125W	0.076	NaN
YGR126W	0.802	NaN
YGR127W	0.620	NaN
YGR129W	1.238	NaN
YGR130C	1.164	NaN
YGR131W	1.015	NaN
YGR132C	1.058	NaN
YGR133W	0.945	NaN
YGR134W	1.129	NaN
YGR135W	1.127	NaN
YGR136W	0.964	NaN
YGR137W	1.019	NaN
YGR138C	1.074	NaN
YGR139W	0.924	NaN
YGR141W	1.153	NaN
YGR142W	0.980	NaN
YGR143W	1.140	NaN
YGR144W	0.900	NaN
YGR146C	0.808	NaN
YGR148C	0.774	NaN
YGR149W	0.922	NaN
YGR151C	0.756	NaN
YGR152C	0.886	NaN
YGR153W	0.876	NaN
YGR154C	0.966	NaN
YGR157W	1.018	NaN
YGR161C	0.873	NaN
YGR163W	0.945	-1.000
YGR164W	0.709	NaN
YGR166W	0.706	NaN
YGR168C	0.709	NaN
YGR169C	0.677	NaN
YGR170W	0.451	NaN
YGR173W	0.551	NaN
YGR174C	1.007	NaN
YGR176W	0.502	NaN
YGR177C	1.199	NaN
YGR178C	0.856	NaN
YGR181W	0.932	NaN
YGR182C	0.843	NaN
YGR183C	0.326	NaN
YGR184C	0.981	NaN
YGR187C	0.607	NaN
YGR188C	0.822	NaN
YGR189C	0.898	NaN
YGR192C	1.377	NaN
YGR193C	0.980	NaN
YGR194C	0.935	NaN
YGR196C	1.204	NaN
YGR197C	0.923	NaN
YGR199W	1.079	NaN
YGR200C	0.988	NaN
YGR201C	0.492	NaN
YGR202C	0.552	NaN
YGR203W	0.661	NaN
YGR205W	0.679	NaN
YGR206W	0.928	NaN
YGR207C	1.117	NaN
YGR208W	0.989	NaN
YGR209C	0.864	NaN
YGR210C	0.672	NaN
YGR212W	1.049	NaN
YGR213C	1.127	NaN
YGR214W	0.931	NaN
YGR217W	0.503	NaN
YGR221C	0.660	NaN
YGR223C	0.650	NaN
YGR224W	0.981	NaN
YGR225W	1.053	NaN
YGR226C	0.817	NaN
YGR227W	1.028	NaN
YGR228W	1.059	NaN
YGR229C	0.343	NaN
YGR230W	1.079	NaN
YGR231C	0.711	NaN
YGR232W	0.635	-3.000
YGR233C	0.838	NaN
YGR234W	1.119	NaN
YGR235C	1.009	NaN
YGR236C	1.028	NaN
YGR237C	0.807	NaN
YGR238C	0.867	NaN
YGR239C	0.916	NaN
YGR241C	0.790	-1.000
YGR242W	1.149	NaN
YGR243W	1.073	NaN
YGR244C	0.884	NaN
YGR247W	0.563	NaN
YGR248W	0.328	NaN
YGR249W	0.970	NaN
YGR250C	0.680	NaN
YGR254W	1.248	NaN
YGR255C	1.077	NaN
YGR256W	0.849	NaN
YGR259C	1.066	NaN
YGR260W	0.721	NaN
YGR261C	0.777	NaN
YGR263C	1.031	NaN
YGR266W	0.665	NaN
YGR268C	0.783	NaN
YGR269W	0.800	NaN
YGR270W	0.239	-2.000
YGR271C-A	0.505	NaN
YGR271W	0.729	NaN
YGR273C	0.724	NaN
YGR275W	1.024	NaN
YGR276C	0.844	NaN
YGR279C	0.620	NaN
YGR281W	0.652	NaN
YGR282C	0.660	NaN
YGR283C	0.707	NaN
YGR284C	0.749	NaN
YGR286C	0.583	NaN
YGR287C	0.781	NaN
YGR288W	1.124	NaN
YGR289C	0.603	NaN
YGR290W	0.689	NaN
YGR291C	0.889	NaN
YGR292W	0.569	NaN
YGR295C	0.837	NaN
YHL002W	0.691	NaN
YHL003C	1.244	NaN
YHL005C	0.662	NaN
YHL006C	1.428	NaN
YHL007C	0.790	NaN
YHL008C	0.800	NaN
YHL009C	0.707	NaN
YHL010C	0.594	NaN
YHL012W	0.763	NaN
YHL013C	1.100	NaN
YHL014C	0.871	NaN
YHL016C	0.987	NaN
YHL017W	1.111	NaN
YHL019C	1.373	NaN
YHL020C	0.839	NaN
YHL021C	0.819	NaN
YHL022C	0.854	NaN
YHL023C	1.286	NaN
YHL024W	0.950	NaN
YHL025W	1.694	NaN
YHL026C	0.667	NaN
YHL027W	0.465	-3.000
YHL028W	1.016	NaN
YHL029C	1.090	NaN
YHL030W	0.925	NaN
YHL031C	1.049	NaN
YHL032C	1.059	NaN
YHL033C	0.915	NaN
YHL034C	0.906	NaN
YHL035C	1.075	NaN
YHL036W	0.347	NaN
YHL037C	0.584	NaN
YHL039W	1.165	NaN
YHL040C	0.401	NaN
YHL041W	0.972	NaN
YHL042W	0.851	NaN
YHL043W	1.157	NaN
YHL044W	0.981	NaN
YHL045W	1.114	NaN
YHL046C	0.836	NaN
YHL047C	0.972	NaN
YHR001W-A	0.873	NaN
YHR003C	0.575	NaN
YHR004C	0.570	NaN
YHR006W	1.180	NaN
YHR008C	0.733	NaN
YHR009C	0.942	NaN
YHR012W	0.808	NaN
YHR014W	0.707	NaN
YHR015W	0.688	NaN
YHR016C	0.758	NaN
YHR017W	0.997	NaN
YHR021C	1.266	-3.000
YHR021W-A	0.906	NaN
YHR022C	0.983	NaN
YHR028C	0.512	NaN
YHR029C	0.902	NaN
YHR030C	1.052	NaN
YHR031C	1.009	NaN
YHR032W	0.624	NaN
YHR033W	0.492	NaN
YHR034C	0.386	NaN
YHR035W	0.924	NaN
YHR037W	0.719	NaN
YHR039C	0.492	NaN
YHR041C	1.303	NaN
YHR043C	0.927	NaN
YHR044C	0.916	NaN
YHR045W	0.818	NaN
YHR046C	0.759	NaN
YHR047C	0.713	NaN
YHR048W	0.666	NaN
YHR049C-A	0.634	NaN
YHR049W	0.600	NaN
YHR050W	1.004	NaN
YHR057C	0.991	NaN
YHR061C	0.989	NaN
YHR066W	0.943	NaN
YHR067W	0.516	NaN
YHR073W	0.815	NaN
YHR075C	0.884	NaN
YHR076W	0.908	NaN
YHR077C	0.425	NaN
YHR078W	0.592	NaN
YHR079C	0.910	NaN
YHR079C-A	0.662	NaN
YHR080C	0.983	NaN
YHR081W	0.745	NaN
YHR082C	0.832	NaN
YHR086W	0.793	NaN
YHR087W	0.971	NaN
YHR092C	0.560	NaN
YHR093W	1.037	NaN
YHR094C	0.496	-1.000
YHR095W	0.799	NaN
YHR096C	1.236	NaN
YHR097C	0.663	NaN
YHR103W	1.045	NaN
YHR104W	1.104	NaN
YHR105W	1.387	NaN
YHR106W	1.032	NaN
YHR108W	0.862	NaN
YHR109W	0.901	NaN
YHR110W	0.602	NaN
YHR111W	0.540	NaN
YHR112C	0.691	NaN
YHR113W	0.394	NaN
YHR114W	1.107	NaN
YHR115C	0.944	NaN
YHR117W	1.047	NaN
YHR121W	0.968	-3.000
YHR123W	0.869	NaN
YHR124W	0.659	NaN
YHR125W	0.746	NaN
YHR126C	0.595	NaN
YHR127W	0.646	NaN
YHR129C	1.610	NaN
YHR130C	0.915	NaN
YHR131C	1.079	NaN
YHR132C	0.998	NaN
YHR132W-A	0.900	NaN
YHR133C	1.032	NaN
YHR134W	1.043	NaN
YHR135C	1.000	NaN
YHR136C	0.767	NaN
YHR137W	0.453	NaN
YHR138C	0.571	NaN
YHR139C	1.148	NaN
YHR139C-A	1.118	NaN
YHR140W	1.160	NaN
YHR142W	1.249	NaN
YHR143W	0.956	NaN
YHR146W	1.145	NaN
YHR150W	0.658	-2.000
YHR151C	0.567	NaN
YHR152W	0.802	NaN
YHR153C	0.638	NaN
YHR154W	0.612	NaN
YHR155W	1.154	NaN
YHR156C	0.516	NaN
YHR157W	0.645	NaN
YHR158C	0.911	NaN
YHR159W	0.971	NaN
YHR160C	0.694	NaN
YHR161C	0.712	NaN
YHR162W	0.716	NaN
YHR163W	0.688	NaN
YHR167W	0.775	NaN
YHR171W	0.916	NaN
YHR176W	0.732	NaN
YHR178W	1.293	NaN
YHR179W	0.625	NaN
YHR180W	0.883	NaN
YHR181W	0.947	NaN
YHR182W	0.617	NaN
YHR184W	0.841	NaN
YHR185C	0.586	NaN
YHR189W	0.500	NaN
YHR191C	0.946	NaN
YHR193C	0.874	NaN
YHR195W	0.990	NaN
YHR198C	0.761	NaN
YHR199C	0.861	NaN
YHR200W	0.660	NaN
YHR202W	0.843	NaN
YHR203C	0.861	NaN
YHR204W	0.829	NaN
YHR206W	0.938	NaN
YHR207C	0.910	NaN
YHR209W	0.761	NaN
YHR210C	1.323	NaN
YIL001W	1.183	NaN
YIL002C	1.032	NaN
YIL005W	1.053	NaN
YIL006W	0.826	NaN
YIL007C	1.030	NaN
YIL008W	0.956	NaN
YIL009C-A	0.982	NaN
YIL010W	0.225	NaN
YIL011W	0.731	NaN
YIL012W	0.589	NaN
YIL013C	0.562	NaN
YIL014C-A	1.056	NaN
YIL014W	1.242	NaN
YIL015W	0.783	NaN
YIL016W	0.820	NaN
YIL017C	0.805	NaN
YIL023C	0.919	NaN
YIL024C	0.360	NaN
YIL025C	0.701	NaN
YIL027C	0.894	NaN
YIL028W	0.508	NaN
YIL029C	0.750	NaN
YIL030C	0.937	NaN
YIL032C	0.857	NaN
YIL034C	1.016	NaN
YIL035C	0.958	NaN
YIL036W	0.933	NaN
YIL037C	1.195	NaN
YIL038C	0.790	NaN
YIL039W	1.232	NaN
YIL040W	1.337	NaN
YIL041W	1.186	NaN
YIL042C	0.735	NaN
YIL043C	0.603	NaN
YIL044C	0.916	NaN
YIL045W	1.114	NaN
YIL047C	0.841	NaN
YIL049W	0.844	NaN
YIL050W	0.947	NaN
YIL052C	0.770	NaN
YIL053W	0.771	NaN
YIL054W	1.157	NaN
YIL055C	0.712	NaN
YIL056W	0.391	NaN
YIL057C	0.547	NaN
YIL058W	1.006	NaN
YIL059C	0.700	NaN
YIL060W	0.828	NaN
YIL064W	0.772	NaN
YIL065C	0.797	NaN
YIL066C	1.304	NaN
YIL067C	0.859	NaN
YIL070C	1.133	NaN
YIL071C	0.654	NaN
YIL072W	0.830	NaN
YIL073C	0.782	NaN
YIL074C	0.750	NaN
YIL076W	1.444	NaN
YIL077C	0.900	NaN
YIL079C	1.087	NaN
YIL084C	0.786	NaN
YIL085C	1.112	NaN
YIL086C	0.849	NaN
YIL087C	0.544	NaN
YIL088C	0.838	NaN
YIL089W	0.770	NaN
YIL090W	0.913	-2.000
YIL092W	0.971	NaN
YIL093C	0.852	NaN
YIL095W	1.031	NaN
YIL096C	1.054	NaN
YIL097W	1.040	NaN
YIL098C	1.244	NaN
YIL099W	0.603	NaN
YIL100W	0.608	NaN
YIL101C	0.544	NaN
YIL102C	1.030	NaN
YIL103W	0.980	NaN
YIL105C	0.946	NaN
YIL107C	1.269	NaN
YIL108W	0.870	NaN
YIL110W	1.114	NaN
YIL111W	1.276	NaN
YIL112W	0.807	NaN
YIL113W	1.092	NaN
YIL114C	1.017	NaN
YIL119C	0.609	NaN
YIL120W	0.764	NaN
YIL122W	0.774	NaN
YIL123W	1.037	NaN
YIL124W	1.105	NaN
YIL128W	0.477	NaN
YIL130W	0.981	NaN
YIL131C	1.023	NaN
YIL132C	1.087	NaN
YIL133C	0.899	NaN
YIL134W	1.528	NaN
YIL135C	0.930	NaN
YIL136W	1.092	NaN
YIL137C	0.997	NaN
YIL138C	0.735	NaN
YIL139C	0.874	NaN
YIL140W	1.202	NaN
YIL141W	0.771	NaN
YIL145C	1.186	NaN
YIL146C	0.972	NaN
YIL148W	1.123	NaN
YIL149C	1.061	NaN
YIL151C	1.105	NaN
YIL152W	1.053	NaN
YIL153W	0.914	NaN
YIL154C	0.701	NaN
YIL155C	0.877	NaN
YIL156W	0.691	NaN
YIL157C	0.982	NaN
YIL158W	1.211	NaN
YIL159W	0.743	NaN
YIL160C	0.933	NaN
YIL161W	0.996	NaN
YIL162W	1.188	NaN
YIL163C	0.886	NaN
YIL164C	1.053	NaN
YIL165C	1.317	NaN
YIL166C	1.515	NaN
YIL167W	1.767	-1.000
YIL168W	0.937	NaN
YIL170W	1.423	NaN
YIL173W	1.027	NaN
YIR001C	0.860	NaN
YIR002C	1.010	NaN
YIR003W	1.150	NaN
YIR004W	1.311	NaN
YIR005W	0.818	NaN
YIR007W	0.534	NaN
YIR009W	0.571	NaN
YIR013C	1.076	NaN
YIR014W	1.097	NaN
YIR016W	0.911	NaN
YIR017C	0.851	NaN
YIR018W	0.836	NaN
YIR019C	0.993	NaN
YIR020C	0.847	NaN
YIR020W-A	1.170	NaN
YIR023W	0.132	-3.000
YIR024C	1.276	NaN
YIR025W	1.109	NaN
YIR027C	0.726	NaN
YIR028W	1.142	NaN
YIR029W	1.038	NaN
YIR030C	1.021	NaN
YIR031C	0.937	NaN
YIR032C	1.101	NaN
YIR033W	1.001	NaN
YIR035C	0.871	NaN
YIR036C	0.851	NaN
YIR037W	1.055	NaN
YIR038C	1.300	NaN
YIR039C	1.214	NaN
YIR042C	0.986	NaN
YIR043C	0.743	NaN
YIR044C	0.850	NaN
