ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YBR106W	0.727	NaN
YBR107C	0.739	NaN
YBR108W	0.879	NaN
YBR111C	0.966	NaN
YBR113W	0.801	NaN
YBR114W	0.651	NaN
YBR116C	1.038	NaN
YBR118W	0.887	NaN
YBR119W	0.952	NaN
YBR121C	1.383	NaN
YBR122C	1.074	NaN
YBR125C	1.404	NaN
YBR126C	1.600	-3.000
YBR128C	0.749	NaN
YBR129C	1.347	NaN
YBR130C	0.937	NaN
YBR131W	0.360	NaN
YBR132C	0.946	NaN
YBR134W	1.161	NaN
YBR137W	1.164	NaN
YBR138C	0.678	NaN
YBR139W	0.713	NaN
YBR141C	0.765	NaN
YBR144C	0.839	NaN
YBR145W	0.578	NaN
YBR146W	0.686	NaN
YBR147W	0.764	NaN
YBR148W	0.796	NaN
YBR149W	0.583	NaN
YBR150C	0.704	NaN
YBR151W	0.700	NaN
YBR156C	0.715	NaN
YBR157C	0.754	NaN
YBR158W	1.249	NaN
YBR159W	1.142	NaN
YBR161W	0.912	NaN
YBR162C	1.008	NaN
YBR162W-A	0.675	NaN
YBR164C	0.963	NaN
YBR165W	0.975	NaN
YBR166C	0.979	NaN
YBR168W	1.557	NaN
YBR169C	1.479	NaN
YBR170C	1.155	NaN
YBR171W	0.396	NaN
YBR172C	1.087	NaN
YBR174C	1.018	NaN
YBR175W	1.331	NaN
YBR176W	1.438	NaN
YBR177C	1.054	NaN
YBR178W	1.323	NaN
YBR180W	1.271	NaN
YBR181C	1.050	NaN
YBR183W	0.546	NaN
YBR184W	0.952	NaN
YBR185C	1.182	NaN
YBR186W	1.036	NaN
YBR187W	1.239	NaN
YBR188C	0.843	-3.000
YBR194W	0.908	NaN
YBR195C	0.985	NaN
YBR197C	0.982	NaN
YBR199W	1.155	NaN
YBR200W	0.614	NaN
YBR201W	0.850	NaN
YBR203W	1.112	NaN
YBR204C	2.309	NaN
YBR205W	0.954	NaN
YBR206W	1.120	NaN
YBR207W	0.847	NaN
YBR208C	0.395	NaN
YBR209W	0.953	NaN
YBR210W	1.479	NaN
YBR212W	1.523	NaN
YBR213W	0.935	NaN
YBR214W	1.091	NaN
YBR215W	1.514	NaN
YBR216C	1.293	NaN
YBR217W	0.572	NaN
YBR218C	1.018	-3.000
YBR219C	1.046	NaN
YBR220C	0.863	NaN
YBR221C	1.054	NaN
YBR222C	0.786	NaN
YBR223C	1.973	NaN
YBR224W	1.029	NaN
YBR225W	0.837	NaN
YBR226C	0.903	NaN
YBR227C	0.862	NaN
YBR228W	1.282	NaN
YBR229C	0.870	NaN
YBR230C	0.918	NaN
YBR231C	0.951	NaN
YBR232C	1.152	NaN
YBR233W	1.116	NaN
YBR235W	1.446	-3.000
YBR238C	1.245	NaN
YBR239C	0.702	-3.000
YBR240C	0.918	-3.000
YBR241C	0.978	NaN
YBR242W	0.925	NaN
YBR244W	0.638	NaN
YBR245C	0.723	NaN
YBR246W	1.157	NaN
YBR249C	1.051	NaN
YBR250W	0.751	NaN
YBR255W	0.984	NaN
YBR258C	1.232	NaN
YBR259W	0.897	NaN
YBR260C	1.071	NaN
YBR261C	1.105	NaN
YBR262C	0.793	NaN
YBR263W	0.853	NaN
YBR264C	0.877	NaN
