orf	hap a | growth (culture turbidity) | zymolyase [30 U/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (spot assay) | Congo Red [50 ug/ml] | YPD | García R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [10-30 ng/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [60-120 ng/ml] | YPD | Garcia R~Arroyo J, 2015
YAL049C	0.08728740663993438	0.0	0.0	0.0
YAL051W	0.04951056179904506	0.0	0.0	0.0
YAL053W	-0.0732641839338478	0.0	0.0	0.0
YAL054C	-0.8413933623652772	0.0	0.0	0.0
YAL055W	-0.11418909917814542	0.0	0.0	0.0
YAL056C-A	-1.3167519932798095	0.0	0.0	0.0
YAL056W	-0.5926958004960851	0.0	0.0	0.0
YAL058W	-0.7658396726834972	0.0	0.0	0.0
YAL059W	0.0337702097820073	0.0	0.0	0.0
YAL060W	0.1408046034978624	0.0	0.0	0.0
YAL061W	0.2509870676171239	0.0	0.0	0.0
YAL062W	0.24469092681030918	0.0	0.0	0.0
YAL064C-A	0.2132102227762346	0.0	0.0	0.0
YAL065C	0.1911737299523821	0.0	0.0	0.0
YAL066W	0.19746987075919684	0.0	0.0	0.0
YAL067C	0.1785814483387517	0.0	0.0	0.0
YAL068C	0.1911737299523821	0.0	0.0	0.0
YAR002C-A	-0.18344664805311026	0.0	0.0	0.0
YAR002W	-0.44158842113252494	0.0	0.0	0.0
YAR003W	-0.06067190232021834	0.0	0.0	0.0
YAR014C	-2.2296924102679836	0.0	0.0	0.0
YAR015W	-1.3450846269104766	0.0	0.0	0.0
YAR018C	-0.04178347989977321	0.0	0.0	0.0
YAR020C	0.07154705462289755	0.0	0.0	0.0
YAR023C	0.04636249139563676	0.0	0.0	0.0
YAR027W	0.014881787361562171	0.0	0.0	0.0
YAR028W	0.04636249139563676	0.0	0.0	0.0
YAR029W	0.005437576151340079	0.0	0.0	0.0
YAR030C	0.17543337793534433	0.0	0.0	0.0
YAR031W	0.16284109632171395	0.0	0.0	0.0
YAR035W	0.05265863220245243	0.0	0.0	0.0
YAR042W	0.2147842579779383	0.0	0.0	0.0
YAR047C	0.2572832084239396	0.0	0.0	0.0
YAR050W	-0.7532473910698673	0.0	0.0	0.0
YBL001C	-0.044931550303179635	0.0	0.0	0.0
YBL002W	-0.016598916672513356	0.0	0.0	0.0
YBL003C	0.09673161785015741	0.0	0.0	0.0
YBL005W	0.15969302591830753	0.0	0.0	0.0
YBL006C	-0.1362255920019979	0.0	0.0	0.0
YBL007C	-4.37352835498849	0.0	-5.149512842734011	0.0
YBL008W	0.21635829317964198	0.0	0.0	0.0
YBL009W	0.20691408196941893	0.0	0.0	0.0
YBL010C	0.2509870676171239	0.0	0.0	0.0
YBL011W	-0.24955612652466774	0.0	0.0	0.0
YBL012C	-0.41325578750185726	0.0	0.0	0.0
YBL013W	-0.3125175345928169	0.0	0.0	0.0
YBL015W	-0.016598916672513356	0.0	0.0	0.0
YBL016W	0.08099126583311965	0.0	0.0	0.0
YBL017C	0.040066350588822026	0.0	0.0	0.0
YBL019W	0.12506425148082465	0.0	0.0	0.0
YBL021C	0.04636249139563676	0.0	0.0	0.0
YBL022C	-0.17400243684288816	0.0	0.0	0.0
YBL024W	-1.0743505722174325	0.0	0.0	0.0
YBL025W	-4.275938172482857	0.0	0.0	0.0
YBL027W	-0.8665779255925375	-5.13794850611459	0.0	0.0
YBL028C	-0.22751963370081524	0.0	0.0	0.0
YBL029W	-0.0071547054622903205	0.0	0.0	13.769531582446804
YBL031W	0.10932389946378687	0.0	0.0	0.0
YBL032W	0.040066350588822026	0.0	0.0	0.0
YBL033C	-4.379824495795304	0.0	0.0	0.0
YBL036C	-0.605288082109715	0.0	0.0	0.0
YBL037W	-0.8634298551891296	0.0	0.0	0.0
YBL038W	-0.41325578750185726	0.0	0.0	0.0
YBL039C	-0.25900033773488984	0.0	0.0	0.0
YBL042C	-0.3125175345928169	-1.7126495020381969	0.0	0.0
YBL043W	0.13136039228763935	0.0	0.0	0.0
YBL044W	-0.02604312788273545	0.0	0.0	0.0
YBL045C	0.005437576151340079	0.0	0.0	0.0
YBL046W	0.1502488147080845	0.0	0.0	0.0
YBL047C	-2.465797690523546	0.0	0.0	0.0
YBL048W	-0.3125175345928169	0.0	0.0	0.0
YBL049W	-0.7469512502630525	0.0	0.0	0.0
YBL051C	-0.10789295837132974	-1.7126495020381969	-5.149512842734011	0.0
YBL052C	0.02747406897519163	0.0	0.0	0.0
YBL053W	0.2006179411626042	0.0	0.0	0.0
YBL054W	0.10932389946378687	0.0	0.0	0.0
YBL055C	0.13450846269104672	0.0	0.0	0.0
YBL056W	0.13450846269104672	0.0	0.0	0.0
YBL057C	0.15969302591830753	0.0	0.0	0.0
YBL058W	-4.1342750043295196	-3.4252990040763938	-7.724269264101017	0.0
YBL059W	-0.4604768435529701	0.0	0.0	0.0
YBL060W	-0.8697259959959444	0.0	0.0	0.0
YBL061C	-2.610608929080291	0.0	-5.149512842734011	0.0
YBL062W	-1.1593484731094346	0.0	0.0	0.0
YBL063W	-0.2999252529791884	-1.7126495020381969	0.0	0.0
YBL064C	-0.15196594401903474	0.0	0.0	0.0
YBL065W	0.0211779281683769	0.0	0.0	0.0
YBL066C	0.008585646554747443	0.0	0.0	0.0
YBL067C	-0.12048523998496015	0.0	0.0	0.0
YBL068W	-0.15196594401903474	0.0	0.0	0.0
YBL069W	-0.3251098162064473	0.0	0.0	0.0
YBL070C	0.07784319542971228	0.0	0.0	0.0
YBL071C	-0.2306677041042226	0.0	0.0	0.0
YBL072C	-0.3471463090302998	0.0	0.0	0.0
YBL075C	-0.8382452919618694	0.0	0.0	13.769531582446804
YBL078C	-0.39751543548482	0.0	-2.5747564213670056	0.0
YBL079W	-0.9830565305186142	0.0	0.0	0.0
YBL080C	-0.33455402741667034	0.0	0.0	0.0
YBL081W	-0.5895477300926772	0.0	0.0	0.0
YBL082C	-0.25900033773488984	0.0	0.0	0.0
YBL083C	-1.7732222017738961	0.0	0.0	0.0
YBL085W	0.0935835474467491	0.0	0.0	0.0
YBL086C	0.22580250438986404	0.0	0.0	0.0
YBL087C	-0.16455822563266512	0.0	0.0	0.0
YBL088C	0.2572832084239396	0.0	0.0	0.0
YBL089W	-0.6399168565471974	0.0	0.0	0.0
YBL090W	0.05265863220245243	0.0	0.0	0.0
YBL091C	0.21635829317964198	0.0	0.0	0.0
YBL091C-A	0.040066350588822026	0.0	0.0	0.0
YBL093C	-4.316863087727155	-3.4252990040763938	-5.149512842734011	0.0
YBL094C	-4.32315922853397	0.0	-7.724269264101017	0.0
YBL095W	-0.03233926868955018	0.0	0.0	0.0
YBL096C	0.20691408196941893	0.0	0.0	0.0
YBL098W	0.2037660115660125	0.0	0.0	0.0
YBL099W	0.12191618107741727	0.0	0.0	0.0
YBL100C	0.043214420992230336	0.0	0.0	0.0
YBL101C	0.21635829317964198	0.0	0.0	0.0
YBL102W	0.19746987075919684	0.0	0.0	0.0
YBL103C	0.03691828018541466	0.0	0.0	0.0
YBL104C	0.04951056179904506	0.0	0.0	0.0
YBL106C	0.08728740663993438	0.0	0.0	0.0
YBL107C	0.0935835474467491	0.0	0.0	0.0
YBR001C	0.10932389946378687	0.0	0.0	0.0
YBR003W	-0.11418909917814542	0.0	0.0	0.0
YBR005W	0.11247196986719424	0.0	0.0	0.0
