orf	hap a | growth (culture turbidity) | zymolyase [30 U/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (spot assay) | Congo Red [50 ug/ml] | YPD | García R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [10-30 ng/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [60-120 ng/ml] | YPD | Garcia R~Arroyo J, 2015
YAL002W	0.7851576994434137	0.0	0.0	0.0
YAL004W	1.0493506493506493	0.0	0.0	0.0
YAL005C	1.0909090909090908	0.0	0.0	0.0
YAL007C	1.0137291280148422	0.0	0.0	0.0
YAL008W	0.9758812615955472	0.0	0.0	0.0
YAL009W	0.9113172541743969	0.0	0.0	0.0
YAL010C	0.9038961038961038	0.0	0.0	0.0
YAL011W	0.9617810760667903	0.0	0.0	0.0
YAL012W	0.8141001855287568	0.0	0.0	0.0
YAL013W	1.0753246753246752	0.0	0.0	0.0
YAL014C	1.1280148423005565	0.0	0.0	0.0
YAL015C	1.126530612244898	0.0	0.0	0.0
YAL016W	0.20705009276437844	0.0	0.0	0.0
YAL017W	1.126530612244898	0.0	0.0	0.0
YAL018C	1.1116883116883116	0.0	0.0	0.0
YAL019W	0.9699443413729126	-1.0	0.0	0.0
YAL020C	1.0597402597402596	0.0	0.0	0.0
YAL021C	0.3747680890538033	0.0	-3.0	0.0
YAL022C	1.018181818181818	0.0	0.0	0.0
YAL023C	0.22857142857142854	-3.0	-1.0	0.0
YAL024C	1.04860853432282	0.0	0.0	0.0
YAL026C	1.107977736549165	0.0	-2.0	0.0
YAL027W	1.1287569573283858	0.0	0.0	0.0
YAL028W	1.0871985157699442	0.0	0.0	0.0
YAL029C	1.0708719851576993	0.0	0.0	0.0
YAL030W	1.0664192949907234	0.0	0.0	0.0
YAL031C	1.0144712430426714	0.0	0.0	0.0
YAL034C	0.9833024118738403	0.0	0.0	0.0
YAL035W	1.0025974025974025	0.0	0.0	0.0
YAL036C	1.122077922077922	0.0	0.0	0.0
YAL037W	1.0857142857142856	0.0	0.0	0.0
YAL039C	1.0389610389610389	0.0	0.0	0.0
YAL040C	1.034508348794063	0.0	0.0	0.0
YAL042W	0.9640074211502782	0.0	0.0	0.0
YAL043C-A	0.970686456400742	0.0	0.0	0.0
YAL044C	0.9662337662337661	0.0	0.0	0.0
YAL045C	1.112430426716141	0.0	0.0	0.0
YAL046C	1.1161410018552875	0.0	0.0	0.0
YAL047C	0.18923933209647495	-3.0	-2.0	0.0
YAL048C	1.0359925788497215	0.0	0.0	0.0
YAL049C	1.1139146567717995	0.0	0.0	0.0
YAL051W	1.1050092764378479	0.0	0.0	0.0
YAL053W	1.0760667903525045	0.0	0.0	0.0
YAL054C	0.894990723562152	0.0	0.0	0.0
YAL055W	1.0664192949907234	0.0	0.0	0.0
YAL056W	0.9536178107606678	0.0	0.0	0.0
YAL058C-A	0.7829313543599257	0.0	0.0	0.0
YAL058W	0.9128014842300556	0.0	0.0	0.0
YAL059W	1.1012987012987012	0.0	0.0	0.0
YAL060W	1.126530612244898	0.0	0.0	0.0
YAL061W	1.1525046382189237	0.0	0.0	0.0
YAL062W	1.1510204081632651	0.0	0.0	0.0
YAL064C-A	1.143599257884972	0.0	0.0	0.0
YAL065C	1.1384044526901669	0.0	0.0	0.0
YAL066W	1.1398886827458254	0.0	0.0	0.0
YAL067C	1.1354359925788495	0.0	0.0	0.0
YAL068C	1.1384044526901669	0.0	0.0	0.0
YAR002C-A	1.0500927643784785	0.0	0.0	0.0
YAR002W	0.9892393320964749	0.0	0.0	0.0
YAR003W	1.0790352504638216	0.0	0.0	0.0
YAR014C	0.5677179962894248	0.0	0.0	0.0
YAR015W	0.7762523191094619	0.0	0.0	0.0
YAR018C	1.0834879406307976	0.0	0.0	0.0
YAR020C	1.110204081632653	0.0	0.0	0.0
YAR023C	1.1042671614100183	0.0	0.0	0.0
YAR027W	1.0968460111317253	0.0	0.0	0.0
YAR028W	1.1042671614100183	0.0	0.0	0.0
YAR029W	1.0946196660482375	0.0	0.0	0.0
YAR030C	1.1346938775510202	0.0	0.0	0.0
YAR031W	1.131725417439703	0.0	0.0	0.0
YAR035W	1.1057513914656771	0.0	0.0	0.0
YAR037W	1.1614100185528755	0.0	0.0	0.0
YAR040C	1.1443413729128014	0.0	0.0	0.0
YAR042W	1.1439703153988867	0.0	0.0	0.0
YAR043C	1.1391465677179962	0.0	0.0	0.0
YAR047C	1.1539888682745825	0.0	0.0	0.0
YAR050W	0.9157699443413728	0.0	0.0	0.0
YBL001C	1.0827458256029685	0.0	0.0	0.0
YBL002W	1.089424860853432	0.0	0.0	0.0
YBL003C	1.1161410018552875	0.0	0.0	0.0
YBL005W	1.1309833024118738	0.0	0.0	0.0
YBL006C	1.0612244897959182	0.0	0.0	0.0
YBL007C	0.06233766233766234	0.0	-2.0	0.0
YBL008W	1.1443413729128014	0.0	0.0	0.0
YBL009W	1.1421150278293133	0.0	0.0	0.0
YBL010C	1.1525046382189237	0.0	0.0	0.0
YBL011W	1.034508348794063	0.0	0.0	0.0
YBL012C	0.9959183673469387	0.0	0.0	0.0
YBL013W	1.0196660482374769	0.0	0.0	0.0
YBL015W	1.089424860853432	0.0	0.0	0.0
YBL016W	1.112430426716141	0.0	0.0	0.0
YBL017C	1.1027829313543598	0.0	0.0	0.0
YBL019W	1.1228200371057513	0.0	0.0	0.0
YBL021C	1.1042671614100183	0.0	0.0	0.0
YBL022C	1.0523191094619664	0.0	0.0	0.0
YBL024W	0.8400742115027827	0.0	0.0	0.0
YBL025W	0.08534322820037105	0.0	0.0	0.0
YBL027W	0.8890538033395174	-3.0	0.0	0.0
YBL028C	1.0397031539888681	0.0	0.0	0.0
YBL029W	1.09165120593692	0.0	0.0	1.0
YBL031W	1.1191094619666047	0.0	0.0	0.0
YBL032W	1.1027829313543598	0.0	0.0	0.0
YBL033C	0.060853432282003704	0.0	0.0	0.0
YBL036C	0.9506493506493505	0.0	0.0	0.0
YBL037W	0.8897959183673468	0.0	0.0	0.0
YBL038W	0.9959183673469387	0.0	0.0	0.0
YBL039C	1.032282003710575	0.0	0.0	0.0
YBL042C	1.0196660482374769	-1.0	0.0	0.0
YBL043W	1.1243042671614099	0.0	0.0	0.0
YBL044W	1.0871985157699442	0.0	0.0	0.0
YBL045C	1.0946196660482375	0.0	0.0	0.0
YBL046W	1.1287569573283858	0.0	0.0	0.0
YBL047C	0.5120593692022263	0.0	0.0	0.0
YBL048W	1.0196660482374769	0.0	0.0	0.0
YBL049W	0.9172541743970314	0.0	0.0	0.0
YBL051C	1.0679035250463822	-1.0	-2.0	0.0
YBL052C	1.0998144712430424	0.0	0.0	0.0
YBL053W	1.1406307977736547	0.0	0.0	0.0
YBL054W	1.1191094619666047	0.0	0.0	0.0
YBL055C	1.1250463821892391	0.0	0.0	0.0
YBL056W	1.1250463821892391	0.0	0.0	0.0
YBL057C	1.1309833024118738	0.0	0.0	0.0
YBL058W	0.11873840445269015	-2.0	-3.0	0.0
YBL059W	0.9847866419294989	0.0	0.0	0.0
YBL060W	0.8883116883116883	0.0	0.0	0.0
YBL061C	0.47792207792207786	0.0	-2.0	0.0
YBL062W	0.8200371057513913	0.0	0.0	0.0
YBL063W	1.0226345083487938	-1.0	0.0	0.0
YBL064C	1.0575139146567718	0.0	0.0	0.0
YBL065W	1.0983302411873839	0.0	0.0	0.0
YBL066C	1.0953617810760667	0.0	0.0	0.0
YBL067C	1.0649350649350648	0.0	0.0	0.0
YBL068W	1.0575139146567718	0.0	0.0	0.0
YBL069W	1.0166975881261595	0.0	0.0	0.0
YBL070C	1.1116883116883116	0.0	0.0	0.0
YBL071C	1.0389610389610389	0.0	0.0	0.0
YBL072C	1.0115027829313543	0.0	0.0	0.0
YBL075C	0.8957328385899814	0.0	0.0	1.0
YBL078C	0.9996289424860852	0.0	-1.0	0.0
