orf	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YAL002W	0.0	0.3907739722295744
YAL004W	0.0	-0.4589570486464609
YAL005C	0.0	-0.06808077904348472
YAL007C	0.0	-0.055941764459541306
YAL008W	0.0	0.3592125343113215
YAL009W	0.0	0.6117040376573436
YAL010C	0.0	-0.5220799244829664
YAL011W	0.0	0.17712731555217112
YAL012W	0.0	0.5278544353263421
YAL013W	0.0	7.567359394256889
YAL014C	0.0	0.19654973888648064
YAL015C	0.0	-0.01709691779092258
YAL016C-B	0.0	-0.6069857258568591
YAL016W	-1.8265186045496382	-0.4391691110722808
YAL017W	0.0	-0.19675433363328432
YAL018C	0.0	0.7379497893303545
YAL019W	0.0	0.28880624972445007
YAL020C	0.0	0.24996140305583145
YAL021C	-7.306074418198553	-0.8765391503341126
YAL022C	0.0	-0.8449777124158597
YAL023C	0.0	8.414662612216135
YAL024C	0.0	-0.2071413513064343
YAL026C	-7.306074418198553	-0.8789669532509011
YAL028W	0.0	0.30822867305875956
YAL029C	0.0	1.4711462702005333
YAL030W	0.0	0.5947094172398227
YAL031C	0.0	0.7986448622500713
YAL034C	0.0	-0.2647328153033671
YAL035W	0.0	0.7670834243318184
YAL036C	0.0	0.21839996513757862
YAL037C-A	0.0	-0.4389726318925152
YAL037W	0.0	0.8204950885011693
YAL040C	0.0	1.1773821172691044
YAL042C-A	0.0	0.7962170593332827
YAL042W	0.0	0.4271910159814045
YAL044C	0.0	2.371861152329131
YAL045C	0.0	0.584998205572668
YAL046C	0.0	2.561229779838648
YAL047C	-3.6530372090992764	-0.8864833375312592
YAL048C	0.0	0.9588798547581238
YAL049C	0.0	1.0729865918471913
