ORF	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YMR038C	4.000	1.673
YKL101W	4.000	1.672
YML034W	4.000	1.672
YIL138C	4.000	1.672
YMR326C	4.000	1.670
YHR075C	4.000	1.669
YOR214C	4.000	1.668
YLR334C	4.000	1.667
YDR036C	4.000	1.667
YDR271C	4.000	1.667
YDR033W	4.000	1.666
YMR109W	4.000	1.665
YGL226C-A	4.000	1.665
YOR245C	4.000	1.665
YIL009C-A	4.000	1.664
YML010W-A	4.000	1.663
YLR084C	4.000	1.663
YGR189C	4.000	1.662
YBR166C	4.000	1.662
YMR173W-A	4.000	1.661
YGL094C	4.000	1.660
YGL141W	4.000	1.659
YNL335W	4.000	1.659
YGR069W	4.000	1.659
YIL139C	4.000	1.659
YEL061C	4.000	1.657
YIL012W	4.000	1.657
YMR169C	4.000	1.265
YPR158W	4.000	1.656
YDL206W	4.000	1.656
YPL127C	4.000	1.654
YNR013C	4.000	1.653
YGL211W	4.000	1.653
YDR254W	4.000	1.652
YBR145W	4.000	1.652
YIR017C	4.000	1.651
YFR032C-B	4.000	1.650
YMR201C	4.000	1.649
YJR096W	4.000	1.649
YBL071C	4.000	1.649
YHR046C	4.000	1.645
YOR034C	4.000	1.645
YDR463W	4.000	1.644
YFR053C	4.000	1.644
YPR123C	4.000	1.643
YKL118W	4.000	1.643
YLR392C	4.000	1.643
YHL044W	4.000	1.642
YBR157C	4.000	1.641
YOR219C	4.000	1.641
YDL094C	4.000	1.641
YPL071C	4.000	1.640
YLR182W	4.000	1.638
YJR009C	4.000	1.638
YDR540C	4.000	1.638
YBR134W	4.000	1.637
YKR100C	4.000	1.636
YMR172C-A	4.000	1.635
YDR538W	4.000	1.634
YGR010W	4.000	1.634
YBL088C	4.000	1.634
YML052W	4.000	1.634
YBL103C	4.000	1.634
YLR104W	4.000	1.632
YJL007C	4.000	1.632
YFL006W	4.000	1.632
YGL019W	4.000	1.632
YOR226C	4.000	1.631
YIR018W	4.000	1.629
YJL017W	4.000	1.629
YKL211C	4.000	1.628
YLR319C	4.000	1.628
YLR449W	4.000	1.628
YKL163W	4.000	1.627
YER103W	4.000	1.625
YJR109C	4.000	1.624
YMR086C-A	4.000	1.624
YLR320W	4.000	1.624
YHR134W	4.000	1.624
YDR034W-B	4.000	1.624
YKL159C	4.000	1.624
YML086C	4.000	1.623
YPR029C	4.000	1.622
YPL147W	4.000	1.621
YNL300W	4.000	1.620
YGL139W	4.000	1.619
YDL176W	4.000	1.619
YLR165C	4.000	1.619
YFR025C	4.000	1.617
YOL076W	4.000	1.617
YDR387C	4.000	1.616
YGL144C	4.000	1.615
YBR106W	4.000	1.615
YGR055W	4.000	1.614
YOR193W	4.000	1.614
YDR313C	4.000	1.613
YIL134W	4.000	1.612
YAL009W	4.000	1.611
YCR102W-A	4.000	1.610
YLR280C	4.000	1.610
YKL116C	4.000	1.610
YKR011C	4.000	1.609
YDR522C	4.000	1.609
YAL058C-A	4.000	1.608
YOL118C	4.000	1.607
YKL046C	4.000	1.606
YOR086C	4.000	1.606
YCR073W-A	4.000	1.604
YML018C	4.000	1.604
YHR195W	4.000	1.602
YPL009C	4.000	1.601
YNL147W	4.000	1.600
YKR048C	4.000	1.600
YBR248C	4.000	1.599
YNL227C	4.000	1.598
YPL247C	4.000	1.598
YFR045W	4.000	1.598
YOR050C	4.000	1.598
YDR253C	4.000	1.598
YNL314W	4.000	1.595
YMR177W	4.000	1.595
YCL024W	4.000	1.595
YKR074W	4.000	1.594
YOR385W	4.000	1.593
YOR061W	4.000	1.593
YAL030W	4.000	1.593
YDR009W	4.000	1.592
YCL028W	4.000	1.591
YLR176C	4.000	1.590
YGR170W	4.000	1.590
YFR031C-A	4.000	1.590
YPL111W	4.000	1.589
YHR183W	4.000	1.588
YLR374C	4.000	1.584
YCL026C-A	4.000	1.584
YIR002C	4.000	1.584
YIL035C	4.000	1.583
YAL045C	4.000	1.582
YOL100W	4.000	1.582
YGR086C	4.000	1.582
YNL283C	4.000	1.582
YPL115C	4.000	1.581
YML019W	4.000	1.581
YPL206C	4.000	1.580
YNL206C	4.000	1.579
YMR223W	4.000	1.578
YOL037C	4.000	1.578
YHL007C	4.000	1.577
YDL061W	4.000	1.576
YMR262W	4.000	1.576
YNL107W	4.000	1.576
YOL006C	4.000	1.573
YDR354W	4.000	1.573
YDR371W	4.000	1.573
YJR044C	4.000	1.573
YNL015W	4.000	1.573
YER077C	4.000	1.572
YMR194W	4.000	1.571
YPL027W	4.000	1.570
YOR209C	4.000	1.570
YLL002W	4.000	1.569
YDL011C	4.000	1.569
YLR375W	4.000	1.566
YDL182W	4.000	1.564
YPL073C	4.000	1.563
YIL096C	4.000	1.562
YBL022C	4.000	1.561
YBR228W	4.000	1.560
YKL029C	4.000	1.560
YNL190W	4.000	1.560
YDL089W	4.000	1.560
YKL105C	4.000	1.560
YBR030W	4.000	1.560
YIR019C	4.000	1.559
YOR027W	4.000	1.559
YGR201C	4.000	1.558
YFR021W	4.000	1.557
YKL146W	4.000	1.557
YER106W	4.000	1.557
YOL046C	4.000	1.554
YDR252W	4.000	1.553
YDL009C	4.000	1.553
YGR233C	4.000	1.553
YNL122C	4.000	1.552
YDR264C	4.000	1.551
YGL200C	4.000	1.550
YLR262C-A	4.000	1.550
YDR251W	4.000	1.549
YJR095W	4.000	1.549
YLL041C	4.000	1.549
YGR022C	4.000	1.487
YML062C	4.000	1.547
YCL027W	4.000	1.545
YFL018C	4.000	1.543
YBL006C	4.000	1.540
YAR003W	4.000	1.538
YOR189W	4.000	1.538
YCR067C	2.000	1.538
YBR039W	4.000	1.538
YOL090W	4.000	1.537
YJR119C	4.000	1.536
YOR199W	4.000	1.536
YBR223C	4.000	1.535
YDR453C	4.000	1.533
YGR263C	4.000	1.533
YOR037W	4.000	1.532
YDR262W	4.000	1.532
YDL169C	4.000	1.532
YGL237C	4.000	1.532
YMR214W	4.000	1.531
YDR078C	4.000	1.531
YOL122C	4.000	1.530
YPR007C	4.000	1.528
YDR488C	4.000	1.528
YGR059W	4.000	1.528
YJL049W	4.000	1.527
YBR277C	4.000	1.527
YJL145W	4.000	1.527
YJR103W	4.000	1.526
YBR046C	4.000	1.526
YJR145C	4.000	1.526
YLR427W	4.000	1.525
YMR225C	4.000	1.524
YJL206C	4.000	1.524
YOR041C	4.000	1.523
YBL047C	4.000	1.523
YJR084W	4.000	1.523
YGL132W	4.000	1.522
YGL218W	4.000	0.873
YAL012W	4.000	1.521
YNL173C	4.000	1.521
YMR074C	4.000	1.520
YNL023C	4.000	1.520
YML060W	4.000	1.520
YGR165W	4.000	1.520
YJL016W	4.000	1.520
YMR221C	4.000	1.519
YBR259W	4.000	1.519
YGR053C	4.000	1.519
YOR271C	4.000	1.518
YNL141W	4.000	1.518
YML053C	4.000	1.518
YJL053W	4.000	1.517
YIR003W	4.000	1.516
YKL079W	4.000	1.516
YGL216W	4.000	1.515
YLR191W	4.000	1.515
YDR479C	4.000	1.515
YOL103W	4.000	1.514
YJR011C	4.000	1.514
YLR265C	4.000	1.513
YER037W	4.000	1.513
YDL056W	4.000	1.511
YPL040C	4.000	1.511
YMR195W	4.000	1.510
YML066C	4.000	1.510
YDR096W	4.000	1.510
YGL203C	4.000	1.509
YKL126W	4.000	1.507
YDL093W	4.000	1.507
YLR089C	1.000	1.506
YBR041W	4.000	1.506
YAL064C-A	4.000	1.506
YOR355W	4.000	1.505
YBR149W	4.000	1.504
YCL062W	4.000	1.504
YOR055W	4.000	1.503
YNL303W	4.000	1.503
YBR227C	4.000	1.503
YBR286W	4.000	1.503
YAR040C	4.000	1.502
YFL021W	4.000	1.502
YLR308W	4.000	1.502
YDR459C	4.000	1.502
YMR175W	4.000	1.335
YHR156C	4.000	1.500
YGL138C	4.000	1.500
YDL184C	4.000	1.498
YKL091C	4.000	1.498
YFR048W	4.000	1.497
YPL141C	4.000	1.495
YNL239W	4.000	1.494
YBR137W	4.000	1.494
YHR131C	4.000	1.494
YDR234W	4.000	1.493
YIR025W	4.000	1.491
YGR252W	4.000	1.490
YDL236W	4.000	1.490
YOR229W	4.000	1.489
YLL026W	4.000	1.489
YCL049C	4.000	1.488
YBR043C	4.000	1.487
YDR215C	4.000	1.487
YCL069W	4.000	1.485
YMR163C	4.000	1.484
YPL109C	4.000	1.484
YAL053W	4.000	1.484
YMR319C	4.000	1.483
YGR110W	4.000	1.482
YJR020W	4.000	1.481
YCR089W	4.000	1.481
YBR111W-A	4.000	1.479
YEL047C	4.000	1.479
YOR144C	4.000	1.478
YKL115C	4.000	1.477
YOR047C	4.000	1.477
YGR117C	4.000	1.476
YNR014W	4.000	1.476
YOR109W	4.000	1.476
YNL065W	4.000	1.476
YGR268C	4.000	1.473
YKR098C	4.000	1.473
YNR020C	4.000	1.472
YGL164C	4.000	1.472
YPR132W	4.000	1.471
YPL199C	4.000	1.470
YIL028W	4.000	1.470
YDR213W	4.000	1.469
YOR079C	4.000	1.468
YJL099W	4.000	1.466
YGR178C	4.000	1.465
YPL102C	4.000	1.464
YJL141C	4.000	1.463
YAR018C	4.000	1.463
YGR139W	4.000	1.463
YOL067C	4.000	1.463
YNL051W	4.000	1.462
YBR158W	4.000	1.462
YPR030W	4.000	1.462
YFR047C	4.000	1.461
YHR038W	4.000	1.461
YJL004C	4.000	1.461
YPR077C	4.000	1.460
YJR122W	4.000	1.457
YER040W	4.000	1.457
YMR006C	4.000	1.456
YPL092W	4.000	1.456
YCL055W	4.000	1.456
YDR481C	4.000	1.456
YGR242W	4.000	1.456
YOL016C	4.000	1.455
YLR082C	4.000	1.454
YLR090W	4.000	1.454
YMR199W	4.000	1.453
YLR335W	4.000	1.453
YDR430C	4.000	1.452
YBR022W	4.000	1.451
YGR040W	4.000	1.451
YKL001C	4.000	1.451
YLR111W	4.000	1.450
YCL061C	4.000	1.450
YDL239C	4.000	1.450
YIL135C	4.000	1.450
YKL155C	4.000	1.450
YLR287C	4.000	1.449
YBR162C	4.000	1.448
YJR091C	4.000	1.447
YBR249C	4.000	1.447
YKL131W	4.000	1.446
YPL259C	4.000	1.446
YPR106W	4.000	1.446
YNL049C	4.000	1.446
YMR318C	4.000	1.446
YKL094W	4.000	1.446
YER035W	4.000	1.444
YCL042W	4.000	1.444
YOL141W	4.000	1.442
YHR204W	4.000	1.442
YPR075C	4.000	1.442
YPL070W	4.000	1.439
YMR090W	4.000	1.439
YGR283C	4.000	1.437
YLR326W	4.000	1.436
YJR146W	4.000	1.436
YDL219W	4.000	1.434
YLR213C	4.000	1.433
YNL292W	4.000	1.433
YMR161W	4.000	1.432
YER032W	4.000	1.432
YJL028W	4.000	1.432
YJR024C	4.000	1.432
YJL152W	4.000	1.432
YJR116W	4.000	1.431
YOL003C	4.000	1.430
YGL033W	4.000	1.430
YGR288W	4.000	1.430
YFR054C	4.000	1.430
YER024W	4.000	1.429
YDL233W	4.000	1.429
YLR015W	4.000	1.429
YOR026W	4.000	1.429
YDR161W	4.000	1.427
YLR218C	4.000	1.427
YNL215W	4.000	1.426
YHR100C	4.000	1.426
YOR221C	4.000	1.425
YGR100W	4.000	1.425
YDR494W	4.000	1.424
YMR316C-A	4.000	1.424
YIL170W	4.000	1.424
YLR325C	4.000	1.422
YPR046W	4.000	1.422
YPR065W	4.000	1.422
YFR044C	4.000	1.421
YOR025W	4.000	1.421
YGR275W	4.000	1.420
YML011C	4.000	1.420
YHR115C	4.000	1.420
YIL162W	4.000	1.419
YKR097W	4.000	1.419
YOR289W	4.000	1.419
YDR462W	4.000	1.419
YGL034C	4.000	1.418
YDR402C	4.000	1.417
YDR019C	4.000	1.417
YPL156C	4.000	1.417
YOR100C	4.000	1.417
YOL132W	4.000	1.416
YMR244W	4.000	1.416
YNL289W	4.000	1.416
YBL061C	4.000	1.415
YAL042W	4.000	1.414
YCR098C	4.000	1.414
YLR357W	4.000	1.412
YGR088W	4.000	1.408
YDR351W	3.000	1.408
YML009C	4.000	1.306
YPL116W	4.000	1.407
YLR014C	4.000	1.407
YDL179W	4.000	1.407
YLL048C	4.000	1.406
YOR191W	4.000	1.406
YKR099W	4.000	1.405
YNR059W	4.000	1.405
YGL188C-A	4.000	1.405
YMR193C-A	4.000	1.404
YLR059C	4.000	1.404
YGR254W	4.000	1.403
YMR242C	4.000	1.402
YFL014W	4.000	1.401
YGL175C	4.000	1.401
YOR363C	4.000	1.401
YHR180W	4.000	1.401
YCR091W	4.000	1.400
YMR317W	4.000	1.400
YGR282C	4.000	1.399
YGR292W	4.000	1.398
YPL079W	4.000	1.398
YKL215C	4.000	1.398
YMR313C	4.000	1.397
YER092W	4.000	1.397
YML050W	4.000	1.397
YOL114C	4.000	1.397
YER007W	4.000	1.397
YNL319W	4.000	1.397
YDR051C	4.000	1.395
YER078W-A	4.000	1.395
YLR043C	4.000	1.395
YPL222W	4.000	1.394
YBL091C-A	4.000	1.394
YOR024W	4.000	1.393
YCR043C	4.000	1.393
YIL037C	4.000	1.392
YJL176C	4.000	1.392
YDL160C-A	4.000	1.391
YFR033C	4.000	1.391
YBR239C	4.000	1.390
YOR099W	4.000	1.389
YIR031C	4.000	1.388
YBR224W	4.000	1.388
YMR055C	4.000	1.386
YOL098C	4.000	1.385
YIR038C	4.000	1.385
YNR051C	4.000	1.385
YDL049C	4.000	1.385
YJL107C	4.000	1.384
YNR004W	4.000	1.384
YKR061W	4.000	1.384
YML124C	4.000	1.384
YLR428C	4.000	1.383
YOR317W	4.000	1.383
YMR085W	4.000	1.382
YPL018W	4.000	1.381
YKL057C	4.000	1.381
YJL215C	4.000	1.381
YPR032W	4.000	1.381
YHR035W	4.000	1.380
YNR063W	4.000	1.380
YBR105C	4.000	1.380
YCL033C	4.000	1.379
YPL066W	4.000	1.379
YGL066W	4.000	1.379
YJR019C	4.000	1.378
YHR049C-A	4.000	1.378
YMR230W	4.000	1.378
YOR071C	4.000	1.378
YDR378C	4.000	1.377
YGL041C	4.000	1.377
YDL125C	4.000	1.377
YIL064W	4.000	1.376
YBR274W	4.000	1.376
YPL099C	4.000	1.376
YAL002W	4.000	1.375
YBR031W	4.000	1.375
YHR182W	4.000	1.373
YDR278C	4.000	1.372
YKL092C	4.000	1.372
YOR192C	4.000	1.371
YJL144W	4.000	1.371
YGL163C	4.000	1.371
YNR047W	4.000	1.370
YIR043C	4.000	1.370
YNR049C	4.000	1.369
YPL229W	4.000	1.368
YGL006W-A	4.000	1.368
YLR282C	4.000	1.367
YLR288C	4.000	1.367
YPL257W	4.000	1.367
YGR121C	4.000	1.366
YMR176W	4.000	1.366
YIL167W	4.000	1.366
YGL253W	4.000	1.365
YGR295C	4.000	1.364
YHR114W	4.000	1.364
YDR357C	4.000	1.363
YOL104C	4.000	1.362
YDR132C	4.000	1.361
YPL245W	4.000	1.360
YJR055W	4.000	1.166
YCR073C	1.000	1.359
YNL193W	4.000	1.359
YBR065C	4.000	1.358
YBR054W	4.000	1.357
YOR365C	4.000	1.357
YGR138C	4.000	1.356
YLR169W	4.000	1.354
YDL001W	4.000	1.354
YIL159W	4.000	1.353
YNL121C	4.000	1.353
YBR244W	4.000	1.353
YGR077C	4.000	1.352
YPR049C	4.000	1.352
YPR145W	4.000	1.351
YBL070C	4.000	1.351
YPR014C	4.000	1.350
YOR383C	4.000	1.350
YLR056W	4.000	1.350
YLR365W	4.000	1.349
YPL244C	4.000	1.346
YJR053W	4.000	1.346
YOR233W	4.000	1.346
YDR508C	4.000	1.346
YPR087W	4.000	1.346
YOR358W	4.000	1.345
YGL256W	4.000	1.345
YPL201C	4.000	1.345
YGL050W	4.000	1.345
YDL034W	4.000	1.345
YGR125W	4.000	1.344
YGL259W	4.000	1.344
YBL009W	4.000	1.344
YDR165W	4.000	1.343
YGL198W	4.000	1.343
YMR010W	4.000	1.342
YLR390W-A	4.000	1.342
YGL179C	4.000	1.341
YPL006W	4.000	1.341
YNL295W	4.000	1.341
YAL008W	4.000	1.341
YLL015W	4.000	1.341
YDR103W	4.000	1.341
YBL001C	4.000	1.340
YBL091C	4.000	1.340
YDR067C	4.000	1.339
YBR200W-A	4.000	1.339
YOR292C	4.000	1.338
YDR388W	3.000	1.338
YBR051W	4.000	1.338
YJR154W	4.000	1.337
YLR400W	4.000	1.337
YIL136W	4.000	1.336
YGL053W	4.000	1.336
YFR036W	4.000	1.335
YBR099C	4.000	1.334
YGL013C	4.000	1.334
YBR209W	4.000	1.334
YDR225W	4.000	1.334
YJL121C	4.000	1.333
YNL327W	4.000	1.333
YNR055C	4.000	1.332
YBL069W	4.000	1.331
YKL040C	4.000	1.331
YGR232W	4.000	1.331
YDR239C	4.000	1.331
YDR157W	4.000	1.331
YJL036W	4.000	1.331
YDR465C	4.000	1.330
YMR004W	4.000	1.330
YPL055C	4.000	1.329
YDR389W	2.000	1.329
YJL112W	4.000	1.329
YCR008W	4.000	1.329
YLR174W	4.000	1.329
YMR192W	4.000	1.329
YLR052W	4.000	1.329
YNL053W	4.000	1.328
YGR234W	4.000	1.328
YNL185C	4.000	1.327
YDL021W	4.000	1.327
YCL034W	4.000	1.327
YGL021W	4.000	1.327
YPL078C	4.000	1.166
YNL304W	4.000	1.326
YLR094C	4.000	1.326
YLR461W	4.000	1.325
YOR133W	4.000	1.325
YOL163W	4.000	1.325
YKL147W	4.000	1.324
YDR497C	4.000	1.324
YJL020C	4.000	1.323
YPL084W	4.000	1.323
YCR062W	2.000	1.323
YNL009W	4.000	1.322
YJR047C	4.000	1.321
YPR017C	4.000	1.321
YLR110C	4.000	1.320
YCR060W	4.000	1.320
YKL164C	4.000	1.320
YJR080C	4.000	1.320
YBR063C	4.000	1.319
YKL023W	4.000	1.318
YNR075W	4.000	1.318
YNL265C	4.000	1.318
YOR107W	4.000	1.318
YOR359W	4.000	1.318
YOR120W	4.000	1.317
YDR440W	4.000	1.317
YOL053W	4.000	1.317
YAR037W	4.000	1.315
YJL094C	4.000	1.313
YDR363W	4.000	1.313
YML079W	4.000	1.313
YBR015C	4.000	1.313
YBR296C-A	4.000	1.312
YGR108W	4.000	1.312
YGL227W	4.000	1.312
YJR031C	4.000	1.311
YLR171W	4.000	1.310
YMR075C-A	4.000	1.310
YMR095C	4.000	1.310
YBR084W	4.000	1.310
YBR010W	4.000	1.309
YMR030W	4.000	1.308
YCL014W	4.000	1.308
YLR074C	4.000	1.308
YLR268W	4.000	1.307
YMR196W	4.000	1.307
YMR241W	4.000	1.307
YLL017W	4.000	1.307
YDR480W	4.000	1.307
YER123W	4.000	1.307
YPR166C	4.000	1.307
YPL106C	4.000	1.306
YPR084W	4.000	1.305
YDR451C	4.000	1.305
YDR066C	4.000	1.304
YLR054C	4.000	1.303
YGL241W	4.000	1.302
YOR300W	4.000	0.939
YLR044C	4.000	1.301
YPL273W	4.000	1.300
YBR081C	4.000	1.300
YML002W	4.000	1.299
YLR061W	4.000	1.299
YOR001W	4.000	1.299
YFL012W	4.000	1.297
YKR102W	4.000	1.296
YER033C	4.000	1.295
YDR027C	4.000	1.295
YBR085W	4.000	1.294
YDR438W	4.000	1.294
YGR057C	4.000	1.294
YNL130C	4.000	1.294
YDR260C	4.000	1.294
YBR273C	4.000	1.293
YGL158W	4.000	1.293
YOL002C	4.000	1.293
YER079W	4.000	1.292
YOL030W	4.000	1.292
YPL136W	4.000	1.292
YGR106C	4.000	1.292
YMR179W	4.000	1.291
YMR180C	4.000	1.291
YCR044C	4.000	1.290
YBL071C-B	4.000	1.290
YIL067C	4.000	1.290
YOL150C	4.000	1.290
YDR414C	4.000	1.290
YLR381W	4.000	1.290
YER011W	4.000	1.289
YBR040W	4.000	1.289
YGL254W	4.000	1.289
YHR125W	4.000	1.288
YGR204C-A	4.000	1.288
YJL043W	4.000	1.288
YOR064C	4.000	1.288
YBL065W	4.000	1.287
YAL028W	4.000	1.287
YMR103C	4.000	1.285
YJL101C	4.000	1.285
YGL060W	4.000	1.285
YGL157W	4.000	1.285
YDR242W	4.000	1.052
YOR286W	4.000	1.283
YPR163C	4.000	1.283
YNL040W	4.000	1.282
YOL053C-A	4.000	1.282
YDR216W	4.000	1.282
YIL161W	4.000	1.281
YDR409W	4.000	1.280
YOR029W	4.000	1.280
YGL070C	4.000	1.280
YBR014C	4.000	1.279
YPR012W	4.000	1.279
YPR027C	4.000	1.279
YER053C-A	4.000	1.278
YDR445C	4.000	1.277
YGR112W	4.000	1.277
YPL130W	4.000	1.277
YNR009W	4.000	1.276
YMR136W	4.000	1.276
YBR282W	4.000	1.276
YOR384W	4.000	1.275
YBR028C	4.000	1.275
YOR225W	4.000	1.275
YPL005W	4.000	1.275
YKR088C	4.000	1.274
YML104C	4.000	1.274
YDR246W-A	4.000	1.274
YNL094W	4.000	1.273
YDR279W	4.000	1.273
YPL203W	4.000	1.273
YER049W	4.000	1.272
YBL089W	4.000	1.272
YAL055W	4.000	1.271
YAR028W	4.000	1.271
YHR184W	4.000	1.270
YDR386W	4.000	1.270
YGL156W	4.000	1.270
YPL220W	4.000	1.270
YOL093W	4.000	1.269
YDR457W	4.000	1.269
YHR142W	4.000	1.269
YIL163C	4.000	1.268
YPL132W	4.000	1.266
YAL019W	4.000	1.266
YIR007W	4.000	1.265
YOR303W	4.000	1.256
YER177W	4.000	1.264
YOR114W	4.000	1.263
YCR024C	4.000	1.263
YOL159C	4.000	1.263
YLR146C	4.000	1.263
YJR037W	4.000	1.262
YKR032W	4.000	1.262
YER178W	4.000	1.262
YNL176C	4.000	1.262
YGL049C	4.000	1.262
YFL048C	4.000	1.261
YDL022W	4.000	1.261
YBR183W	4.000	1.260
YDL159W	4.000	1.260
YOR345C	4.000	1.259
YDR032C	4.000	1.258
YJL058C	4.000	1.258
YNL266W	4.000	1.258
YIL032C	4.000	1.257
YFL035C-B	4.000	1.257
YKL132C	4.000	1.256
YNL097C	4.000	1.256
YJR099W	4.000	1.255
YBR113W	4.000	1.255
YNR062C	4.000	1.255
YIL073C	4.000	1.254
YLR003C	4.000	1.254
YKL216W	4.000	1.254
YDR147W	4.000	1.254
YKR084C	4.000	1.253
YFL053W	4.000	1.253
YKL093W	4.000	1.252
YDR424C	4.000	1.252
YIL002W-A	4.000	1.251
YGL180W	4.000	1.250
YGR107W	4.000	1.250
YHL034C	4.000	1.250
YPR015C	4.000	1.250
YDR058C	4.000	1.249
YMR058W	4.000	1.249
YDR500C	4.000	0.750
YJL071W	4.000	1.249
YPR052C	4.000	1.249
YLR210W	4.000	1.249
YMR173W	4.000	1.247
YGL017W	4.000	1.247
YOL049W	4.000	1.247
YPR185W	4.000	1.246
YLR429W	4.000	1.246
YOR239W	4.000	1.246
YHR103W	4.000	1.245
YLR250W	4.000	1.245
YDL178W	4.000	1.244
YGR269W	4.000	1.243
YDL036C	4.000	1.243
YEL056W	4.000	1.242
YNL028W	4.000	1.242
YPR115W	4.000	1.240
YDL070W	4.000	1.240
YJR051W	4.000	1.240
YGL235W	4.000	1.225
YLR180W	4.000	1.239
YPL017C	4.000	1.192
YKL214C	4.000	1.239
YJR153W	4.000	1.239
YPL137C	4.000	1.238
YML102C-A	4.000	1.238
YER010C	4.000	1.238
YLR099C	4.000	1.238
YGL057C	4.000	1.238
YBR221W-A	4.000	1.238
YFL050C	4.000	1.238
YDR182W-A	4.000	1.236
YNL041C	4.000	1.236
YPL064C	4.000	1.236
YGL059W	4.000	1.234
YPR109W	4.000	1.234
YKL102C	4.000	1.233
YKL201C	4.000	1.233
YDL026W	4.000	1.233
YGL243W	4.000	1.232
YEL059C-A	4.000	1.232
YJR137C	4.000	1.232
YOL119C	4.000	1.232
YEL040W	4.000	1.231
YLR205C	4.000	1.231
YDL074C	4.000	1.231
YNL269W	4.000	1.230
YKL160W	4.000	1.230
YBR085C-A	4.000	1.230
YGL015C	4.000	1.229
YLR239C	4.000	1.228
YOR216C	4.000	1.227
YDR266C	4.000	1.227
YBR151W	4.000	1.226
YNL249C	4.000	1.226
YDR316W	4.000	1.226
YIR042C	4.000	1.226
YBR023C	4.000	1.225
YLR344W	4.000	1.224
YAL020C	4.000	1.224
YOR238W	4.000	1.223
YGL202W	4.000	1.223
YIL112W	4.000	1.222
YOL070C	4.000	1.222
YDR466W	4.000	1.221
YMR060C	4.000	1.221
YLR436C	4.000	1.220
YLR399C	4.000	1.220
YJR040W	4.000	1.220
YFR035C	4.000	1.219
YFR034C	4.000	1.219
YPL250C	4.000	1.219
YDL085W	4.000	1.219
YMR167W	4.000	1.218
YLR170C	4.000	1.217
YOR112W	4.000	1.215
YMR009W	4.000	1.215
YML076C	4.000	1.214
YGL064C	4.000	1.214
YNR070W	4.000	1.214
YNL134C	4.000	1.214
YKL072W	4.000	1.214
YOR366W	4.000	1.213
YNR071C	4.000	1.212
YKL081W	4.000	1.212
YIL134C-A	4.000	1.212
YBR245C	4.000	1.211
YLR173W	4.000	1.211
YLR079W	4.000	1.211
YDR511W	4.000	1.210
YNL333W	4.000	1.209
YGR205W	4.000	1.209
YNR045W	4.000	1.208
YNL057W	4.000	1.207
YGL258W-A	4.000	1.207
YNL218W	4.000	1.207
YCL001W-B	4.000	1.207
YDR269C	4.000	1.207
YKL034W	4.000	1.206
YBL079W	4.000	1.205
YJR107W	4.000	1.205
YJL047C-A	4.000	1.205
YJL165C	4.000	1.202
YBL043W	4.000	1.202
YFL013C	4.000	1.201
YBR032W	4.000	1.201
YLR349W	4.000	1.200
YNL196C	4.000	1.200
YER042W	4.000	1.200
YFL003C	4.000	1.199
YOR296W	4.000	1.198
YKL064W	4.000	1.198
YIL006W	4.000	1.198
YLR178C	4.000	1.197
YHL036W	4.000	1.196
YGR287C	4.000	1.196
YPR054W	4.000	1.195
YER030W	4.000	1.195
YDL159W-A	4.000	1.194
YDR537C	4.000	1.194
YHL005C	4.000	1.193
YDR003W-A	4.000	1.193
YDL095W	4.000	1.193
YIR014W	4.000	1.192
YGL208W	4.000	1.191
YLR327C	4.000	1.191
YAL036C	4.000	1.191
YOR054C	4.000	1.190
YBR295W	4.000	1.190
YDL237W	4.000	1.190
YPL051W	4.000	1.190
YBR205W	4.000	1.189
YIR028W	4.000	1.188
YCL074W	4.000	1.188
YER041W	4.000	1.188
YBL085W	4.000	1.188
YDR018C	4.000	1.186
YKR012C	4.000	1.186
YOR234C	4.000	1.186
YMR053C	4.000	1.186
YOR190W	4.000	1.186
YCR083W	4.000	1.185
YDR406W	3.000	1.185
YDR255C	4.000	1.184
YMR306C-A	4.000	1.183
YIL023C	4.000	1.183
YDL115C	4.000	1.183
YLR433C	4.000	1.183
YMR056C	4.000	1.180
YOL158C	4.000	1.180
YPR098C	4.000	1.177
YOR267C	4.000	1.177
YJL079C	4.000	1.177
YGL262W	4.000	1.177
YER034W	4.000	1.176
YER150W	4.000	1.176
YER019W	4.000	1.176
YBL060W	4.000	1.175
YDR070C	4.000	1.174
YNR058W	4.000	1.174
YBR139W	4.000	1.174
YKL197C	4.000	1.174
YPR078C	4.000	1.173
YOR195W	4.000	1.173
YKL142W	4.000	1.173
YER069W	4.000	1.172
YLR255C	4.000	1.172
YOL152W	4.000	0.967
YIL090W	4.000	1.172
YGR289C	4.000	1.171
YBR062C	4.000	1.170
YDL018C	4.000	1.170
YDL085C-A	4.000	1.170
YGR247W	4.000	1.167
YAL014C	4.000	1.167
YDL181W	4.000	1.167
YJL126W	4.000	1.167
YMR245W	4.000	1.166
YDR245W	4.000	1.166
YIL069C	4.000	1.165
YLR219W	4.000	1.165
