ORF	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YJR005W	4.000	4.668
YNR048W	4.000	4.653
YPL183W-A	4.000	2.725
YIR009W	4.000	4.638
YGR200C	4.000	4.621
YNL203C	4.000	4.590
YIL029C	4.000	4.583
YLR360W	4.000	4.569
YOR251C	4.000	4.443
YPL262W	4.000	4.421
YJL023C	4.000	4.342
YML057W	4.000	4.341
YGR162W	4.000	4.317
YAL058W	4.000	4.316
YOL071W	4.000	4.298
YKL222C	4.000	4.245
YML071C	4.000	4.223
YBR024W	4.000	4.216
YHL042W	4.000	4.214
YGR228W	4.000	4.213
YIL079C	4.000	4.210
YJR073C	4.000	4.209
YIL011W	4.000	4.209
YOL111C	4.000	4.193
YBR164C	4.000	4.159
YIL060W	4.000	4.121
YGR064W	4.000	4.112
YOR002W	4.000	4.107
YJR018W	4.000	4.081
YNL284C	4.000	4.077
YGR149W	4.000	4.065
YEL063C	4.000	4.060
YPL139C	4.000	4.035
YPR133W-A	4.000	3.952
YNL219C	4.000	3.942
YNL138W	4.000	3.928
YBR171W	4.000	3.912
YHR029C	4.000	3.903
YBR230C	4.000	3.886
YCR033W	4.000	3.877
YGL005C	4.000	3.867
YHR092C	4.000	3.849
YMR187C	4.000	3.830
YGR284C	4.000	3.829
YJL201W	4.000	3.827
YPL069C	4.000	3.802
YGR016W	4.000	3.786
YDR364C	4.000	3.765
YJL162C	4.000	3.740
YGR241C	4.000	3.739
YER156C	4.000	3.730
YMR066W	4.000	3.710
YOR369C	4.000	3.696
YDL088C	4.000	3.694
YAL046C	4.000	3.694
YIL013C	4.000	3.666
YMR119W	4.000	3.658
YOR351C	4.000	3.644
YJR100C	4.000	3.642
YGR272C	4.000	3.637
YGR004W	4.000	3.637
YNL252C	4.000	3.622
YEL004W	4.000	3.598
YLR064W	4.000	3.586
YGR229C	4.000	3.574
YLR181C	4.000	3.564
YDR140W	4.000	3.559
YBL007C	4.000	3.553
YNL325C	4.000	3.542
YLR261C	4.000	3.533
YLR342W	4.000	3.520
YHR041C	4.000	3.519
YML058C-A	4.000	3.515
YLR431C	4.000	3.514
YAL044C	4.000	3.492
YCL016C	4.000	3.487
YFL013W-A	4.000	3.480
YHL016C	4.000	3.467
YPL120W	4.000	3.455
YPR135W	4.000	3.434
YNR023W	4.000	3.429
YGR050C	4.000	3.425
YKR052C	4.000	3.392
YDR089W	4.000	3.390
YOR228C	4.000	3.385
YEL029C	4.000	3.376
YNL191W	4.000	3.368
YJL175W	4.000	3.357
YML103C	4.000	3.357
YMR182C	4.000	3.347
YKR103W	4.000	3.338
YPR159W	4.000	3.327
YIL053W	4.000	3.295
YDR136C	4.000	3.294
YGR097W	4.000	3.290
YPL086C	4.000	3.289
YPL256C	4.000	3.287
YIL014W	4.000	3.280
YKL113C	4.000	3.255
YGL054C	4.000	3.236
YGR135W	4.000	3.232
YDR226W	4.000	3.227
YML030W	4.000	3.217
YOL004W	4.000	3.212
YLR446W	4.000	3.157
YHR206W	4.000	3.143
YHR199C	4.000	3.134
YPL264C	4.000	3.122
YLR266C	4.000	3.102
YJL147C	4.000	3.087
YGL223C	4.000	3.079
YPL254W	4.000	3.073
YDR137W	4.000	3.073
YOL088C	4.000	3.072
YIL036W	4.000	3.065
YLR065C	4.000	3.065
YBR141C	4.000	3.063
YGR163W	4.000	3.060
YML032C	4.000	3.058
YKR005C	4.000	3.053
YPR124W	4.000	3.031
YPR079W	4.000	3.024
YHR126C	4.000	3.023
YMR304C-A	4.000	3.019
YJL159W	4.000	3.017
YIL133C	4.000	3.010
YGR092W	4.000	3.004
YBL067C	4.000	3.003
YBR095C	4.000	3.000
YKR007W	4.000	2.997
YOL080C	4.000	2.996
YGR202C	4.000	2.988
YHR108W	4.000	2.985
YDR127W	4.000	2.985
YOL129W	4.000	2.972
YMR266W	4.000	2.970
YLR020C	4.000	2.968
YML059C	4.000	2.965
YFR046C	4.000	2.956
YFL025C	4.000	2.941
YNL315C	4.000	1.925
YKL074C	4.000	2.936
YOR044W	4.000	2.935
YPL162C	4.000	2.925
YJR050W	4.000	2.921
YOR080W	4.000	2.919
YIL132C	4.000	2.916
YDR159W	4.000	2.915
YIL056W	4.000	2.913
YPL101W	4.000	2.910
YPL149W	4.000	2.905
YDR485C	4.000	2.904
YBR006W	4.000	2.898
YLR338W	4.000	2.885
YJR060W	4.000	2.873
YJR075W	4.000	2.871
YNL139C	4.000	2.867
YDR207C	4.000	2.865
YGR193C	4.000	2.859
YKL073W	4.000	2.854
YFL051C	4.000	2.854
YLR049C	4.000	2.852
YKL135C	4.000	2.833
YGR006W	4.000	2.828
YNL279W	4.000	2.825
YJL160C	4.000	2.591
YGR129W	4.000	2.824
YPR090W	4.000	2.802
YLR019W	4.000	2.801
YNL079C	4.000	2.789
YML048W	4.000	2.783
YPL135W	4.000	2.775
YOL126C	4.000	2.773
YDL133C-A	4.000	2.757
YMR304W	4.000	2.757
YBR020W	4.000	2.029
YNL183C	4.000	2.749
YDR524C	4.000	2.748
YNL330C	4.000	2.746
YHR079C	4.000	2.744
YIL093C	4.000	2.743
YJL204C	4.000	2.742
YNL168C	4.000	2.741
YDR431W	4.000	2.738
YIL131C	4.000	2.726
YOR337W	4.000	2.724
YPL144W	4.000	2.723
YJL168C	4.000	2.723
YLR358C	4.000	2.720
YJR108W	4.000	2.719
YBR194W	4.000	2.719
YGL219C	4.000	2.714
YGR017W	4.000	2.709
YDR129C	4.000	2.708
YLR271W	4.000	2.704
YPR020W	4.000	2.703
YHL030W	4.000	2.703
YJL157C	4.000	2.701
YER056C-A	4.000	2.698
YKR064W	4.000	2.692
YOR312C	4.000	2.691
YIL146C	4.000	2.690
YGR084C	4.000	2.689
YFR038W	4.000	2.686
YPL097W	4.000	2.685
YML090W	4.000	2.681
YPR120C	4.000	2.680
YPL253C	4.000	2.680
YDR524C-B	4.000	2.679
YDR035W	4.000	2.676
YGR248W	4.000	2.676
YPR129W	4.000	2.673
YJR056C	4.000	2.665
YJL128C	4.000	2.660
YML055W	4.000	2.658
YLR283W	4.000	2.656
YNL195C	4.000	2.650
YMR174C	4.000	2.112
YGR012W	4.000	2.639
YOR049C	4.000	2.638
YLR057W	4.000	2.631
YGL222C	4.000	2.630
YBR056W	4.000	2.619
YJL166W	4.000	2.608
YBR057C	4.000	2.608
YDR345C	4.000	2.605
YLR021W	4.000	2.604
YPL054W	4.000	2.594
YGR089W	4.000	2.593
YLR384C	4.000	2.586
YBL024W	4.000	2.585
YPL178W	4.000	2.582
YHR066W	4.000	2.575
YDR486C	4.000	2.575
YOL087C	4.000	2.570
YBL017C	4.000	2.565
YDR068W	4.000	2.559
YOR096W	4.000	2.558
YCL037C	4.000	2.558
YIR005W	4.000	2.554
YGR007W	4.000	2.554
YLR092W	4.000	2.553
YNR030W	4.000	2.551
YCL063W	4.000	2.546
YLR263W	4.000	2.545
YFR055W	4.000	2.537
YIL145C	4.000	2.537
YJL155C	4.000	2.536
YHR109W	4.000	2.536
YNR015W	4.000	2.534
YGR079W	4.000	2.530
YAL029C	4.000	2.529
YKR065C	4.000	2.527
YHL037C	4.000	2.525
YNL210W	4.000	2.519
YJR117W	4.000	2.519
YOL035C	4.000	2.519
YCR037C	4.000	2.505
YGL174W	4.000	2.505
YPR201W	4.000	2.503
YJL077C	4.000	2.503
YHR034W	4.000	2.500
YGR067C	4.000	2.500
YLR296W	4.000	2.497
YCL011C	4.000	2.497
YGR151C	4.000	2.491
YJL056C	4.000	2.490
YCL003W	4.000	2.484
YIL009W	4.000	2.482
YPR066W	4.000	2.481
YKL166C	4.000	2.480
YDL232W	4.000	2.479
YNL326C	4.000	2.478
YNL336W	4.000	2.469
YLR073C	4.000	2.467
YDR290W	4.000	2.466
YPR045C	4.000	2.461
YOR352W	4.000	2.460
YDL106C	4.000	2.458
YOR368W	4.000	2.452
YLR284C	4.000	2.450
YML037C	4.000	2.444
YNL084C	4.000	2.443
YGR104C	4.000	2.443
YEL060C	4.000	2.439
YMR222C	4.000	2.438
YDR442W	4.000	2.436
YIL122W	4.000	2.435
YJL006C	4.000	2.435
YNL194C	4.000	2.434
YGR220C	4.000	2.430
YDR029W	4.000	2.424
YML041C	4.000	2.422
YMR083W	4.000	2.420
YPR060C	4.000	2.414
YLR278C	4.000	2.410
YHR039C	4.000	2.408
YLR324W	4.000	2.407
YDR026C	4.000	2.406
YGR068C	4.000	2.405
YLR346C	4.000	2.404
YLR460C	4.000	2.403
YFR024C-A	4.000	2.402
YLR279W	4.000	2.389
YBR034C	4.000	2.387
YMR190C	4.000	2.382
YKR019C	4.000	2.374
YML010C-B	4.000	2.372
YGR142W	4.000	2.372
YOR349W	4.000	2.371
YBR078W	4.000	2.367
YKL117W	4.000	2.349
YPR028W	4.000	2.348
YGL166W	4.000	2.347
YJL133W	4.000	2.343
YIL018W	4.000	2.340
YNL329C	4.000	2.339
YKL100C	4.000	2.337
YNL133C	4.000	2.336
YEL053C	4.000	2.335
YPL241C	4.000	2.334
YKL148C	4.000	2.334
YDR470C	4.000	2.326
YMR202W	4.000	2.323
YKR101W	4.000	2.319
YNR031C	4.000	2.318
YLR258W	4.000	2.315
YJR106W	4.000	2.315
YGL181W	4.000	2.315
YNL274C	4.000	2.314
YDR393W	4.000	2.312
YIR013C	4.000	2.309
YPL239W	4.000	2.306
YDR525W	4.000	2.305
YGL154C	4.000	2.305
YEL043W	4.000	2.304
YDR524W-A	4.000	2.296
YGR028W	4.000	2.296
YML107C	4.000	2.292
YPL105C	4.000	2.290
YOL017W	4.000	2.290
YMR207C	4.000	2.290
YIL158W	4.000	2.287
YCL023C	4.000	1.725
YHR081W	4.000	2.285
YDR370C	4.000	2.284
YPL145C	4.000	2.281
YPR139C	4.000	2.281
YDR008C	4.000	2.276
YPL258C	4.000	2.274
YDR076W	4.000	2.274
YBR072W	4.000	2.273
YMR302C	4.000	2.273
YDR221W	4.000	2.266
YDR443C	4.000	2.261
YML033W	4.000	2.259
YKR094C	4.000	2.259
YDR358W	4.000	2.258
YNR069C	4.000	2.258
YLR047C	4.000	2.258
YCL026C	4.000	2.256
YHR078W	4.000	2.254
YDR022C	4.000	2.253
YOR081C	4.000	2.250
YEL048C	4.000	2.249
YPL155C	4.000	2.243
YGR021W	4.000	2.242
YLR063W	4.000	2.241
YDR099W	4.000	2.240
YJL213W	4.000	2.238
YDL151C	4.000	2.235
YDR400W	4.000	2.233
YGL136C	4.000	2.233
YJL021C	4.000	2.232
YKR060W	4.000	2.228
YHR191C	4.000	2.228
YNL302C	4.000	2.226
YLR445W	4.000	2.226
YDR011W	4.000	2.225
YBR294W	4.000	2.222
YOR356W	4.000	2.222
YDL170W	4.000	2.222
YBR196C-A	4.000	2.220
YMR186W	4.000	2.219
YML017W	4.000	2.218
YJR043C	4.000	2.216
YAL040C	4.000	2.215
YNL205C	4.000	2.215
YLR281C	4.000	2.214
YOR202W	4.000	2.214
YNL125C	4.000	2.210
YCL005W	4.000	2.207
YPL163C	4.000	2.202
YCL048W	4.000	2.200
YBL008W	4.000	2.199
YDL168W	4.000	2.198
YHR202W	4.000	2.196
YKR066C	4.000	2.195
YOR338W	4.000	2.195
YJL149W	4.000	2.194
YOR344C	4.000	2.194
YHR110W	4.000	2.191
YLR085C	4.000	2.189
YJL052W	4.000	2.188
YMR299C	4.000	2.188
YOL013W-A	4.000	2.187
YPR018W	4.000	2.186
YGR166W	4.000	2.186
YDR014W	4.000	2.186
YFR049W	4.000	2.182
YIL149C	4.000	2.182
YKL130C	4.000	2.180
YGR231C	4.000	2.175
YDR433W	4.000	2.170
YOR196C	4.000	2.168
YKL097C	4.000	2.167
YPR193C	4.000	2.167
YAR023C	4.000	2.166
YCR030C	4.000	2.165
YDR214W	4.000	2.164
YKL129C	4.000	2.162
YCL009C	4.000	2.160
YDR128W	4.000	2.160
YMR204C	4.000	2.155
YGL165C	4.000	2.154
YJL037W	4.000	2.152
YDR294C	4.000	2.151
YOR347C	4.000	2.149
YMR032W	4.000	2.146
YHR059W	4.000	2.141
YEL031W	4.000	2.141
YHL025W	4.000	2.140
YNL059C	4.000	2.139
YNR019W	4.000	2.139
YCR017C	4.000	2.138
YML054C	4.000	2.137
YEL052W	4.000	2.136
YDL096C	4.000	2.133
YGL152C	4.000	2.133
YPR140W	4.000	2.132
YKL085W	4.000	2.127
YIL166C	4.000	2.127
YBR191W	4.000	2.125
YBR301W	4.000	2.118
YPR039W	4.000	2.115
YNR012W	4.000	2.114
YJR118C	4.000	2.110
YER005W	4.000	2.110
YPR172W	4.000	2.109
YPL164C	4.000	2.107
YOR205C	4.000	2.107
YNL250W	4.000	2.104
YAL049C	4.000	2.104
YBL012C	4.000	2.101
YGL153W	4.000	2.100
YKL007W	4.000	2.100
YOL079W	4.000	2.100
YDR368W	4.000	2.098
YCL002C	4.000	2.097
YIL137C	4.000	2.095
YML056C	4.000	2.093
YDL117W	4.000	2.089
YMR135W-A	4.000	2.089
YGR164W	4.000	2.087
YLR330W	4.000	2.087
YDL161W	4.000	2.086
YER016W	4.000	2.086
YDR046C	4.000	2.081
YGR003W	4.000	2.080
YER101C	4.000	2.078
YGR132C	4.000	2.077
YKL110C	4.000	2.075
