orf	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YAL002W	4.0	1.3748378728923476
YAL004W	4.0	0.4669260700389105
YAL005C	4.0	0.8845654993514915
YAL007C	4.0	0.8975356679636836
YAL008W	4.0	1.3411154345006484
YAL009W	4.0	1.6108949416342413
YAL010C	4.0	0.39948119325551235
YAL011W	4.0	1.146562905317769
YAL012W	4.0	1.5213041867358281
YAL013W	4.0	9.042801556420233
YAL014C	4.0	1.1673151750972763
YAL015C	4.0	0.9390402075226978
YAL016C-B	4.0	0.3087619217399055
YAL016W	3.0	0.4880688806888069
YAL017W	4.0	0.7470817120622568
YAL018C	4.0	1.7457846952010376
YAL019W	4.0	1.265888456549935
YAL020C	4.0	1.224383916990921
YAL021C	0.0	0.020752269779507133
YAL022C	4.0	0.054474708171206226
YAL023C	4.0	9.948119325551232
YAL024C	4.0	0.7359834989686855
YAL026C	0.0	0.018158236057068743
YAL028W	4.0	1.2866407263294424
YAL029C	4.0	2.529182879377432
YAL030W	4.0	1.5927367055771724
YAL031C	4.0	1.8106355382619974
YAL034C	4.0	0.6744487678339819
YAL035W	4.0	1.7769130998702982
YAL036C	4.0	1.1906614785992218
YAL037C-A	4.0	0.4882788127284072
YAL037W	4.0	1.8339818417639429
YAL040C	4.0	2.2153047989623866
YAL042C-A	4.0	1.808041504539559
YAL042W	4.0	1.4137483787289236
YAL044C	4.0	3.4915693904020753
YAL045C	4.0	1.5823605706874189
YAL046C	4.0	3.69390402075227
YAL047C	2.0	0.01012720760775596
YAL048C	4.0	1.9818417639429313
YAL049C	4.0	2.1037613488975357
YAL051W	4.0	0.8430609597924773
YAL053W	4.0	1.48378728923476
YAL054C	4.0	0.9620847227368161
YAL055W	4.0	1.2710765239948119
YAL056C-A	4.0	1.608249969124367
YAL056W	4.0	0.6770428015564203
YAL058W	4.0	4.3164721141374836
YAL059W	4.0	1.7898832684824904
YAL060W	4.0	2.0674448767833984
YAL061W	4.0	0.8819714656290532
YAL062W	4.0	0.04928664072632944
YAL064C-A	4.0	1.5056092843326885
