orf	het | growth (colony size) | dihydromotuporamine C [60 uM] | Baetz K~Roberge M, 2004
YAL005C	-14.737383627716156
YBR078W	-14.737383627716156
YBR265W	-14.737383627716156
YBR290W	-14.737383627716156
YCL034W	-14.737383627716156
YDL192W	-14.737383627716156
YER140W	-14.737383627716156
YER188W	-14.737383627716156
YGR205W	-14.737383627716156
YHR147C	-14.737383627716156
YIL047C	-14.737383627716156
YJR007W	-14.737383627716156
YLR025W	-14.737383627716156
YLR286C	-14.737383627716156
YLR294C	-14.737383627716156
YML092C	-14.737383627716156
YML099C	-14.737383627716156
YMR296C	-14.737383627716156
YNL267W	-14.737383627716156
YNL314W	-14.737383627716156
YOL040C	-14.737383627716156
