orf	het | growth (colony size) | dihydromotuporamine C [60 uM] | Baetz K~Roberge M, 2004
YAL005C	-1
YBR078W	-1
YBR265W	-1
YBR290W	-1
YCL034W	-1
YDL192W	-1
YER140W	-1
YER188W	-1
YGR205W	-1
YHR147C	-1
YIL047C	-1
YJR007W	-1
YLR025W	-1
YLR286C	-1
YLR294C	-1
YML092C	-1
YML099C	-1
YMR296C	-1
YNL267W	-1
YNL314W	-1
YOL040C	-1
