orf	hap alpha | growth (undefined) | L-lactic acid [6%] | YPD + Ade [0.4 g/L] | Suzuki T~Harashima S, 2013
YAL007C	7.00076800702409
YAL009W	7.00076800702409
YAL014C	7.00076800702409
YBR015C	7.00076800702409
YBR062C	7.00076800702409
YBR187W	7.00076800702409
YBR204C	7.00076800702409
YCL014W	7.00076800702409
YCL037C	7.00076800702409
YCL038C	7.00076800702409
YCL063W	7.00076800702409
YCR034W	7.00076800702409
YDL117W	7.00076800702409
YDL240W	7.00076800702409
YDR077W	7.00076800702409
YDR092W	7.00076800702409
YDR163W	7.00076800702409
YDR346C	7.00076800702409
YDR357C	7.00076800702409
YDR372C	7.00076800702409
YDR403W	7.00076800702409
YEL018W	7.00076800702409
YER005W	7.00076800702409
YER033C	7.00076800702409
YER038W-A	7.00076800702409
YER044C-A	7.00076800702409
YGL003C	7.00076800702409
YGL028C	7.00076800702409
YGL087C	7.00076800702409
YGR037C	7.00076800702409
YGR141W	7.00076800702409
YGR170W	7.00076800702409
YGR206W	7.00076800702409
YHL010C	7.00076800702409
YHL017W	7.00076800702409
YHR076W	7.00076800702409
YHR078W	7.00076800702409
YHR143W	7.00076800702409
YHR183W	7.00076800702409
YIL140W	7.00076800702409
YIL141W	7.00076800702409
YJL051W	7.00076800702409
YJL142C	7.00076800702409
YJR050W	7.00076800702409
YJR060W	7.00076800702409
YJR082C	7.00076800702409
YJR092W	7.00076800702409
YJR126C	7.00076800702409
YKL063C	7.00076800702409
YKL185W	7.00076800702409
YKR021W	7.00076800702409
YKR072C	7.00076800702409
YKR073C	7.00076800702409
YLL051C	7.00076800702409
YLR131C	7.00076800702409
YLR286C	7.00076800702409
YLR346C	7.00076800702409
YML006C	7.00076800702409
YML012W	7.00076800702409
YML106W	7.00076800702409
YMR140W	7.00076800702409
YMR247C	7.00076800702409
YMR294W-A	7.00076800702409
YNL053W	7.00076800702409
YNL066W	7.00076800702409
YNL107W	7.00076800702409
YNL300W	7.00076800702409
YNL327W	7.00076800702409
YNR005C	7.00076800702409
YOL070C	7.00076800702409
YOL110W	7.00076800702409
YOR061W	7.00076800702409
YOR112W	7.00076800702409
YOR124C	7.00076800702409
YOR138C	7.00076800702409
YOR139C	7.00076800702409
YOR140W	7.00076800702409
YOR154W	7.00076800702409
YOR165W	7.00076800702409
YOR192C	7.00076800702409
YOR289W	7.00076800702409
YPL019C	7.00076800702409
YPL078C	7.00076800702409
YPL141C	7.00076800702409
YPL150W	7.00076800702409
YPL176C	7.00076800702409
YPL180W	7.00076800702409
YPL184C	7.00076800702409
YPL191C	7.00076800702409
YPL236C	7.00076800702409
YPL246C	7.00076800702409
YPR023C	7.00076800702409
YPR074C	7.00076800702409
