orf	hap alpha | growth (culture turbidity) | sulfanilamide [0.1 mg/ml], time [77 h] | Botet J~Santos MA, 2007	hap alpha | growth (culture turbidity) | sulfanilamide [0.1 mg/ml], time [120 h] | Botet J~Santos MA, 2007
YAL002W	1.0966292134831461	1.0849673202614378
YAL004W	1.1666666666666667	1.1565762004175366
YAL005C	1.2330316742081449	1.296127562642369
YAL007C	0.9171428571428573	1.204081632653061
YAL008W	1.1128318584070795	1.1404255319148937
YAL009W	0.8708240534521158	1.1140939597315436
YAL010C	1.25	1.391608391608392
YAL011W	1.0316301703163018	1.162621359223301
YAL012W	0.9318181818181819	0.9310344827586208
YAL013W	0.31390134529147984	0.8234086242299795
YAL014C	1.0565610859728507	1.1353711790393013
YAL015C	1.1528384279475983	1.086105675146771
YAL016W	0.9881656804733727	0.9496221662468514
YAL017W	1.147186147186147	1.2025586353944562
YAL018C	1.2094594594594594	1.2158590308370045
YAL019W	1.0153846153846153	1.103950103950104
YAL020C	1.168443496801706	1.191358024691358
YAL021C	0.8016304347826086	1.1362467866323906
YAL022C	1.191358024691358	1.1488095238095237
YAL023C	1.1035294117647059	1.1957547169811322
YAL024C	1.058091286307054	1.2258652094717668
YAL026C	0.8553615960099751	1.0807600950118765
YAL027W	1.1767241379310345	1.1547619047619047
YAL028W	1.142548596112311	1.2026143790849673
YAL029C	1.1688888888888889	1.2417582417582416
YAL030W	1.1571753986332574	1.2004405286343613
YAL031C	1.2863961813842484	1.3776223776223775
YAL034C	1.3125	1.3333333333333333
YAL035W	0.48076923076923084	0.7205882352941176
YAL036C	1.0793319415448852	1.1042084168336674
YAL037W	1.0313152400835073	1.0681362725450902
YAL039C	1.0311804008908687	1.1311111111111112
YAL040C	1.143552311435523	1.214765100671141
YAL042C-A	1.0387931034482758	1.1742919389978215
YAL042W	1.179203539823009	1.204741379310345
YAL044C	1.1192468619246863	1.1737288135593222
YAL045C	1.0982905982905982	1.1443514644351467
YAL046C	1.048728813559322	1.163561076604555
YAL047C	0.615	1.12094395280236
YAL048C	1.1725888324873097	1.3074999999999999
YAL049C	1.1507760532150777	1.1827956989247312
YAL051W	1.1681614349775784	1.2034632034632036
YAL053W	1.142212189616253	1.214123006833713
YAL054C	1.0994152046783625	1.1227758007117437
YAL055W	1.1631701631701632	1.1948955916473318
YAL056C-A	1.0595238095238095	1.1040462427745663
YAL056W	1.196029776674938	1.1699779249448123
YAL058W	1.1482254697286014	1.1074218749999998
YAL059W	1.0817610062893082	1.100401606425703
YAL060W	1.0434782608695652	1.0875000000000001
YAL061W	1.0677966101694916	1.1028225806451615
YAL062W	1.0268041237113403	1.06286836935167
YAL064C-A	0.9238683127572017	0.9839357429718876
YAL065C	1.2039045553145338	1.2245762711864407
YAL066W	1.051111111111111	1.1588366890380313
YAL067C	0.9471365638766519	1.1037527593818983
YAL068C	1.26133909287257	1.230607966457023
YAR002C-A	1.284351145038168	
YAR002W	0.9217391304347825	1.0793650793650793
