orf	hap alpha | growth (colony size) | Ni(S-tcitr)2 [50-150 uM] | YPD | Baruffini E~Lodi T, 2020
YAL002W	0.021555735997362366
YAL004W	0.021555735997362366
YAL005C	0.021555735997362366
YAL007C	0.021555735997362366
YAL008W	0.021555735997362366
YAL009W	-2.1124621277415447
YAL010C	-6.380497855219359
YAL011W	-6.380497855219359
YAL012W	0.021555735997362366
YAL013W	-2.1124621277415447
YAL014C	0.021555735997362366
YAL015C	0.021555735997362366
YAL017W	0.021555735997362366
YAL018C	0.021555735997362366
YAL019W	0.021555735997362366
YAL020C	0.021555735997362366
YAL021C	-4.246479991480452
YAL022C	0.021555735997362366
YAL023C	0.021555735997362366
YAL024C	0.021555735997362366
YAL026C	-6.380497855219359
YAL027W	0.021555735997362366
YAL028W	0.021555735997362366
YAL029C	0.021555735997362366
YAL030W	0.021555735997362366
YAL031C	0.021555735997362366
YAL034C	0.021555735997362366
YAL035W	0.021555735997362366
YAL036C	0.021555735997362366
YAL037W	0.021555735997362366
YAL039C	0.021555735997362366
YAL040C	0.021555735997362366
YAL042W	0.021555735997362366
YAL042C-A	0.021555735997362366
YAL044C	-2.1124621277415447
YAL045C	0.021555735997362366
YAL046C	0.021555735997362366
YAL047C	0.021555735997362366
YAL048C	-2.1124621277415447
YAL049C	0.021555735997362366
YAL051W	0.021555735997362366
YAL053W	0.021555735997362366
YAL054C	0.021555735997362366
YAL055W	0.021555735997362366
YAL056C-A	0.021555735997362366
YAL056W	0.021555735997362366
YAL058W	0.021555735997362366
YAL059W	0.021555735997362366
YAL060W	0.021555735997362366
YAL061W	0.021555735997362366
YAL062W	0.021555735997362366
YAL064C-A	0.021555735997362366
YAL065C	0.021555735997362366
YAL066W	0.021555735997362366
YAL067C	0.021555735997362366
YAL068C	0.021555735997362366
YAR002C-A	0.021555735997362366
YAR002W	0.021555735997362366
YAR003W	0.021555735997362366
YAR014C	0.021555735997362366
YAR015W	0.021555735997362366
YAR018C	0.021555735997362366
YAR020C	0.021555735997362366
YAR023C	0.021555735997362366
YAR027W	0.021555735997362366
YAR028W	0.021555735997362366
YAR029W	0.021555735997362366
YAR030C	0.021555735997362366
YAR031W	0.021555735997362366
YAR035W	0.021555735997362366
YAR042W	0.021555735997362366
YAR047C	0.021555735997362366
YAR050W	0.021555735997362366
YBL001C	0.021555735997362366
YBL002W	0.021555735997362366
YBL003C	0.021555735997362366
YBL005W	0.021555735997362366
YBL006C	0.021555735997362366
YBL007C	0.021555735997362366
YBL008W	0.021555735997362366
YBL009W	0.021555735997362366
YBL010C	0.021555735997362366
YBL011W	0.021555735997362366
YBL012C	0.021555735997362366
YBL013W	0.021555735997362366
YBL015W	0.021555735997362366
YBL016W	0.021555735997362366
YBL017C	0.021555735997362366
YBL019W	0.021555735997362366
YBL021C	0.021555735997362366
YBL022C	0.021555735997362366
YBL024W	0.021555735997362366
YBL025W	0.021555735997362366
YBL027W	2.1555735997362695
YBL028C	0.021555735997362366
YBL029W	0.021555735997362366
YBL031W	0.021555735997362366
YBL032W	0.021555735997362366
YBL036C	0.021555735997362366
YBL037W	0.021555735997362366
YBL038W	0.021555735997362366
YBL039C	0.021555735997362366
YBL042C	0.021555735997362366
YBL043W	0.021555735997362366
YBL044W	0.021555735997362366
YBL045C	0.021555735997362366
YBL046W	-4.246479991480452
YBL047C	0.021555735997362366
YBL048W	0.021555735997362366
YBL049W	0.021555735997362366
YBL051C	0.021555735997362366
YBL052C	0.021555735997362366
YBL053W	0.021555735997362366
YBL054W	0.021555735997362366
YBL055C	0.021555735997362366
YBL056W	0.021555735997362366
YBL057C	0.021555735997362366
YBL058W	0.021555735997362366
YBL059W	0.021555735997362366
YBL060W	0.021555735997362366
YBL061C	0.021555735997362366
YBL062W	0.021555735997362366
YBL063W	0.021555735997362366
YBL064C	0.021555735997362366
YBL065W	0.021555735997362366
YBL066C	0.021555735997362366
YBL067C	0.021555735997362366
YBL068W	0.021555735997362366
YBL069W	0.021555735997362366
YBL070C	0.021555735997362366
YBL071C	0.021555735997362366
YBL072C	0.021555735997362366
YBL075C	0.021555735997362366
YBL078C	0.021555735997362366
YBL079W	0.021555735997362366
YBL080C	0.021555735997362366
YBL081W	0.021555735997362366
YBL082C	0.021555735997362366
YBL083C	0.021555735997362366
YBL085W	0.021555735997362366
YBL086C	0.021555735997362366
YBL087C	0.021555735997362366
YBL088C	0.021555735997362366
YBL089W	0.021555735997362366
YBL090W	0.021555735997362366
YBL091C	0.021555735997362366
YBL091C-A	0.021555735997362366
YBL094C	0.021555735997362366
YBL095W	0.021555735997362366
YBL096C	0.021555735997362366
YBL098W	0.021555735997362366
YBL099W	-4.246479991480452
YBL100C	0.021555735997362366
YBL101C	0.021555735997362366
YBL102W	0.021555735997362366
YBL103C	-2.1124621277415447
YBL104C	0.021555735997362366
YBL106C	0.021555735997362366
YBL107C	0.021555735997362366
YBR001C	0.021555735997362366
YBR003W	0.021555735997362366
YBR005W	0.021555735997362366
YBR006W	0.021555735997362366
YBR007C	0.021555735997362366
YBR008C	0.021555735997362366
YBR009C	0.021555735997362366
YBR010W	0.021555735997362366
YBR012C	0.021555735997362366
YBR013C	0.021555735997362366
YBR014C	0.021555735997362366
YBR015C	0.021555735997362366
YBR016W	0.021555735997362366
YBR018C	0.021555735997362366
YBR019C	0.021555735997362366
YBR020W	0.021555735997362366
YBR021W	0.021555735997362366
YBR022W	0.021555735997362366
YBR023C	0.021555735997362366
YBR024W	0.021555735997362366
YBR025C	0.021555735997362366
YBR026C	-2.1124621277415447
YBR027C	0.021555735997362366
YBR028C	0.021555735997362366
YBR030W	0.021555735997362366
YBR031W	0.021555735997362366
YBR032W	0.021555735997362366
YBR033W	0.021555735997362366
YBR034C	0.021555735997362366
YBR035C	-2.1124621277415447
YBR036C	0.021555735997362366
