orf	hap a | mtDNA copy number (mtDNA/nDNA) | standard | YPD | Goke A~Walter P, 2020
YAL016C-B	2.4266620397009704
YAL016W	4.87808593694991
YAL047C	4.87808593694991
YAL048C	-2.476185754796909
YAL058W	2.4266620397009704
YBL002W	-2.476185754796909
YBL012C	-2.476185754796909
YBL022C	-2.476185754796909
YBL038W	-2.476185754796909
YBL039C	2.4266620397009704
YBL044W	-2.476185754796909
YBL058W	2.4266620397009704
YBL071C-B	2.4266620397009704
YBL071W-A	2.4266620397009704
YBL090W	-2.476185754796909
YBL104C	2.4266620397009704
YBR077C	2.4266620397009704
YBR106W	7.329509834198849
YBR121C	2.4266620397009704
YBR122C	-2.476185754796909
YBR132C	-2.476185754796909
YBR163W	-2.476185754796909
YBR173C	2.4266620397009704
YBR174C	2.4266620397009704
YBR179C	-2.476185754796909
YBR194W	7.329509834198849
YBR196C-A	2.4266620397009704
YBR251W	-2.476185754796909
YBR262C	2.4266620397009704
YBR268W	-2.476185754796909
YBR277C	2.4266620397009704
YBR278W	2.4266620397009704
YBR282W	-2.476185754796909
YBR284W	2.4266620397009704
YBR289W	2.4266620397009704
YCL016C	4.87808593694991
YCL061C	4.87808593694991
YCR003W	-2.476185754796909
YCR004C	-2.476185754796909
YCR009C	4.87808593694991
YCR024C	-2.476185754796909
YCR028C-A	-2.476185754796909
YCR044C	2.4266620397009704
YCR046C	-2.476185754796909
YCR071C	-2.476185754796909
YCR087C-A	2.4266620397009704
YCR094W	4.87808593694991
YDL013W	2.4266620397009704
YDL040C	-2.476185754796909
YDL044C	-2.476185754796909
YDL045W-A	-2.476185754796909
YDL047W	4.87808593694991
YDL049C	7.329509834198849
YDL057W	-2.476185754796909
YDL061C	2.4266620397009704
YDL062W	-2.476185754796909
YDL063C	-2.476185754796909
YDL081C	2.4266620397009704
YDL116W	4.87808593694991
YDL117W	2.4266620397009704
YDL146W	-2.476185754796909
YDL151C	2.4266620397009704
YDL167C	-2.476185754796909
YDL181W	-2.476185754796909
YDL198C	-2.476185754796909
YDL202W	-2.476185754796909
YDL239C	2.4266620397009704
YDR004W	2.4266620397009704
YDR024W	2.4266620397009704
YDR025W	2.4266620397009704
YDR027C	2.4266620397009704
YDR042C	-2.476185754796909
YDR049W	2.4266620397009704
YDR065W	-2.476185754796909
YDR078C	-2.476185754796909
YDR079W	-2.476185754796909
YDR083W	2.4266620397009704
YDR097C	4.87808593694991
YDR099W	2.4266620397009704
YDR112W	2.4266620397009704
YDR114C	-2.476185754796909
YDR159W	4.87808593694991
YDR175C	-2.476185754796909
YDR194C	-2.476185754796909
YDR195W	4.87808593694991
YDR237W	-2.476185754796909
YDR255C	2.4266620397009704
YDR268W	-2.476185754796909
YDR274C	4.87808593694991
YDR279W	2.4266620397009704
YDR290W	4.87808593694991
YDR295C	-2.476185754796909
YDR296W	-2.476185754796909
YDR298C	-2.476185754796909
YDR300C	-2.476185754796909
YDR322W	-2.476185754796909
YDR347W	-2.476185754796909
YDR350C	-2.476185754796909
YDR363W	2.4266620397009704
YDR363W-A	4.87808593694991
YDR364C	4.87808593694991
YDR369C	7.329509834198849
YDR377W	-2.476185754796909
YDR405W	-2.476185754796909
YDR414C	4.87808593694991
YDR432W	4.87808593694991
YDR433W	4.87808593694991
YDR448W	4.87808593694991
YDR470C	-2.476185754796909
YDR485C	2.4266620397009704
YDR507C	-2.476185754796909
YDR518W	-2.476185754796909
YDR521W	-2.476185754796909
YDR523C	-2.476185754796909
YDR524C-B	2.4266620397009704
YDR524W-C	2.4266620397009704
YDR525W	2.4266620397009704
YDR532C	2.4266620397009704
YEL027W	7.329509834198849
YEL036C	-2.476185754796909
YEL045C	4.87808593694991
YEL046C	2.4266620397009704
YEL050C	-2.476185754796909
YEL051W	7.329509834198849
YEL061C	2.4266620397009704
YER011W	2.4266620397009704
YER014W	-2.476185754796909
YER017C	-2.476185754796909
YER050C	-2.476185754796909
YER074W	2.4266620397009704
YER083C	2.4266620397009704
YER087W	-2.476185754796909
YER103W	-2.476185754796909
