orf	hap a (post-SGA) | expression of ttLCC1 (ABTS overlay assay) | standard | YPD + Cu(II)S | Strawn G~Mayor T, 2024
YAL002W	2.5543759822752365
YAL004W	1.5399150818384644
YAL005C	0.5619359531261682
YAL007C	0.482039628499052
YAL008W	0.31116971010459227
YAL009W	0.23516991139390017
YAL010C	-1.2299245368533624
YAL011W	-1.2682132943136522
YAL012W	-1.6526587528408176
YAL013W	-1.6908937361651386
YAL014C	0.7543710171096585
YAL015C	0.27781707639630987
YAL016W	
YAL017W	0.3630238143611036
YAL018C	-0.07861531709483154
YAL019W	-1.4284194456755137
YAL020C	-0.7415752568449901
YAL021C	0.7409275499756646
YAL022C	-0.1654403132165014
YAL023C	3.3866158190412072
YAL024C	-0.1446937528269368
YAL026C	0.12962598375855297
YAL027W	0.0346590417986319
YAL028W	0.08747840289367048
YAL029C	0.3685084714063983
YAL030W	-0.05399420394188228
YAL031C	0.1589246916046483
YAL034C	0.14338221751058144
YAL035W	-0.5462429954070828
YAL036C	0.8362260656594221
YAL037W	0.9065220770051924
YAL039C	-2.2864638535044937
YAL040C	0.6998890371485671
YAL042C-A	0.3974865547210382
YAL042W	0.31818663694138005
YAL044C	0.2353807886485982
YAL045C	1.0196401507948034
YAL046C	1.1057618480251492
YAL047C	
YAL048C	0.6846575883864618
YAL049C	0.2484993929999309
YAL051W	1.0917936552734846
YAL053W	1.034771234103409
YAL054C	0.03708339169933454
YAL055W	-0.029268552515179576
YAL056C-A	-0.6771877945374408
YAL056W	0.08043208302033206
YAL058W	0.08297213931697123
YAL059W	-0.24774997115797917
YAL060W	0.6323605755234237
YAL061W	-0.06041106033785648
YAL062W	0.6035193023908203
YAL064C-A	
YAL065C	1.1910867782584798
YAL066W	-0.6083171468013137
YAL067C	0.9761728171127743
YAL068C	1.002286973566389
YAR002C-A	0.3509669211977833
YAR002W	-0.013932349969641655
YAR003W	-1.170024174613299
YAR014C	-0.5329397099387578
YAR015W	-0.9204433507172505
YAR018C	-0.523991175628915
YAR020C	-0.2723542280474763
YAR023C	-0.4475741757700493
YAR027W	-0.22909666865653963
YAR028W	0.290329860144691
YAR029W	-2.158460492774887
YAR030C	-0.40779482120619903
YAR031W	-0.4931334719397665
YAR035W	-0.1994472836454091
