orf	hap a (post-SGA) | expression of ttLCC1 (ABTS overlay assay) | standard | YPD + Cu(II)S | Strawn G~Mayor T, 2024
YAL002W	3.069646493918477
YAL004W	1.8477205552298652
YAL005C	0.6697371905135584
YAL007C	0.5735014544435671
YAL008W	0.3676873266266125
YAL009W	0.2761449859215889
YAL010C	-1.4885725188843928
YAL011W	-1.5346916210407613
YAL012W	-1.9977591257451077
YAL013W	-2.0438134565420847
YAL014C	0.9015267016651368
YAL015C	0.32751382340516383
YAL016W	
YAL017W	0.4301459930879956
YAL018C	-0.10181172951479016
YAL019W	-1.727661159642248
YAL020C	-0.9003520639361344
YAL021C	0.8853339423484766
YAL022C	-0.20639310356471982
YAL023C	4.0720857632057195
YAL024C	-0.18140371238398134
YAL026C	0.1490165152302312
YAL027W	0.034628104943741335
YAL028W	0.09824943067369281
YAL029C	0.4367523045836594
YAL030W	-0.07215540980052322
YAL031C	0.18430703364428694
YAL034C	0.16558600433821977
YAL035W	-0.6650728562200747
YAL036C	1.000121735729543
YAL037W	1.0847938207874919
YAL039C	-2.761182232777277
YAL040C	0.8359027387534977
YAL042C-A	0.4716566282893763
YAL042W	0.37613926884346843
YAL044C	0.2763989891929659
YAL045C	1.2210454086392337
YAL046C	1.3247796537780445
YAL047C	
YAL048C	0.817556341846323
YAL049C	0.2922004487951892
YAL051W	1.3079548584286005
YAL053W	1.239270914587549
YAL054C	0.037548253001542554
YAL055W	-0.0423731729333822
YAL056C-A	-0.8227968715319167
YAL056W	0.08976208431877442
YAL058W	0.09282160161831393
YAL059W	-0.3055357181297327
YAL060W	0.7545641885698734
YAL061W	-0.07988456256698757
YAL062W	0.7198246537781846
YAL064C-A	
YAL065C	1.427554186955236
YAL066W	-0.7398416478788145
YAL067C	1.1686886716877785
YAL068C	1.200143373514045
YAR002C-A	0.4156233727584044
YAR002W	-0.02390059929027107
YAR003W	-1.4164220729416621
YAR014C	-0.649048946795348
YAR015W	-1.1158000554873146
YAR018C	-0.6382703685556798
YAR020C	-0.3351717343453308
YAR023C	-0.5462255058664335
YAR027W	-0.2830676721371264
YAR028W	0.34258556744257845
YAR029W	-2.607001202589243
YAR030C	-0.4983109680612483
YAR031W	-0.6011020276862548
YAR035W	-0.2473547603869867
YAR042W	-0.4486057867608147
YAR047C	-0.6019440539726034
YAR050W	-0.35915949306311795
YBL001C	-0.2723117283404296
YBL002W	-0.09256576730972989
YBL003C	2.783178145565769
YBL005W	1.1990136993610971
YBL006C	0.1030013256951553
YBL007C	1.0006648749384286
YBL008W	0.11368708599589099
YBL009W	1.2107220917683812
YBL010C	0.7515166946509698
YBL011W	1.034796618308872
YBL012C	0.1622521713717864
YBL013W	-1.4016279843000257
YBL015W	1.043851802977391
YBL016W	
YBL017C	3.4783568330440526
YBL019W	1.0144180546438892
YBL021C	0.7997210236314922
YBL022C	-2.7304185850850295
YBL024W	0.3487641270490114
YBL025W	-0.6280717098597708
YBL027W	-0.011832839483469896
YBL028C	0.1092611637535319
YBL029W	0.8712099030342279
YBL031W	0.36688734504562753
YBL032W	0.6696891343811967
YBL033C	
YBL036C	-0.6684927167532407
YBL037W	1.8966554035610492
YBL038W	-1.289929757171547
YBL039C	-1.2234646766519497
YBL042C	-1.1506195581946814
YBL043W	0.05691269846397037
YBL044W	-0.07414574739883677
YBL045C	-2.958168322731639
YBL046W	-0.4193021830231773
YBL047C	2.087447670597633
YBL048W	-0.26068644861397033
YBL049W	-0.0916440804097496
YBL051C	-2.000310909946504
YBL052C	0.6977018246533412
YBL053W	-0.23713150428635896
YBL054W	0.042160328517724034
YBL055C	0.7945952724802465
YBL056W	0.8380530699930437
