orf	hom | growth (pooled culture, microarray) | monomethylarsonous acid [37.5 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | monomethylarsonous acid [75 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | monomethylarsonous acid [150 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | monomethylarsonous acid [37.5 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | monomethylarsonous acid [75 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | monomethylarsonous acid [150 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [75 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [150 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [300 uM], time [5 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [75 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [150 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009	hom | growth (pooled culture, microarray) | sodium arsenite [300 uM], time [15 gen] | YPD | Jo WJ~Vulpe CD, 2009
YAL002W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5	0.0
YAL011W	0.0	0.0	-1.3	0.0	-3.2	-2.6	0.0	0.0	-2.2	-1.5	-1.6	-5.0
YAL013W	0.0	0.0	0.0	0.0	1.7	3.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL019W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4	0.0	0.0	-1.5
YAL020C	0.0	0.8	0.0	0.0	1.1	1.3	0.0	0.0	0.0	0.0	0.0	1.5
YAL023C	0.0	0.0	0.0	1.3	2.2	4.3	0.0	0.0	0.0	0.0	0.0	1.9
YAL024C	0.0	0.0	-1.7	0.0	-1.55	-2.85	0.0	0.0	0.0	0.0	0.0	0.0
YAL026C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1	0.0
YAL037W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6	0.0
YAL040C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6
YAL055W	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	-1.2
YAL058W	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
YAL066W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
YBL009W	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL010C	-1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL017C	0.0	0.0	0.0	0.0	0.0	-1.4	0.0	0.0	0.0	0.0	0.0	0.0
YBL022C	0.0	0.0	0.0	-2.1	-2.0	-2.5	0.0	-1.1	-1.95	0.0	-1.9	-2.55
YBL024W	0.0	0.0	0.0	-1.5	-2.6	-2.5	0.0	-1.15	-3.1	0.0	-2.0	-4.5
YBL031W	0.0	0.0	-1.3	-1.1	-2.15	-2.5	0.0	0.0	-1.6	0.0	-1.2	-2.75
YBL038W	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	1.6	1.7	2.1
YBL043W	0.0	0.0	0.0	0.0	0.0	-0.9	0.0	0.0	0.0	0.0	0.0	0.0
YBL046W	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	-0.9	-1.7	0.0	-2.05	-2.1
YBL047C	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0
YBL051C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3
YBL054W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9
YBL056W	0.0	0.0	0.0	0.0	0.0	-1.35	0.0	0.0	0.0	0.0	0.0	0.0
YBL061C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2	0.0
YBL065W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
YBL067C	0.0	0.0	0.0	0.0	0.0	-1.85	0.0	0.0	0.0	0.0	0.0	-1.2
YBL071C	0.0	0.0	0.0	0.0	1.35	1.65	0.0	0.0	0.0	0.0	0.8	1.45
YBL072C	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	0.0
YBL078C	0.0	0.0	0.0	0.0	0.0	-0.9	0.0	0.0	0.0	0.0	0.0	0.0
YBL079W	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0
YBL081W	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0
YBL082C	0.0	0.0	0.0	1.0	1.4	1.5	0.0	0.0	0.0	0.0	0.8	0.0
YBL083C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.9
YBL087C	0.0	0.0	0.0	0.0	-1.3	-2.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL090W	0.0	0.0	0.0	2.15	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR006W	0.0	0.0	0.0	0.0	-1.45	0.0	0.0	0.0	0.0	0.0	0.0	-1.35
YBR015C	0.0	0.0	1.3	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3
YBR020W	0.0	0.0	0.0	0.0	1.1	1.4	0.0	0.0	0.0	0.0	0.0	0.0
YBR026C	0.0	0.0	0.0	1.9	2.05	3.1	0.0	0.0	0.0	0.0	0.0	0.0
YBR027C	0.0	0.0	0.0	0.0	-1.25	-2.0	0.0	0.0	0.0	0.0	0.0	-1.6
YBR031W	0.0	0.0	0.0	0.9	1.45	1.55	0.0	0.7	0.0	0.0	0.0	1.6
YBR035C	0.0	0.0	0.0	0.0	0.0	0.0	-2.6	0.0	0.0	0.0	-1.4	0.0
YBR037C	-1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR048W	0.0	0.0	0.0	0.0	2.05	3.4	0.0	0.0	0.0	0.0	0.0	1.55
YBR058C	0.0	0.0	0.0	0.0	1.1	1.95	0.0	0.0	0.0	0.0	0.0	1.3
YBR068C	0.0	0.0	0.0	0.0	0.0	-2.5	0.0	0.0	0.0	0.0	0.0	0.0
YBR069C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0
YBR074W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0
YBR077C	0.0	0.0	0.0	-1.3	-2.95	-3.05	0.0	0.0	0.0	-1.1	-1.0	-2.8
YBR099C	0.0	0.0	0.0	0.0	1.1	-1.5	0.0	0.0	0.0	0.0	0.0	1.25
YBR106W	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0
YBR119W	0.0	0.0	0.0	0.0	-2.0	-3.4	0.0	0.0	0.0	0.0	0.0	0.0
YBR129C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0
YBR131W	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0
YBR134W	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	2.0	0.0
YBR138C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0
YBR149W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0
YBR156C	0.0	0.0	0.0	1.3	0.0	1.9	0.0	0.0	0.0	1.2	0.0	2.2
YBR162C	0.0	0.0	1.2	2.0	2.5	0.0	0.0	0.0	0.0	1.3	1.3	2.4
YBR163W	0.0	0.0	0.0	1.3	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0
YBR168W	-1.1	0.0	0.0	0.0	2.1	2.85	0.0	0.0	0.0	0.0	0.9	1.6
YBR175W	-1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5
YBR181C	0.0	0.0	0.0	0.0	2.05	3.15	0.0	0.0	0.0	0.0	0.0	1.65
YBR184W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0
YBR187W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3
YBR208C	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	0.0
YBR213W	0.0	0.0	0.0	0.0	0.0	-3.9	0.0	0.0	0.0	0.0	0.0	0.0
YBR215W	0.0	0.0	0.0	0.0	0.0	-1.2	0.0	0.0	0.0	0.0	0.0	0.0
YBR221C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7	-1.6	0.0	0.0	-1.35
YBR225W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6	0.0	0.0	0.0
YBR230C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9	0.0	0.0	0.0
YBR231C	0.0	0.0	0.0	0.0	-1.5	-2.55	0.0	-0.8	-1.95	0.0	0.0	-2.3
YBR233W	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR238C	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
YBR246W	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0
YBR251W	0.0	0.0	0.0	1.8	1.5	2.85	0.0	0.0	0.0	0.0	0.0	0.0
YBR255W	0.0	0.0	0.0	0.0	0.0	-3.5	0.0	0.0	0.0	0.0	0.0	0.0
YBR259W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0
YBR260C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0
YBR268W	0.0	0.0	0.0	0.0	0.0	2.55	0.0	0.0	0.0	0.0	0.0	0.0
YBR269C	0.0	0.0	0.0	0.0	-1.6	-2.1	0.0	0.0	0.0	0.0	0.0	-1.9
YBR277C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5
YBR281C	0.0	0.0	0.0	0.0	-1.3	-1.45	0.0	0.0	0.0	0.0	0.0	-1.25
YBR284W	0.0	0.0	0.0	0.0	-0.9	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR286W	0.0	0.0	0.0	0.0	-1.3	-1.35	0.0	0.0	0.0	0.0	-0.9	-1.25
YBR288C	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0
