orf	hom | growth (spot assay) | acrolein [5 mM] | YPD | Trotter EW~Grant CM, 2006
YAL012W	-6.017830648521584
YAR015W	-6.017830648521584
YBR033W	-6.017830648521584
YBR068C	-6.017830648521584
YBR106W	-6.017830648521584
YBR127C	-6.017830648521584
YBR129C	-6.017830648521584
YBR191W	-6.017830648521584
YBR279W	-6.017830648521584
YBR289W	-6.017830648521584
YDL074C	-6.017830648521584
YDL081C	-6.017830648521584
YDL115C	-6.017830648521584
YDL116W	-6.017830648521584
YDL142C	-6.017830648521584
YDL186W	-6.017830648521584
YDL187C	-6.017830648521584
YDR017C	-6.017830648521584
YDR027C	-6.017830648521584
YDR127W	-6.017830648521584
YDR245W	-6.017830648521584
YDR296W	-6.017830648521584
YDR494W	-6.017830648521584
YDR512C	-6.017830648521584
YDR529C	-6.017830648521584
YEL050C	-6.017830648521584
YER116C	-6.017830648521584
YER122C	-6.017830648521584
YGL025C	-6.017830648521584
YGL223C	-6.017830648521584
YGL246C	-6.017830648521584
YGR032W	-6.017830648521584
YGR036C	-6.017830648521584
YGR104C	-6.017830648521584
YGR105W	-6.017830648521584
YGR136W	-6.017830648521584
YGR222W	-6.017830648521584
YGR255C	-6.017830648521584
YGR270W	-6.017830648521584
YHL025W	-6.017830648521584
YHR030C	-6.017830648521584
YHR039C-A	-6.017830648521584
YHR051W	-6.017830648521584
YHR100C	-6.017830648521584
YHR177W	-6.017830648521584
YHR178W	-6.017830648521584
YHR179W	-6.017830648521584
YHR183W	-6.017830648521584
YIL027C	-6.017830648521584
YIL070C	-6.017830648521584
YIL112W	-6.017830648521584
YJL023C	-6.017830648521584
YJL075C	-6.017830648521584
YJL096W	-6.017830648521584
YJL120W	-6.017830648521584
YJL121C	-6.017830648521584
YJL176C	-6.017830648521584
YJR139C	-6.017830648521584
YKL016C	-6.017830648521584
YKL037W	-6.017830648521584
YKL050C	-6.017830648521584
YKL051W	-6.017830648521584
YKL118W	-6.017830648521584
YKL120W	-6.017830648521584
YKL132C	-6.017830648521584
YKL149C	-6.017830648521584
YKL211C	-6.017830648521584
YKL212W	-6.017830648521584
YKR007W	-6.017830648521584
YLL006W	-6.017830648521584
YLL057C	-6.017830648521584
YLR011W	-6.017830648521584
YLR038C	-6.017830648521584
YLR061W	-6.017830648521584
YLR067C	-6.017830648521584
YLR139C	-6.017830648521584
YLR143W	-6.017830648521584
YLR144C	-6.017830648521584
YLR172C	-6.017830648521584
YLR232W	-6.017830648521584
YLR241W	-6.017830648521584
YLR257W	-6.017830648521584
YLR265C	-6.017830648521584
YLR268W	-6.017830648521584
YLR280C	-6.017830648521584
YLR342W	-6.017830648521584
YLR371W	-6.017830648521584
YLR382C	-6.017830648521584
YLR396C	-6.017830648521584
YML006C	-6.017830648521584
YML007W	-6.017830648521584
YML008C	-6.017830648521584
YML030W	-6.017830648521584
YML036W	-6.017830648521584
YML061C	-6.017830648521584
YML070W	-6.017830648521584
YMR014W	-6.017830648521584
YMR015C	-6.017830648521584
YMR021C	-6.017830648521584
YMR170C	-6.017830648521584
YMR173W-A	-6.017830648521584
YNL003C	-6.017830648521584
YNL051W	-6.017830648521584
YNL090W	-6.017830648521584
YNL170W	-6.017830648521584
YNL226W	-6.017830648521584
YNL229C	-6.017830648521584
YNL280C	-6.017830648521584
YNL297C	-6.017830648521584
YOL051W	-6.017830648521584
YOR065W	-6.017830648521584
YOR114W	-6.017830648521584
YOR230W	-6.017830648521584
YOR231W	-6.017830648521584
YOR279C	-6.017830648521584
YOR280C	-6.017830648521584
YOR290C	-6.017830648521584
YOR349W	-6.017830648521584
YPL069C	-6.017830648521584
YPL071C	-6.017830648521584
YPL161C	-6.017830648521584
YPL172C	-6.017830648521584
YPR024W	-6.017830648521584
YPR036W	-6.017830648521584
YPR047W	-6.017830648521584
YPR123C	-6.017830648521584
