orf	hap a | growth (colony size) | methyl methanesulfonate [0.001%] | Huang D~Paulovich AG, 2013
YCR066W	-18.03369861437985
YDR363W	-18.03369861437985
YDR369C	-18.03369861437985
YGL058W	-18.03369861437985
YJL047C	-18.03369861437985
YLR032W	-18.03369861437985
YLR234W	-18.03369861437985
YLR320W	-18.03369861437985
YML032C	-18.03369861437985
YMR190C	-18.03369861437985
YMR224C	-18.03369861437985
YNL250W	-18.03369861437985
YPL024W	-18.03369861437985
YPR164W	-18.03369861437985
