orf	hap a | growth (undefined) | L-canavanine [5 ug/ml] | Shi Y~Emr SD, 2011
YAL007C	5.212736234226613
YAL008W	5.212736234226613
YAL009W	5.212736234226613
YAL022C	5.212736234226613
YAR003W	5.212736234226613
YAR020C	5.212736234226613
YAR023C	5.212736234226613
YAR027W	5.212736234226613
YAR028W	5.212736234226613
YAR042W	5.212736234226613
YBL051C	5.212736234226613
YBL053W	5.212736234226613
YBL054W	5.212736234226613
YBL063W	5.212736234226613
YBL106C	5.212736234226613
YBR125C	5.212736234226613
YBR126C	5.212736234226613
YBR171W	5.212736234226613
YBR178W	5.212736234226613
YBR246W	5.212736234226613
YCR017C	5.212736234226613
YCR020C-A	5.212736234226613
YCR034W	5.212736234226613
YDL019C	5.212736234226613
YDL042C	5.212736234226613
YDL048C	5.212736234226613
YDL066W	5.212736234226613
YDL074C	5.212736234226613
YDR036C	5.212736234226613
YDR050C	5.212736234226613
YDR068W	5.212736234226613
YDR070C	5.212736234226613
YDR072C	5.212736234226613
YDR093W	5.212736234226613
YDR094W	5.212736234226613
YDR095C	5.212736234226613
YDR099W	5.212736234226613
YDR108W	5.212736234226613
YDR124W	5.212736234226613
YDR125C	5.212736234226613
YDR130C	5.212736234226613
YDR176W	5.212736234226613
YDR206W	5.212736234226613
YDR297W	5.212736234226613
YDR309C	5.212736234226613
YDR354W	5.212736234226613
YDR374C	5.212736234226613
YDR385W	5.212736234226613
YDR391C	5.212736234226613
YDR425W	5.212736234226613
YDR426C	5.212736234226613
YDR428C	5.212736234226613
YDR448W	5.212736234226613
YDR463W	5.212736234226613
YDR490C	5.212736234226613
YEL005C	5.212736234226613
YEL033W	5.212736234226613
YEL037C	5.212736234226613
YEL053C	5.212736234226613
YEL063C	5.212736234226613
YER055C	5.212736234226613
YER061C	5.212736234226613
YFL021W	5.212736234226613
YFL048C	5.212736234226613
YGR072W	5.212736234226613
YGR085C	5.212736234226613
YHL029C	5.212736234226613
YHL034C	5.212736234226613
YHR015W	5.212736234226613
YHR022C	5.212736234226613
YHR077C	5.212736234226613
YHR204W	5.212736234226613
YHR206W	5.212736234226613
YIL018W	5.212736234226613
YIL027C	5.212736234226613
YIL164C	5.212736234226613
YIL165C	5.212736234226613
YIL166C	5.212736234226613
YIR013C	5.212736234226613
YJL107C	5.212736234226613
YJL108C	5.212736234226613
YJL126W	5.212736234226613
YJL180C	5.212736234226613
YJR088C	5.212736234226613
YLL014W	5.212736234226613
YLL020C	5.212736234226613
YLL032C	5.212736234226613
YLR046C	5.212736234226613
YLR047C	5.212736234226613
YLR138W	5.212736234226613
YLR154C	5.212736234226613
YLR187W	5.212736234226613
YLR206W	5.212736234226613
YLR219W	5.212736234226613
YLR262C	5.212736234226613
YLR286C	5.212736234226613
YLR372W	5.212736234226613
YLR376C	5.212736234226613
YLR403W	5.212736234226613
YML007W	5.212736234226613
YML011C	5.212736234226613
YML036W	5.212736234226613
YML048W	5.212736234226613
YML061C	5.212736234226613
YML078W	5.212736234226613
YML079W	5.212736234226613
YML080W	5.212736234226613
YML081W	5.212736234226613
YML082W	5.212736234226613
YML083C	5.212736234226613
YML084W	5.212736234226613
YML086C	5.212736234226613
YML087C	5.212736234226613
YML089C	5.212736234226613
YML111W	5.212736234226613
YMR025W	5.212736234226613
YMR031C	5.212736234226613
YMR042W	5.212736234226613
YMR044W	5.212736234226613
YMR080C	5.212736234226613
YMR145C	5.212736234226613
YMR147W	5.212736234226613
YMR183C	5.212736234226613
YMR192W	5.212736234226613
YMR275C	5.212736234226613
YNL032W	5.212736234226613
YNL111C	5.212736234226613
YNL167C	5.212736234226613
YNL265C	5.212736234226613
YNL266W	5.212736234226613
YNL293W	5.212736234226613
YNL323W	5.212736234226613
YNL326C	5.212736234226613
YNR022C	5.212736234226613
YNR027W	5.212736234226613
YNR028W	5.212736234226613
YNR029C	5.212736234226613
YNR039C	5.212736234226613
YNR055C	5.212736234226613
YNR061C	5.212736234226613
YOL019W	5.212736234226613
YOL020W	5.212736234226613
YOL024W	5.212736234226613
YOL025W	5.212736234226613
YOL028C	5.212736234226613
YOL061W	5.212736234226613
YOL147C	5.212736234226613
YOR008C	5.212736234226613
YOR021C	5.212736234226613
YOR027W	5.212736234226613
YOR029W	5.212736234226613
YOR040W	5.212736234226613
YOR076C	5.212736234226613
YOR357C	5.212736234226613
YOR359W	5.212736234226613
YPL105C	5.212736234226613
YPL150W	5.212736234226613
YPL152W	5.212736234226613
YPL183C	5.212736234226613
YPL219W	5.212736234226613
YPL257W	5.212736234226613
YPR046W	5.212736234226613
YPR050C	5.212736234226613
YPR051W	5.212736234226613
YPR084W	5.212736234226613
YPR092W	5.212736234226613
YPR095C	5.212736234226613
YPR096C	5.212736234226613
