orf	hap a | vacuolar morphology | FM 4-64 dye [1 uM], tunicamycin [1 ug/ml] | Stauffer B~Powers T, 2015
YML053C	-3.8318001393199395
YML057C-A	-3.8318001393199395
YML068W	-3.8318001393199395
YML074C	-3.8318001393199395
YML083C	-3.8318001393199395
YML097C	-3.8318001393199395
YML103C	-3.8318001393199395
YML109W	-3.8318001393199395
YMR012W	-3.8318001393199395
YMR032W	-3.8318001393199395
YMR053C	-3.8318001393199395
YMR078C	-3.8318001393199395
YMR100W	-3.8318001393199395
YMR124W	-3.8318001393199395
YMR162C	-3.8318001393199395
YMR167W	-3.8318001393199395
YMR180C	-3.8318001393199395
YMR242C	-3.8318001393199395
YMR244C-A	-3.8318001393199395
YMR244W	-3.8318001393199395
YMR246W	-3.8318001393199395
YMR251W-A	-3.8318001393199395
YMR278W	-3.8318001393199395
YMR307W	-3.8318001393199395
YMR312W	-3.8318001393199395
YNL025C	-3.8318001393199395
YNL065W	-3.8318001393199395
YNL070W	-3.8318001393199395
YNL082W	-3.8318001393199395
YNL085W	-3.8318001393199395
YNL095C	-3.8318001393199395
YNL116W	-3.8318001393199395
YNL121C	-3.8318001393199395
YNL141W	-3.8318001393199395
YNL183C	-3.8318001393199395
YNL191W	-3.8318001393199395
YNL201C	-3.8318001393199395
YNL213C	-3.8318001393199395
YNL219C	-3.8318001393199395
YNL224C	-3.8318001393199395
YNL231C	-3.8318001393199395
YNL236W	-3.8318001393199395
YNL241C	-3.8318001393199395
YNL264C	-3.8318001393199395
YNL268W	-3.8318001393199395
YNL298W	-3.8318001393199395
YNL303W	-3.8318001393199395
YNL318C	-3.8318001393199395
YNL324W	-3.8318001393199395
YNL325C	-3.8318001393199395
YNR010W	-3.8318001393199395
YNR013C	-3.8318001393199395
YNR025C	-3.8318001393199395
YNR027W	-3.8318001393199395
YNR052C	-3.8318001393199395
YNR070W	-3.8318001393199395
YOL014W	-3.8318001393199395
YOL065C	-3.8318001393199395
YOL087C	-3.8318001393199395
YOL143C	-3.8318001393199395
YOL151W	-3.8318001393199395
YOR007C	-3.8318001393199395
YOR009W	-3.8318001393199395
YOR025W	-3.8318001393199395
YOR036W	-3.8318001393199395
YOR043W	-3.8318001393199395
YOR064C	-3.8318001393199395
YOR067C	-3.8318001393199395
YOR096W	-3.8318001393199395
YOR097C	-3.8318001393199395
YOR131C	-3.8318001393199395
YOR163W	-3.8318001393199395
YOR225W	-3.8318001393199395
YOR227W	-3.8318001393199395
YOR251C	-3.8318001393199395
YOR258W	-3.8318001393199395
YOR263C	-3.8318001393199395
YOR271C	-3.8318001393199395
YOR322C	-3.8318001393199395
YOR327C	-3.8318001393199395
YOR328W	-3.8318001393199395
YOR331C	-3.8318001393199395
YOR364W	-3.8318001393199395
YPL009C	-3.8318001393199395
YPL021W	-3.8318001393199395
YPL073C	-3.8318001393199395
YPL078C	-3.8318001393199395
YPL095C	-3.8318001393199395
YPL098C	-3.8318001393199395
YPL111W	-3.8318001393199395
YPL129W	-3.8318001393199395
YPL164C	-3.8318001393199395
YPL168W	-3.8318001393199395
YPL179W	-3.8318001393199395
YPL189W	-3.8318001393199395
YPL195W	-3.8318001393199395
YPL224C	-3.8318001393199395
YPL225W	-3.8318001393199395
YPL234C	-3.8318001393199395
YPL246C	-3.8318001393199395
YPL249C	-3.8318001393199395
YPR008W	-3.8318001393199395
YPR015C	-3.8318001393199395
YPR036W	-3.8318001393199395
YPR042C	-3.8318001393199395
YPR053C	-3.8318001393199395
YPR057W	-3.8318001393199395
YPR087W	-3.8318001393199395
YPR098C	-3.8318001393199395
YPR099C	-3.8318001393199395
YPR101W	-3.8318001393199395
YPR114W	-3.8318001393199395
YPR127W	-3.8318001393199395
YPR129W	-3.8318001393199395
YPR151C	-3.8318001393199395
YPR166C	-3.8318001393199395
YPR174C	-3.8318001393199395
