orf	hap a | vacuolar morphology | FM 4-64 dye [1 uM], tunicamycin [1 ug/ml] | Stauffer B~Powers T, 2015
YAL002W	-1
YAL021C	-1
YAL056W	-1
YAL061W	-1
YAR030C	-1
YBL008W	-1
YBL016W	-1
YBL019W	-1
YBL045C	-1
YBL078C	-1
YBL081W	-1
YBL088C	-1
YBL096C	-1
YBR071W	-1
YBR077C	-1
YBR081C	-1
YBR084C-A	-1
YBR089C-A	-1
YBR097W	-1
YBR107C	-1
YBR114W	-1
YBR127C	-1
YBR133C	-1
YBR149W	-1
YBR156C	-1
YBR174C	-1
YBR175W	-1
YBR255W	-1
YBR288C	-1
YBR291C	-1
YCR009C	-1
YCR047C	-1
YCR076C	-1
YCR081W	-1
YCR084C	-1
YCR102W-A	-1
YDL075W	-1
YDL090C	-1
YDL121C	-1
YDL128W	-1
YDL162C	-1
YDL168W	-1
YDL174C	-1
YDL218W	-1
YDL231C	-1
YDR009W	-1
YDR142C	-1
YDR195W	-1
YDR225W	-1
YDR241W	-1
YDR247W	-1
YDR281C	-1
YDR304C	-1
YDR317W	-1
YDR323C	-1
YDR329C	-1
YDR333C	-1
YDR336W	-1
YDR372C	-1
YDR388W	-1
YDR426C	-1
YDR442W	-1
YDR462W	-1
YDR483W	-1
YDR495C	-1
YDR513W	-1
YDR540C	-1
YEL011W	-1
YEL027W	-1
YEL028W	-1
YEL051W	-1
YEL056W	-1
YEL063C	-1
YEL071W	-1
YEL072W	-1
YER174C	-1
YER188W	-1
YFR006W	-1
YFR018C	-1
YFR019W	-1
YFR020W	-1
YFR046C	-1
YFR056C	-1
YGL005C	-1
YGL021W	-1
YGL045W	-1
YGL071W	-1
YGL095C	-1
YGL105W	-1
YGL197W	-1
YGL209W	-1
YGL217C	-1
YGL235W	-1
YGL249W	-1
YGR010W	-1
YGR018C	-1
YGR020C	-1
YGR023W	-1
YGR036C	-1
YGR089W	-1
YGR102C	-1
YGR105W	-1
YGR122W	-1
YGR155W	-1
YGR225W	-1
YGR227W	-1
YGR238C	-1
YGR250C	-1
YGR261C	-1
YGR286C	-1
YHL017W	-1
YHR026W	-1
YHR039C-A	-1
YHR060W	-1
YHR117W	-1
YHR130C	-1
YHR150W	-1
YHR161C	-1
YHR181W	-1
YHR182W	-1
YHR184W	-1
YHR193C	-1
YIL005W	-1
YIL009W	-1
YIL028W	-1
YIL040W	-1
YIL041W	-1
YIL044C	-1
YIL045W	-1
YIL047C	-1
YIL053W	-1
YIL064W	-1
YIL065C	-1
YIL073C	-1
YIL077C	-1
YIL084C	-1
YIL088C	-1
YIL092W	-1
YIL103W	-1
YIL110W	-1
YIL138C	-1
YIL156W	-1
YIR025W	-1
YIR029W	-1
YJL004C	-1
YJL012C	-1
YJL024C	-1
YJL036W	-1
YJL100W	-1
YJL129C	-1
YJL133W	-1
YJL139C	-1
YJL163C	-1
YJL165C	-1
YJL196C	-1
YJL215C	-1
YJR051W	-1
YJR105W	-1
YJR126C	-1
YJR129C	-1
YJR137C	-1
YJR140C	-1
YJR154W	-1
YKL072W	-1
YKL080W	-1
YKL115C	-1
YKL119C	-1
YKL202W	-1
YKR009C	-1
YKR033C	-1
YKR036C	-1
YKR058W	-1
YKR061W	-1
YKR065C	-1
YKR075C	-1
YKR088C	-1
YLL046C	-1
YLR032W	-1
YLR044C	-1
