orf	hom | growth (pooled culture, microarray) | lanthanum(3+) [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | praseodymium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | neodymium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | samarium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | europium(3+) [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | gadolinium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | terbium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | dysprosium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | holmium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | erbium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | thulium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | ytterbium [IC20] | YPD | Pallares RM~Abergel RJ, 2021	hom | growth (pooled culture, microarray) | lutetium [IC20] | YPD | Pallares RM~Abergel RJ, 2021
YAL001C	0.493615468347126	-0.0309186602015245	-0.849198323944671	0.758047816939877	-2.16140251064387	-0.878903322897041	-0.878672706101651	-3.79700750317822	3.27845736473454		1.26172335038977	3.0980408324147	
YAL002W	-0.0863733589546911	0.477618294223459	0.849103557594017	0.412834548063918	-4.16658887627701	-1.18637298355091	-0.221336658822816	-1.1246999937961	3.34379391864627		2.32742229407757	0.173197190261062	
YAL004W	-0.0825615172913201	-0.0169776111171982	-0.235207828578447	-0.398058991738902	0.185747590097014	-0.315954675447973	-0.0165990464879408	0.539963092824983			-0.139994678917981	-0.523985424476736	
YAL005C	0.115399100248251	0.184294933483305	0.237727184934945	0.163313002889851	1.69235314247938	0.256506890935373	0.103817511528713	0.513941140393895	1.36729665608652		0.181848383835866	-0.212664941831444	
YAL007C	0.59352949066878	-0.352209458287786	0.252639857766973	-0.12037496404139	0.0722410315595336	-0.911171866954456	0.434621868194509	0.443388794074385	1.15941605201383		0.630518468280461	0.796958348689623	
YAL008W	0.43347761507497	0.235002708272622	0.118158694140786	0.0204854540366827	0.165784887648125	-3.67888242454868	-0.227964466810895	0.753829847396531			-0.00319735608031153	-0.330579090408542	
YAL009W	-0.724389588044018	-0.720216104237533	-0.608777527036714	-0.540106851045836		-1.66598548245578		-4.70399160511364			0.684019129496314	-0.631122363891455	
YAL011W	0.264982694528422	0.3846951001784	0.202607707906509	1.1495865043963	-1.30075299963033	-1.54353726817096	0.204794589229437	0.432846933696332	1.89582278918134		2.17598105139453	2.75808436583335	
YAL013W	-0.138209678872651	-0.131238876154518	-0.663133729000765	-0.182650380544903		-1.98352002185375	-0.550281744815588	-1.30835174720165			4.20143011485571	6.53053467427299	
YAL014C	-0.193385278870474	0.0963455100279193	-0.274965686542372	0.67210001948332	0.52013563619308	-0.827425272730016	0.0714512330457618	0.576515356948957	2.89506293214372		2.06932378290693	1.74224635811065	
YAL015C	0.123376804946321	0.140643813918692	-0.555073092389976	-0.00612376363479727	1.41934658750653	-0.681240006457163	0.798721072633138	0.285620491688254	-0.821121081253128		0.0235085321397566	0.0713698339469839	
YAL017W	-0.115642720351193	-0.0569577721174332	0.169404607873379	-0.264680572599426	0.502738993833049	-1.55547452833766	-0.133981644183591	-0.155391162370932			-0.355389892256339	-0.321456471382356	
YAL018C	0.373190342154911	-0.839402009204515	-0.14361403523469	0.714273377991476	0.914658260313644	0.00073972252127707	0.37283756418706	-0.322713070669523			0.164825285629163	-0.0125527789100845	
YAL019W	-0.156813454350421	-0.464343559614216	-0.0463336425434161	-0.0890689969171121	-0.117813106825312	-0.426917646758672	-0.000401078616196769	-0.0864272729564435			0.686968401230646	0.441310736444824	
YAL020C	-0.146145912462432	-0.797893319807938	-0.506034121489002	0.632017549088057	-4.35648671374039	1.22174771129345	-0.752102873742992	-0.72184132254981			2.0347524220132	2.0779106824761	
YAL021C	-1.31223338595301										1.20718778893582	1.99346363365435	
